"Date","Open","High","Low","Close","Volume"
#2014-01-01#,242.45,243.29,242.08,242.59,113186
#2014-01-02#,241.09,243.19,239.92,241.53,154360
#2014-01-03#,241.17,243.88,239.03,242.71,149884
#2014-01-06#,243.17,244.78,241.15,242.42,183567
#2014-01-07#,243.71,248.92,243.26,248.36,189014
#2014-01-08#,247.94,249.77,246.78,249.67,151222
#2014-01-09#,250.05,251.22,248.59,249.5,161344
#2014-01-10#,249.94,250.53,247.848,249.99,88979
#2014-01-13#,248.91,250.64,245.95,247.27,80094
#2014-01-14#,248.55,252.54,245.88,252.45,124345
#2014-01-15#,252.19,254.03,249.74,253.2,135809
#2014-01-16#,252.49,254.73,251.83,254.07,68072
#2014-01-17#,252.92,255.25,251.7,254.29,80748
#2014-01-20#,252.92,255.25,251.7,254.29,80748
#2014-01-21#,254.76,256,252.79,255.73,67457
#2014-01-22#,256.07,256.98,254.465,255.85,62802
#2014-01-23#,255.59,256.94,251.59,253.59,137568
#2014-01-24#,251.63,251.63,243.09,243.44,235768
#2014-01-27#,243.68,243.68,240.15,241.62,174327
#2014-01-28#,242.05,248.74,241.88,248.63,264771
#2014-01-29#,245.86,249.96,244,244.67,191746
#2014-01-30#,249.21,249.62,246.05,249.43,160266
#2014-01-31#,243.03,247.96,243.03,246.3,157889
#2014-02-03#,246.36,247.85,234.34,234.71,354623
#2014-02-04#,236.63,238.9,235.23,237.81,500097
#2014-02-05#,238.81,238.81,235.2,235.87,337078
#2014-02-06#,242.2,254.96,242.2,254,503073
#2014-02-07#,254,258.31,250.67,255.24,238207
#2014-02-10#,254.47,255.79,252.91,254.44,190415
#2014-02-11#,254.24,255.505,251.865,254.33,182971
#2014-02-12#,254,255.259,249.8,251.95,215217
#2014-02-13#,250.73,252.72,250.01,251.92,171926
#2014-02-14#,251.03,252.78,248.495,249.64,210574
#2014-02-17#,251.03,252.78,248.495,249.64,210574
#2014-02-18#,249.49,250.37,246.7,247.01,245539
#2014-02-19#,246.59,248.04,243.65,243.8,151687
#2014-02-20#,244.87,246.06,243.71,245.04,266494
#2014-02-21#,245.14,245.64,243.14,243.18,164977
#2014-02-24#,244.4,246.562,244.02,245.89,375435
#2014-02-25#,246.59,246.98,244.775,246.17,195481
#2014-02-26#,248,249.38,245.05,248.05,179656
#2014-02-27#,247.09,248.47,246.507,247.28,129671
#2014-02-28#,247.07,247.995,244.63,245.76,174279
#2014-03-03#,245.62,245.93,240.27,241.08,182786
#2014-03-04#,244.75,245.698,243.45,245.07,162733
#2014-03-05#,245.2,246.33,243.57,243.6,167795
#2014-03-06#,244.94,245.54,243.25,244.58,95208
#2014-03-07#,246.29,246.3,244.37,245.59,99564
#2014-03-10#,245.59,247.08,242.5,244.48,101993
#2014-03-11#,244.64,245.21,241.585,243.27,114572
#2014-03-12#,241.81,243.94,240.37,243.72,121250
#2014-03-13#,244.72,245.33,238.6,238.92,129272
#2014-03-14#,238.92,239.62,236.28,236.56,142630
#2014-03-17#,238.17,240.29,237.34,238.75,129453
#2014-03-18#,238.81,242.11,237.87,241.24,109261
#2014-03-19#,241,242.9,236.212,236.97,97842
#2014-03-20#,236.63,238.88,236.63,238.4,55895
#2014-03-21#,239.08,239.08,235.27,235.57,192079
#2014-03-24#,236.57,236.57,229.06,232.12,220307
#2014-03-25#,233.38,235.19,232.06,233.7,237062
#2014-03-26#,235.53,235.77,232.92,233.22,168590
#2014-03-27#,233.8,234.24,230.57,231.19,92561
#2014-03-28#,232.61,235.36,231.62,232.08,147461
#2014-03-31#,233.43,236.29,231.86,235.68,257218
#2014-04-01#,236.03,238.62,234.5,238.28,204205
#2014-04-02#,239.07,242.29,237.87,240.17,167140
#2014-04-03#,240.6,242.7,239.15,240.04,112402
#2014-04-04#,241.83,243.49,234.25,235.09,106930
#2014-04-07#,234.65,235.538,227.95,229.22,142197
#2014-04-08#,229.3,233.01,228.09,232.43,151014
#2014-04-09#,234.07,235.13,229.84,233.24,201821
#2014-04-10#,232.81,232.81,224.37,224.37,287932
#2014-04-11#,223.5,226.6,223.21,223.8,164176
#2014-04-14#,225.55,227.99,223.17,224.87,153204
#2014-04-15#,225.27,226.75,221,224.99,212458
#2014-04-16#,226.89,229.65,226.49,228.85,169130
#2014-04-17#,229.03,235.29,228.25,233.5,261264
#2014-04-18#,229.03,235.29,228.25,233.5,261264
#2014-04-21#,233.67,234.96,231.93,233.85,85739
#2014-04-22#,234.07,237.04,234.07,234.24,131210
#2014-04-23#,234.2,235.88,232.14,234.3,123983
#2014-04-24#,235.66,236.97,231.57,234.1,98687
#2014-04-25#,233.93,234.94,229.46,229.99,83975
#2014-04-28#,231.33,231.57,226.86,230.47,257728
#2014-04-29#,230,230.25,227.27,228.29,146726
#2014-04-30#,228.27,233.6,227.665,233.12,189756
#2014-05-01#,233.49,236.99,231.922,233.15,114947
#2014-05-02#,232.76,236.129,231.84,235.3,140757
#2014-05-05#,233.4,238.41,231.5,237.73,213505
#2014-05-06#,236.83,238.26,235.14,235.82,257429
#2014-05-07#,236.09,237.24,231.98,236.61,246708
#2014-05-08#,236.61,241.41,235.39,235.85,241125
#2014-05-09#,234.46,244.47,232.575,241.79,247528
#2014-05-12#,241,244.03,238.5,241.48,200529
#2014-05-13#,242.1,243.1,240.3,240.92,108873
#2014-05-14#,240.98,241.5,239.8,240.51,204383
