"Date","Open","High","Low","Close","Volume"
#2004-01-01#,32.8,32.99,32.655,32.71,1367600
#2004-01-02#,32.71,32.925,32.455,32.515,1360600
#2004-01-05#,32.64,32.64,32,32.095,2511400
#2004-01-06#,32.01,32.05,31.83,31.925,1929200
#2004-01-07#,31.915,32.035,31.77,31.95,1798800
#2004-01-08#,31.925,31.95,31.67,31.77,2204200
#2004-01-09#,31.845,31.95,31.725,31.875,1735200
#2004-01-12#,32.1,32.195,31.98,32.16,3471600
#2004-01-13#,32.24,32.595,32.225,32.48,3099800
#2004-01-14#,32.75,33.135,32.7,32.84,2804800
#2004-01-15#,32.825,32.955,32.695,32.78,1723000
#2004-01-16#,32.785,32.85,32.625,32.625,1193200
#2004-01-19#,32.785,32.85,32.625,32.625,1193200
#2004-01-20#,32.575,32.71,32.515,32.575,1251000
#2004-01-21#,32.625,32.995,32.38,32.995,2260400
#2004-01-22#,32.78,33.47,32.595,33.345,2362600
#2004-01-23#,33.25,33.425,32.855,32.91,1526600
#2004-01-26#,32.915,33,32.475,32.575,1561600
#2004-01-27#,32.575,32.625,32.255,32.375,2061800
#2004-01-28#,32.4,33.03,32.385,32.665,2805200
#2004-01-29#,32.69,33.04,32.635,32.97,2127200
#2004-01-30#,32.855,32.965,32.75,32.875,1552800
#2004-02-02#,32.9,32.935,32.425,32.54,1752400
#2004-02-03#,32.5,32.625,32.45,32.625,1424600
#2004-02-04#,32.525,32.535,32.1,32.35,2674000
#2004-02-05#,32.365,32.405,31.965,31.965,2281800
#2004-02-06#,31.98,32.055,31.885,31.99,2363000
#2004-02-09#,32.01,32.05,31.95,32,2278000
#2004-02-10#,32.025,32.345,31.97,32.315,2544800
#2004-02-11#,32.24,32.64,32.105,32.6,1747400
#2004-02-12#,32.6,32.65,32.395,32.46,1364400
#2004-02-13#,32.535,32.59,32.315,32.32,1464400
#2004-02-16#,32.535,32.59,32.315,32.32,1464400
#2004-02-17#,32.5,32.75,32.475,32.725,1301400
#2004-02-18#,32.775,33.135,32.775,33.125,1826600
#2004-02-19#,33.075,33.295,33.05,33.115,2356800
#2004-02-20#,33.24,33.24,32.775,32.925,1680800
#2004-02-23#,32.975,33.27,32.86,33.27,2026200
#2004-02-24#,33.25,33.35,33.08,33.25,2108800
#2004-02-25#,32.995,33.04,32.705,32.825,3112200
#2004-02-26#,32.83,32.915,32.51,32.62,1233800
#2004-02-27#,32.7,32.995,32.655,32.825,2235600
#2004-03-01#,32.875,33.265,32.765,33.125,1095000
#2004-03-02#,33,33.15,32.88,32.93,1495800
#2004-03-03#,32.9,33.195,32.56,33.165,1696800
#2004-03-04#,33.5,33.655,33.28,33.595,3027000
#2004-03-05#,33.45,33.9,33.405,33.875,2162400
#2004-03-08#,33.875,34.405,33.845,34.2,2783400
#2004-03-09#,34.1,34.405,34.09,34.125,2772000
#2004-03-10#,34.12,34.13,33.7,33.7,1590600
#2004-03-11#,33.5,33.75,33.105,33.135,1956200
#2004-03-12#,33.165,33.51,33.15,33.445,1141200
#2004-03-15#,33.45,33.48,33.2,33.3,1170600
#2004-03-16#,33.5,33.655,33.34,33.485,1137800
#2004-03-17#,33.575,34.125,33.57,33.91,1538400
#2004-03-18#,33.91,34.03,33.645,33.725,1317600
#2004-03-19#,33.575,34.09,33.575,33.685,1771000
#2004-03-22#,33.685,33.77,33.03,33.215,1691800
#2004-03-23#,33.235,33.36,33.07,33.145,1345200
#2004-03-24#,33.195,33.225,32.845,32.925,1630200
#2004-03-25#,32.9,33.105,32.825,32.925,3459000
#2004-03-26#,32.925,33.375,32.92,33.22,1736600
#2004-03-29#,33.255,33.45,33.13,33.395,1225200
#2004-03-30#,33.4,33.55,33.365,33.5,898600
#2004-03-31#,33.455,33.565,33.28,33.425,1239000
#2004-04-01#,33.36,33.535,33.31,33.435,1092000
#2004-04-02#,33.55,33.625,33.025,33.155,2066400
#2004-04-05#,33.25,33.275,33.065,33.245,1336600
#2004-04-06#,33.2,33.29,33.09,33.185,1307200
#2004-04-07#,33.19,33.285,32.84,32.915,1266000
#2004-04-08#,33.065,33.075,32.76,32.84,1154800
#2004-04-09#,33.065,33.075,32.76,32.84,1154800
#2004-04-12#,32.875,32.985,31.995,32.21,2362000
#2004-04-13#,32.175,32.175,31.45,31.795,2701400
#2004-04-14#,31.725,32.1,31.385,31.9,2038400
#2004-04-15#,31.9,32.125,31.78,31.85,1344800
#2004-04-16#,31.865,32.12,31.765,32.015,1512400
#2004-04-19#,32.01,32.03,31.86,31.87,1923600
#2004-04-20#,31.87,32.11,31.755,31.875,2543000
#2004-04-21#,31.85,31.85,31.535,31.705,1523000
#2004-04-22#,31.675,32.3,31.65,32.16,1878000
#2004-04-23#,32.165,32.79,32.045,32.725,3618000
#2004-04-26#,32.6,32.775,32.445,32.55,2615000
#2004-04-27#,32.675,32.715,32.13,32.3,1919800
#2004-04-28#,32.325,32.405,32.025,32.285,1806200
#2004-04-29#,32.31,32.5,31.845,31.875,1674000
#2004-04-30#,31.955,32.075,31.74,31.81,1231400
#2004-05-03#,31.85,32.03,31.635,31.92,974600
#2004-05-04#,31.9,32.185,31.785,32.085,1379200
#2004-05-05#,32.075,32.175,31.76,31.76,1456000
#2004-05-06#,31.76,31.94,31.33,31.86,1136800
#2004-05-07#,31.65,31.73,31.025,31.075,2287200
#2004-05-10#,31,31,30.34,30.575,2785200
#2004-05-11#,30.6,30.93,30.56,30.69,2525600
#2004-05-12#,30.695,30.745,30.1,30.485,2109800
#2004-05-13#,30.425,30.785,30.24,30.6,1510000
#2004-05-14#,30.6,31,30.525,30.8,1361000
#2004-05-17#,30.775,30.89,30.46,30.715,1403400
#2004-05-18#,30.995,31.07,30.75,30.79,1548000
#2004-05-19#,30.95,31.03,30.62,30.625,912200
#2004-05-20#,30.65,30.92,30.525,30.715,1501000
#2004-05-21#,30.785,30.9,30.55,30.7,1233400
#2004-05-24#,30.725,31.15,30.725,31.125,1256800
#2004-05-25#,31.175,31.46,30.88,31.45,1612600
#2004-05-26#,31.45,31.84,31.28,31.475,1491800
#2004-05-27#,31.56,31.965,31.43,31.825,1999400
#2004-05-28#,31.775,31.995,31.75,31.875,998600
#2004-05-31#,31.775,31.995,31.75,31.875,998600
#2004-06-01#,32.125,32.2,31.785,32.2,2133600
#2004-06-02#,31.95,32.025,31.56,31.625,2831200
#2004-06-03#,31.625,31.725,31.41,31.625,1713200
#2004-06-04#,31.8,31.845,31.6,31.66,1087800
#2004-06-07#,31.68,31.765,31.595,31.745,1190000
#2004-06-08#,31.77,31.77,31.505,31.565,1771000
#2004-06-09#,31.6,31.725,31.26,31.365,1626600
#2004-06-10#,31.55,31.695,31.445,31.695,1211800
#2004-06-11#,31.55,31.695,31.445,31.695,1211800
#2004-06-14#,31.695,31.815,31.525,31.7,1452000
#2004-06-15#,31.8,31.995,31.685,31.82,1163600
#2004-06-16#,31.995,32.055,31.825,31.875,916000
#2004-06-17#,31.99,31.99,31.71,31.92,739600
#2004-06-18#,31.925,32.06,31.785,31.925,1132600
#2004-06-21#,31.975,32.21,31.855,31.97,1025800
#2004-06-22#,31.975,32.0575,31.8,31.855,970600
#2004-06-23#,31.92,32.1,31.84,32.045,1206400
#2004-06-24#,32.075,32.125,31.985,32.02,1429200
#2004-06-25#,32.07,32.075,31.62,31.92,2321400
#2004-06-28#,32.025,32.375,31.965,32.025,1743400
#2004-06-29#,32.065,32.1,31.66,31.73,1038400
#2004-06-30#,31.735,32.075,31.67,31.975,1891200
#2004-07-01#,32,32.03,31.35,31.52,1929600
#2004-07-02#,31.7,31.975,31.645,31.73,1319200
#2004-07-05#,31.7,31.975,31.645,31.73,1319200
#2004-07-06#,31.73,31.735,31.505,31.59,1391600
#2004-07-07#,31.525,31.625,31.38,31.425,1189400
#2004-07-08#,31.455,31.5,31.36,31.4,1441400
#2004-07-09#,31.4,31.4,31.225,31.31,1210200
#2004-07-12#,31.31,31.385,31.245,31.305,1221000
#2004-07-13#,31.31,31.37,31.205,31.34,1483400
#2004-07-14#,31.33,31.95,31.3,31.775,1739000
#2004-07-15#,31.78,32.075,31.76,31.865,1002200
#2004-07-16#,32.075,32.13,31.875,32.05,1130000
