"Date","Open","High","Low","Close","Volume"
#2012-01-02#,9.873,10.085,9.833,9.899,21818867
#2012-01-03#,10.04,10.389,10.019,10.32,29219484
#2012-01-04#,10.336,11.567,10.259,11.493,100553096
#2012-01-05#,11.346,11.694,11.04,11.329,86608599
#2012-01-06#,11.303,12.471,11.243,12.327,125663797
#2012-01-09#,12.801,14.236,12.449,14.026,214072817
#2012-01-10#,14.257,14.263,13.214,13.69,146334895
#2012-01-11#,13.57,13.657,13.064,13.164,87206903
#2012-01-12#,13.211,13.339,12.743,13.164,61292861
#2012-01-13#,13.067,13.793,12.886,13.483,88838897
#2012-01-16#,13.067,13.793,12.886,13.483,88838897
#2012-01-17#,13.714,13.979,13.476,13.531,58864841
#2012-01-18#,13.311,14.131,13.179,14.077,66132619
#2012-01-19#,14.237,14.943,14.237,14.78,78835988
#2012-01-20#,14.657,14.967,14.241,14.32,53874919
#2012-01-23#,14.101,14.231,13.371,13.423,61086809
#2012-01-24#,13.157,13.527,13.069,13.239,41937000
#2012-01-25#,13.243,13.643,13.093,13.577,77952721
#2012-01-26#,16.271,17.053,16.009,16.573,158944065
#2012-01-27#,16.543,17.713,16.326,17.684,102228224
#2012-01-30#,17.823,18.497,17.603,17.919,105888496
#2012-01-31#,17.856,17.927,16.821,17.171,84312550
#2012-02-01#,17.344,17.679,16.893,17.567,52355968
#2012-02-02#,17.643,17.964,17.464,17.714,41155296
#2012-02-03#,17.857,18.213,17.62,18.061,46830959
#2012-02-06#,17.603,18.657,17.407,18.464,81648924
#2012-02-07#,18.39,19.061,18.116,18.269,81435095
#2012-02-08#,17.981,18.199,17.633,17.714,51038379
#2012-02-09#,17.773,18.14,17.45,17.834,40541018
#2012-02-10#,17.721,18.036,17.553,17.704,33918010
#2012-02-13#,17.853,17.854,16.876,16.9,52598035
#2012-02-14#,16.999,17.75,16.936,17.581,52488163
#2012-02-15#,17.661,17.903,17.299,17.437,37149952
#2012-02-16#,17.459,17.733,17.143,17.416,40594246
#2012-02-17#,17.447,17.553,17.15,17.407,25945045
#2012-02-20#,17.447,17.553,17.15,17.407,25945045
#2012-02-21#,17.693,18.021,16.669,16.771,80490235
#2012-02-22#,16.416,16.429,15.506,16.057,93245537
#2012-02-23#,15.936,16.307,15.88,16.141,39799585
#2012-02-24#,16.126,16.279,15.9,15.953,27095131
#2012-02-27#,15.436,15.77,15.234,15.63,45104976
#2012-02-28#,15.487,16.41,15.443,16.189,42226814
#2012-02-29#,16.154,16.271,15.68,15.819,37591239
#2012-03-01#,15.586,16.239,15.503,16.107,36906520
#2012-03-02#,16.07,16.834,15.943,16.443,40670371
#2012-03-05#,16.386,16.646,15.816,15.83,27614125
#2012-03-06#,15.641,15.654,15.143,15.304,32221112
#2012-03-07#,15.92,15.92,14.647,15.027,76838167
#2012-03-08#,15.136,15.491,14.857,15.439,45752525
#2012-03-09#,15.286,15.751,15.093,15.59,37166997
#2012-03-12#,15.393,15.821,15.079,15.171,34606369
#2012-03-13#,15.411,15.614,15.021,15.193,30746723
#2012-03-14#,15.117,15.135,14.7,15.036,36224706
#2012-03-15#,15.05,15.807,15,15.739,40889142
#2012-03-16#,15.751,15.959,15.366,15.709,37201465
#2012-03-19#,15.644,16.429,15.544,16.333,37108316
#2012-03-20#,16.273,16.679,16.159,16.431,31515736
#2012-03-21#,16.571,17.27,16.517,17.157,47346880
#2012-03-22#,17.147,17.64,16.839,16.961,42773451
#2012-03-23#,17.063,17.311,16.759,17.17,37751518
#2012-03-26#,17.37,17.456,17.022,17.427,32443887
