"Date","Open","High","Low","Close","Volume"
#2017-01-02#,12.45,12.46,12.22,12.26,3448759
#2017-01-03#,12.32,12.445,12.185,12.3,3228591
#2017-01-04#,12.32,13.07,12.3,13.03,8040905
#2017-01-05#,13.01,13.31,12.915,13.28,8121311
#2017-01-06#,13.31,13.45,12.96,13.36,8693199
#2017-01-09#,13.35,13.51,13.13,13.47,8445232
#2017-01-10#,13.43,13.71,13.24,13.62,8770640
#2017-01-11#,13.68,14.1,13.68,14.1,14526847
#2017-01-12#,14.05,14.44,13.95,14.38,7591133
#2017-01-13#,14.33,14.63,14.3,14.6,6953502
#2017-01-16#,14.33,14.63,14.3,14.6,6953502
#2017-01-17#,15.45,15.92,15.05,15.34,10917987
#2017-01-18#,15.39,15.5626,15.125,15.26,6565489
#2017-01-19#,15.17,15.57,15.11,15.56,13204134
#2017-01-20#,15.68,16.41,15.66,16.11,8393893
#2017-01-23#,16.21,16.5,15.885,16.21,5812675
#2017-01-24#,16.32,16.62,16.2,16.37,6634389
#2017-01-25#,16.39,16.56,16.31,16.44,5031056
#2017-01-26#,16.46,16.64,16.33,16.46,4412747
#2017-01-27#,16.41,16.6,16.31,16.45,3317616
#2017-01-30#,16.4,16.4175,16.015,16.26,4848323
#2017-01-31#,16.18,16.575,16.18,16.54,3836708
#2017-02-01#,16.49,16.6,16.185,16.34,3379154
#2017-02-02#,16.28,16.79,16.08,16.71,6049650
#2017-02-03#,16.74,17.56,16.57,17.08,11968852
#2017-02-06#,17.12,17.21,16.39,16.7,6966277
#2017-02-07#,16.64,16.7,16.23,16.27,5060144
#2017-02-08#,16.2,16.51,16.02,16.36,4443492
#2017-02-09#,16.23,16.5,16.21,16.42,4257470
#2017-02-10#,16.5,16.66,16.32,16.66,3186988
#2017-02-13#,16.6,16.94,16.54,16.75,5709712
#2017-02-14#,16.63,16.81,16.32,16.79,6752840
#2017-02-15#,16.74,17.75,16.73,17.49,8391042
#2017-02-16#,17.49,17.49,17.09,17.11,4479008
#2017-02-17#,17.11,17.13,16.725,17.1,3986996
#2017-02-20#,17.11,17.13,16.725,17.1,3986996
#2017-02-21#,16.79,17.3,16.52,17.12,3779057
