"Date","Open","High","Low","Close","Volume"
#2007-01-01#,54.94,55.25,54.6,54.66,1443600
#2007-01-02#,54.94,55.25,54.6,54.66,1443600
#2007-01-03#,54.66,55.25,53.2,54.5,4668700
#2007-01-04#,54.3,55.08,54,54.92,3401900
#2007-01-05#,54.79,55.69,54.16,54.73,4263700
#2007-01-08#,55.4,56.06,54.78,55.95,4712500
#2007-01-09#,55.11,56.3,54.83,55.65,4507100
#2007-01-10#,55.54,56.01,54.75,55.74,3921900
#2007-01-11#,55.72,56.69,55.31,55.97,3572700
#2007-01-12#,56.07,56.95,55.82,56.3,2856900
#2007-01-15#,56.07,56.95,55.82,56.3,2856900
#2007-01-16#,56.4,56.44,55.62,55.91,2822300
#2007-01-17#,55.84,56.74,55.83,56.31,2837200
#2007-01-18#,56.49,57.28,55.02,55.36,2831400
#2007-01-19#,55.85,57.38,55.61,57.19,3081600
#2007-01-22#,57.2,57.88,56.64,56.91,2599600
#2007-01-23#,57.08,59.13,56.99,59.1,3330500
#2007-01-24#,58.75,59.88,58.23,59.2,3978600
#2007-01-25#,62.19,64.22,61.5,62.65,7486500
#2007-01-26#,62.66,63,61.17,61.48,4280100
#2007-01-29#,62,63.35,61.64,61.88,4260100
#2007-01-30#,63,64.2,61.75,63.74,5265000
#2007-01-31#,63.11,64.88,63.1,64.54,4409700
#2007-02-01#,64.63,65,63.62,64.82,3176200
#2007-02-02#,64.47,65,63.32,64.83,3513400
#2007-02-05#,64.14,64.99,63.06,63.53,2791700
#2007-02-06#,64.1,64.48,63.24,64.21,2249800
#2007-02-07#,64.25,65.43,63.62,64.22,2804100
#2007-02-08#,63.95,64.13,62.78,63.37,2784500
#2007-02-09#,62.97,63.19,61.38,61.65,2540200
#2007-02-12#,61.9,63.04,61.6,62.33,2150737
#2007-02-13#,63.25,64.66,62.81,64.02,2933429
#2007-02-14#,64.91,65.21,63.71,64.26,2511387
#2007-02-15#,64.43,66.04,64.16,65.3,3998800
#2007-02-16#,64.89,65.25,64.3,64.72,2691300
#2007-02-19#,64.89,65.25,64.3,64.72,2691300
#2007-02-20#,64.13,64.91,63.12,64.57,3387000
#2007-02-21#,64.42,66.51,63.82,66.37,4221200
#2007-02-22#,66.97,66.99,65.07,65.41,2779300
#2007-02-23#,65.51,66,64.31,64.41,2398500
#2007-02-26#,64.66,65.88,63.66,64.13,4147816
#2007-02-27#,61.85,63.02,59.42,60.03,7184300
#2007-02-28#,60.43,61.6,59.62,60.87,6235700
#2007-03-01#,59.47,61.8,58.75,60.82,4728817
#2007-03-02#,61.07,61.7,58.45,58.74,4853400
#2007-03-05#,58.23,59.27,57.34,57.9,4326000
#2007-03-06#,59.2,60.55,58.21,60.04,4103500
#2007-03-07#,60.04,60.97,59.61,59.95,2960402
#2007-03-08#,61.7,64.14,61.14,63.12,7038600
#2007-03-09#,63.78,64.6,62.77,64.26,4668484
#2007-03-12#,63,64.55,61.7,63.19,4916800
#2007-03-13#,62.68,63.96,60.6,60.67,4603115
#2007-03-14#,61.78,63.5,60.82,63.32,6853524
#2007-03-15#,62.53,64.25,62.51,63.34,4200464
#2007-03-16#,63.28,63.76,61.38,61.66,4038200
#2007-03-19#,62.98,63.82,62.08,63.72,4440500
#2007-03-20#,64.03,65.25,63.3,63.7,5208950
#2007-03-21#,64.15,65.53,63.82,65.5,3745992
#2007-03-22#,65.12,65.6,64.65,64.7,3323042
#2007-03-23#,65.65,65.65,63.87,65.16,2082600
#2007-03-26#,65.4,65.72,64.4,65.56,4156600
#2007-03-27#,65.53,66.29,65.23,65.7,4051853
#2007-03-28#,65.3,65.4,64,64.85,4198140
#2007-03-29#,65.79,66.85,65.14,66.11,4525185
#2007-03-30#,66.01,66.74,65,65.13,4272347
#2007-04-02#,65,65.3,64.2,64.77,3351621
#2007-04-03#,65.28,65.8,64.38,65.23,3384320
#2007-04-04#,65.33,66.26,64.8,65.66,2693400
#2007-04-05#,65.96,67.34,65.48,66.51,3698048
#2007-04-06#,65.96,67.34,65.48,66.51,3698048
#2007-04-09#,67.45,68.1,66.94,67.5,3017575
#2007-04-10#,67.93,67.93,66.72,67.05,2561000
#2007-04-11#,66.94,67.75,66.17,66.54,2832639
#2007-04-12#,66.95,67.78,66.43,66.7,3743724
#2007-04-13#,66.89,67.25,66.13,66.79,2149368
#2007-04-16#,66.75,67.7,66.5,67.48,2635650
#2007-04-17#,67.56,68.26,66.51,66.73,2651154
#2007-04-18#,66.39,66.82,65.5,65.78,2861700
#2007-04-19#,65.39,67.13,64.13,66.63,4750608
#2007-04-20#,67.52,68.15,66.63,67.69,4445319
#2007-04-23#,68,69.15,67.17,68.54,2817061
#2007-04-24#,67.5,67.98,66.2,66.71,3965020
#2007-04-25#,67.48,68,66.75,66.86,4311225
#2007-04-26#,66.7,66.86,65.8,66.18,2503440
#2007-04-27#,65.95,65.95,64.8,64.94,2944982
#2007-04-30#,65.18,65.58,63.42,63.46,2506300
#2007-05-01#,64,64.93,62.66,64.31,4050624
#2007-05-02#,64.45,65.2,64.2,64.67,2607332
#2007-05-03#,65.57,65.74,64.14,65.5,2660669
#2007-05-04#,66.15,66.56,65.14,65.38,2361400
#2007-05-07#,66,66.87,65.96,66.44,2199700
#2007-05-08#,67.14,67.24,65.42,65.93,3956570
