"Date","Open","High","Low","Close","Volume"
#2008-01-01#,34.51,35.14,34.01,34.02,6905854
#2008-01-02#,34.12,34.25,32.56,33.01,12099534
#2008-01-03#,33.2,33.86,32.63,32.75,11884649
#2008-01-04#,31.77,31.93,29.8,30,18403423
#2008-01-07#,30.2,30.45,26.35,26.9,25172357
#2008-01-08#,27.05,29.29,26.42,27.47,27675990
#2008-01-09#,27.84,28.9,27.43,28.89,18540989
#2008-01-10#,28.1,28.74,27.73,28.29,13864179
#2008-01-11#,27.62,28.2,26.85,27.05,14316298
#2008-01-14#,27.45,28.89,27.01,28.85,13482044
#2008-01-15#,27.75,28.08,26.26,26.73,18150754
#2008-01-16#,25.05,25.36,23.16,23.71,36617969
#2008-01-17#,24.08,24.72,23.24,23.3,28349703
#2008-01-18#,23.37,24.97,22.52,24.84,23010914
#2008-01-21#,23.37,24.97,22.52,24.84,23010914
#2008-01-22#,22.47,24.18,22.33,23.68,17753656
#2008-01-23#,22.64,24.7399,22.42,24.03,23251651
#2008-01-24#,24.5,25.88,24.27,25.87,14934791
#2008-01-25#,26.86,27.46,24.83,24.95,17200239
#2008-01-28#,24.86,25.11,24.1216,24.65,14441029
#2008-01-29#,25.09,25.51,24.44,25.41,10367650
#2008-01-30#,25,25.57,24.47,25.19,13264967
#2008-01-31#,24.64,25.05,23.83,24.59,14717700
#2008-02-01#,24.54,27,24.33,26.8601,14829159
#2008-02-04#,27.44,27.59,25.88,26.02,14133305
#2008-02-05#,25.5,25.51,24.38,24.39,12375394
#2008-02-06#,24.65,25.33,23.86,24.31,13941612
#2008-02-07#,23.61,25.24,23.1,24.55,16604405
#2008-02-08#,24.32,25.18,24,24.99,9849938
#2008-02-11#,25.2,25.61,24.9,25.07,12593733
#2008-02-12#,25.45,26.36,25.31,26,15246979
#2008-02-13#,26.2,27.1,25.92,27.02,18557788
#2008-02-14#,26.23,26.25,22.55,22.61,54607318
#2008-02-15#,22.52,23.13,21.91,22.27,20434047
#2008-02-18#,22.52,23.13,21.91,22.27,20434047
#2008-02-19#,22.68,22.72,21.75,21.94,13972045
#2008-02-20#,21.3,22.1,21.21,21.78,18981572
#2008-02-21#,22,22.11,21.16,21.29,16113756
#2008-02-22#,21.46,22.36,21.3,22.32,18077822
#2008-02-25#,22.3,22.56,21.72,22.31,16797650
#2008-02-26#,22.18,22.84,21.84,22.5,14135534
#2008-02-27#,22.39,23.03,22.25,22.85,13453331
#2008-02-28#,22.65,22.69,21.99,21.99,12593269
#2008-02-29#,21.63,21.92,21.3,21.39,13514514
#2008-03-03#,21.36,21.51,20.86,21.14,11228156
#2008-03-04#,21,21.04,20.11,20.93,19472184
#2008-03-05#,21.13,21.67,20.91,21.1699,16124473
#2008-03-06#,20.91,21.05,19.81,19.84,26882056
#2008-03-07#,19.48,20.32,19,19.55,19188451
#2008-03-10#,19.31,19.55,18.4,18.43,19416860
#2008-03-11#,19,19.23,18.24,19.04,21452737
#2008-03-12#,19.22,19.39,18.36,18.52,18586134
#2008-03-13#,18.23,19.98,18.12,19.7,30515517
#2008-03-14#,19.8,19.82,18.18,18.32,28877909
#2008-03-17#,17.52,18.48,17.31,17.86,20023750
#2008-03-18#,18.28,19,17.76,18.97,26884482
#2008-03-19#,18.53,18.79,17.66,17.66,22013478
#2008-03-20#,17.87,18.56,17.55,18.52,15837539
#2008-03-21#,17.87,18.56,17.55,18.52,15837539
#2008-03-24#,18.93,20.14,18.86,20.03,22189007
#2008-03-25#,20.12,20.7,19.93,20.32,18386285
#2008-03-26#,20.05,20.19,19.45,19.67,18045565
#2008-03-27#,19.37,19.92,19.07,19.39,15033966
#2008-03-28#,19.74,20.19,19.54,19.68,14044703
#2008-03-31#,19.89,20.26,19.54,19.79,14250376
#2008-04-01#,20.38,21.05,20.09,21,16923152
#2008-04-02#,21.06,21.06,20.2,20.36,15414955
#2008-04-03#,20.19,20.22,19.39,19.98,21050770
#2008-04-04#,19.58,19.68,18.73,18.78,38395635
#2008-04-07#,19.24,19.52,19.08,19.23,18250726
#2008-04-08#,19,19.74,19,19.12,15994610
#2008-04-09#,19.34,19.7,19.16,19.5,16884902
#2008-04-10#,19.71,20.51,19.29,19.88,27406684
#2008-04-11#,19.5,19.62,18.41,18.53,27656914
#2008-04-14#,18.46,18.5,17.8,17.91,19501785
#2008-04-15#,18,18.19,17.61,18.12,10997824
#2008-04-16#,18.81,19.08,18.48,18.84,16180523
#2008-04-17#,17.97,18.65,17.9599,18.58,14940423
#2008-04-18#,19.15,19.32,18.76,19.02,14339778
#2008-04-21#,18.87,20,18.87,19.87,16998129
#2008-04-22#,19.51,19.72,19.08,19.5,14694781
#2008-04-23#,19.77,20.66,19.51,20.44,25517572
#2008-04-24#,20.56,20.66,19.65,19.95,16399563
#2008-04-25#,20.14,20.2,19.51,20.15,13806419
#2008-04-28#,20.06,20.36,19.71,19.79,13395402
#2008-04-29#,19.57,20.45,19.57,20.2,14341881
#2008-04-30#,20.435,20.77,20.3,20.55,26707911
#2008-05-01#,20.8,21.55,20.7,21.5,25373361
#2008-05-02#,22.09,22.52,21.755,22.52,28278057
#2008-05-05#,22.37,22.47,21.91,21.96,23587239
#2008-05-06#,21.9,22.58,21.56,22.53,18225841
#2008-05-07#,22.59,22.89,21.82,22.01,17900208
#2008-05-08#,22.18,22.25,21.01,21.95,33999965
#2008-05-09#,22.01,23.43,21.97,22.53,50758761
#2008-05-12#,22.82,22.82,21.67,21.89,25172784
#2008-05-13#,22,22,21.28,21.44,21352620
#2008-05-14#,21.71,22.64,21.44,22.07,18778701
#2008-05-15#,22.02,23.88,21.92,23.78,29136512
#2008-05-16#,24.18,24.46,23.63,24.41,27290690
