"Date","Open","High","Low","Close","Volume"
#2015-01-01#,46.63,46.88,46.16,46.17,1902196
#2015-01-02#,46.36,46.76,45.82,46.24,2003348
#2015-01-05#,46.41,46.94,46.03,46.32,4600462
#2015-01-06#,46.31,46.63,45.75,45.99,3249074
#2015-01-07#,46.43,46.87,46,46.83,2262307
#2015-01-08#,47.12,47.62,46.8751,47.56,1826470
#2015-01-09#,47.24,47.55,46.93,47.14,1942104
#2015-01-12#,47.26,47.44,45.07,47.08,1992546
#2015-01-13#,47.5,48.05,46.74,47.08,2104787
#2015-01-14#,46.73,47.165,46.4,47.14,2452526
#2015-01-15#,47.13,47.4,46.81,47.08,2277145
#2015-01-16#,47.01,47.33,46.86,47.3,2511315
#2015-01-19#,47.01,47.33,46.86,47.3,2511315
#2015-01-20#,47.79,47.7999,47.06,47.54,1577905
#2015-01-21#,47.48,47.61,47.04,47.35,1799529
#2015-01-22#,47.5,48.04,47.02,47.96,1832955
#2015-01-23#,47.97,48.48,47.79,48.375,2061125
#2015-01-26#,48.31,48.4,47.71,48.175,1531784
#2015-01-27#,47.78,47.99,47.26,47.665,1740525
#2015-01-28#,47.95,48.06,46.805,46.875,2472182
#2015-01-29#,46.53,46.64,45.9,46.38,2919127
#2015-01-30#,46.15,46.25,45.2,45.26,3166034
#2015-02-02#,45.44,46.02,44.52,45.96,3180818
#2015-02-03#,46.43,46.91,46.13,46.91,2921179
#2015-02-04#,46.81,47.29,46.8,47.07,2252855
#2015-02-05#,47.17,47.49,46.81,47.49,2387842
#2015-02-06#,47.54,48.05,47.5,47.73,2277482
#2015-02-09#,47.65,47.87,47.26,47.44,1967672
#2015-02-10#,47.49,48,47.38,47.93,1426123
#2015-02-11#,47.92,48.24,47.83,48.155,1088321
#2015-02-12#,48.2,48.43,48.09,48.405,1306838
#2015-02-13#,48.46,48.84,48.2648,48.76,1261101
#2015-02-16#,48.46,48.84,48.2648,48.76,1261101
#2015-02-17#,48.76,48.84,48.19,48.76,2100465
#2015-02-18#,48.83,48.99,48.61,48.96,1341105
