"Date","Open","High","Low","Close","Volume"
#2006-01-02#,14.7619,14.819,14.581,14.7905,289479
#2006-01-03#,14.7952,14.919,14.6952,14.9048,806217
#2006-01-04#,14.9762,15.1667,14.9333,15.1667,653736
#2006-01-05#,15.2048,15.2714,15.1333,15.1857,395680
#2006-01-06#,15.1905,15.2857,15.1381,15.2619,1379610
#2006-01-09#,15.3238,15.4619,15.281,15.3667,406575
#2006-01-10#,15.4095,15.4095,15.2333,15.3952,501822
#2006-01-11#,15.4095,15.4095,15.1714,15.3381,363949
#2006-01-12#,15.4667,15.4714,15.0714,15.119,262053
#2006-01-13#,15.1905,15.2381,15.1386,15.1714,360236
#2006-01-16#,15.1905,15.2381,15.1386,15.1714,360236
#2006-01-17#,15.2381,15.2571,14.9952,15.1619,269478
#2006-01-18#,15.1524,15.3381,15.0333,15.319,267945
#2006-01-19#,15.4714,15.4762,15.0857,15.1048,329587
#2006-01-20#,15.1762,15.1905,14.8048,14.8143,532602
#2006-01-23#,14.7952,14.9238,14.7095,14.8667,711967
#2006-01-24#,14.9286,14.9286,14.5333,14.5952,754335
#2006-01-25#,14.6952,14.6952,14.4571,14.681,1271756
#2006-01-26#,14.7333,14.8571,14.6714,14.8143,749929
#2006-01-27#,14.9095,14.9095,14.719,14.781,476979
#2006-01-30#,14.7952,14.7952,14.4048,14.5286,526405
#2006-01-31#,14.5762,14.6714,14.419,14.6143,579730
#2006-02-01#,14.5762,14.681,14.3571,14.4429,782038
#2006-02-02#,14.4571,14.5381,14.2857,14.5333,552783
#2006-02-03#,14.5476,14.5476,14.2857,14.4143,559490
#2006-02-06#,14.4476,14.4524,14.3333,14.4048,169178
#2006-02-07#,14.3571,14.4762,14.3143,14.4238,300193
#2006-02-08#,14.4524,14.5238,14.3714,14.5143,159426
#2006-02-09#,14.4619,14.5714,14.3714,14.4714,235534
#2006-02-10#,14.5333,14.7762,14.419,14.7714,406894
#2006-02-13#,14.8095,14.8095,14.5238,14.5619,154858
#2006-02-14#,14.6238,14.7571,14.6,14.7048,159808
#2006-02-15#,14.8048,14.9381,14.6905,14.7857,351278
#2006-02-16#,14.8762,15.019,14.8048,14.9381,336500
#2006-02-17#,15,15,14.8,14.8143,178229
#2006-02-20#,15,15,14.8,14.8143,178229
#2006-02-21#,14.9095,14.9143,14.7476,14.781,509170
#2006-02-22#,14.8762,15.0476,14.7767,15,272492
#2006-02-23#,15.0381,15.0381,14.7286,14.8238,263676
#2006-02-24#,14.8857,14.9048,14.6952,14.8238,236972
#2006-02-27#,14.7714,14.9714,14.7619,14.8905,218459
#2006-02-28#,14.9571,14.9571,14.6714,14.7333,272082
#2006-03-01#,14.7,14.7619,14.6333,14.7476,263145
#2006-03-02#,14.8048,14.8048,14.6143,14.6571,470144
#2006-03-03#,14.6762,14.8095,14.6571,14.7381,770078
#2006-03-06#,14.7143,14.8048,14.6524,14.7905,370394
#2006-03-07#,14.7571,14.819,14.7,14.819,299193
#2006-03-08#,14.8524,14.9524,14.7624,14.9524,297121
#2006-03-09#,14.9762,15.0429,14.9333,14.9524,247605
#2006-03-10#,14.9762,15.1048,14.8905,15.1048,298425
#2006-03-13#,15.119,15.3238,15.0905,15.1762,312698
#2006-03-14#,15.1671,15.5143,15.1671,15.4619,837444
#2006-03-15#,15.4429,15.6905,15.4286,15.6857,477845
#2006-03-16#,15.7143,15.881,15.7143,15.8143,615680
#2006-03-17#,15.8905,16.019,15.8286,15.9286,470740
#2006-03-20#,15.981,16,15.8857,15.9286,736014
#2006-03-21#,15.9476,16.0571,15.9,15.9524,777743
#2006-03-22#,15.9524,16.0619,15.8952,16.0048,452792
