"Date","Open","High","Low","Close","Volume"
#2002-01-01#,49.15,49.45,48.69,48.69,2930800
#2002-01-02#,48.5,49.3,47.95,49.15,4791200
#2002-01-03#,49.35,49.37,48.4,48.79,3541300
#2002-01-04#,48.98,48.98,48.02,48.36,4047500
#2002-01-07#,47.97,48.35,47.75,48.08,3680100
#2002-01-08#,48.08,48.35,47.64,47.8,3750600
#2002-01-09#,47.8,48.06,47.51,47.61,5414700
#2002-01-10#,47.85,48.39,47.72,48.15,3647800
#2002-01-11#,48.58,48.61,48.22,48.45,3344900
#2002-01-14#,48.6,48.99,48.17,48.27,4935700
#2002-01-15#,48.6,48.89,48.35,48.62,3898700
#2002-01-16#,48.75,49.1,48.58,48.63,3622900
#2002-01-17#,48.49,48.98,48.3,48.61,2742700
#2002-01-18#,48.5,49.45,48.5,49.11,3969800
#2002-01-21#,48.5,49.45,48.5,49.11,3969800
#2002-01-22#,49.5,49.57,49.12,49.42,3543800
#2002-01-23#,49.75,49.84,49.12,49.41,5411600
#2002-01-24#,49.85,49.86,49.25,49.6,3838100
#2002-01-25#,49.6,49.69,48.76,49.12,3725200
#2002-01-28#,49.12,49.25,48.27,48.63,3544000
#2002-01-29#,48.5,48.86,47.43,47.55,5311800
#2002-01-30#,47.93,48.9,47.85,48.67,6608000
#2002-01-31#,49.15,50.12,48.97,50.09,6022600
#2002-02-01#,49.75,50.12,49.51,50.12,3504300
#2002-02-04#,49.9,50.49,49.61,50.3,3884000
#2002-02-05#,50.3,51.09,49.92,50.81,5660500
#2002-02-06#,48.9,49.55,48.19,49.1,9067600
#2002-02-07#,49,49.34,48.33,48.6,4580100
#2002-02-08#,48.65,48.65,47.6,48.57,4424500
#2002-02-11#,48.67,49.06,48.51,48.92,3248200
#2002-02-12#,48.8,49.15,48.77,49.02,3233000
#2002-02-13#,48.95,49.7,48.88,49.62,2950200
#2002-02-14#,49.75,49.85,49,49.41,3115500
#2002-02-15#,49.4,50.08,49.09,49.88,4853300
#2002-02-18#,49.4,50.08,49.09,49.88,4853300
#2002-02-19#,49.72,49.73,49.15,49.47,4083800
#2002-02-20#,49.3,50,48.4,49.92,4527400
#2002-02-21#,49.65,49.88,49.23,49.48,3799900
#2002-02-22#,49.75,50.6,49.7,50.2,5442400
#2002-02-25#,50.38,50.88,49.96,50.63,5479500
