"Date","Open","High","Low","Close","Volume"
#2018-01-01#,92.24,92.46,91.88,91.88,4346675
#2018-01-02#,91.92,91.93,90.55,90.65,7558858
#2018-01-03#,90.73,91.09,90.515,90.54,5863605
#2018-01-04#,90.83,91.77,90.61,91.18,6322500
#2018-01-05#,91.27,91.3,90.57,91.24,5949697
#2018-01-08#,90.93,91.77,90.93,91.72,4860680
#2018-01-09#,91.47,91.65,91.01,91.05,6630066
#2018-01-10#,90.91,90.91,90.0112,90.47,6564736
#2018-01-11#,90.4,90.52,89.92,90.15,5469665
#2018-01-12#,90.05,90.34,89.35,89.61,8111047
#2018-01-15#,90.05,90.34,89.35,89.61,8111047
#2018-01-16#,90.14,90.77,89.6399,90.22,9465330
#2018-01-17#,90.56,91.73,90.43,91.2,8345528
#2018-01-18#,90.24,90.65,89.67,90.18,7699760
#2018-01-19#,90.28,91.26,90.24,91.07,9364027
#2018-01-22#,90.88,91.92,90.77,91.89,8657987
#2018-01-23#,89.82,90.21,88.6,89.05,18756274
#2018-01-24#,89.06,89.16,87.7,88.31,15141949
#2018-01-25#,88.68,89.05,88.0114,88.34,11264371
#2018-01-26#,88.17,88.17,87.23,87.73,11503083
#2018-01-29#,87.69,87.74,86.69,86.86,11685762
#2018-01-30#,86.82,87.44,86.63,86.95,9662856
#2018-01-31#,86.81,87.41,86.075,86.34,11798093
#2018-02-01#,86.15,86.5,85.56,85.85,8606301
#2018-02-02#,85.56,85.61,84.21,84.25,12846332
#2018-02-05#,83.99,84.37,80.1,81.06,17462165
#2018-02-06#,80.53,82.45,80.12,82.38,19955546
#2018-02-07#,82.3,83.39,81.82,81.84,11851841
#2018-02-08#,82.03,82.22,80.15,80.22,14596066
#2018-02-09#,80.98,81.03,78.59,79.92,18838829
#2018-02-12#,80.61,81.665,80.58,81.33,10769039
#2018-02-13#,81.15,81.83,80.91,81.5,9278654
#2018-02-14#,81.06,81.26,80.27,80.68,9412000
#2018-02-15#,80.97,82.41,80.5,82.41,8910695
#2018-02-16#,82.21,83.25,82.13,82.6,10371710
#2018-02-19#,82.21,83.25,82.13,82.6,10371710
#2018-02-20#,82.19,82.22,81.07,81.34,7087719
#2018-02-21#,81.31,81.81,80.19,80.24,9134548
#2018-02-22#,80.47,81.28,80.17,80.84,10277690
#2018-02-23#,81.01,81.12,80.48,81.05,10321844
#2018-02-26#,81.45,81.69,81.05,81.63,9422196
#2018-02-27#,81.89,82,80.51,80.54,8919599
#2018-02-28#,80.68,80.79,78.5,78.52,16861972
#2018-03-01#,78.4,79.28,77.9,78.7,13504231
#2018-03-02#,78.48,79.655,78.42,79.5,9317663
#2018-03-05#,79.28,80.3939,79.15,80.29,8177044
#2018-03-06#,80.41,80.42,79.37,80.02,9085315
#2018-03-07#,79.53,79.64,78.9,79.16,9089498
#2018-03-08#,79.17,79.99,79.02,79.97,7951693
#2018-03-09#,80.18,80.745,79.9,80.29,7662230
#2018-03-12#,80.23,80.62,79.76,79.86,7182018
#2018-03-13#,80,80.19,79.36,79.72,9620196
#2018-03-14#,79.69,79.84,78.8647,79,8898116
#2018-03-15#,79.09,79.14,78.54,78.67,6996927
#2018-03-16#,78.93,79.39,78.84,78.97,17715447
#2018-03-19#,78.97,79.57,78.27,78.66,8368229
#2018-03-20#,78.74,79.1,77.96,78.31,8465499
#2018-03-21#,78.05,78.24,76.88,77.04,9822849
#2018-03-22#,76.83,77.52,76.37,76.41,10481577
#2018-03-23#,76.79,77.18,75.805,75.91,11728334
#2018-03-26#,76.57,76.87,76.02,76.41,12936967
#2018-03-27#,76.53,78.44,76.3,77.79,11288202
#2018-03-28#,77.95,79.14,77.95,78.84,12857821
#2018-03-29#,79.43,80.49,79.1799,79.28,10036424
#2018-03-30#,79.43,80.49,79.1799,79.28,10036424
#2018-04-02#,79.26,79.37,77.06,77.4,12017213
#2018-04-03#,77.56,78.8,77.175,78.46,11933110
#2018-04-04#,77.82,79.5155,77.59,79.05,9030792
#2018-04-05#,79.09,79.3218,78.51,78.8,7864699
#2018-04-06#,78.37,79.3561,77.9,78.43,8300813
#2018-04-09#,78.8,78.85,77.57,78.16,9031222
#2018-04-10#,78.71,78.84,77.94,78.37,7821824
#2018-04-11#,78.19,78.69,78.04,78.27,7143494
#2018-04-12#,78.64,78.7,77.79,77.79,8282297
#2018-04-13#,78.06,78.435,77.725,78.37,6198488
#2018-04-16#,78.56,78.86,78.04,78.61,5962236
#2018-04-17#,78.93,78.94,78.095,78.43,6492357
#2018-04-18#,78.58,78.68,78.02,78.2,7349372
#2018-04-19#,75.39,75.72,74.2,74.95,16955623
#2018-04-20#,74.04,74.92,73.74,73.8,14084970
#2018-04-23#,73.59,73.98,72.76,73,13653408
#2018-04-24#,73.06,73.33,72.15,72.5,16551693
#2018-04-25#,72.41,72.75,71.95,72.3,14208831
#2018-04-26#,72.57,73.01,72.37,72.75,11204277
#2018-04-27#,72.53,73.08,72.21,72.81,8144825
#2018-04-30#,72.91,72.915,72.16,72.34,13076486
#2018-05-01#,72.05,72.335,71.66,71.96,8103800
#2018-05-02#,71.94,72.01,70.73,70.94,10830924
#2018-05-03#,70.81,71.72,70.74,71.36,9386498
#2018-05-04#,71.38,72.62,71.34,72.43,8107363
#2018-05-07#,72.67,73.22,71.89,71.98,6633579
#2018-05-08#,72.05,72.12,71.111,71.44,8084124
#2018-05-09#,71.77,72.545,71.74,72.37,7528359
#2018-05-10#,72.94,73.34,72.69,73.15,7618479
#2018-05-11#,73.63,74.1,73.05,73.37,7586194
#2018-05-14#,73.78,73.78,73.09,73.28,8646856
#2018-05-15#,73.31,73.41,72.6,72.95,11502785
#2018-05-16#,72.98,73.93,72.96,73.53,8324991
#2018-05-17#,73.52,74,73.4,73.96,8053611
#2018-05-18#,73.98,74.07,73.11,73.45,7042725
#2018-05-21#,73.75,74.25,73.42,74.06,6428395
#2018-05-22#,74.46,74.94,73.83,74.03,7744169
#2018-05-23#,74.02,74.3,73.725,74.18,6592494
#2018-05-24#,74.08,74.35,73.5929,73.77,6508915
#2018-05-25#,73.9,74.62,73.75,74.31,7546467
#2018-05-28#,73.9,74.62,73.75,74.31,7546467
#2018-05-29#,74.06,74.7,73.77,74.05,8905564
#2018-05-30#,74.33,75.015,74.05,74.89,8128645
#2018-05-31#,74.67,74.69,72.8,73.17,15525987
#2018-06-01#,73.33,73.735,72.86,73.45,7209292
#2018-06-04#,73.54,74.62,73.45,74.18,8743773
#2018-06-05#,74.28,74.3752,73.6,73.97,6910144
#2018-06-06#,74.07,74.42,73.72,74.35,7002928
#2018-06-07#,74.18,76.3939,74.1,75.76,13476090
#2018-06-08#,75.85,77.21,75.74,77.18,13625346
#2018-06-11#,76.97,77.69,76.88,77.53,9049393
#2018-06-12#,77.82,77.89,77.11,77.24,8786022
#2018-06-13#,77.4,77.4,76.2,76.47,8022397
#2018-06-14#,76.56,76.56,75.7,75.99,8895230
#2018-06-15#,76.16,77.51,75.92,77.38,14943509
#2018-06-18#,76.86,77.1,75.39,75.84,7384924
#2018-06-19#,75.59,76.68,75.57,76.33,8514036
#2018-06-20#,76.35,76.35,75.54,75.85,6603460
#2018-06-21#,75.53,77.05,75.53,76.44,8691201
#2018-06-22#,76.79,77.625,76.77,77.43,11815468
#2018-06-25#,77.28,77.94,77.18,77.79,11300455
#2018-06-26#,77.79,78.31,77.36,78,9558489
#2018-06-27#,78.11,78.705,77.56,77.69,7873268
#2018-06-28#,77.86,78.315,77.66,78.05,5714437
#2018-06-29#,77.93,78.54,77.29,78.06,7679879
#2018-07-02#,77.5,78.31,77.421,78.13,6092868
#2018-07-03#,78.54,78.76,77.78,77.9,5897243
#2018-07-04#,78.54,78.76,77.78,77.9,5897243
#2018-07-05#,78.14,79.25,78.12,79.21,7956147
#2018-07-06#,79.38,79.62,78.9,79.31,7244015
#2018-07-09#,78.46,78.83,77.78,77.86,9095947
#2018-07-10#,78.07,79.94,77.99,79.82,12773488
#2018-07-11#,79.63,79.84,79.0301,79.16,7851585
#2018-07-12#,79.34,79.52,78.565,78.89,8556814
#2018-07-13#,79.08,79.47,78.9,79.31,6021695
#2018-07-16#,79.21,79.63,78.83,79.53,6931330
#2018-07-17#,79.66,80.5,79.55,80.03,8983374
#2018-07-18#,79.72,80.21,79.33,79.72,9105138
#2018-07-19#,78.42,79.19,77.89,78.73,8010597
#2018-07-20#,78.32,79.055,78.32,78.68,8237389
#2018-07-23#,78.49,78.94,78.24,78.51,5881617
#2018-07-24#,77.54,79.01,77.54,78.99,8297092
#2018-07-25#,78.72,79.6,78.72,79.47,6200335
#2018-07-26#,79.56,80.77,79.47,80.09,9771096
#2018-07-27#,79.67,80.8253,79.46,80.58,7493298
#2018-07-30#,80.07,80.5,79.84,80.2,7090749
#2018-07-31#,80.39,80.98,79.43,80.88,9878263
#2018-08-01#,80.42,80.82,80.11,80.65,7556733
#2018-08-02#,80.8,82.22,80.59,82,9261768
#2018-08-03#,82.14,83.1,81.92,82.33,7102815
#2018-08-06#,82.2,82.925,82.15,82.52,5669223
#2018-08-07#,82.41,82.68,81.73,82.64,6418086
#2018-08-08#,82.1,82.799,82.1,82.35,4891755
#2018-08-09#,82.44,82.44,81.3,81.4,5167776
#2018-08-10#,81.3,81.76,81,81.43,5566313
#2018-08-13#,81.7,82.08,81.15,81.52,5068285
#2018-08-14#,81.39,81.72,81.23,81.31,6226899
#2018-08-15#,81.3,82.365,80.81,82.3,8753541
#2018-08-16#,82.46,84,82.31,83.69,12367981
#2018-08-17#,83.73,84.2,83.6,83.69,8409296
#2018-08-20#,83.89,83.95,83.31,83.64,6795814
#2018-08-21#,83.57,84,83.09,83.9,8534868
#2018-08-22#,83.81,83.85,83.06,83.39,5132624
#2018-08-23#,83.01,83.6,82.84,83.24,4323170
#2018-08-24#,83.22,83.55,83.03,83.36,5356099
#2018-08-27#,83.5,83.82,83.02,83.44,3941454
#2018-08-28#,83.72,83.86,83.32,83.48,5405213
#2018-08-29#,83.51,83.76,83.29,83.49,4520432
#2018-08-30#,83.39,83.74,83.19,83.41,4549679
#2018-08-31#,83.35,83.53,82.39,82.95,6674891
#2018-09-03#,83.35,83.53,82.39,82.95,6674891
#2018-09-04#,82.48,82.96,82.07,82.7,5800690
#2018-09-05#,82.11,83.47,82.11,83.29,7651916
#2018-09-06#,82.91,83.305,82.49,82.65,7541144
#2018-09-07#,82.1,82.2,81.25,81.91,11110895
#2018-09-10#,82.58,83.1,82.34,82.38,6782972
#2018-09-11#,82.13,82.42,81.63,82.01,5210280
#2018-09-12#,81.9,83.18,81.7,83.11,5925185
#2018-09-13#,83.27,83.49,82.65,83.45,5328364
#2018-09-14#,83.47,83.665,82.97,83.61,5004089
#2018-09-17#,83.5,84.274,83.34,84.25,7098812
#2018-09-18#,84.29,84.29,83.575,84,6023217
#2018-09-19#,83.92,84.29,83.77,84,6157573
#2018-09-20#,84.29,85.635,84.23,85.36,10053006
#2018-09-21#,85.81,86.28,85.52,85.82,17402589
#2018-09-24#,85.63,85.71,84.23,84.27,6389359
#2018-09-25#,84.28,84.41,83.08,83.12,5657185
#2018-09-26#,83.25,83.99,83.03,83.26,6580987
#2018-09-27#,83.04,83.63,82.81,82.86,6277581
#2018-09-28#,83.03,83.29,82.79,83.23,5125835
#2018-10-01#,83.31,83.72,83.17,83.67,4899910
#2018-10-02#,83.48,84.435,83.37,84.36,7390851
#2018-10-03#,84.44,84.52,82.85,83.03,7958704
#2018-10-04#,82.5,82.5,81.1,81.92,7029859
#2018-10-05#,81.98,82.45,81.98,82.15,5454643
#2018-10-08#,81.98,82.74,81.75,82.4,7192260
#2018-10-09#,82.39,82.72,82.06,82.2,6268054
#2018-10-10#,81.81,82.68,81.44,81.44,9295840
#2018-10-11#,81.64,81.97,78.669,78.87,12560300
#2018-10-12#,79.37,79.375,78.49,79.06,9879145
#2018-10-15#,79.01,80.54,78.92,80.13,9691455
#2018-10-16#,79.91,81.09,79.9,81.01,9463022
#2018-10-17#,80.76,82.1764,80.38,81.86,10375259
#2018-10-18#,80.71,81.34,80,80.24,9869509
#2018-10-19#,84.86,87.76,84.86,87.3,30276433
#2018-10-22#,86.73,87.24,85.23,86.6,14124062
#2018-10-23#,86.01,87.3,86.01,87.16,16269531
#2018-10-24#,87.28,90.7,87.22,89.46,26703538
#2018-10-25#,88.11,89.33,87.305,89,14647039
#2018-10-26#,88.69,89.17,87.385,87.86,14335945
#2018-10-29#,88.29,89.42,87.44,88.24,12878930
#2018-10-30#,88.85,89.4323,88.205,89.19,13844080
#2018-10-31#,88.77,89.32,87.27,88.68,13362355
#2018-11-01#,88.81,89.83,88.18,89.59,9732424
#2018-11-02#,89.88,89.95,88.9802,89.81,11336013
#2018-11-05#,89.89,91.44,89.815,91.2,12270358
#2018-11-06#,90.86,91.53,90.43,91.51,8857775
#2018-11-07#,91.59,91.62,90.62,91.29,9019790
#2018-11-08#,90.95,91.525,90.67,91.36,6614767
#2018-11-09#,91.35,92.665,91.17,92.41,10713622
#2018-11-12#,92.21,93.45,91.75,92.7,12522113
#2018-11-13#,91.97,93.57,91.5869,93.47,13438750
#2018-11-14#,93.42,93.9,92.985,93.49,11622993
#2018-11-15#,93.33,93.9,92.72,93.83,12505987
#2018-11-16#,93.82,94.81,93.665,93.82,13013482
#2018-11-19#,93.72,94.185,92.91,93.29,9458329
#2018-11-20#,93.24,93.79,91.86,92.1,12074435
#2018-11-21#,91.66,92.365,91.24,91.41,8912177
#2018-11-22#,91.66,92.365,91.24,91.41,8912177
#2018-11-23#,91.25,91.99,90.63,91.54,4399630
#2018-11-26#,91.15,92.4,91.15,91.94,8171444
#2018-11-27#,91.93,92.86,91.85,92.72,9023638
#2018-11-28#,92.63,93.22,92.21,93.01,8093706
#2018-11-29#,92.86,93.3,92.66,92.82,6126911
#2018-11-30#,93.18,94.65,92.75,94.51,16291817
#2018-12-03#,94.67,94.67,92.26,93.32,13931722
#2018-12-04#,93.49,94.86,93.17,93.31,11123554
#2018-12-05#,93.49,94.86,93.17,93.31,11123554
#2018-12-06#,92.7,93.63,91.08,93.55,14199248
#2018-12-07#,93.585,93.78,92.14,92.45,7996809
#2018-12-10#,93.25,93.4,91.3664,93.03,9307667
#2018-12-11#,93.72,94.52,93.4,93.91,8743799
#2018-12-12#,94.21,94.55,93.1,94.03,9644033
#2018-12-13#,94.87,96.79,94.8,96.49,18541297
#2018-12-14#,96.45,96.895,96.02,96.64,12657340
#2018-12-17#,96,96.5,92.403,92.77,12427573
#2018-12-18#,93.13,93.31,91.86,92.49,12250559
#2018-12-19#,92.55,93.35,91.29,91.76,10825589
#2018-12-20#,91.51,92.225,90.13,90.98,14439240
#2018-12-21#,90.61,93.17,90.36,90.97,24029977
#2018-12-24#,90.45,90.66,86.88,87.36,7396254
#2018-12-25#,90.45,90.66,86.88,87.36,7396254
#2018-12-26#,87.42,90.09,86.74,90.09,8630949
#2018-12-27#,89.61,92.05,88.2,92.02,11360085
#2018-12-28#,92.56,93.28,90.84,91.18,9611761
#2018-12-31#,91.63,92.18,91.15,91.92,7239670
#2019-01-01#,91.63,92.18,91.15,91.92,7239670
