"Date","Open","High","Low","Close","Volume"
#2010-01-01#,48.59,48.88,48.12,48.19,4383062
#2010-01-04#,48.33,49.59,48.25,49.35,7844437
#2010-01-05#,49.37,49.57,48.76,48.92,7168586
#2010-01-06#,48.66,49,48.29,48.92,11777288
#2010-01-07#,48.77,49.6,48.56,49.53,8905428
#2010-01-08#,49.32,49.52,48.78,49.26,6582752
#2010-01-11#,49.78,49.8,49.25,49.44,6092951
#2010-01-12#,49.37,49.37,48.85,49.17,6752917
#2010-01-13#,49.17,49.89,49.17,49.67,5926340
#2010-01-14#,49.48,49.98,49.48,49.6,4602181
#2010-01-15#,49.66,49.97,49.46,49.62,8269156
#2010-01-18#,49.66,49.97,49.46,49.62,8269156
#2010-01-19#,49.6,50.2,49.51,50.09,8804264
#2010-01-20#,49.9,49.91,48.7,49.24,6461374
#2010-01-21#,49.22,49.31,47.59,47.73,10276042
#2010-01-22#,47.6,47.77,46.71,46.81,8718131
#2010-01-25#,47.09,47.63,47.02,47.05,5880884
#2010-01-26#,46.69,47.4,46.69,47,5858188
#2010-01-27#,46.85,47.1,46.22,46.64,5177670
#2010-01-28#,46.66,47.1,46.02,46.21,5594485
#2010-01-29#,46.53,47.09,45.43,45.51,7064199
#2010-02-01#,45.74,46.23,45.63,46.11,8066172
#2010-02-02#,46.21,47.72,46.07,47.6,8715595
#2010-02-03#,47.33,47.44,46.81,46.97,5001753
#2010-02-04#,46.6,46.81,45.9,45.94,6733746
#2010-02-05#,46.22,46.22,45.01,45.66,8451123
#2010-02-08#,45.31,46.28,45.31,45.53,5242420
#2010-02-09#,45.93,47,45.7,46.85,8742339
#2010-02-10#,46.81,47.09,46.39,46.81,6480696
#2010-02-11#,46.65,48.93,46.05,48.67,16677988
#2010-02-12#,48.35,49.93,48.2,49.29,13040658
#2010-02-15#,48.35,49.93,48.2,49.29,13040658
#2010-02-16#,49.6,49.92,49.06,49.42,11304018
#2010-02-17#,49.51,49.89,49.35,49.83,7402394
#2010-02-18#,49.59,50.35,49.59,50.28,7533338
#2010-02-19#,50.2,50.41,49.8,49.98,8931815
#2010-02-22#,50,50.07,49.68,49.75,8233468
#2010-02-23#,49.75,50,49.18,49.3,10514605
#2010-02-24#,49.32,49.9699,48.97,49.83,8305855
#2010-02-25#,49.43,49.88,49,49.61,9595970
#2010-02-26#,49.62,49.63,48.95,48.98,8502733
#2010-03-01#,49.05,49.25,48.79,48.93,8198242
#2010-03-02#,49.39,50.09,49.11,49.81,7126678
#2010-03-03#,49.82,50.165,49.72,49.98,7166714
#2010-03-04#,50.16,50.8,50.06,50.66,7350142
#2010-03-05#,50.75,51.38,50.52,51.25,7140400
#2010-03-08#,51.13,51.28,50.685,50.79,6970660
#2010-03-09#,50.61,50.78,50.2,50.38,6203706
#2010-03-10#,50.25,50.41,49.85,50.3,5967252
#2010-03-11#,50.29,50.51,49.68,50.24,8066782
#2010-03-12#,50.25,50.5,49.95,50.14,6118126
#2010-03-15#,50.05,51.12,49.81,50.92,9130957
#2010-03-16#,50.98,51.43,50.82,51.24,5970132
#2010-03-17#,51.45,51.92,51.27,51.83,6784255
#2010-03-18#,51.94,51.99,51.65,51.82,6092435
#2010-03-19#,51.92,52.85,51.83,52.68,15243702
#2010-03-22#,52.39,53.07,52.23,52.89,6994484
#2010-03-23#,52.2,52.441,51.69,52.44,7052764
#2010-03-24#,52.43,52.7,51.84,51.89,8034106
#2010-03-25#,52.12,52.53,51.66,51.72,6076133
#2010-03-26#,51.78,52.45,51.68,52.12,5112341
#2010-03-29#,52.27,52.74,52.25,52.53,7271519
#2010-03-30#,52.62,52.92,52.16,52.49,4820592
#2010-03-31#,52.5,52.5,51.95,52.16,6486065
#2010-04-01#,52.24,52.68,52.16,52.47,5846752
#2010-04-02#,52.24,52.68,52.16,52.47,5846752
#2010-04-05#,52.6,52.99,52.36,52.85,4391186
#2010-04-06#,52.64,52.95,52.55,52.65,4451188
#2010-04-07#,52.57,52.8,52.29,52.52,5572549
#2010-04-08#,52.29,52.715,52.21,52.37,4755669
#2010-04-09#,52.76,52.81,52.03,52.75,4844398
#2010-04-12#,52.86,53.2,52.74,52.95,5055552
#2010-04-13#,52.78,52.82,52.08,52.46,4531800
#2010-04-14#,52.09,52.09,50.8,51.3,12743147
#2010-04-15#,50.65,51.62,50.65,51.59,6596790
#2010-04-16#,51.45,51.68,50.56,50.74,8823904
#2010-04-19#,50.55,51.44,50.55,51.35,5769716
#2010-04-20#,51.48,53.91,51.16,51.92,6891111
#2010-04-21#,51.97,52.87,51.8,51.99,6611614
#2010-04-22#,50.38,51.32,50.08,51.24,10098849
#2010-04-23#,51.18,51.23,50.6,51.14,6457697
#2010-04-26#,51.04,51.14,50.06,50.13,7802604
#2010-04-27#,50.01,50.07,48.22,48.44,12137373
#2010-04-28#,48.67,49.34,48.53,49.09,9074759
#2010-04-29#,49.45,50.3,49.33,49.58,7825571
#2010-04-30#,49.47,49.81,49.02,49.08,6884731
#2010-05-03#,49.32,49.68,49.15,49.42,6482639
#2010-05-04#,49.01,49.75,48.86,49,9986232
#2010-05-05#,48.89,49.55,48.5,48.71,7506521
#2010-05-06#,48.5,48.91,44,47,16460789
#2010-05-07#,46.14,47,45.92,46.42,14566105
#2010-05-10#,47.91,49.04,47.7,48.35,9709634
#2010-05-11#,47.74,48.6312,47.74,48.35,8926286
#2010-05-12#,47.93,48.31,47.52,47.99,8494787
#2010-05-13#,47.86,48.19,47.31,47.36,6602695
#2010-05-14#,47.27,47.47,46.29,46.56,10548866
#2010-05-17#,46.6,46.83,45.89,46.25,9077154
#2010-05-18#,46.44,46.76,45.37,45.56,10437737
#2010-05-19#,45.37,46.52,45.1,46.26,11069775
#2010-05-20#,45.47,45.92,44.49,44.55,13073235
#2010-05-21#,43.9,44.71,43.38,44.26,16036361
#2010-05-24#,44.04,44.72,43.57,44.3,12672932
#2010-05-25#,43.6,43.92,42.97,43.72,15890969
#2010-05-26#,43.85,44.56,43.55,43.7,14571144
#2010-05-27#,44.23,44.798,44.09,44.7,11526795
#2010-05-28#,44.76,44.8,44.02,44.12,14109018
#2010-05-31#,44.76,44.8,44.02,44.12,14109018
#2010-06-01#,43.77,44.59,43.51,43.97,9173451
#2010-06-02#,44.04,45.06,44.04,45.05,9575171
#2010-06-03#,45.06,45.36,44.69,45.02,6413410
#2010-06-04#,44.57,44.75,43.51,43.74,11855238
#2010-06-07#,43.72,44.25,43.07,43.17,10535989
#2010-06-08#,43.13,43.77,42.94,43.73,11988086
#2010-06-09#,43.98,45.14,43.78,44.15,11085634
#2010-06-10#,44.59,45.58,44.59,45.11,9979295
#2010-06-11#,44.84,44.94,43.09,44.35,15483901
#2010-06-14#,44.61,45.95,44.61,45.57,11379107
#2010-06-15#,46.22,46.22,45.47,45.56,9119768
#2010-06-16#,45.39,45.78,45.13,45.55,6227687
#2010-06-17#,45.78,45.96,45.34,45.6,7425796
#2010-06-18#,45.67,46.28,45.6,45.91,13155325
#2010-06-21#,46.28,46.64,45.93,46.29,10605109
#2010-06-22#,45.81,46.005,44.95,44.99,8248510
#2010-06-23#,45.96,47.08,45.9,46.49,15496228
#2010-06-24#,46.28,46.72,46.04,46.43,13230093
#2010-06-25#,46.56,47,45.9,45.9,17658200
#2010-06-28#,46,46.68,45.9,46.29,9271314
#2010-06-29#,45.9,46.8,45.54,45.72,11364025
#2010-06-30#,46.15,46.36,45.75,45.84,10800447
#2010-07-01#,45.77,46.68,45.55,46.55,12567365
#2010-07-02#,46.63,46.88,46.23,46.45,6941736
#2010-07-05#,46.63,46.88,46.23,46.45,6941736
#2010-07-06#,46.75,47.19,46.34,46.77,9050121
#2010-07-07#,46.59,47.56,46.39,47.54,11016409
#2010-07-08#,47.945,48.68,47.665,48.54,8888124
#2010-07-09#,48.8,48.9,48.215,48.59,5783581
#2010-07-12#,48.57,48.99,48.26,48.84,5135907
#2010-07-13#,49.12,49.45,49,49.3,5681194
#2010-07-14#,49.18,49.73,48.96,49.52,5538942
#2010-07-15#,49.62,50.3,49.33,50.1,8227414
#2010-07-16#,49.99,50.89,49.51,49.67,8352486
#2010-07-19#,49.51,50.1,49.43,49.96,5500865
#2010-07-20#,49.66,50.75,49.63,50.63,6860188
#2010-07-21#,50.78,50.86,49.2,49.89,8481463
#2010-07-22#,50.38,51.09,49.9,50.84,8090487
#2010-07-23#,50.82,50.97,50.272,50.66,7965457
#2010-07-26#,50.57,51.23,50.57,51.19,5318468
#2010-07-27#,51.26,51.38,50.945,51.34,7215039
#2010-07-28#,51.36,51.45,50.9,51.04,5187202
#2010-07-29#,51.16,51.55,50.78,51.18,7213489
#2010-07-30#,50.8,51.3,50.6,51.04,7115804
#2010-08-02#,51.47,52,51.25,51.96,6943904
#2010-08-03#,51.81,52.5,51.81,52.15,6831014
#2010-08-04#,52.13,52.5,51.96,52.24,4902923
#2010-08-05#,52.08,52.09,51.7,51.82,6634591
#2010-08-06#,51.53,52.21,51.23,52.19,6231839
#2010-08-09#,52.1,52.62,52,52.54,6837590
