"Date","Open","High","Low","Close","Volume"
#2006-01-02#,41.52,41.6,41.05,41.35,638000
#2006-01-03#,41.6,42.46,41.34,42.45,879400
#2006-01-04#,42.39,42.59,42.08,42.57,609500
#2006-01-05#,42.45,42.57,42.04,42.36,773000
#2006-01-06#,42.52,42.82,42.32,42.82,515700
#2006-01-09#,42.92,42.93,42.27,42.37,948100
#2006-01-10#,42.22,42.45,42.09,42.35,530200
#2006-01-11#,42.39,42.4,41.8,42.02,456800
#2006-01-12#,42.23,42.33,41.74,41.74,507500
#2006-01-13#,41.62,41.86,41.54,41.72,502500
#2006-01-16#,41.62,41.86,41.54,41.72,502500
#2006-01-17#,41.73,42.31,41.6601,42.24,496200
#2006-01-18#,42.21,42.6,42.16,42.55,503500
#2006-01-19#,42.58,43.44,42.51,43.41,905600
#2006-01-20#,43.51,43.92,42.97,43.02,741800
#2006-01-23#,43.03,43.48,43.02,43.43,372400
#2006-01-24#,43.46,43.92,43.45,43.83,691500
#2006-01-25#,44.05,44.14,43.51,43.88,665800
#2006-01-26#,44.05,44.14,43.5,43.6,841900
#2006-01-27#,43.79,43.89,43.31,43.5,675600
#2006-01-30#,43.15,43.15,42.51,42.52,700900
#2006-01-31#,42.52,42.65,42.25,42.61,694000
#2006-02-01#,42.61,42.65,42.24,42.33,714100
#2006-02-02#,42.09,42.21,41.53,41.64,772700
#2006-02-03#,41.5,41.659,41.2,41.25,436500
#2006-02-06#,41.25,41.4,41.03,41.15,573500
#2006-02-07#,41,41.69,40.95,41.54,628800
#2006-02-08#,41.5,41.55,41.28,41.51,469000
#2006-02-09#,41.58,41.96,41.51,41.71,1430300
#2006-02-10#,41.71,42.04,41.49,41.75,742300
#2006-02-13#,41.75,41.8599,41.61,41.71,322300
#2006-02-14#,41.8,41.8,41.19,41.29,526500
#2006-02-15#,41.19,41.55,40.99,41.17,698100
#2006-02-16#,41.17,41.34,41.1,41.23,467300
#2006-02-17#,41.05,41.8,41.05,41.71,727400
#2006-02-20#,41.05,41.8,41.05,41.71,727400
#2006-02-21#,41.94,41.98,41.5,41.5,468800
#2006-02-22#,41.58,41.81,41.42,41.8,676500
#2006-02-23#,41.65,41.83,41.49,41.55,790400
#2006-02-24#,41.63,41.64,41.09,41.19,1507900
#2006-02-27#,41.3,41.56,41.24,41.29,551400
#2006-02-28#,41.08,41.22,40.89,41.05,701900
#2006-03-01#,41,41.01,40.66,40.74,813600
#2006-03-02#,40.69,40.73,40.06,40.17,943900
#2006-03-03#,40.05,40.31,39.62,39.97,975100
#2006-03-06#,39.91,39.91,38.98,39.16,759600
#2006-03-07#,38.91,39.14,38.76,38.99,651200
#2006-03-08#,39.02,39.91,38.83,39.7,1011000
#2006-03-09#,39.71,39.81,39.37,39.48,516000
#2006-03-10#,39.46,39.81,39.36,39.64,383500
#2006-03-13#,39.55,39.79,39.29,39.45,472900
#2006-03-14#,39.35,39.68,39.05,39.67,714000
#2006-03-15#,39.64,39.81,39.37,39.76,519600
#2006-03-16#,39.83,40.26,39.8,40.24,480800
#2006-03-17#,40.49,40.49,40,40.1,629200
#2006-03-20#,40.2,40.41,39.52,39.81,582000
#2006-03-21#,39.81,39.86,39.59,39.85,673400
#2006-03-22#,40,40.2,39.81,40.08,588100
#2006-03-23#,40.04,40.1,39.75,39.96,551300
#2006-03-24#,39.97,40.07,39.77,39.9,643200
#2006-03-27#,40.29,40.3,39.84,39.91,1036900
#2006-03-28#,39.98,40.09,39.53,39.77,701900
#2006-03-29#,39.95,40.21,39.76,39.97,609200
#2006-03-30#,39.98,39.98,39.28,39.33,1102000
#2006-03-31#,39.37,39.55,39.02,39.1,1186400
#2006-04-03#,39.15,39.34,38.98,39.07,1066100
#2006-04-04#,39.23,40.04,39.07,39.95,1195900
#2006-04-05#,40.04,40.63,39.85,40.61,669600
#2006-04-06#,40.68,40.69,39.85,39.95,610400
#2006-04-07#,40,40.42,39.39,39.64,477900
