"Date","Open","High","Low","Close","Volume"
#2014-01-01#,27.7917,28.0052,27.7029,27.9216,2458751
#2014-01-02#,27.9588,27.9588,27.5041,27.5133,4663954
#2014-01-03#,27.8567,27.8938,27.2814,27.4855,4209477
#2014-01-06#,27.6525,27.7221,27.5041,27.6061,4406021
#2014-01-07#,27.634,27.7824,27.5133,27.7639,4239220
#2014-01-08#,27.6618,27.6943,27.3881,27.5133,4464146
#2014-01-09#,27.5597,27.6201,27.4484,27.5597,5216716
#2014-01-10#,27.7453,28.1536,27.736,28.1072,4978715
#2014-01-13#,27.9773,28.1258,27.8196,27.968,3993333
#2014-01-14#,27.968,28.0701,27.8381,27.8752,3381642
#2014-01-15#,27.8474,27.9031,27.5412,27.5505,6258532
#2014-01-16#,27.5969,27.7546,27.5319,27.7082,3883115
#2014-01-17#,27.7824,27.8196,27.4577,27.4577,4622554
#2014-01-20#,27.7824,27.8196,27.4577,27.4577,4622554
#2014-01-21#,27.736,27.7453,27.4113,27.7175,3750207
#2014-01-22#,27.7546,28.0237,27.6866,27.9773,4290506
#2014-01-23#,27.9495,28.033,27.7268,27.9866,3415170
#2014-01-24#,27.8845,28.1805,27.7036,27.7175,3600159
#2014-01-27#,27.7268,27.7732,27.569,27.6061,3256280
#2014-01-28#,27.6525,27.9263,27.5783,27.8938,4429043
#2014-01-29#,27.8845,28.0794,27.7175,27.9031,5098198
#2014-01-30#,27.9588,28.264,27.8381,28.2,3758631
#2014-01-31#,27.968,28.4181,27.9031,28.367,5802949
#2014-02-03#,28.6733,28.6918,28.2186,28.2928,5781499
#2014-02-04#,28.3763,28.3949,27.9309,28.1165,4714863
#2014-02-05#,28.0515,28.0979,27.8752,27.9402,3206449
#2014-02-06#,28.1165,28.3114,27.968,28.1072,6233995
#2014-02-07#,28.1536,28.2279,27.9866,28.1536,5096609
#2014-02-10#,28.1351,28.5341,27.9866,28.5248,4019454
#2014-02-11#,28.4877,28.9238,28.4877,28.8403,4112251
#2014-02-12#,28.7475,28.9053,28.6269,28.8496,2565911
#2014-02-13#,28.7475,29.1558,28.7382,29.1094,3033469
#2014-02-14#,29.0352,29.2486,29.0073,29.2486,2922310
#2014-02-17#,29.0352,29.2486,29.0073,29.2486,2922310
#2014-02-18#,29.3878,29.5919,29.3135,29.4899,3055769
#2014-02-19#,29.4342,29.5919,29.2486,29.3321,2783798
#2014-02-20#,29.3599,29.6198,29.3414,29.4991,3602678
#2014-02-21#,29.5734,29.745,29.4806,29.5084,3096073
#2014-02-24#,29.6105,29.8239,29.5084,29.5177,3769520
#2014-02-25#,29.5455,29.8517,29.4806,29.6105,3684539
