"Date","Open","High","Low","Close","Volume"
#2011-01-03#,59.43,60.87,59.21,60.69,3339210
#2011-01-04#,60.62,61.22,60.5,61.02,3544408
#2011-01-05#,60.88,61.45,60.75,60.99,3903862
#2011-01-06#,61.18,61.54,60.73,61.42,3487962
#2011-01-07#,61.4,61.61,59.93,60.2,3640616
#2011-01-10#,59.73,60.36,58.87,59.87,2968675
#2011-01-11#,60.08,60.74,59.88,60.42,2342174
#2011-01-12#,60.58,61.58,60.37,61.57,3725558
#2011-01-13#,61.51,61.97,60.42,60.98,3883667
#2011-01-14#,60.83,61.72,60.52,61.7,3487455
#2011-01-17#,60.83,61.72,60.52,61.7,3487455
#2011-01-18#,61.57,62.39,61.21,61.93,3671372
#2011-01-19#,61.84,61.92,59.924,60.29,3588907
#2011-01-20#,60.25,60.85,59.71,60.81,3278658
#2011-01-21#,61.4,61.69,60.97,61.46,2470544
#2011-01-24#,61.52,61.72,60.8,61.31,2223560
#2011-01-25#,60.98,61.52,60.67,61.41,2594611
#2011-01-26#,61.92,62.71,61.5,62.56,2932364
#2011-01-27#,62.43,63.19,62.05,63.16,3210874
#2011-01-28#,63.34,63.34,61,61.11,3481348
#2011-01-31#,61.31,62.02,61.22,61.51,2221970
#2011-02-01#,62.27,63.66,62.25,63.4,3646239
#2011-02-02#,63.29,63.69,62.24,62.33,2194980
#2011-02-03#,62.46,62.79,61.37,62.42,2730924
#2011-02-04#,62.38,63.26,62,62.91,2723201
#2011-02-07#,63.3,64.1,63,64.02,3741551
#2011-02-08#,63.9,64.24,63.64,64.01,3482547
#2011-02-09#,63.7,63.9895,62.664,63.13,4814498
#2011-02-10#,64.74,65.25,63.66,65,6151606
#2011-02-11#,64.87,65.26,63.67,65.14,3473297
#2011-02-14#,65.02,65.02,63.6,64.25,4705539
#2011-02-15#,63.99,65,63.69,64.9,3392667
#2011-02-16#,65.05,66.74,64.62,66.68,4451003
#2011-02-17#,66.22,67.5,65.87,67.32,3861416
#2011-02-18#,67.52,67.52,66.53,67.02,3262746
#2011-02-21#,67.52,67.52,66.53,67.02,3262746
#2011-02-22#,66.04,66.94,64.52,64.77,4047566
#2011-02-23#,64.81,65.4,63.32,63.88,3279498
#2011-02-24#,63.58,64.264,62.95,64.01,4106245
#2011-02-25#,64.19,64.82,63.9312,64.77,2925507
#2011-02-28#,65.15,66.25,65.01,65.83,4757915
#2011-03-01#,66.09,66.565,64.56,64.96,4828999
#2011-03-02#,64.08,64.08,62.49,62.52,8615187
#2011-03-03#,64.13,64.65,63.82,64.64,6173115
#2011-03-04#,64.42,64.63,63.1,63.87,3805492
#2011-03-07#,64.32,64.88,62.8401,63.15,3522062
#2011-03-08#,62.93,64.435,62.88,64.24,3616139
#2011-03-09#,64.15,64.98,64.05,64.44,2852063
#2011-03-10#,63.43,64.315,62.998,63.09,4336696
#2011-03-11#,61.95,63.37,61.89,63.1,3129029
#2011-03-14#,62.22,62.27,60.67,61.26,5524276
#2011-03-15#,58.42,60.33,56.4,60.09,12234315
#2011-03-16#,60.28,60.73,57.64,58.32,6912833
#2011-03-17#,59.27,59.87,58.48,59.5,4976112
#2011-03-18#,60.42,61.34,59.7,60.63,4879389
#2011-03-21#,61.63,62,60.87,61.15,2927035
#2011-03-22#,61.16,61.65,61.02,61.11,2534462
#2011-03-23#,60.87,60.96,60.15,60.53,2580030
#2011-03-24#,61.07,61.07,60.21,60.94,2012924
#2011-03-25#,61.23,61.71,60.74,61.02,3105354
#2011-03-28#,61.31,61.31,60.35,60.52,2569257
#2011-03-29#,60.35,60.64,59.83,60.6,2164770
#2011-03-30#,60.84,61.43,60.67,61.03,2728475
#2011-03-31#,60.95,61.8,60.52,61.58,2643588
#2011-04-01#,61.78,62.95,61.56,62.52,2638435
#2011-04-04#,62.57,63.49,62.555,63.22,2679864
#2011-04-05#,63,63.15,62.59,63.15,2484572
#2011-04-06#,63.5,64.38,63.33,64.32,3220584
#2011-04-07#,64.16,64.45,63.34,63.49,3465926
#2011-04-08#,63.94,64.19,62.09,62.28,2996077
#2011-04-11#,62.35,63.36,62.35,62.74,2280384
#2011-04-12#,62.16,62.53,61.25,61.57,3086074
#2011-04-13#,62.11,62.38,60.675,60.8,2577721
#2011-04-14#,60.45,60.65,59.69,60.4,3294835
#2011-04-15#,61.16,61.366,60.35,61,4209742
#2011-04-18#,60.12,60.53,59.65,60.11,3746715
#2011-04-19#,60.34,60.34,59.46,59.56,4153647
#2011-04-20#,60.56,61.2,60.15,60.93,3075327
#2011-04-21#,61.35,61.99,61.04,61.73,2274082
#2011-04-22#,61.35,61.99,61.04,61.73,2274082
#2011-04-25#,61.7,61.73,60.94,61.12,1688738
#2011-04-26#,61.59,61.98,61.36,61.55,1721267
#2011-04-27#,61.57,61.89,60.47,61.58,2848386
#2011-04-28#,61.6,63.65,61.5,63.39,3469352
#2011-04-29#,63.24,63.53,62.83,63.42,2189285
#2011-05-02#,63.81,64.08,63.09,63.5,3691181
#2011-05-03#,63.1,63.81,62.76,63.18,3345830
#2011-05-04#,63.3,63.5,62.22,62.43,2676219
#2011-05-05#,62.15,63.34,60.67,62.99,5619277
#2011-05-06#,63.67,64.41,63.35,63.7,4173822
#2011-05-09#,63.54,64.35,63.51,63.83,2617117
#2011-05-10#,64.23,64.5,64.1,64.45,2791440
#2011-05-11#,64.39,64.96,63.61,63.84,3228955
#2011-05-12#,63.67,64,62.425,63.96,2858590
#2011-05-13#,63.87,64.13,62.62,63.13,2870547
#2011-05-16#,62.85,64.12,62.78,63.21,2391998
#2011-05-17#,62.91,63.5,62.72,63.28,2575519
#2011-05-18#,63.2,63.99,63.03,63.99,2015636
#2011-05-19#,64.2,64.7,63.9,64.62,2353288
#2011-05-20#,64.51,64.79,63.53,63.61,2239860
#2011-05-23#,62.66,63.14,62.362,62.39,2579845
#2011-05-24#,62.53,62.77,61.27,61.54,3574562
#2011-05-25#,61.27,62.7,61.04,62.2,3220193
#2011-05-26#,62.49,63.75,62.45,63.57,3310537
#2011-05-27#,63.84,64.06,63.01,63.17,2401708
#2011-05-30#,63.84,64.06,63.01,63.17,2401708
#2011-05-31#,64.12,64.18,63.15,63.78,2702060
#2011-06-01#,63.35,63.55,60.73,60.77,5798874
#2011-06-02#,61,62.07,60.69,61.81,4033740
#2011-06-03#,60.76,61.865,60.56,61.26,4102671
#2011-06-06#,60.96,61.3,59.28,59.56,4463950
#2011-06-07#,59.98,60.34,59.45,59.56,3688507
#2011-06-08#,59.83,60.1,58.88,59.4,3667938
#2011-06-09#,59.9,60.48,59.51,60.13,2785909
#2011-06-10#,59.78,59.84,58.53,59.04,3570634
#2011-06-13#,59.47,59.74,58.83,59.64,2613724
#2011-06-14#,60.23,61.07,59.76,60.36,2812366
#2011-06-15#,59.59,59.85,57.38,57.77,5725273
#2011-06-16#,57.9,58.89,57.66,58.32,3139313
#2011-06-17#,58.91,59.48,58.72,59.19,4359215
#2011-06-20#,58.94,60.21,58.8,59.65,2758614
#2011-06-21#,59.77,60.98,59.77,60.92,2766099
#2011-06-22#,60.54,61.29,60.26,60.36,2563442
#2011-06-23#,59.36,60.49,58.61,60.4,4243294
#2011-06-24#,60.33,60.44,59.01,59.71,3916386
#2011-06-27#,59.92,60.899,59.71,60.8,3331049
#2011-06-28#,61.15,62.08,60.99,62,3903126
#2011-06-29#,62.26,63.18,62.1706,63.06,3302551
#2011-06-30#,63.34,63.81,62.95,63.59,2944671
#2011-07-01#,63.45,64.88,63.321,64.77,3013039
#2011-07-04#,63.45,64.88,63.321,64.77,3013039
#2011-07-05#,64.02,64.53,63.5,64.17,3135292
#2011-07-06#,63.7,64.16,63.11,63.96,2970757
#2011-07-07#,64.66,65.3,64.49,65.26,3158574
#2011-07-08#,63.91,64.52,63.47,64.38,3810617
#2011-07-11#,63.26,63.76,61.97,62.15,4090973
#2011-07-12#,61.58,62.99,61.53,61.59,3608574
#2011-07-13#,62.05,62.77,61.36,61.47,3630347
#2011-07-14#,61.88,62.26,60.7,60.89,3698128
#2011-07-15#,61.29,61.41,60.1,60.76,4165890
#2011-07-18#,60.29,60.56,59.12,59.78,3919951
#2011-07-19#,60.11,60.4,59.34,59.99,4086960
#2011-07-20#,60.49,60.91,60.05,60.31,3670403
#2011-07-21#,60.8,62.2,60.8,61.62,4069864
#2011-07-22#,61.59,61.79,60.84,60.93,2685047
#2011-07-25#,59.82,60.47,59.67,60.21,2838890
#2011-07-26#,60.13,60.84,59.73,60.1,3150911
#2011-07-27#,59.64,59.92,58.22,58.3,4701929
#2011-07-28#,58.43,59.0392,58.15,58.36,5171407
#2011-07-29#,57.8,59.57,57.68,58.68,4888763
#2011-08-01#,59.42,59.62,57.53,58.21,4138761
#2011-08-02#,57.63,58.25,56.63,56.65,4180552
#2011-08-03#,56.79,57.48,55.68,57.07,5258041
#2011-08-04#,57.46,58.03,54.57,54.74,9135347
#2011-08-05#,55.365,56.06,52.43,53.99,8187718
#2011-08-08#,51.55,53.78,47.37,48.14,11001510
#2011-08-09#,49.42,52.63,47.98,52.58,10379626
#2011-08-10#,51.49,51.57,47.62,47.77,11850390
#2011-08-11#,48.39,52.47,48.01,51.59,8150911
#2011-08-12#,52.01,52.84,50.74,50.95,5701682
#2011-08-15#,51.41,52.52,51.09,52.5,4044329
#2011-08-16#,51.78,52.5,50.66,50.7,5998186
#2011-08-17#,50.75,51.58,50.27,50.89,4286039
#2011-08-18#,49.01,49.03,46.92,47.15,8543557
#2011-08-19#,47.45,48.79,46.3,46.49,8990498
#2011-08-22#,47.97,48.18,45.79,45.91,5117507
#2011-08-23#,46.01,47.42,45.34,47.39,5330343
#2011-08-24#,47.22,48.72,46.96,48.38,5471703
#2011-08-25#,49.16,50.0336,46.76,47.17,6335696
#2011-08-26#,46.75,48.11,45.6502,47.56,4189179
#2011-08-29#,48.5,50.26,48.5,50.16,3903466
#2011-08-30#,49.56,50.01,48.66,49.33,4304546
#2011-08-31#,49.77,50.71,49.5,50.21,4834529
#2011-09-01#,50.17,50.48,48.8,48.87,4263161
#2011-09-02#,47.41,47.705,46.6,46.6,3868882
#2011-09-05#,47.41,47.705,46.6,46.6,3868882
