"Date","Open","High","Low","Close","Volume"
#2003-01-01#,28.88,29.1,28.755,28.885,1562800
#2003-01-02#,29,29.7,28.975,29.65,2980600
#2003-01-03#,29.655,29.655,29.275,29.43,2127400
#2003-01-06#,29.43,30.045,29.43,30,2107600
#2003-01-07#,30,30.07,29.75,29.8,2308200
#2003-01-08#,29.655,29.745,29.175,29.22,2466800
#2003-01-09#,29.275,29.75,29.275,29.7,2437400
#2003-01-10#,29.705,29.705,29.2,29.2,2607400
#2003-01-13#,29.2,29.415,28.99,29.15,2128600
#2003-01-14#,29.25,29.25,28.75,29.18,1463400
#2003-01-15#,29.185,29.185,28.45,28.575,1730800
#2003-01-16#,28.7,29.03,28.66,28.915,1538200
#2003-01-17#,28.825,28.9,28.45,28.45,2051600
#2003-01-20#,28.825,28.9,28.45,28.45,2051600
#2003-01-21#,28.575,28.585,28.07,28.07,1903400
#2003-01-22#,28.07,28.325,27.845,27.88,1998000
#2003-01-23#,27.825,28,27.525,27.79,2283600
#2003-01-24#,27.8,27.95,27.085,27.09,1718600
#2003-01-27#,27.095,27.095,25.975,26.045,2724600
#2003-01-28#,26.125,26.875,26.125,26.77,2878000
#2003-01-29#,26.775,27.135,26.28,26.875,2569600
#2003-01-30#,26.88,27.185,26.555,26.555,2887200
#2003-01-31#,26.45,27.665,26.365,27.27,2704200
#2003-02-03#,27.15,27.665,27.15,27.335,1901600
#2003-02-04#,27.21,27.21,26.795,27.015,1536000
#2003-02-05#,27.02,27.535,26.79,27.03,2043200
#2003-02-06#,26.975,27.1,26.5,26.615,1450400
#2003-02-07#,26.925,26.95,26.415,26.415,1433800
#2003-02-10#,26.38,26.75,26.21,26.7,1597400
#2003-02-11#,26.7,26.785,26.2,26.37,1439400
#2003-02-12#,26.375,26.575,26.21,26.23,1297400
#2003-02-13#,26.295,26.42,25.935,26.29,1302400
#2003-02-14#,26.29,26.685,25.97,26.59,1137400
#2003-02-17#,26.29,26.685,25.97,26.59,1137400
#2003-02-18#,26.9,27.275,26.85,27,1117400
