"Date","Open","High","Low","Close","Volume"
#2010-01-01#,46.88,46.92,46.26,46.26,7696820
#2010-01-04#,46.79,47.315,46.57,46.94,14570159
#2010-01-05#,47.52,48.32,47.5,48.07,24246252
#2010-01-06#,48.26,48.43,47.38,47.6,22750094
#2010-01-07#,47.75,49.02,47.55,48.98,25266289
#2010-01-08#,49.11,49.8,48.89,49.47,25941172
#2010-01-11#,49.58,49.69,48.64,49.29,14673278
#2010-01-12#,48.86,49.21,48.07,48.49,18009023
#2010-01-13#,48.85,48.95,48.23,48.7,12427439
#2010-01-14#,48.26,48.72,48.22,48.37,13753174
#2010-01-15#,48.61,49.04,48.11,48.53,21540457
#2010-01-18#,48.61,49.04,48.11,48.53,21540457
#2010-01-19#,48.62,49.7,48.55,49.32,16566981
#2010-01-20#,48.91,48.94,47.79,48.35,18152473
#2010-01-21#,48.32,49,47.92,48.09,18703978
#2010-01-22#,48.11,48.57,46.67,46.78,22207640
#2010-01-25#,46.97,47.69,46.7,46.91,15305135
#2010-01-26#,46.9,47.47,46.56,46.89,18327498
#2010-01-27#,46.52,47.31,46.27,47.2,27302897
#2010-01-28#,42.11,42.11,40.01,40.48,130892117
#2010-01-29#,40.83,40.88,38.49,39.19,112830240
#2010-02-01#,39.25,39.97,38.68,39.77,54762583
#2010-02-02#,39.82,39.89,38.98,39.26,45670206
#2010-02-03#,38.96,39.72,38.6,39.63,36843786
#2010-02-04#,39.27,39.28,38.15,38.17,39883839
#2010-02-05#,38.41,38.597,37.43,38.04,39372917
#2010-02-08#,38.11,38.188,37.47,37.51,27378501
#2010-02-09#,37.92,38.29,37.64,37.91,28585599
#2010-02-10#,37.71,38.16,37.32,37.43,23742337
#2010-02-11#,37.27,38.12,37,38.01,34202738
#2010-02-12#,38.18,39,37.98,38.84,37314041
#2010-02-15#,38.18,39,37.98,38.84,37314041
#2010-02-16#,39.09,39.3,38.7,39.02,34302564
#2010-02-17#,39.1,39.7,39.02,39.43,24735193
#2010-02-18#,39.47,39.9393,39.39,39.81,19506806
#2010-02-19#,39.815,39.85,39.47,39.59,26643136
#2010-02-22#,39.81,39.89,38.69,39.01,27658472
#2010-02-23#,39,39.15,38.4,38.54,17927088
#2010-02-24#,38.61,38.67,37.67,37.87,27119218
#2010-02-25#,37.23,38,36.47,37.18,34843585
#2010-02-26#,37.12,37.13,36.51,36.6829,30563372
#2010-03-01#,36.82,36.82,35.46,35.56,59160909
#2010-03-02#,36.75,38.46,36.57,37.93,77896111
#2010-03-03#,38.48,39.16,38.37,38.69,42163796
#2010-03-04#,38.94,39.28,38.58,39.25,29413178
#2010-03-05#,39.49,39.52,38.62,38.76,26466892
#2010-03-08#,38.83,39.01,38.61,38.79,13858984
#2010-03-09#,38.73,38.91,38.5,38.68,20141221
#2010-03-10#,38.57,39.1,38.5,38.88,15250923
#2010-03-11#,38.86,39.25,38.71,39.1,16330202
#2010-03-12#,39.12,39.39,38.8,38.95,20714104
#2010-03-15#,39,39.06,38.66,38.87,17334709
#2010-03-16#,38.9,39.11,38.59,39.01,27704809
#2010-03-17#,39.05,39.195,38.71,38.9,23287394
#2010-03-18#,39.23,40.53,39.16,40.43,45529025
#2010-03-19#,40.52,40.61,39.78,40.05,33420131
#2010-03-22#,40.08,40.54,39.87,40.2775,16394459
#2010-03-23#,40.43,40.58,40.03,40.52,13840684
#2010-03-24#,40.24,40.43,40.02,40.19,12982697
#2010-03-25#,42.54,43.84,42,42.19,67308658
#2010-03-26#,42,42.54,41.61,41.829,29773729
#2010-03-29#,42,42.09,41.6,41.76,11592628
#2010-03-30#,42.45,42.5,41.94,42.13,20720903
#2010-03-31#,41.99,42.22,41.84,41.96,14934424
#2010-04-01#,42.17,42.46,42.14,42.27,16321425
#2010-04-02#,42.17,42.46,42.14,42.27,16321425
#2010-04-05#,42.6,43.01,42.39,42.53,14693026
#2010-04-06#,42.22,42.56,42.19,42.43,10069181
#2010-04-07#,42.37,42.87,42.37,42.77,16091317
#2010-04-08#,42.69,42.72,42.09,42.4,12994274
#2010-04-09#,42.2,42.37,41.85,42.17,16152557
#2010-04-12#,42.03,42.46,42,42.23,8808676
#2010-04-13#,42.03,42.39,41.8,42.3,10764144
#2010-04-14#,42.23,42.8,42.1,42.6,19717635
#2010-04-15#,42.66,43.18,42.48,42.7,16221159
#2010-04-16#,42.68,42.98,42.25,42.74,23841101
#2010-04-19#,42.63,42.99,42.25,42.75,14960421
#2010-04-20#,42.745,43.35,42.49,43.29,14784547
#2010-04-21#,43.33,43.39,42.27,42.63,34304498
#2010-04-22#,39.75,40.35,38.88,39.331,96916511
#2010-04-23#,38.98,39.03,37.8,38.25,64250817
#2010-04-26#,38.27,38.71,37.78,38.11,25646609
#2010-04-27#,38.23,38.84,37.84,37.92,35403932
#2010-04-28#,38.225,38.85,38,38.82,27705833
#2010-04-29#,38.97,39.22,38.77,38.98,17673367
#2010-04-30#,39.15,39.29,38.61,38.68,18462203
#2010-05-03#,38.91,39.05,38.31,38.64,19362728
#2010-05-04#,38.27,38.3,37.01,37.6,25190705
#2010-05-05#,37.2,37.89,37,37.635,18405090
#2010-05-06#,37.36,37.63,35.56,36.67,28231461
#2010-05-07#,36.44,36.86,35.23,36.5,36415558
#2010-05-10#,37.41,37.81,37.1,37.37,22754917
#2010-05-11#,37.07,37.91,37.05,37.48,17507317
#2010-05-12#,38,38.39,37.715,38.16,17607474
#2010-05-13#,37.97,38.68,37.77,37.96,18366803
#2010-05-14#,37.76,38.04,36.9,37.3,19753800
#2010-05-17#,37.46,37.7,36.77,37.365,22360427
#2010-05-18#,37.02,37.46,36.5,36.71,23125148
#2010-05-19#,36.68,36.89,36.17,36.45,18551377
#2010-05-20#,35.75,36.24,35.25,35.59,27575763
#2010-05-21#,35.1,36.28,34.83,35.89,28635935
#2010-05-24#,35.6,36.15,35.43,35.67,16321071
#2010-05-25#,34.89,35.66,34.52,35.61,24941176
#2010-05-26#,35.75,36.1,34.76,34.88,26677482
#2010-05-27#,35.35,35.6,35.1,35.56,23508799
#2010-05-28#,35.41,35.925,35.16,35.56,21248949
#2010-05-31#,35.41,35.925,35.16,35.56,21248949
#2010-06-01#,35.445,36.08,34.96,35.07,19262777
#2010-06-02#,35.13,36.04,34.7,36.02,21474993
#2010-06-03#,36.25,36.81,35.78,36.47,20295520
#2010-06-04#,35.75,36.22,35.15,35.3025,23085833
#2010-06-07#,35.35,35.7704,34.97,35.01,18554391
#2010-06-08#,34.845,35.31,34.57,35.27,22531009
#2010-06-09#,35.3,35.38,34.63,34.72,24115304
#2010-06-10#,35.16,35.17,34.33,35.03,30719399
#2010-06-11#,34.54,35.47,34.52,35.36,14725485
#2010-06-14#,35.7,35.88,34.72,34.79,15706036
#2010-06-15#,35,35.6,34.99,35.58,13798261
#2010-06-16#,35.4,35.438,34.8,35.08,22471988
#2010-06-17#,35.24,35.77,35.01,35.71,15334640
#2010-06-18#,35.75,36.07,35.57,35.69,25396061
#2010-06-21#,35.85,36.17,35.36,35.64,12371952
#2010-06-22#,35.76,36.36,35.55,35.57,16288106
#2010-06-23#,35.61,35.81,35.27,35.42,15067410
#2010-06-24#,35.22,35.3,34.63,34.79,21382484
#2010-06-25#,34.7,34.9,34.28,34.57,22399588
#2010-06-28#,34.63,34.88,34.01,34.04,13574245
#2010-06-29#,33.78,33.79,32.87,33.14,27848076
#2010-06-30#,33,33.6463,32.73,32.84,19652781
#2010-07-01#,32.79,32.88,31.63,31.96,31799172
#2010-07-02#,31.87,32.68,31.6501,32.37,16296950
#2010-07-05#,31.87,32.68,31.6501,32.37,16296950
#2010-07-06#,32.66,33.32,32.45,32.65,19302777
#2010-07-07#,32.82,33.47,32.44,33.38,16004252
#2010-07-08#,33.79,33.99,33.25,33.93,19367446
#2010-07-09#,34.05,34.14,33.56,33.91,12516213
#2010-07-12#,34.74,35.33,34.51,35.1,23746601
#2010-07-13#,35.51,35.98,35.34,35.95,21448585
#2010-07-14#,36.24,37.09,35.98,36.9,31168958
#2010-07-15#,36.99,37.12,36.38,36.88,18849290
#2010-07-16#,36.97,37.22,35.74,35.96,24808898
#2010-07-19#,36.26,37.08,36.2,36.77,19903048
#2010-07-20#,36.08,36.78,35.74,36.75,17066485
#2010-07-21#,36.86,37,35.81,36.16,22978744
#2010-07-22#,38.34,39.52,38.3,39.11,56105738
#2010-07-23#,39.03,39.66,38.78,39.08,31486847
#2010-07-26#,38.72,39.28,38.72,39.24,13201359
#2010-07-27#,39.45,39.5,39.13,39.22,12597057
#2010-07-28#,39.35,39.425,38.61,38.76,12468696
#2010-07-29#,39.35,39.42,38.26,38.78,21459504
#2010-07-30#,38.26,38.3905,37.76,38.08,22121260
#2010-08-02#,38.33,39,38.02,38.76,14618447
#2010-08-03#,38.59,38.8,38.3,38.46,10259447
#2010-08-04#,38.39,38.615,38.01,38.43,9949092
