"Date","Open","High","Low","Close","Volume"
#2007-01-01#,43.21,43.61,43.12,43.16,75169388
#2007-01-02#,43.21,43.61,43.12,43.16,75169388
#2007-01-03#,43.46,44.06,42.52,43.24,168787533
#2007-01-04#,43.3,44.21,43.15,44.06,137380464
#2007-01-05#,43.93,43.95,43.48,43.85,139026423
#2007-01-08#,43.88,44.12,43.64,43.88,106558842
#2007-01-09#,44,44.29,43.63,44.1,121760832
#2007-01-10#,43.96,44.66,43.82,44.62,121165921
#2007-01-11#,44.71,45.24,44.65,45.08,174102536
#2007-01-12#,45.02,45.35,44.97,45.31,104236332
#2007-01-15#,45.02,45.35,44.97,45.31,104236332
#2007-01-16#,45.33,45.4,45.13,45.28,95948261
#2007-01-17#,45.09,45.29,44.83,44.91,127622684
#2007-01-18#,44.79,44.84,43.95,44.08,189187961
#2007-01-19#,43.98,44.2801,43.91,44.17,127584199
#2007-01-22#,44.21,44.23,43.51,43.69,123476129
#2007-01-23#,43.64,43.9801,43.5,43.58,133258480
#2007-01-24#,43.87,44.32,43.77,44.3,117691355
#2007-01-25#,44.37,44.47,43.58,43.73,158464297
#2007-01-26#,43.81,43.83,43.29,43.57,146289335
#2007-01-29#,43.45,43.91,43.4,43.61,104211994
#2007-01-30#,43.68,43.79,43.52,43.63,69984738
#2007-01-31#,43.6,44.19,43.33,44.07,157947693
#2007-02-01#,44.27,44.4,43.85,44.02,147412948
#2007-02-02#,44.11,44.25,43.94,44.16,98202426
#2007-02-05#,44.14,44.36,43.96,44.12,96394787
#2007-02-06#,44.2,44.23,43.64,44.05,121184806
#2007-02-07#,44.29,44.65,44.12,44.46,118013491
#2007-02-08#,44.39,44.6,44.23,44.45,89559666
#2007-02-09#,44.57,44.72,43.73,43.84,133504763
#2007-02-12#,43.88,43.89,43.59,43.7,126965882
#2007-02-13#,43.79,44,43.7,43.86,95559683
#2007-02-14#,44.05,44.71,44.04,44.6,133562710
#2007-02-15#,44.63,44.86,44.55,44.86,110500582
#2007-02-16#,44.68,44.83,44.57,44.71,72364761
#2007-02-19#,44.68,44.83,44.57,44.71,72364761
#2007-02-20#,44.65,45.12,44.43,45.05,93683246
#2007-02-21#,44.92,45.21,44.83,45.19,95941147
#2007-02-22#,45.36,45.55,45.07,45.42,116386138
#2007-02-23#,45.42,45.46,45.06,45.26,113507050
#2007-02-26#,45.48,45.5,44.76,45.04,102249641
#2007-02-27#,44.36,44.48,43.06,43.19,318067859
#2007-02-28#,43.16,43.76,42.93,43.33,217539443
#2007-03-01#,42.55,43.54,42.24,43.13,231967519
#2007-03-02#,42.78,43.14,42.47,42.48,183419959
#2007-03-05#,42.16,42.8,42.06,42.15,174692606
#2007-03-06#,42.56,42.99,42.5,42.85,155742094
#2007-03-07#,42.86,42.98,42.65,42.68,116626654
#2007-03-08#,43.13,43.24,42.84,42.97,121051587
#2007-03-09#,43.33,43.34,42.65,42.98,128622217
#2007-03-12#,42.88,43.28,42.83,43.21,81371756
#2007-03-13#,43,43.24,42.36,42.37,171232751
#2007-03-14#,42.43,43,42.1,42.99,192587565
#2007-03-15#,42.9,43.06,42.72,42.89,111627315
#2007-03-16#,42.94,43.04,42.61,42.83,108365384
#2007-03-19#,43.06,43.39,42.95,43.27,95964699
#2007-03-20#,43.26,43.59,43.21,43.58,81054392
#2007-03-21#,43.63,44.44,43.35,44.42,173967511
#2007-03-22#,44.44,44.45,44.09,44.26,114906756
#2007-03-23#,44.26,44.37,44.07,44.12,68621788
#2007-03-26#,44.14,44.32,43.63,44.3,114263682
