"Date","Open","High","Low","Close","Volume"
#2008-01-01#,42.18,43.12,42.01,42.44,522200
#2008-01-02#,42.59,42.59,40.97,41.3,1862050
#2008-01-03#,41.4,41.67,40.49,40.73,1537330
#2008-01-04#,40.05,40.07,38.5,38.77,2889300
#2008-01-07#,38.88,38.95,36.38,37.12,4804788
#2008-01-08#,37.66,37.96,35.4,35.55,3460078
#2008-01-09#,35.74,35.74,33.49,34.64,5923813
#2008-01-10#,34.17,37,34.16,36.35,3963195
#2008-01-11#,36.3,36.41,34.31,34.47,2700840
#2008-01-14#,35.14,35.14,33.53,33.82,2351899
#2008-01-15#,32.99,33.1,32.01,32.57,3330316
#2008-01-16#,33.7,34.84,32.63,33.98,4803770
#2008-01-17#,33.76,34.29,32.58,32.81,1911402
#2008-01-18#,33.475,34.67,33.05,34.21,4080657
#2008-01-21#,33.475,34.67,33.05,34.21,4080657
#2008-01-22#,32.82,35.43,32.21,35.07,4286143
#2008-01-23#,33.82,37.61,33.82,37.34,4761047
#2008-01-24#,37.51,38.82,37.31,38.45,3615977
#2008-01-25#,38.04,38.79,36.7,36.77,3053693
#2008-01-28#,37.02,39.02,36.92,38.87,2124000
#2008-01-29#,37.86,38.91,36.5,38.69,5069167
#2008-01-30#,39.31,39.75,38,38.14,3417410
#2008-01-31#,37.87,40.94,37.41,40.22,2284472
#2008-02-01#,40.14,41.99,40.14,41.85,2730615
#2008-02-04#,41.64,41.87,38.46,39.18,2692922
#2008-02-05#,38.1,38.51,36.71,36.83,3664111
#2008-02-06#,37.59,38.67,36.8,37.33,2891800
#2008-02-07#,36.77,38.18,36.69,38,2283188
#2008-02-08#,37.15,38.54,37.11,37.99,1477679
#2008-02-11#,37.98,38.95,37.66,38.9,1459376
#2008-02-12#,39.02,40.15,38.59,39.55,2357957
#2008-02-13#,39.52,40.26,39.28,39.95,1779705
#2008-02-14#,40.55,40.55,39.44,39.63,3032008
#2008-02-15#,39.53,39.58,38.6,38.64,2032644
#2008-02-18#,39.53,39.58,38.6,38.64,2032644
#2008-02-19#,39.14,39.14,36.75,37.1,4307800
#2008-02-20#,37.05,38.1,36.78,38.04,2144705
#2008-02-21#,37.85,37.95,36.5,36.75,2216930
#2008-02-22#,37.04,37.35,36.27,37.35,1172003
#2008-02-25#,37.31,38.05,36.8954,37.91,1255634
#2008-02-26#,37.55,38.38,37.53,38.06,1275174
#2008-02-27#,37.8,38.7,37.5,38.08,1361680
#2008-02-28#,37.6,37.6,36,36.5,1966069
#2008-02-29#,36.5,36.5,34.82,35.01,2254286
#2008-03-03#,35.22,35.59,34.47,34.87,1543464
#2008-03-04#,35.29,35.66,34.51,35.55,2965424
#2008-03-05#,35.93,36.47,34.58,35.19,2069397
#2008-03-06#,35.1,35.19,33.8,33.84,1890123
#2008-03-07#,33.61,34.11,32.99,33.17,2273143
#2008-03-10#,33.1,33.2,31.37,31.54,2737283
#2008-03-11#,32.66,33.11,31.78,32.48,3172056
#2008-03-12#,32.32,33.94,32.29,33.22,3220329
#2008-03-13#,32.52,33.88,31.4,33.85,3137831
#2008-03-14#,33.46,33.46,31.47,32.19,3176877
#2008-03-17#,31.35,31.68,30.22,30.56,3396131
#2008-03-18#,31.11,32.61,30.76,32.04,3211763
#2008-03-19#,32.6,32.6,30.95,31.4,3343109
#2008-03-20#,31.59,35.09,31.4,34.75,5309907
#2008-03-21#,31.59,35.09,31.4,34.75,5309907
#2008-03-24#,35.1,36.29,34.88,35.13,3588462
#2008-03-25#,35.12,36.02,34.46,35.6,2831346
#2008-03-26#,35.11,35.14,33.91,34,3038419
#2008-03-27#,34.32,34.5,33.11,33.11,1994547
#2008-03-28#,33.28,33.5,32.03,32.4,2792107
#2008-03-31#,32.77,33.13,32.08,32.9,2555970
#2008-04-01#,33.15,35.98,33.15,35.85,3032674
#2008-04-02#,35.17,35.67,34.55,34.7,1861648
#2008-04-03#,34.03,35.08,32.91,35.02,2802587
#2008-04-04#,34.7,34.71,33.91,34.17,985064
#2008-04-07#,34.64,35.03,33.85,34.28,1340652
#2008-04-08#,34.19,34.19,33.31,33.49,1038639
#2008-04-09#,33.98,34,32.15,32.5,1878280
#2008-04-10#,32.69,33.53,32.44,33.03,1413323
#2008-04-11#,32.78,32.97,32.1,32.23,977701
#2008-04-14#,32.51,32.6,31.42,31.8,1255140
#2008-04-15#,32.31,32.41,31.13,31.62,1440730
#2008-04-16#,32.54,33.28,32.26,33.26,1978083
#2008-04-17#,32.7,33.56,32.69,33.32,1133531
#2008-04-18#,34.37,35.15,33.32,34.7,2260802
#2008-04-21#,34.82,34.86,33.41,33.48,1718834
#2008-04-22#,33.61,33.61,31.66,32.23,2551212
#2008-04-23#,31.91,32.94,31.81,32.75,2461493
#2008-04-24#,31.44,32.22,30.11,31.59,7517985
#2008-04-25#,31.13,31.53,30.79,31.47,2182182
#2008-04-28#,31.08,31.55,31.08,31.16,1428433
#2008-04-29#,31.4,32.18,31.31,32.06,1915312
#2008-04-30#,32.14,32.86,31.62,31.9,1855861
#2008-05-01#,31.7,33.24,31.51,33.19,3361010
#2008-05-02#,33.7,33.78,31.8,32.01,3473567
#2008-05-05#,32.2,32.32,31.61,32.03,2452340
#2008-05-06#,32.04,32.04,31.36,31.8,2060776
#2008-05-07#,31.8,32.54,30.94,31.04,1439231
#2008-05-08#,31.33,31.53,30.89,31.05,1959568
#2008-05-09#,30.76,31.15,30.46,30.76,1056029
#2008-05-12#,31.23,31.43,30.71,31.16,1991238
#2008-05-13#,30.95,31.16,30.04,30.31,3566744
#2008-05-14#,30.37,31.28,30.25,30.81,2991395
#2008-05-15#,30.7,31.69,30.46,31.54,1998088
#2008-05-16#,31.59,31.59,30.49,30.74,1890702
#2008-05-19#,31.1,31.82,30.99,31.23,2513186
#2008-05-20#,30.99,31.01,29.14,29.84,4138819
#2008-05-21#,29.71,29.83,27.86,28.05,4345054
