"Date","Open","High","Low","Close","Volume"
#2012-01-02#,37.71,38.37,37.57,37.62,480938
#2012-01-03#,38.15,38.72,37.14,37.56,859788
#2012-01-04#,37.3,37.33,36.54,36.69,1031587
#2012-01-05#,36.62,37.34,36.3,36.88,1068517
#2012-01-06#,36.97,37.395,36.84,37.05,851970
#2012-01-09#,37.5,37.61,37.04,37.19,846613
#2012-01-10#,37.68,38.04,37.46,37.86,839608
#2012-01-11#,37.75,38.79,37.71,38.66,1001279
#2012-01-12#,38.93,39.29,38.63,39.25,955966
#2012-01-13#,39.01,39.32,38.86,39.12,673492
#2012-01-16#,39.01,39.32,38.86,39.12,673492
#2012-01-17#,39.41,39.77,39.14,39.32,505336
#2012-01-18#,39.3,40.03,39.3,40.02,792408
#2012-01-19#,40.23,40.5,40.055,40.26,572253
#2012-01-20#,40.14,40.34,40.02,40.33,972221
#2012-01-23#,40.28,40.69,39.98,40.09,763405
#2012-01-24#,39.78,40.98,39.72,40.5,776491
#2012-01-25#,40.4,40.98,40.29,40.87,1199626
#2012-01-26#,41.01,41.5,40.87,41.42,946535
#2012-01-27#,41.36,41.9,41.3,41.57,1438551
#2012-01-30#,41.11,41.52,41.03,41.51,842930
#2012-01-31#,41.69,42.07,41.22,41.32,1220528
#2012-02-01#,41.51,41.8,41.0919,41.2,818144
#2012-02-02#,41.56,42.27,41.22,42.18,1320883
#2012-02-03#,42.64,43.39,42.5,43.36,898801
#2012-02-06#,43.25,43.49,43.07,43.49,689752
#2012-02-07#,43.41,43.44,42.87,42.99,585394
#2012-02-08#,43.05,43.26,42.68,43.19,561188
#2012-02-09#,43.28,43.39,42.47,42.82,481243
#2012-02-10#,42.48,42.93,42.46,42.51,652007
#2012-02-13#,42.61,42.89,42.38,42.84,610101
#2012-02-14#,42.7,42.74,42.13,42.51,675955
#2012-02-15#,42.59,42.78,42.32,42.64,778041
#2012-02-16#,42.67,43.11,42.57,43.09,810412
#2012-02-17#,43.19,43.34,42.77,43.25,581943
#2012-02-20#,43.19,43.34,42.77,43.25,581943
#2012-02-21#,43.28,43.51,42.49,42.66,619793
#2012-02-22#,42.55,42.91,42.08,42.21,575615
#2012-02-23#,42.21,43.04,42.15,42.95,631189
#2012-02-24#,42.99,43.28,42.63,42.98,399883
#2012-02-27#,42.61,42.93,42.23,42.78,427476
#2012-02-28#,42.89,42.97,42.38,42.56,581189
#2012-02-29#,42.7,43.21,42.55,42.79,776084
#2012-03-01#,42.78,43.18,42.64,43.13,644186
#2012-03-02#,43.06,43.34,42.595,42.85,489586
#2012-03-05#,42.76,43.145,42.59,43.07,495404
#2012-03-06#,42.68,42.88,42.29,42.44,737634
#2012-03-07#,42.58,42.72,42.24,42.62,636381
#2012-03-08#,42.83,42.9912,41.99,42.07,1136266
#2012-03-09#,42.17,42.2,41.88,41.92,840716
#2012-03-12#,42.07,42.19,41.86,41.92,1120791
#2012-03-13#,42.23,43.28,42.23,43.06,1367176
#2012-03-14#,43.06,43.56,42.96,43.25,998880
#2012-03-15#,43.21,43.65,42.94,43.64,979224
#2012-03-16#,43.72,44.38,43.571,44.25,815225
#2012-03-19#,44.22,44.68,43.99,44.63,478570
#2012-03-20#,44.31,44.78,44.31,44.62,646886
#2012-03-21#,44.62,44.74,44.41,44.51,636025
#2012-03-22#,44.29,44.29,43.54,44.23,670063
#2012-03-23#,44.21,44.46,43.92,44.25,586091
#2012-03-26#,44.56,44.73,44.17,44.54,456659
#2012-03-27#,44.47,44.69,44.282,44.43,423088
