"Date","Open","High","Low","Close","Volume"
#2003-01-01#,18.45,19.05,18.35,18.51,277820
#2003-01-02#,18.55,19.09,18.52,19.09,308362
#2003-01-03#,19,19,18.49,18.56,196300
#2003-01-06#,18.77,18.93,18.54,18.7,624454
#2003-01-07#,19.79,19.95,19.33,19.42,1203908
#2003-01-08#,19.29,19.31,18.68,18.94,506321
#2003-01-09#,19.001,19.45,18.92,19.11,404124
#2003-01-10#,19.255,19.559,18.91,19.29,283843
#2003-01-13#,19.64,20,19.3,19.9,355102
#2003-01-14#,19.75,21.07,19.75,20.35,499835
#2003-01-15#,20.34,20.4,19.28,19.95,267245
#2003-01-16#,19.8,21.49,19.67,21.002,675990
#2003-01-17#,21.13,21.39,20.55,21.27,328153
#2003-01-20#,21.13,21.39,20.55,21.27,328153
#2003-01-21#,21.29,21.3,20.73,20.87,448364
#2003-01-22#,20.87,21.28,20.45,21.12,459698
#2003-01-23#,21.15,21.43,20.68,21.11,397623
#2003-01-24#,21.3,21.47,20.32,20.63,399847
#2003-01-27#,20.59,20.59,19.9,20.149,459418
#2003-01-28#,20.01,20.55,19.88,20.51,364288
#2003-01-29#,20.04,20.53,19.81,20.5,519880
#2003-01-30#,20.4,20.549,18.9,19.09,962419
#2003-01-31#,19.08,19.5,18.6,18.73,1507267
#2003-02-03#,18.6,19.03,18.27,18.85,214006
#2003-02-04#,18.86,18.91,18.1,18.84,374507
#2003-02-05#,18.71,18.91,18.1,18.44,365355
#2003-02-06#,18.45,18.49,17.71,17.74,628157
#2003-02-07#,17.72,18.13,17.35,17.89,466441
#2003-02-10#,18.02,18.25,17.29,17.4,397194
#2003-02-11#,17.4,17.89,17.39,17.39,443412
#2003-02-12#,17.46,17.66,17,17,418393
#2003-02-13#,16.77,17.43,16.37,17.04,553182
#2003-02-14#,17.2,17.63,16.9,17.25,381019
#2003-02-17#,17.2,17.63,16.9,17.25,381019
#2003-02-18#,17.55,17.67,17.09,17.56,310258
#2003-02-19#,17.55,17.73,17.29,17.52,252179
#2003-02-20#,17.59,17.74,17.07,17.27,300953
#2003-02-21#,17.29,17.59,17.24,17.5,335709
#2003-02-24#,17.5,17.5,17.17,17.31,262668
#2003-02-25#,17.2,17.68,16.66,17.67,354306
#2003-02-26#,18.14,18.52,17.8,18.15,594294
#2003-02-27#,18.25,18.5,17.6,18.5,532238
#2003-02-28#,18.47,18.6,18.1,18.34,456552
#2003-03-03#,18.2,18.89,17.71,17.75,435555
#2003-03-04#,17.75,18.6,17.68,18.36,401611
#2003-03-05#,18.34,18.45,17.97,18.1,226746
#2003-03-06#,18.18,18.18,17.1,17.31,573613
#2003-03-07#,17.03,17.85,17,17.75,427191
#2003-03-10#,17.62,19.39,17.42,18.97,1715851
#2003-03-11#,19.09,19.1,18.05,18.3,956705
#2003-03-12#,18.28,18.94,17.88,18.81,642256
#2003-03-13#,18.92,19.9,18.87,19.81,734755
#2003-03-14#,19.96,20.71,19.3,19.83,843846
#2003-03-17#,20,20.45,19.52,20.38,701179
#2003-03-18#,20.71,20.77,20.11,20.69,867060
#2003-03-19#,20.65,20.85,20.11,20.66,459417
#2003-03-20#,20.57,20.69,20,20.2,391927
#2003-03-21#,20.3,20.8,20.2,20.46,658748
