"Date","Open","High","Low","Close","Volume"
#2012-01-02#,41.47,41.57,41.13,41.29,1225424
#2012-01-03#,42.17,42.97,41.59,41.65,2455234
#2012-01-04#,41.76,42.46,41.3,42.4,2523982
#2012-01-05#,42.38,43.02,42.2501,42.7,2798418
#2012-01-06#,42.83,43.5,42.57,43.04,1901013
#2012-01-09#,43.19,43.29,42.03,42.34,1729970
#2012-01-10#,42.73,43.23,42.62,42.96,1390474
#2012-01-11#,42.66,43.25,42.55,43.04,1441487
#2012-01-12#,43.18,43.19,42.24,43.11,1297304
#2012-01-13#,42.7,42.88,42.14,42.43,1378416
#2012-01-16#,42.7,42.88,42.14,42.43,1378416
#2012-01-17#,42.94,43.5,42.8,43.22,1612650
#2012-01-18#,43.18,45.7,43.1306,45.48,3304287
#2012-01-19#,45.84,47,45.84,46.9,2718338
#2012-01-20#,46.84,47.2,46.05,46.24,1948608
#2012-01-23#,46.29,47.09,46.17,47,2022070
#2012-01-24#,47.05,47.74,46.96,47.51,1947486
#2012-01-25#,47.53,48,47.19,47.77,1348116
#2012-01-26#,47.82,48.49,47.08,47.4,2357401
#2012-01-27#,47.15,47.87,47.09,47.5,2101930
#2012-01-30#,47.14,47.159,46.13,46.65,2064583
#2012-01-31#,47,47,46.18,46.37,1694810
#2012-02-01#,46.89,47.67,46.16,47.07,1855071
#2012-02-02#,47.27,48,47.14,47.48,1278843
#2012-02-03#,48.09,49,48.02,48.95,1919785
#2012-02-06#,48.58,48.71,48.19,48.25,1180057
#2012-02-07#,47.97,48.22,47.72,48.01,1143624
#2012-02-08#,48.03,48.135,47.45,48.08,1159848
#2012-02-09#,48.24,48.83,47.82,48.78,1145599
#2012-02-10#,48.29,48.72,47.68,47.97,1225541
#2012-02-13#,48.45,49.04,48.1696,48.84,1176546
#2012-02-14#,48.79,49.15,48.36,48.81,1127587
#2012-02-15#,49.01,49.28,47.98,48.15,1115655
#2012-02-16#,48.24,49.15,48.14,49.08,1099532
