"Date","Open","High","Low","Close","Volume"
#2005-01-03#,20.7667,20.8533,20.3133,20.36,394500
#2005-01-04#,20.4267,20.4667,19.9467,20.0533,533850
#2005-01-05#,19.9267,20.2,19.5933,19.5933,767100
#2005-01-06#,19.4867,19.8467,19.4333,19.8,723150
#2005-01-07#,19.9333,20.0067,19.6,19.66,431700
#2005-01-10#,19.66,19.7533,19.5067,19.6533,449550
#2005-01-11#,19.6533,19.6867,19.3067,19.6867,698100
#2005-01-12#,19.7667,19.8333,19.4533,19.7133,428250
#2005-01-13#,19.7333,19.8667,19.4567,19.48,371400
#2005-01-14#,19.5667,19.8333,19.5067,19.7933,258300
#2005-01-17#,19.5667,19.8333,19.5067,19.7933,258300
#2005-01-18#,19.7667,20.0667,19.72,19.92,514050
#2005-01-19#,19.8867,19.92,19.2667,19.2667,508650
#2005-01-20#,20.2667,20.3,19.7333,19.9667,1525350
#2005-01-21#,20.1667,20.26,19.6067,19.78,794850
#2005-01-24#,19.9133,20.0733,19.8867,19.96,508200
#2005-01-25#,20.0667,20.3267,19.8667,19.8933,534150
#2005-01-26#,19.9,20.0933,19.8733,19.98,532650
#2005-01-27#,19.8933,20.3067,19.8933,20.12,354000
#2005-01-28#,20.1,20.3,20.0333,20.1,300900
#2005-01-31#,20.2667,20.8333,20.2667,20.78,659100
#2005-02-01#,20.7333,20.98,20.6067,20.8467,534000
#2005-02-02#,20.8,20.8,20.54,20.6067,274200
#2005-02-03#,20.6133,20.6133,20.4,20.4867,286950
#2005-02-04#,20.4733,20.7133,20.4267,20.7067,447000
#2005-02-07#,20.6333,20.74,20.4733,20.62,294750
#2005-02-08#,20.6267,20.92,20.5733,20.9067,461550
#2005-02-09#,20.8667,20.9467,20.3533,20.4333,814200
#2005-02-10#,20.4133,20.5867,20.4133,20.5667,262350
#2005-02-11#,20.5,20.7867,20.4933,20.7333,374700
#2005-02-14#,20.6467,20.76,20.56,20.62,307950
#2005-02-15#,20.6467,20.8867,20.6,20.86,351600
#2005-02-16#,20.86,20.9667,20.6867,20.9267,262950
#2005-02-17#,20.8467,21.0267,20.58,20.5933,327600
#2005-02-18#,20.62,20.7067,20.2867,20.3333,285600
#2005-02-21#,20.62,20.7067,20.2867,20.3333,285600
#2005-02-22#,20.3333,20.4,19.92,19.92,391650
#2005-02-23#,19.92,20.0667,19.5733,19.7133,548400
#2005-02-24#,19.6467,19.9067,19.5733,19.8667,285900
#2005-02-25#,19.94,20.32,19.9067,20.2533,250200
#2005-02-28#,20.1533,20.3333,20.0733,20.3067,591150
#2005-03-01#,20.2467,20.78,20.2467,20.7,454500
#2005-03-02#,20.6667,20.9267,20.4733,20.7733,548250
#2005-03-03#,20.8,20.96,20.5,20.8333,326850
#2005-03-04#,21,21.2,20.84,20.9067,336900
#2005-03-07#,20.8667,21,20.7467,21,214950
#2005-03-08#,21,21.1067,20.8133,20.9667,402150
#2005-03-09#,20.9,20.9867,20.6333,20.8533,340350
#2005-03-10#,20.8333,21.2333,20.8333,21.1733,369300
#2005-03-11#,21.1733,21.2533,20.92,21.02,556200
#2005-03-14#,21.0867,21.2867,20.9667,21.06,311400
#2005-03-15#,21.2533,21.4867,21.1533,21.24,406350
#2005-03-16#,21.3067,21.4733,21.2,21.2467,390300
#2005-03-17#,21.3067,21.8133,21.12,21.52,512850
#2005-03-18#,22.0667,22.8067,21.5,21.7,1261050
#2005-03-21#,21.7,21.7533,21.36,21.6133,273450
#2005-03-22#,21.62,21.8267,21.2867,21.3333,368100
#2005-03-23#,21.3,21.3067,20.8333,20.8667,422850
#2005-03-24#,20.88,21.0267,20.7667,20.7667,207000
#2005-03-25#,20.88,21.0267,20.7667,20.7667,207000
#2005-03-28#,20.8,20.8533,20.54,20.68,376650
#2005-03-29#,20.6,20.7267,20.1533,20.26,566100
#2005-03-30#,20.26,20.4067,20.1067,20.22,945900
#2005-03-31#,19.9667,20.2667,19.9133,20.2,936750
#2005-04-01#,20.2667,20.3667,20.0733,20.1667,805500
#2005-04-04#,20.1,20.2333,20.0133,20.2,743700
#2005-04-05#,20.2267,20.2467,20.0067,20.0067,535950
#2005-04-06#,20.1333,20.3867,20.0867,20.2,356250
#2005-04-07#,20.2,20.3533,20.0267,20.2867,193350
#2005-04-08#,20.3,20.3,20.0133,20.0267,180900
#2005-04-11#,20.0667,20.0667,19.6867,19.7,400650
#2005-04-12#,19.7,20.04,19.5267,19.9467,394350
#2005-04-13#,20,20.1333,19.4933,19.6533,701550
#2005-04-14#,19.6667,19.7267,19.3333,19.42,472950
#2005-04-15#,19.3,19.52,19.06,19.16,702150
#2005-04-18#,19.1667,19.48,18.5467,19.1067,1540500
#2005-04-19#,19.1667,19.62,19.16,19.36,988650
#2005-04-20#,19.36,19.36,18.5867,18.6333,1221900
#2005-04-21#,18.74,18.7733,18.3067,18.4733,961950
#2005-04-22#,18.3667,18.4,17.9333,17.9867,1165800
#2005-04-25#,18.1333,18.1667,17.8267,18.0667,1182300
#2005-04-26#,18.0667,18.34,17.8267,17.86,927600
#2005-04-27#,17.8733,18.1667,17.68,18.1667,818550
#2005-04-28#,18.1133,18.1333,17.78,17.8867,803250
#2005-04-29#,18,18.06,17.4933,17.98,902850
#2005-05-02#,17.9867,17.9867,17.66,17.8667,1029300
#2005-05-03#,17.8,18.0267,17.7067,17.8,479850
#2005-05-04#,17.82,18.1867,17.8,18.0867,1200600
#2005-05-05#,18.0867,18.22,17.9067,18.04,408900
#2005-05-06#,18.1333,18.2133,18.04,18.1,479400
#2005-05-09#,18.0667,18.3667,18.0667,18.1733,390600
#2005-05-10#,18.1067,18.14,17.868,17.9267,423150
#2005-05-11#,17.9,18.0667,17.7333,17.8933,308100
#2005-05-12#,17.9333,18.0067,17.5,17.5267,361950
#2005-05-13#,17.5467,17.6,17.2533,17.56,390150
#2005-05-16#,17.5867,17.9067,17.5667,17.8667,446700
#2005-05-17#,17.7867,17.84,17.6,17.8267,347850
#2005-05-18#,17.98,18.4133,17.9067,18.3933,585000
#2005-05-19#,18.4,18.44,18.2333,18.42,315900
#2005-05-20#,18.42,18.42,18.0467,18.3133,274350
#2005-05-23#,18.3667,18.46,18.2467,18.4333,225300
#2005-05-24#,18.2933,18.3467,18.04,18.1,335700
#2005-05-25#,18.02,18.0333,17.7533,17.8733,247350
#2005-05-26#,17.9667,18.0933,17.7867,17.9533,190500
#2005-05-27#,17.9533,18.0133,17.82,17.9067,243150
#2005-05-30#,17.9533,18.0133,17.82,17.9067,243150
#2005-05-31#,17.9,18.0267,17.7467,17.94,613350
#2005-06-01#,18,18.2667,17.9533,18.2,276600
#2005-06-02#,18.1,18.3867,18.0467,18.3067,440550
#2005-06-03#,18.3333,18.4267,18.04,18.18,270450
#2005-06-06#,18.1933,18.3667,18.1,18.3667,322350
#2005-06-07#,18.42,18.5667,18.3267,18.3667,289200
#2005-06-08#,18.4133,18.6067,18.4,18.5333,372750
#2005-06-09#,18.4667,18.6267,18.3533,18.5867,193800
#2005-06-10#,18.58,18.6267,18.3467,18.3533,214950
#2005-06-13#,18.36,18.42,18.0267,18.12,617250
#2005-06-14#,18.1267,18.4133,18.12,18.34,542250
#2005-06-15#,18.34,18.3867,18.12,18.2533,338850
#2005-06-16#,18.1667,18.62,18.1,18.62,451650
#2005-06-17#,18.8,18.8067,18.5733,18.5867,596550
#2005-06-20#,18.5867,18.5867,18.3933,18.46,127950
#2005-06-21#,18.5,18.7467,18.4467,18.6133,183000
#2005-06-22#,18.6133,18.8,18.6133,18.7,252300
#2005-06-23#,18.6467,18.7333,18.3867,18.4067,296400
#2005-06-24#,18.4133,18.7333,18.4133,18.5467,361950
#2005-06-27#,18.54,18.5467,18.3333,18.5333,291450
#2005-06-28#,18.5467,18.72,18.5,18.7133,348900
#2005-06-29#,18.7467,19.0067,18.7333,18.96,380550
#2005-06-30#,19.1333,19.24,18.8333,18.8333,485400
#2005-07-01#,18.8733,19.1867,18.8467,18.8667,450150
#2005-07-04#,18.8733,19.1867,18.8467,18.8667,450150
#2005-07-05#,18.7667,19.0333,18.68,18.8867,282900
#2005-07-06#,18.8667,18.9467,18.6933,18.6933,315750
#2005-07-07#,18.6,18.78,18.4667,18.7133,432450
#2005-07-08#,19.4667,20.04,19.3867,19.9667,1491600
#2005-07-11#,19.9667,20.6467,19.94,20.6467,728700
#2005-07-12#,20.6133,20.76,20.2867,20.56,413250
#2005-07-13#,20.5467,20.6333,20.2067,20.34,514350
#2005-07-14#,20.5667,20.6267,20.34,20.3667,226800
#2005-07-15#,20.3933,20.5533,20.2067,20.4133,436050
#2005-07-18#,20.42,20.82,20.34,20.82,530100
#2005-07-19#,20.9333,20.9333,20.14,20.3467,777900
#2005-07-20#,20.3333,20.4,20.1267,20.2,456150
#2005-07-21#,20.1333,20.1933,19.8667,19.9267,331200
#2005-07-22#,19.8667,20.1333,19.8333,20.12,168450
#2005-07-25#,20.08,20.1333,19.8467,20.0067,284700
#2005-07-26#,20.02,20.1533,19.88,19.9933,225150
#2005-07-27#,19.96,20.0267,19.7133,20.02,204150
#2005-07-28#,19.9867,20.08,19.74,20.0533,144750
#2005-07-29#,20,20.02,19.74,19.9,254700
#2005-08-01#,19.9667,19.9667,19.7333,19.8467,277800
#2005-08-02#,19.8267,20.2667,19.8,20.2667,254850
#2005-08-03#,20.1667,20.3,20.0067,20.2533,136950
#2005-08-04#,20.2,20.2,19.8067,19.8067,338250
#2005-08-05#,19.8067,19.8133,19.5067,19.7667,204750
#2005-08-08#,19.76,19.8867,19.68,19.7267,183450
#2005-08-09#,19.7667,19.9333,19.7333,19.7667,225900
#2005-08-10#,19.8067,20.0467,19.6733,19.8333,275700
#2005-08-11#,19.8,20.2133,19.8,20.1533,205200
#2005-08-12#,20.1533,20.2333,19.9533,20.18,186600
#2005-08-15#,20.18,20.2667,19.9733,20.1667,256650
#2005-08-16#,20.0667,20.1133,19.84,20.0067,313950
#2005-08-17#,19.9667,20.0267,19.5667,19.6333,247950
#2005-08-18#,19.6267,19.7,19.4333,19.6533,170400
#2005-08-19#,19.7,19.76,19.52,19.5667,132750
#2005-08-22#,19.6333,19.86,19.6,19.8133,169800
#2005-08-23#,19.88,19.9667,19.7133,19.94,202500
#2005-08-24#,19.94,20.0933,19.7067,19.82,348450
#2005-08-25#,19.84,19.8733,19.6733,19.8133,281550
#2005-08-26#,19.82,19.86,19.5467,19.68,103200
#2005-08-29#,19.6667,20.0133,19.48,19.9933,222150
#2005-08-30#,19.9933,19.9933,19.74,19.92,265200
#2005-08-31#,20.0133,20.22,19.8,20.22,306150
#2005-09-01#,20.22,20.4067,20.18,20.2267,288750
#2005-09-02#,20.1,20.2133,19.9333,20.0067,193200
#2005-09-05#,20.1,20.2133,19.9333,20.0067,193200
#2005-09-06#,20.0267,20.3667,19.9867,20.2333,301050
#2005-09-07#,20.1133,20.3667,20.0467,20.3333,154050
#2005-09-08#,20.3333,20.3333,19.92,19.9733,262800
#2005-09-09#,20.08,20.4667,20.08,20.2733,227700
#2005-09-12#,20.34,20.5067,20.2333,20.4467,221700
#2005-09-13#,20.4,20.64,20.0867,20.4333,243750
#2005-09-14#,20.5,20.66,20.2333,20.24,145050
#2005-09-15#,20.2333,20.28,19.8933,20.1933,270600
