"Date","Open","High","Low","Close","Volume"
#2007-01-01#,78.4,78.96,77.58,77.66,327500
#2007-01-02#,78.4,78.96,77.58,77.66,327500
#2007-01-03#,77.9,80.42,77.9,79.67,1937500
#2007-01-04#,79.63,80.75,79.05,80.63,415000
#2007-01-05#,80.36,80.5,79.13,79.9,480800
#2007-01-08#,80.05,80.34,79.59,79.93,698500
#2007-01-09#,80.1,82.37,80.1,81.91,659200
#2007-01-10#,81.38,82.53,81.24,82,472900
#2007-01-11#,82.25,83.75,82.23,82.77,312700
#2007-01-12#,82.37,82.76,81.98,82.71,291900
#2007-01-15#,82.37,82.76,81.98,82.71,291900
#2007-01-16#,82.95,84.1,82.88,83.81,512000
#2007-01-17#,83.5,83.71,82.55,82.96,365400
#2007-01-18#,83.16,83.67,81.98,81.98,345900
#2007-01-19#,82.11,82.28,81.4,82.23,582500
#2007-01-22#,82.73,82.73,80.52,80.52,479900
#2007-01-23#,80.65,81.2,80.1529,80.62,595200
#2007-01-24#,80.87,81.85,80.85,81.32,650900
#2007-01-25#,80.91,81.13,79.2,79.42,718900
#2007-01-26#,79.51,79.7,78.3,78.8,684900
#2007-01-29#,78.9,80.57,78.9,80.33,1006200
#2007-01-30#,80.58,80.98,80,80.4,374700
#2007-01-31#,80.4,82.3,80.18,82.05,507500
#2007-02-01#,84.97,85,83.04,83.67,9450626
#2007-02-02#,81.9,84.31,81.66,83.53,1639200
#2007-02-05#,84.25,84.31,83.15,83.69,932700
#2007-02-06#,83.73,85.15,83.64,85.07,1008800
#2007-02-07#,82.57,84.58,82.09,83.6,1443700
#2007-02-08#,83.05,84.16,83.0141,83.57,814500
#2007-02-09#,83.3,83.97,82.97,83.52,896800
#2007-02-12#,83.15,83.25,82.01,82.95,1108229
#2007-02-13#,83.5,83.85,83.15,83.57,611083
#2007-02-14#,83.31,84.14,83.08,83.83,661432
#2007-02-15#,83.88,85.48,83.64,85.3,607400
#2007-02-16#,84.85,85.89,84.68,85.8,585400
#2007-02-19#,84.85,85.89,84.68,85.8,585400
#2007-02-20#,86.6,88.9028,85.97,88.59,1104800
#2007-02-21#,88.01,89.07,87.71,88.22,784700
#2007-02-22#,88.22,88.8,86.97,87.7,455100
#2007-02-23#,87.75,88.09,86.83,87.54,590700
#2007-02-26#,87.59,88,86.59,87.26,419003
#2007-02-27#,85.28,86.1,82.51,84.27,1087500
#2007-02-28#,84.42,87.23,84.01,86.98,1100300
#2007-03-01#,85.55,86.35,84.33,84.75,1440442
#2007-03-02#,84.6,84.9,83.41,83.42,880800
#2007-03-05#,82.91,83.5,81.65,81.75,1044800
#2007-03-06#,82.4,83.42,82.07,83.42,1076400
#2007-03-07#,83.37,84.63,82.9,84.2,796500
#2007-03-08#,84.95,85.97,84.66,85.53,718000
#2007-03-09#,86.1,86.1,84.9,85.11,614300
#2007-03-12#,85.13,86.08,85.03,85.56,556900
#2007-03-13#,85.01,85.49,83.74,83.87,891700
#2007-03-14#,84.3,84.5,82.23,83.9,804200
#2007-03-15#,84.1,85.24,83.74,84.45,431000
#2007-03-16#,84.69,84.6918,83.54,83.82,644200
#2007-03-19#,84.17,85.54,83.73,85.5,723700
#2007-03-20#,85.6,86.73,85.35,86.69,522900
#2007-03-21#,86.69,87.16,85.59,86.87,591614
#2007-03-22#,87.12,87.2,86.35,87.13,432100
#2007-03-23#,89.25,90.12,88.54,89.57,1125684
#2007-03-26#,89.35,89.64,88.25,89.64,511100
#2007-03-27#,89.53,89.55,88.14,88.23,568500
#2007-03-28#,87.88,88.45,87.25,87.63,443020
#2007-03-29#,88.15,88.44,86.6,87.53,378500
#2007-03-30#,87.81,88.8,86.94,88.15,550500
#2007-04-02#,88.21,89.1,87.7,89.1,433568
#2007-04-03#,89.88,91.5,89.5,91.46,816934
#2007-04-04#,91.6,91.88,91.045,91.87,791500
#2007-04-05#,91.6,92.68,91.45,92.6,389000
#2007-04-06#,91.6,92.68,91.45,92.6,389000
#2007-04-09#,92.92,93.2199,92.35,92.97,442000
#2007-04-10#,92.95,93.03,92.33,92.6,819300
