"Date","Open","High","Low","Close","Volume"
#2000-01-03#,5.2813,5.2813,5.0625,5.1094,770400
#2000-01-04#,5.0625,5.125,5.0469,5.0859,620800
#2000-01-05#,5.0781,5.1094,4.9922,5.0859,845600
#2000-01-06#,5.0859,5.125,5.0625,5.0938,265600
#2000-01-07#,5.1094,5.1484,5.0938,5.1094,1012800
#2000-01-10#,5.1406,5.1719,5.0625,5.1719,973600
#2000-01-11#,5.2813,5.375,5.1719,5.2031,300800
#2000-01-12#,5.2188,5.2188,5.0625,5.1094,419200
#2000-01-13#,5.1094,5.4375,5.1094,5.4219,1065600
#2000-01-14#,5.375,5.5,5.2969,5.3047,999200
#2000-01-17#,5.375,5.5,5.2969,5.3047,999200
#2000-01-18#,5.375,5.6094,5.375,5.6094,903200
#2000-01-19#,5.625,5.7422,5.625,5.7344,996800
#2000-01-20#,5.8281,6.0469,5.7969,6.0469,563200
#2000-01-21#,6.125,6.8906,6.125,6.8125,1504000
#2000-01-24#,6.8125,7.125,6.7813,6.8594,1003200
#2000-01-25#,6.875,6.875,6.1719,6.2422,2020000
#2000-01-26#,6.2578,6.2578,5.8281,5.9844,1252000
#2000-01-27#,5.9844,5.9844,5.5,5.5938,848800
#2000-01-28#,5.5938,5.8047,5.4063,5.5,2183200
#2000-01-31#,5.5,5.5,5.2656,5.375,964800
#2000-02-01#,5.3438,5.5625,5.3125,5.5469,1068800
#2000-02-02#,5.5391,5.7031,5.3125,5.3438,312000
#2000-02-03#,6.2344,6.5,6,6.3828,2494400
#2000-02-04#,6.5,6.9688,6.4844,6.8203,2258400
#2000-02-07#,6.8281,7.4688,6.8281,6.9375,1303200
#2000-02-08#,6.9375,7.0938,6.7188,7,1018400
#2000-02-09#,7.125,7.4688,7.125,7.3203,1652000
#2000-02-10#,7.3203,7.625,7.3203,7.625,823200
#2000-02-11#,7.625,7.625,7.0938,7.1875,446400
#2000-02-14#,7.1875,7.25,7.1875,7.2109,395200
#2000-02-15#,7.2344,7.2344,7.0703,7.0781,536000
#2000-02-16#,7.1094,7.1406,7,7.0703,235200
#2000-02-17#,7.1406,7.1719,7.0625,7.1094,860000
#2000-02-18#,7.1094,7.1953,7.0938,7.1563,677600
#2000-02-21#,7.1094,7.1953,7.0938,7.1563,677600
#2000-02-22#,7.2344,7.4453,7.1406,7.4219,747200
#2000-02-23#,7.3906,7.5,7.2656,7.4609,1535200
#2000-02-24#,7.5469,8.75,7.5469,8.5781,1708800
#2000-02-25#,8.625,9.125,8.2969,8.5156,2537600
#2000-02-28#,8.9688,9.2734,8.8438,9.25,1037600
#2000-02-29#,9.5938,9.5938,9.2266,9.3281,2193600
#2000-03-01#,9.625,9.9063,9.5,9.8828,1716000
#2000-03-02#,10.0156,10.0469,9.6641,9.8125,1100000
#2000-03-03#,9.7188,9.8438,9.6875,9.7031,696800
#2000-03-06#,9.7031,9.8672,9.625,9.8672,707200
#2000-03-07#,9.875,9.9375,9.5625,9.6484,768000
#2000-03-08#,9.5156,9.6406,9.1328,9.6406,1144000
#2000-03-09#,9.75,9.9219,9.75,9.875,623200
#2000-03-10#,9.875,9.875,9.375,9.4063,586400
#2000-03-13#,9.2813,9.3594,9.0234,9.0938,680000
#2000-03-14#,8.8594,8.8594,7.25,7.5,2542400
#2000-03-15#,7.5,8.4375,7.4688,8.3125,1606400
#2000-03-16#,8.5,9.1875,8.5,9.1875,720000
#2000-03-17#,9.0938,9.1563,9,9.125,553600
#2000-03-20#,9.0625,9.1328,9.0391,9.0938,345600
#2000-03-21#,9.0625,9.2344,8.9688,9.2344,534400
#2000-03-22#,9.2344,9.9219,9.2344,9.9063,686400
#2000-03-23#,9.9063,10.1719,9.8594,9.875,1524000
#2000-03-24#,9.8438,9.8438,8.7813,8.8828,1370400
#2000-03-27#,9.0547,9.1641,8.5,8.5,1789600
#2000-03-28#,8.7188,9.1563,8.7188,9.0859,1624800
#2000-03-29#,9.0859,9.1875,8.6094,8.625,860000
#2000-03-30#,8.4375,8.8672,8.4375,8.6953,1351200
#2000-03-31#,8.7813,8.9688,8.7813,8.9219,804000
#2000-04-03#,9.0313,9.75,9.0313,9.2188,407200
#2000-04-04#,9.2188,9.2188,7.5,7.9063,595200
#2000-04-05#,8.1875,8.9688,7.9844,8.75,1256000
#2000-04-06#,8.75,8.7656,8.2813,8.3438,311600
