"Date","Open","High","Low","Close","Volume"
#2004-01-01#,3.0328,3.042,2.9695,2.9695,937069
#2004-01-02#,2.9761,3.0354,2.9748,3.0091,381966
#2004-01-05#,3.0091,3.0196,2.9722,2.9893,899859
#2004-01-06#,2.9761,2.9801,2.9287,2.9287,662175
#2004-01-07#,2.9564,2.9761,2.9498,2.9722,768488
#2004-01-08#,2.9893,3.0183,2.9801,3.0156,386522
#2004-01-09#,3.0183,3.2198,2.9985,3.1605,4190991
#2004-01-12#,3.1539,3.2593,3.1486,3.2593,2606934
#2004-01-13#,3.2527,3.254,3.1921,3.2527,640913
#2004-01-14#,3.2724,3.2869,3.2527,3.2816,486000
#2004-01-15#,3.2658,3.3264,3.2593,3.3198,1626581
#2004-01-16#,3.3317,3.4265,3.3185,3.4107,1698722
#2004-01-19#,3.3317,3.4265,3.3185,3.4107,1698722
#2004-01-20#,3.4107,3.4107,3.3251,3.3607,1148175
#2004-01-21#,3.3646,3.4081,3.3514,3.3607,766209
#2004-01-22#,3.3646,3.387,3.3159,3.3238,767728
#2004-01-23#,3.3317,3.3501,3.3014,3.3383,1146656
#2004-01-26#,3.3251,3.3646,3.3185,3.3475,522450
#2004-01-27#,3.3212,3.3396,3.2816,3.3159,957572
#2004-01-28#,3.3383,3.3383,3.2724,3.308,1002375
#2004-01-29#,3.3053,3.3317,3.2474,3.3277,841388
#2004-01-30#,3.3146,3.3422,3.2922,3.3317,940866
#2004-02-02#,3.3251,3.3251,3.2566,3.304,1123875
#2004-02-03#,3.2988,3.3053,3.2448,3.254,1372191
#2004-02-04#,3.2395,3.283,3.2,3.2053,1698722
#2004-02-05#,3.2132,3.2461,3.1486,3.1671,971241
#2004-02-06#,3.1473,3.204,3.1012,3.1513,1879453
#2004-02-09#,3.1644,3.2316,3.1605,3.1881,755578
#2004-02-10#,3.1737,3.1763,3.0986,3.1658,1127672
#2004-02-11#,3.1473,3.2092,3.1223,3.2092,650784
#2004-02-12#,3.2,3.2119,3.1605,3.1868,381966
#2004-02-13#,3.1802,3.2105,3.1605,3.1934,653063
