"Date","Open","High","Low","Close","Volume"
#2011-01-03#,46.3,46.53,45.895,46.09,3534491
#2011-01-04#,46.03,47,45.81,46.99,4649743
#2011-01-05#,46.75,48.06,46.6,47.7,4637392
#2011-01-06#,48.07,48.97,47.77,48.72,4542021
#2011-01-07#,48.77,50.405,48.75,49.85,5742298
#2011-01-10#,49.76,49.98,48.95,49.64,5471393
#2011-01-11#,49.92,50.05,48.98,49.22,2849290
#2011-01-12#,49.6,49.97,49.26,49.35,2473756
#2011-01-13#,49.41,49.87,49.31,49.52,2378715
#2011-01-14#,49.47,50.495,49.25,50.26,3353272
#2011-01-17#,49.47,50.495,49.25,50.26,3353272
#2011-01-18#,50.4,51,50.18,50.88,2837654
#2011-01-19#,50.69,51.21,50.34,51.21,3437405
#2011-01-20#,51.01,52.39,50.9975,52.37,5369496
#2011-01-21#,52.42,52.49,51.86,52.15,5765785
#2011-01-24#,52.16,52.35,51.4748,51.82,3063653
#2011-01-25#,51.63,52.48,51.57,52.32,2562688
#2011-01-26#,52.01,52.39,51.21,51.6,3173411
#2011-01-27#,51.31,52.5,51.13,51.14,4441253
#2011-01-28#,51.71,51.83,49.35,49.48,5952472
#2011-01-31#,49.69,50.25,49.6,49.99,4929831
#2011-02-01#,50.25,50.62,50.19,50.5,2625963
#2011-02-02#,49.59,50.27,49.41,50.11,1715296
#2011-02-03#,50.13,50.4,49.76,49.91,2655842
#2011-02-04#,50.05,50.77,49.91,50.2,2605094
#2011-02-07#,50.44,51.67,50.306,51.15,2773970
#2011-02-08#,51.04,51.63,51.04,51.56,1682678
#2011-02-09#,51.355,51.55,51.21,51.49,2007489
#2011-02-10#,51.3,51.74,51.03,51.2,2398361
#2011-02-11#,51,51.36,50.785,51.08,2302946
#2011-02-14#,51.08,51.37,50.25,50.86,2179039
#2011-02-15#,50.62,50.93,50.28,50.79,2033299
#2011-02-16#,50.68,51.17,50.45,50.94,2372905
#2011-02-17#,50.82,52.04,50.75,51.5,2108169
#2011-02-18#,52.13,52.45,51.93,52.16,2633077
#2011-02-21#,52.13,52.45,51.93,52.16,2633077
#2011-02-22#,51.31,51.94,51.09,51.39,2840634
#2011-02-23#,51.27,51.89,50.55,50.83,2409889
#2011-02-24#,50.71,51.54,50.65,50.89,2972568
#2011-02-25#,51.39,51.74,51,51.24,2316244
#2011-02-28#,51.46,51.6,51,51.21,2077061
#2011-03-01#,51.42,51.59,50.51,50.6,2099396
#2011-03-02#,50.63,51.31,50.36,51.02,2929077
#2011-03-03#,51.41,52.39,51.29,52.09,2052483
#2011-03-04#,51.88,51.95,50.95,51.72,2456968
#2011-03-07#,51.92,52.4,50.99,51.09,2159475
#2011-03-08#,51.11,52.63,51.1,52.21,2741707
#2011-03-09#,52.15,53.12,52.02,52.51,2916408
#2011-03-10#,52.13,52.48,51.59,51.89,2616689
#2011-03-11#,51.98,52.34,51.5,52.13,1517262
#2011-03-14#,51.75,51.89,51.13,51.54,2005044
#2011-03-15#,50.59,51.35,50.28,51.05,5090780
#2011-03-16#,50.95,50.95,49.75,49.77,3882267
#2011-03-17#,50.19,50.46,49.66,49.93,2421309
#2011-03-18#,50.65,50.69,49.16,49.73,4823096
