"Date","Open","High","Low","Close","Volume"
#2011-01-03#,48.9463,49.817,48.7583,49.065,1620766
#2011-01-04#,49.4608,49.5696,47.4918,48.4318,2355963
#2011-01-05#,47.9964,48.4318,47.4918,48.0855,1836062
#2011-01-06#,48.135,48.3526,46.7102,47.1258,1650571
#2011-01-07#,46.9081,47.0565,45.5328,46.0374,2357642
#2011-01-10#,45.8197,45.8593,44.7808,45.0183,2468397
#2011-01-11#,45.5823,46.3045,45.513,46.2254,2271417
#2011-01-12#,46.8289,47.2445,46.3243,46.7597,1433354
#2011-01-13#,46.5321,46.7597,45.6317,45.8791,1425884
#2011-01-14#,46.0968,46.1166,45.0084,45.9582,2083175
#2011-01-17#,46.0968,46.1166,45.0084,45.9582,2083175
#2011-01-18#,46.2848,47.007,46.2551,47.007,1592095
#2011-01-19#,47.106,47.3632,45.7999,46.2254,1677004
#2011-01-20#,45.2854,45.5625,43.3165,44.672,2625400
#2011-01-21#,44.9787,45.2427,43.6628,43.7222,1689697
#2011-01-24#,43.7222,44.9095,43.6826,44.1773,1375191
#2011-01-25#,43.7815,43.7815,42.2677,43.3858,1993949
#2011-01-26#,43.6331,45.1915,43.5144,45.1271,1793646
#2011-01-27#,45.513,45.513,43.831,44.1971,1409451
#2011-01-28#,44.1872,44.4939,43.1384,43.7716,1778819
#2011-01-31#,44.0685,44.5335,43.9102,44.3455,1577288
#2011-02-01#,45.137,47.1258,44.9787,46.819,2679854
#2011-02-02#,46.7894,47.0466,45.8732,46.2353,2146715
#2011-02-03#,46.4826,46.4826,44.6225,45.701,2017349
#2011-02-04#,45.9484,46.3243,45.1766,45.8296,1487535
#2011-02-07#,46.2848,46.4332,45.3638,45.4833,1646434
#2011-02-08#,45.6416,45.8296,45.0183,45.6416,1725010
#2011-02-09#,45.5922,45.5922,44.0289,44.4148,1653098
#2011-02-10#,43.9794,44.7314,43.5837,44.3356,1906238
#2011-02-11#,43.6776,44.3257,43.4164,43.9299,1265694
#2011-02-14#,44.4642,44.9095,44.1377,44.207,1664568
#2011-02-15#,44.3158,44.3752,42.9603,43.5243,1713412
#2011-02-16#,43.9596,43.9794,43.0395,43.6727,1462237
#2011-02-17#,43.5342,43.6727,42.8317,42.99,2319808
#2011-02-18#,42.9504,42.9999,42.0699,42.1787,1530674
#2011-02-21#,42.9504,42.9999,42.0699,42.1787,1530674
#2011-02-22#,41.3872,42.1787,40.2889,40.5758,3038975
#2011-02-23#,40.3879,41.2981,40.0712,41.2585,2467369
#2011-02-24#,41.0409,41.8324,40.8232,41.3377,1992792
#2011-02-25#,41.9115,42.2084,41.6246,41.961,1511253
#2011-02-28#,42.4656,42.6833,41.3674,41.872,1960783
#2011-03-01#,42.4458,42.5349,40.6253,40.8628,2343487
#2011-03-02#,40.7935,41.6543,40.6154,41.4663,1403752
#2011-03-03#,42.2183,42.5448,41.7053,42.2578,1592554
#2011-03-04#,42.4458,42.6734,41.3575,41.6048,1199603
#2011-03-07#,41.684,41.9511,39.8734,40.2988,1900972
#2011-03-08#,40.4571,41.0409,39.5468,40.2988,1825244
#2011-03-09#,40.3087,40.3087,39.1808,39.3885,2324278
#2011-03-10#,38.597,39.0225,37.8791,38.2408,3243132
#2011-03-11#,37.8253,39.537,37.6076,39.4974,2451782
#2011-03-14#,39.1313,39.4974,38.8147,39.3786,1474545
#2011-03-15#,37.9143,40.7045,37.3504,40.467,3400353
#2011-03-16#,40.7737,41.0013,38.687,39.4974,2585505
#2011-03-17#,40.3977,40.6154,39.7843,39.903,2140643
#2011-03-18#,40.8133,41.0013,39.3589,39.4578,2102923
#2011-03-21#,40.378,40.4868,39.1511,39.8437,2293570
#2011-03-22#,39.9129,40.0514,38.9433,39.7546,1731900
#2011-03-23#,40.3186,41.1695,39.8734,41.1101,3759048
#2011-03-24#,41.6543,41.9017,40.8628,41.5554,2097451
#2011-03-25#,41.7433,42.0006,40.7144,40.8331,2399797
#2011-03-28#,40.7144,41.031,39.7546,39.7744,2232068
#2011-03-29#,39.7744,40.2196,39.3984,40.002,1747192
#2011-03-30#,40.4868,40.5065,39.4083,39.8239,3786743
#2011-03-31#,39.8041,40.3087,39.5073,39.8437,2880435
#2011-04-01#,39.9624,40.0119,39.0818,39.4182,2046349
#2011-04-04#,39.8041,40.0317,39.2797,40.0218,2819680
#2011-04-05#,39.8437,40.7341,39.5864,40.0613,4000270
#2011-04-06#,40.7045,40.7144,39.6953,39.814,2925575
#2011-04-07#,39.8536,40.1009,38.2507,38.7058,4617922
#2011-04-08#,39.2995,39.5567,39.0126,39.3984,2378484
#2011-04-11#,38.5871,39.0996,38.1914,38.3694,2790979
#2011-04-12#,37.8945,38.0232,37.0041,37.6472,3641769
#2011-04-13#,37.9737,38.0627,36.5192,36.6973,3762702
#2011-04-14#,36.5984,36.7567,35.3023,35.4903,5220434
#2011-04-15#,35.4507,36.1729,35.3567,36.0542,4731151
#2011-04-18#,36.4995,36.4995,35.0648,35.3814,3438488
#2011-04-19#,34.9263,36.5786,34.9263,36.45,6042340
#2011-04-20#,37.2712,37.5383,35.6782,36.1631,3506092
#2011-04-21#,36.5291,36.6578,36.0641,36.4698,1734805
#2011-04-22#,36.5291,36.6578,36.0641,36.4698,1734805
#2011-04-25#,36.8952,37.0436,35.6683,35.9553,1617290
#2011-04-26#,36.2125,36.2323,35.4804,35.5694,3110026
#2011-04-27#,35.6782,35.8158,34.9362,35.421,2561492
#2011-04-28#,35.2231,36.6776,35.0549,36.6182,3033655
#2011-04-29#,36.7765,37.7263,36.7468,37.0634,4158910
