"Date","Open","High","Low","Close","Volume"
#2017-01-02#,73.76,73.76,72.97,73.28,530561
#2017-01-03#,73.34,74.06,72.511,73.25,1157120
#2017-01-04#,73.49,73.8099,73.03,73.28,790887
#2017-01-05#,73.25,73.42,72.21,72.4,1259703
#2017-01-06#,72.25,72.4,71.545,71.9,1278834
#2017-01-09#,72.05,72.075,70.63,70.93,1566578
#2017-01-10#,70.69,71.09,70.1,71.02,1356981
#2017-01-11#,71.04,71.58,70.74,71.49,772841
#2017-01-12#,71.56,72.16,71.27,71.99,1115144
#2017-01-13#,71.93,72.2,71.45,72.06,507101
#2017-01-16#,71.93,72.2,71.45,72.06,507101
#2017-01-17#,72.23,72.89,72.22,72.54,576011
#2017-01-18#,72.37,72.7,72.16,72.36,512039
#2017-01-19#,71.63,71.82,70.83,70.99,649303
#2017-01-20#,71.16,71.35,70.47,70.85,586930
#2017-01-23#,71.14,71.22,70.21,70.3,664956
#2017-01-24#,69.82,70.46,69.41,69.72,865365
#2017-01-25#,69.51,69.77,69.28,69.35,774053
#2017-01-26#,69.3,69.72,68.45,68.91,963909
#2017-01-27#,68.97,69.1,68.33,68.5,531724
#2017-01-30#,68.8,68.8,67.71,68.13,892380
#2017-01-31#,68.24,68.74,67.98,68.7,1308935
#2017-02-01#,68.22,68.7,67.6,68.28,979239
#2017-02-02#,68.42,69.34,68.08,69.17,736743
#2017-02-03#,69.39,69.89,69.09,69.7,841458
#2017-02-06#,69.9,70.09,69.21,69.49,500693
#2017-02-07#,69.61,69.72,69.24,69.4,637505
#2017-02-08#,69.61,70.315,69.61,70.25,525682
#2017-02-09#,70.11,70.51,69.12,69.15,803402
#2017-02-10#,69.06,69.4,68.87,69.27,902958
#2017-02-13#,69.16,70.09,69,70.03,1803082
#2017-02-14#,68.19,68.8,66.5,66.86,1936821
#2017-02-15#,66.15,67.5,65.08,67.47,1735880
#2017-02-16#,67.01,68.07,66.2,67.32,1527917
#2017-02-17#,67.41,67.55,65.13,65.65,1555081
#2017-02-20#,67.41,67.55,65.13,65.65,1555081
#2017-02-21#,65.58,67.06,65.12,66.96,1042606
#2017-02-22#,67,68.08,66.71,67.94,1210656
#2017-02-23#,68.15,69.2,68.135,68.94,905208
#2017-02-24#,69.28,69.34,68.46,68.92,880212
#2017-02-27#,68.93,68.96,68.43,68.54,470916
#2017-02-28#,68.63,69.48,68.51,69.35,1040545
#2017-03-01#,68.18,69.11,68.122,68.78,1033961
#2017-03-02#,68.55,70.4,68.47,69.98,1019395
#2017-03-03#,70.73,70.94,70.01,70.5,1452049
#2017-03-06#,70.42,70.695,70.03,70.42,633611
#2017-03-07#,70.25,70.57,69.76,69.81,833064
#2017-03-08#,68.5,69.02,67.77,67.98,966681
#2017-03-09#,68,68.55,67.32,67.34,997497
#2017-03-10#,67.55,68.12,67.22,67.42,1136954
#2017-03-13#,67.47,67.9,67.2,67.6,1813288
#2017-03-14#,67.6,67.88,67.2,67.45,923377
#2017-03-15#,67.72,69.06,67.49,68.75,890483
#2017-03-16#,68.62,68.73,67.46,67.68,746318
#2017-03-17#,67.87,68.33,67.65,67.88,1969159
#2017-03-20#,67.99,68.13,67.36,67.43,714960
#2017-03-21#,67.62,68.54,67.19,68.27,972407
#2017-03-22#,68.57,68.84,67.4,67.74,1263501
#2017-03-23#,67.54,67.81,66.39,66.71,1696889
#2017-03-24#,66.8,67.47,66.38,66.91,1123686
#2017-03-27#,67.15,67.31,66.1634,66.46,1038543
#2017-03-28#,66.5,66.76,65.93,66.14,1241730
#2017-03-29#,65.97,65.985,64.2,65.66,3049678
#2017-03-30#,65.48,65.69,64.945,65.55,1173558
#2017-03-31#,65.55,65.68,65.3007,65.35,1418722
#2017-04-03#,65.35,65.99,64.79,65.84,1513825
#2017-04-04#,65.85,66.52,65.59,66.12,1328261
#2017-04-05#,66.14,66.89,65.92,66.75,2524190
#2017-04-06#,66.63,66.68,66.17,66.3,837538
#2017-04-07#,66.35,66.52,65.32,65.4,2051315
#2017-04-10#,65.46,65.66,65.14,65.52,658378
#2017-04-11#,65.43,65.54,65.1,65.3,745245
#2017-04-12#,65.22,66.23,64.99,66.22,1536388
#2017-04-13#,66.19,66.25,65.33,65.8,1075503
#2017-04-14#,66.19,66.25,65.33,65.8,1075503
#2017-04-17#,66,66.35,65.88,66.3,658636
#2017-04-18#,66.32,66.75,66.04,66.7,800059
#2017-04-19#,66.58,66.82,66.345,66.61,884967
#2017-04-20#,66.52,66.52,65.72,66.04,1109696
#2017-04-21#,65.99,66.64,65.99,66.27,876373
