"Date","Open","High","Low","Close","Volume"
#2016-01-01#,3570.467,3580.602,3538.353,3539.182,17696070000
#2016-01-04#,3536.588,3538.689,3295.741,3296.258,18441240000
#2016-01-05#,3196.651,3328.139,3189.605,3287.71,26683330000
#2016-01-06#,3291.195,3362.974,3288.933,3361.84,23888500000
#2016-01-07#,3309.657,3309.657,3115.885,3125.002,7056755000
#2016-01-08#,3194.625,3235.451,3056.877,3186.412,28643740000
#2016-01-11#,3131.854,3166.215,3016.697,3016.704,27164260000
#2016-01-12#,3026.159,3047.663,2978.463,3022.861,20765790000
#2016-01-13#,3041.107,3059.015,2949.29,2949.597,19427950000
#2016-01-14#,2874.049,3012.293,2867.553,3007.649,21288120000
#2016-01-15#,2988.048,3001.708,2883.868,2900.97,19872170000
#2016-01-18#,2847.539,2945.45,2844.704,2913.837,16469970000
#2016-01-19#,2914.408,3012.068,2906.404,3007.739,20527970000
#2016-01-20#,2993.014,3016.282,2951.922,2976.694,21650550000
#2016-01-21#,2934.391,2998.79,2880.085,2880.482,19167570000
#2016-01-22#,2911.112,2931.359,2851.732,2916.563,15981070000
#2016-01-25#,2934.078,2955.783,2911.828,2938.515,15303910000
#2016-01-26#,2907.718,2911.991,2743.839,2749.785,21083600000
#2016-01-27#,2756.082,2768.772,2638.302,2735.558,21572200000
#2016-01-28#,2711.158,2740.536,2647.493,2655.661,17112030000
#2016-01-29#,2652.854,2755.366,2649.791,2737.6,18667310000
#2016-02-01#,2730.984,2735.255,2655.623,2688.854,15638370000
#2016-02-02#,2687.982,2755.159,2687.982,2749.57,15807820000
#2016-02-03#,2719.574,2746.072,2696.884,2739.247,14839720000
#2016-02-04#,2751.432,2793.298,2751.314,2781.023,17038200000
#2016-02-05#,2783.076,2790.061,2762.16,2763.492,14118500000
#2016-02-08#,2783.076,2790.061,2762.16,2763.492,14118500000
#2016-02-09#,2783.076,2790.061,2762.16,2763.492,14118500000
#2016-02-10#,2783.076,2790.061,2762.16,2763.492,14118500000
#2016-02-11#,2783.076,2790.061,2762.16,2763.492,14118500000
#2016-02-12#,2783.076,2790.061,2762.16,2763.492,14118500000
#2016-02-15#,2684.961,2760.359,2682.09,2746.196,12926170000
#2016-02-16#,2758.579,2840.622,2758.579,2836.571,19596090000
#2016-02-17#,2829.763,2868.701,2824.356,2867.338,21690880000
#2016-02-18#,2881.777,2893.215,2857.699,2862.893,21920010000
#2016-02-19#,2854.904,2872.724,2840.488,2860.021,16338170000
#2016-02-22#,2888.598,2933.964,2880.347,2927.175,23217040000
#2016-02-23#,2925.708,2928.048,2872.282,2903.331,19973070000
#2016-02-24#,2889.885,2929.871,2872.274,2928.896,21309620000
#2016-02-25#,2922.237,2922.237,2729.851,2741.245,26994860000
#2016-02-26#,2760.058,2784.753,2715.874,2767.21,19105060000
#2016-02-29#,2754.814,2755.89,2638.963,2687.979,20730320000
#2016-03-01#,2688.38,2747.562,2668.757,2733.17,18687140000
#2016-03-02#,2733.767,2852.7,2732.539,2849.681,27058890000
#2016-03-03#,2847.331,2878.445,2840.874,2859.758,28747820000
#2016-03-04#,2848.538,2880.372,2808.849,2874.147,31249520000
#2016-03-07#,2886.64,2911.839,2871.346,2897.34,21746640000
#2016-03-08#,2895.666,2902.621,2802.563,2901.387,23348240000
#2016-03-09#,2839.411,2863.015,2811.718,2862.556,18335500000
#2016-03-10#,2847.567,2863.176,2803.477,2804.725,13897840000
#2016-03-11#,2781.6,2815.607,2772.551,2810.308,12724450000
#2016-03-14#,2830.084,2889.816,2823.028,2859.499,19481280000
#2016-03-15#,2853.978,2865.787,2819.795,2864.368,16338200000
#2016-03-16#,2858.709,2881.529,2854.192,2870.43,18648220000
#2016-03-17#,2875.411,2921,2857.191,2904.832,20008130000
#2016-03-18#,2915.518,2971.551,2908.742,2955.15,31304820000
#2016-03-21#,2978.455,3028.322,2973.757,3018.802,35197880000
#2016-03-22#,3001.63,3019.101,2988.426,2999.363,27005140000
#2016-03-23#,2991.169,3012.56,2980.856,3009.96,21680430000
#2016-03-24#,2986.801,2998.154,2960.537,2960.97,23700440000
#2016-03-25#,2956.2,2981.408,2952.106,2979.434,17506830000
#2016-03-28#,2988.01,3008.168,2948.526,2957.82,20200190000
#2016-03-29#,2956.705,2962.203,2905.251,2919.832,18279230000
#2016-03-30#,2941.218,3001.106,2941.218,3000.645,21036820000
#2016-03-31#,3009.367,3023.409,2992.916,3003.915,22039750000
#2016-04-01#,2997.088,3009.673,2956.247,3009.53,20599980000
#2016-04-04#,2997.088,3009.673,2956.247,3009.53,20599980000
#2016-04-05#,3000.938,3057.33,2993.147,3053.065,25605240000
#2016-04-06#,3039.745,3059.794,3029.005,3050.592,23209920000
#2016-04-07#,3058.339,3062.358,3007.06,3008.42,22077000000
#2016-04-08#,2988.2,2996.171,2960.46,2984.958,18781770000
#2016-04-11#,3006.909,3048.977,3006.909,3033.957,21995050000
#2016-04-12#,3031.302,3036.825,3001.315,3023.646,18263890000
#2016-04-13#,3041.358,3097.165,3041.358,3066.638,30993130000
#2016-04-14#,3080.09,3086.698,3056.988,3082.362,20817690000
#2016-04-15#,3085.026,3089.951,3066.872,3078.116,18954240000
#2016-04-18#,3058.463,3058.463,3022.97,3033.66,18317640000
#2016-04-19#,3047.133,3054.503,3024.895,3042.823,15647460000
#2016-04-20#,3050.38,3055.689,2905.049,2972.584,28305430000
#2016-04-21#,2954.37,2990.673,2943.464,2952.891,18936130000
#2016-04-22#,2933.035,2960.209,2926.776,2959.24,13717160000
#2016-04-25#,2949.973,2954.092,2917.02,2946.67,12581290000
#2016-04-26#,2944.716,2965.429,2933.97,2964.7,11765530000
#2016-04-27#,2967.19,2976.022,2949.432,2953.671,13081680000
#2016-04-28#,2955.742,2959.512,2916.374,2945.588,13857750000
#2016-04-29#,2935.376,2950.576,2930.356,2938.323,10899480000
#2016-05-02#,2935.376,2950.576,2930.356,2938.323,10899480000
#2016-05-03#,2940.392,2993.535,2929.815,2992.643,16861250000
#2016-05-04#,2983.027,3004.418,2978.33,2991.272,16532130000
#2016-05-05#,2987.022,2999.118,2977.2,2997.842,14471670000
#2016-05-06#,2998.402,3003.59,2913.036,2913.248,20671580000
#2016-05-09#,2896.162,2896.162,2821.826,2832.113,18027820000
#2016-05-10#,2822.327,2845.238,2820.164,2832.591,12069240000
#2016-05-11#,2843.545,2857.254,2818.699,2837.037,13559570000
#2016-05-12#,2812.108,2839.276,2781.236,2835.862,13632530000
#2016-05-13#,2828.461,2850.093,2814.115,2827.109,11431650000
#2016-05-16#,2816.775,2851.229,2804.991,2850.862,11464780000
#2016-05-17#,2850.927,2860.321,2832.459,2843.684,12336560000
#2016-05-18#,2828.178,2828.255,2781.417,2807.514,14013700000
#2016-05-19#,2802.314,2829.402,2801.548,2806.906,11134920000
#2016-05-20#,2792.888,2825.952,2785.079,2825.483,10870000000
#2016-05-23#,2826.312,2848.071,2826.256,2843.645,12046970000
#2016-05-24#,2839.682,2839.695,2807.188,2821.666,11145130000
#2016-05-25#,2835.03,2843.165,2807.749,2815.086,10352550000
#2016-05-26#,2813.543,2827.092,2780.763,2822.443,11475670000
#2016-05-27#,2817.968,2832.799,2809.799,2821.046,10983570000
#2016-05-30#,2814.651,2830.97,2794.661,2822.451,10631480000
#2016-05-31#,2822.593,2917.135,2822.593,2916.616,21525720000
#2016-06-01#,2917.154,2929.076,2909.512,2913.508,18838280000
#2016-06-02#,2911.219,2925.67,2906.524,2925.229,15971690000
#2016-06-03#,2929.788,2945.519,2915.185,2938.682,17202090000
#2016-06-06#,2940.994,2945.942,2922.283,2934.098,14198960000
#2016-06-07#,2936.282,2938.444,2923.502,2936.045,13298570000
#2016-06-08#,2932.376,2937.986,2908.367,2927.159,14304410000
#2016-06-09#,2932.376,2937.986,2908.367,2927.159,14304410000
#2016-06-10#,2932.376,2937.986,2908.367,2927.159,14304410000
#2016-06-13#,2897.273,2911.158,2832.507,2833.071,16924860000
#2016-06-14#,2824.229,2843.456,2822.061,2842.189,11974320000
#2016-06-15#,2814.693,2894.264,2811.781,2887.21,16665450000
#2016-06-16#,2878.402,2887.743,2865.388,2872.817,17387490000
#2016-06-17#,2873.009,2900.299,2872.185,2885.105,17145980000
#2016-06-20#,2887.636,2891.658,2864.02,2888.809,13655080000
#2016-06-21#,2898.384,2919.302,2869.176,2878.557,16434270000
#2016-06-22#,2872.734,2905.978,2869.513,2905.55,13058970000
#2016-06-23#,2902.398,2904.111,2878.661,2891.96,13613660000
#2016-06-24#,2883.759,2899.569,2807.597,2854.286,19083940000
#2016-06-27#,2840.558,2895.731,2840.276,2895.703,15669480000
#2016-06-28#,2885.011,2913.582,2878.824,2912.557,17386830000
#2016-06-29#,2918.534,2933.998,2915.062,2931.592,19321520000
#2016-06-30#,2931.481,2938.137,2922.312,2929.606,15446480000
#2016-07-01#,2931.802,2944.99,2925.81,2932.476,14124580000
#2016-07-04#,2924.293,2992.498,2922.52,2988.604,22201680000
#2016-07-05#,2991.752,3010.275,2990.642,3006.392,23520410000
#2016-07-06#,2998.521,3017.652,2984.828,3017.293,21236940000
#2016-07-07#,3009.353,3024.109,2994.643,3016.847,22268070000
#2016-07-08#,3000.326,3001.551,2983.881,2988.094,16898570000
#2016-07-11#,2993.749,3022.944,2990.907,2994.917,22433550000
#2016-07-12#,2992.519,3049.681,2984.42,3049.381,25948110000
#2016-07-13#,3049.513,3069.047,3048.199,3060.689,25365760000
#2016-07-14#,3054.975,3057.046,3036.523,3054.018,18018980000
#2016-07-15#,3056.682,3062.683,3044.538,3054.296,17285910000
#2016-07-18#,3047.637,3058.321,3031.639,3043.564,17748060000
#2016-07-19#,3040.226,3043.6,3014.289,3036.598,15441810000
#2016-07-20#,3034.714,3042.997,3022.631,3027.899,13824260000
#2016-07-21#,3027.604,3053.334,3027.368,3039.009,16376710000
#2016-07-22#,3038.118,3039.27,3007.457,3012.816,16200900000
#2016-07-25#,3008.094,3027.123,3003.292,3015.828,14420420000
#2016-07-26#,3014.04,3050.615,3013.802,3050.166,15669450000
#2016-07-27#,3050.367,3057.424,2939.227,2991.999,28016090000
#2016-07-28#,2980.501,3003.363,2968.182,2994.323,19056490000
#2016-07-29#,2992.535,3000.055,2972.916,2979.339,15010150000
#2016-08-01#,2971.949,2972.875,2931.963,2953.385,14740760000
#2016-08-02#,2950.08,2971.279,2946.637,2971.279,11536210000
#2016-08-03#,2963.214,2981.155,2956.786,2978.461,14106100000
#2016-08-04#,2976.41,2982.86,2958.933,2982.426,13387840000
#2016-08-05#,2978.778,2991.677,2971.564,2976.696,13638710000
#2016-08-08#,2972.625,3004.718,2959.048,3004.277,15166440000
#2016-08-09#,3001.306,3025.911,2998.677,3025.681,16526540000
#2016-08-10#,3023.472,3033.197,3017.09,3018.746,16029200000
