"Date","Open","High","Low","Close","Volume"
#2008-01-01#,51.21,51.8,51.1,51.44,429300
#2008-01-02#,51.34,51.34,50.65,50.98,359500
#2008-01-03#,51.16,51.28,49.61,49.72,337600
#2008-01-04#,49.51,49.55,48.85,49.09,253595
#2008-01-07#,49.04,49.46,48.8,49.24,209300
#2008-01-08#,49.59,50,49.2,49.27,256611
#2008-01-09#,49.13,49.38,48.18,48.63,266000
#2008-01-10#,48.51,49.28,48.5,49.16,167900
#2008-01-11#,48.85,48.92,48.04,48.07,171840
#2008-01-14#,48.31,48.31,47.06,47.19,236451
#2008-01-15#,46.77,47.02,45.57,46,413455
#2008-01-16#,45.9,46.85,45.9,46.22,223692
#2008-01-17#,46.5,46.87,46.03,46.06,228050
#2008-01-18#,46.32,46.32,44.85,45.04,306000
#2008-01-21#,46.32,46.32,44.85,45.04,306000
#2008-01-22#,43.33,45,42.75,44.66,327802
#2008-01-23#,44.64,45.82,43.8,45.61,429100
#2008-01-24#,45.78,46.08,45.03,45.5,342716
#2008-01-25#,45.91,45.91,45,45.04,189800
#2008-01-28#,44.96,46.18,44.91,46.18,194663
#2008-01-29#,46.52,46.75,46.18,46.68,223586
#2008-01-30#,46.44,47.08,46.15,46.19,144110
#2008-01-31#,46.2,47.15,45.78,46.78,270050
#2008-02-01#,47.08,48.84,47.06,48.55,362479
#2008-02-04#,48.64,48.75,47.93,48.06,173507
#2008-02-05#,47.3,48.33,47.3,48.08,250692
#2008-02-06#,48.26,48.45,46.97,47.15,247500
#2008-02-07#,46.95,48.17,46.84,48.17,239304
#2008-02-08#,48.12,48.2,47.39,47.54,264127
#2008-02-11#,47.77,48.39,47.51,48.33,243426
#2008-02-12#,48.68,48.73,48.11,48.4,201118
#2008-02-13#,48.6,49.06,48.31,48.54,168954
#2008-02-14#,48.82,48.82,47.85,47.85,250385
#2008-02-15#,48.24,50.28,48.05,50.26,462298
#2008-02-18#,48.24,50.28,48.05,50.26,462298
#2008-02-19#,50.68,50.68,48.87,49.12,373765
#2008-02-20#,48.74,50.35,48.74,50.02,452500
#2008-02-21#,50.21,50.9,50.17,50.25,373606
#2008-02-22#,50.49,50.63,50.05,50.5,223900
#2008-02-25#,50.56,51.82,50.55,51.78,268974
#2008-02-26#,51.7,52.25,51.6,51.82,270242
#2008-02-27#,51.3,52.46,51.23,51.85,270500
#2008-02-28#,51.49,52.03,51.43,51.84,238600
#2008-02-29#,51.4,52.06,50.94,51.19,344400
#2008-03-03#,51,52.38,50.74,52.26,521613
#2008-03-04#,52.1,52.59,51.24,51.39,607292
#2008-03-05#,51.9,52.15,51.21,51.67,488480
#2008-03-06#,51.45,51.45,49.79,49.83,501550
#2008-03-07#,49.5,50.04,49.34,49.44,379221
#2008-03-10#,49.59,50.77,49.44,50.34,427700
#2008-03-11#,51.4,51.4,50.34,50.62,521050
#2008-03-12#,50.77,51.6,50.73,50.82,502078
#2008-03-13#,50.3,51.22,50.3,51.03,438600
#2008-03-14#,51.35,51.71,50.55,50.83,384500
#2008-03-17#,49.86,51.01,49.79,49.99,323537
#2008-03-18#,50.78,51,50.11,50.99,294000
#2008-03-19#,51.34,51.76,50.46,50.46,274100
#2008-03-20#,50.28,51.18,50.21,50.96,462500
#2008-03-21#,50.28,51.18,50.21,50.96,462500
#2008-03-24#,50.95,51.34,50.69,51,329800
#2008-03-25#,51.18,51.74,51.18,51.39,220200
#2008-03-26#,51.27,51.27,50.31,50.55,210400
#2008-03-27#,50.4,51.08,50.26,50.72,254900
#2008-03-28#,51.05,51.21,50.68,50.8,170300
#2008-03-31#,50.87,50.9,50.31,50.61,289700
#2008-04-01#,50.93,51.78,50.83,51.78,256360
