"Date","Open","High","Low","Close","Volume"
#2013-01-01#,67.87,69.35,67.64,69.2986,6375964
#2013-01-02#,70.8,71.41,70.12,71.4,6391333
#2013-01-03#,71.25,72,70.66,70.92,6062950
#2013-01-04#,71.33,72.22,71.042,72.01,5165313
#2013-01-07#,71.53,72.23,71.42,72.21,4104403
#2013-01-08#,71.94,72.6,71.5,72.51,5274849
#2013-01-09#,72.76,72.97,72.012,72.2,4626445
#2013-01-10#,72.7,73.25,72.54,73.25,5591138
#2013-01-11#,73.19,73.8,73.06,73.75,4106350
#2013-01-14#,73.39,73.77,72.54,72.77,4155015
#2013-01-15#,72.47,72.86,72.19,72.59,4285950
#2013-01-16#,72.53,73.63,72.53,73.22,4951914
#2013-01-17#,73.46,73.96,72.54,73.37,6510984
#2013-01-18#,73.95,76.73,73.5,76.5,14232697
#2013-01-21#,73.95,76.73,73.5,76.5,14232697
#2013-01-22#,76.57,78.04,76.57,78,9649292
#2013-01-23#,77.79,78.62,77.36,78.17,7556797
#2013-01-24#,78.16,78.87,77.76,78.02,7167094
#2013-01-25#,78.63,79.8,78.1,79.51,7830771
#2013-01-28#,79.73,79.81,79.1,79.28,7152743
#2013-01-29#,79.04,79.99,78.78,79.95,6289520
#2013-01-30#,79.83,79.9,78.46,78.6,8795321
#2013-01-31#,78.44,78.79,77.55,78.05,5752199
#2013-02-01#,78.94,79.83,78.4,79.7,6225228
#2013-02-04#,79.1101,79.85,78.88,79.45,6620679
#2013-02-05#,79.82,80.43,79.5,80.16,5389378
#2013-02-06#,79.42,79.57,77.76,78.73,7131359
#2013-02-07#,78.86,79.21,77.82,78,6101369
#2013-02-08#,78.24,79.07,78.125,79.07,4632684
#2013-02-11#,78.56,78.85,77.81,77.93,4784921
#2013-02-12#,78.51,78.65,78.02,78.53,4646441
#2013-02-13#,78.49,78.73,78.25,78.63,3551983
#2013-02-14#,78.51,82,78.145,81.56,11691795
#2013-02-15#,81.03,81.22,79.5,80.03,8756222
#2013-02-18#,81.03,81.22,79.5,80.03,8756222
#2013-02-19#,80.09,80.55,79.565,79.99,5098368
#2013-02-20#,80.07,80.2,78.47,78.53,6397047
#2013-02-21#,77.97,77.97,76.55,77.43,5789402
#2013-02-22#,77.93,78.1528,76.87,77.79,4085030
#2013-02-25#,78.36,78.95,75.74,75.83,6144194
#2013-02-26#,76.34,76.77,74.99,76.33,6506403
#2013-02-27#,76.21,78.18,75.98,77.9,4927038
#2013-02-28#,77.82,78.58,77.47,77.85,5398257
#2013-03-01#,77.35,77.92,76.92,77.64,4895042
