"Date","Open","High","Low","Close","Volume"
#2017-01-02#,15.37,15.41,15.02,15.11,8564212
#2017-01-03#,15.25,15.64,15.19,15.44,11033724
#2017-01-04#,15.58,15.66,15.49,15.58,6142924
#2017-01-05#,15.73,15.85,15.66,15.76,7785596
#2017-01-06#,15.57,15.7,15.55,15.64,6097948
#2017-01-09#,15.69,15.83,15.65,15.7,7288880
#2017-01-10#,15.8,16.03,15.8,15.91,7865116
#2017-01-11#,15.77,16,15.67,15.87,7950580
#2017-01-12#,15.98,16.07,15.86,15.91,6089614
#2017-01-13#,15.82,15.95,15.73,15.94,5281245
#2017-01-16#,15.82,15.95,15.73,15.94,5281245
#2017-01-17#,16.21,16.32,16.17,16.28,7882785
#2017-01-18#,16.28,16.43,16.15,16.19,8199371
#2017-01-19#,15.945,16.17,15.87,16.12,7699053
#2017-01-20#,16.12,16.27,16.02,16.19,8462434
#2017-01-23#,16.23,16.31,16.18,16.29,4206909
#2017-01-24#,16.28,16.39,16.14,16.22,7348484
#2017-01-25#,15.96,16.13,15.91,16.1,8319481
#2017-01-26#,15.94,16.0225,15.84,15.93,5941786
#2017-01-27#,15.9,16.35,15.85,16.22,8214085
#2017-01-30#,16.28,16.3717,16.18,16.23,6467690
#2017-01-31#,16.56,16.69,16.5,16.63,11082328
#2017-02-01#,16.54,16.72,16.45,16.61,7615246
#2017-02-02#,16.73,16.76,16.5,16.56,5407869
#2017-02-03#,16.49,16.63,16.47,16.57,5402462
#2017-02-06#,16.71,16.83,16.66,16.82,6729329
#2017-02-07#,16.76,16.87,16.75,16.79,4528469
#2017-02-08#,16.88,16.94,16.76,16.84,4534413
#2017-02-09#,16.89,16.92,16.691,16.75,4814733
#2017-02-10#,16.75,17.07,16.75,17.02,8820767
#2017-02-13#,16.96,16.98,16.83,16.89,5948033
#2017-02-14#,17.11,17.12,16.81,17.01,8069340
#2017-02-15#,16.91,17.05,16.89,17.04,4081628
#2017-02-16#,17.11,17.19,17.08,17.15,4991812
#2017-02-17#,17.06,17.13,17.04,17.06,4638757
#2017-02-20#,17.06,17.13,17.04,17.06,4638757
#2017-02-21#,16.96,17.14,16.9,17.03,4800241
#2017-02-22#,17.06,17.11,16.985,17.11,4657333
#2017-02-23#,17.23,17.27,17.11,17.24,4873927
#2017-02-24#,17.37,17.45,17.29,17.4,8025935
#2017-02-27#,17.41,17.53,17.265,17.27,8487005
#2017-02-28#,17.42,17.495,17.34,17.37,6983057
#2017-03-01#,17.34,17.49,17.33,17.44,6245944
#2017-03-02#,17.34,17.4,16.75,16.8,15848295
#2017-03-03#,16.81,17.04,16.73,16.98,8780338
#2017-03-06#,16.93,16.93,16.77,16.83,5618693
#2017-03-07#,16.63,16.69,16.545,16.55,6595536
#2017-03-08#,16.41,16.44,16.31,16.32,6856500
#2017-03-09#,16.32,16.34,16.04,16.06,8481542
#2017-03-10#,16.07,16.16,16,16.15,6809216
#2017-03-13#,16.08,16.13,16.06,16.07,4252908
#2017-03-14#,16.05,16.12,15.97,15.99,4760859
#2017-03-15#,16.03,16.445,15.94,16.43,9717970
#2017-03-16#,16.56,16.57,16.34,16.4,5720659
#2017-03-17#,16.41,16.5,16.4,16.47,3079646
#2017-03-20#,16.49,16.53,16.44,16.5069,2600629
#2017-03-21#,16.6,16.675,16.57,16.61,5533193
#2017-03-22#,16.61,16.6599,16.56,16.62,3137753
#2017-03-23#,16.73,16.75,16.62,16.67,3978647
#2017-03-24#,16.71,16.845,16.69,16.81,5578051
#2017-03-27#,17.11,17.17,17.05,17.15,9629975
#2017-03-28#,17.2,17.27,17.11,17.18,7429490
#2017-03-29#,17.14,17.28,17.13,17.25,4464632
#2017-03-30#,17.18,17.33,17.14,17.15,6001773
#2017-03-31#,17.23,17.3,17.2,17.25,4732311
#2017-04-03#,17.21,17.295,17.2,17.24,4050383
#2017-04-04#,17.33,17.39,17.23,17.33,4374633
#2017-04-05#,17.23,17.34,17.17,17.32,5676170
#2017-04-06#,17.22,17.31,17.19,17.26,3934648
#2017-04-07#,17.4,17.42,16.915,17.03,10875982
#2017-04-10#,16.93,17.03,16.8,17,5560339
#2017-04-11#,17.1,17.35,17.09,17.31,7559469
#2017-04-12#,17.37,17.47,17.28,17.46,6480384
#2017-04-13#,17.57,17.59,17.4309,17.53,8297375
#2017-04-14#,17.57,17.59,17.4309,17.53,8297375
#2017-04-17#,17.53,17.58,17.38,17.43,5066057
#2017-04-18#,17.42,17.44,17.115,17.34,11434006
#2017-04-19#,17.27,17.29,17.14,17.18,7431458
#2017-04-20#,17.11,17.19,16.92,17.06,10709892
#2017-04-21#,16.97,17.02,16.865,17.02,10720592
#2017-04-24#,16.84,16.99,16.79,16.98,6885114
#2017-04-25#,16.74,16.8,16.62,16.68,8457961
#2017-04-26#,16.57,16.6,16.4,16.57,9668600
#2017-04-27#,16.49,16.49,16.35,16.37,9606652
#2017-04-28#,16.31,16.39,16.25,16.3,7524077
#2017-05-01#,16.22,16.28,15.9,15.99,13640156
#2017-05-02#,15.97,15.98,15.89,15.93,7183634
#2017-05-03#,15.79,15.8,15.58,15.59,10586772
#2017-05-04#,15.48,15.57,15.35,15.43,12118179
#2017-05-05#,15.43,15.51,15.36,15.5,8476591
#2017-05-08#,15.43,15.47,15.38,15.41,6149623
#2017-05-09#,15.35,15.35,15.21,15.3,7632302
#2017-05-10#,15.38,15.4,15.32,15.35,6780401
#2017-05-11#,15.37,15.47,15.35,15.45,7017943
#2017-05-12#,15.57,15.61,15.53,15.57,6334541
#2017-05-15#,15.865,15.88,15.72,15.75,6766116
#2017-05-16#,15.82,15.98,15.8,15.93,6901751
#2017-05-17#,16.08,16.13,15.87,16,11164130
#2017-05-18#,15.88,15.89,15.56,15.71,9208010
#2017-05-19#,15.94,15.96,15.85,15.94,6136067
#2017-05-22#,16.1,16.29,16.09,16.23,6458044
#2017-05-23#,16.34,16.38,16.1135,16.15,8053586
#2017-05-24#,16.12,16.28,16.1,16.28,6475738
#2017-05-25#,16.29,16.32,16.2106,16.23,4171640
#2017-05-26#,16.38,16.45,16.3141,16.4,5724862
#2017-05-29#,16.38,16.45,16.3141,16.4,5724862
#2017-05-30#,16.39,16.52,16.39,16.47,6493034
#2017-05-31#,16.35,16.495,16.33,16.39,5178610
#2017-06-01#,16.16,16.41,16.14,16.38,5242117
#2017-06-02#,16.45,16.64,16.44,16.59,6867958
#2017-06-05#,16.64,16.71,16.595,16.63,4483177
#2017-06-06#,16.73,16.8,16.69,16.76,5424070
#2017-06-07#,16.7,16.78,16.5743,16.65,4312664
#2017-06-08#,16.68,16.68,16.37,16.49,7440389
#2017-06-09#,16.32,16.35,16.25,16.28,5441106
#2017-06-12#,16.11,16.18,16,16.04,5966830
#2017-06-13#,15.85,16,15.82,15.95,9314010
#2017-06-14#,16.3,16.37,15.94,15.95,13651500
#2017-06-15#,15.82,15.94,15.79,15.88,6266507
#2017-06-16#,15.81,15.82,15.75,15.79,4806695
#2017-06-19#,15.68,15.7,15.6,15.61,7444926
#2017-06-20#,15.57,15.61,15.51,15.59,6194251
#2017-06-21#,15.52,15.585,15.5,15.54,6018918
#2017-06-22#,15.68,15.73,15.63,15.68,5295659
#2017-06-23#,15.83,15.8456,15.7602,15.79,5237671
#2017-06-26#,15.71,15.735,15.65,15.68,3805360
#2017-06-27#,15.73,15.85,15.675,15.79,4350081
#2017-06-28#,15.89,15.92,15.816,15.92,4787983
#2017-06-29#,15.74,15.85,15.71,15.73,5029964
#2017-06-30#,15.72,15.78,15.7,15.71,3820326
#2017-07-03#,15.37,15.43,15.23,15.3,7903599
#2017-07-04#,15.37,15.43,15.23,15.3,7903599
#2017-07-05#,15.07,15.19,15.04,15.18,9527474
#2017-07-06#,15.15,15.17,15.075,15.15,5154518
#2017-07-07#,14.95,14.96,14.53,14.73,19192389
#2017-07-10#,14.46,14.9,14.44,14.83,14637895
#2017-07-11#,14.85,15,14.76,14.99,7774360
#2017-07-12#,15.09,15.12,15.0233,15.05,8272880
#2017-07-13#,15.04,15.05,14.84,14.87,7214910
#2017-07-14#,15.14,15.22,15.01,15.08,7841837
#2017-07-17#,15.27,15.32,15.22,15.22,7567182
#2017-07-18#,15.37,15.45,15.3233,15.38,7794600
#2017-07-19#,15.43,15.48,15.33,15.4,5131273
#2017-07-20#,15.38,15.53,15.3,15.42,7564096
#2017-07-21#,15.57,15.629,15.52,15.6,7450358
#2017-07-24#,15.66,15.67,15.54,15.58,5812744
#2017-07-25#,15.62,15.72,15.56,15.59,6720359
#2017-07-26#,15.56,15.79,15.52,15.75,9831234
#2017-07-27#,15.9,15.9,15.65,15.68,7377167
#2017-07-28#,15.76,15.84,15.74,15.81,5840991
#2017-07-31#,15.9,15.96,15.86,15.9,5672180
#2017-08-01#,15.83,15.92,15.79,15.79,6443638
#2017-08-02#,15.69,15.86,15.66,15.67,6322226
#2017-08-03#,15.72,15.79,15.7,15.72,5365416
#2017-08-04#,15.54,15.56,15.31,15.38,12170841
#2017-08-07#,15.27,15.41,15.27,15.33,4191890
#2017-08-08#,15.51,15.58,15.36,15.56,7409420
#2017-08-09#,15.86,16.01,15.83,15.98,12546203
#2017-08-10#,16.26,16.28,16.1,16.18,10522558
#2017-08-11#,16.09,16.18,16.03,16.17,6302184
#2017-08-14#,16.14,16.22,16.08,16.13,5294939
#2017-08-15#,15.71,15.84,15.68,15.74,8833983
#2017-08-16#,15.77,16.18,15.77,16.15,9819967
#2017-08-17#,16.18,16.2288,16.04,16.12,6398735
#2017-08-18#,16.21,16.24,16.04,16.1,8798685
#2017-08-21#,16.12,16.19,16.05,16.07,4983025
#2017-08-22#,16.14,16.16,15.95,16.07,5127338
#2017-08-23#,16.12,16.16,16.04,16.15,3175388
#2017-08-24#,16.04,16.08,15.95,16.03,4151372
#2017-08-25#,16.18,16.21,15.81,16.11,11920064
#2017-08-28#,16.24,16.52,16.2108,16.5,11081495
#2017-08-29#,16.67,16.68,16.32,16.42,12355652
#2017-08-30#,16.44,16.5,16.42,16.46,3300529
#2017-08-31#,16.46,16.66,16.4576,16.65,6445913
#2017-09-01#,16.71,16.77,16.55,16.73,7278945
#2017-09-04#,16.71,16.77,16.55,16.73,7278945
#2017-09-05#,16.94,17.01,16.83,16.91,10761363
#2017-09-06#,16.99,17,16.83,16.87,8542048
#2017-09-07#,16.99,17.14,16.965,17.1,9221553
#2017-09-08#,17.12,17.13,16.9199,17.02,7804465
#2017-09-11#,16.85,16.93,16.76,16.77,7282225
#2017-09-12#,16.83,16.9199,16.8001,16.89,4304074
#2017-09-13#,16.81,16.83,16.69,16.76,6739226
#2017-09-14#,16.71,16.81,16.7,16.77,4091825
#2017-09-15#,16.72,16.72,16.61,16.62,4176112
#2017-09-18#,16.39,16.41,16.12,16.27,11597634
#2017-09-19#,16.27,16.38,16.245,16.36,4238754
#2017-09-20#,16.31,16.43,16.03,16.19,10542139
#2017-09-21#,15.96,16.105,15.941,16.03,7150206
#2017-09-22#,16.01,16.0899,15.9801,16.05,3621233
#2017-09-25#,15.95,16.22,15.91,16.21,8925880
#2017-09-26#,16.02,16.02,15.85,15.91,7685304
#2017-09-27#,15.82,15.975,15.82,15.83,9022065
#2017-09-28#,15.88,15.96,15.8,15.92,4344038
#2017-09-29#,15.87,15.9039,15.71,15.74,6330528
#2017-10-02#,15.75,15.806,15.66,15.67,5120984
#2017-10-03#,15.69,15.745,15.68,15.71,3838606
#2017-10-04#,15.72,15.76,15.62,15.69,6719332
#2017-10-05#,15.76,15.81,15.66,15.69,4530584
#2017-10-06#,15.67,15.93,15.42,15.85,12122377
#2017-10-09#,15.95,16.04,15.9366,16.02,5576184
#2017-10-10#,16.23,16.29,16.15,16.15,8355203
#2017-10-11#,16.2,16.28,16.11,16.25,6933455
#2017-10-12#,16.22,16.3,16.16,16.26,4340332
#2017-10-13#,16.38,16.43,16.31,16.41,6616929
#2017-10-16#,16.43,16.49,16.15,16.25,7914337
#2017-10-17#,16.11,16.17,16.02,16.09,7724442
#2017-10-18#,16.06,16.09,16.01,16.06,4124872
#2017-10-19#,16.06,16.305,16.05,16.27,7656627
#2017-10-20#,16.17,16.26,15.98,16.08,8794376
#2017-10-23#,15.97,16.16,15.92,16.14,6320440
#2017-10-24#,16.02,16.1,15.94,16.02,6171732
#2017-10-25#,16.04,16.05,15.935,16.01,4316479
#2017-10-26#,15.97,16,15.8153,15.85,6617974
#2017-10-27#,15.74,15.929,15.695,15.91,7225612
#2017-10-30#,15.86,15.9572,15.8048,15.91,3854257
#2017-10-31#,15.82,15.85,15.71,15.79,10656744
#2017-11-01#,15.95,16.235,15.9301,16.18,10689112
#2017-11-02#,16.18,16.28,16.09,16.17,5499608
#2017-11-03#,16.2,16.22,15.84,15.92,6779743
#2017-11-06#,15.94,16.3,15.94,16.27,9806147
#2017-11-07#,16.21,16.23,15.9725,16.01,6467645
#2017-11-08#,16.14,16.29,16.05,16.06,6397543
#2017-11-09#,16.02,16.1,15.99,16.07,4291536
#2017-11-10#,16.1,16.15,15.85,15.95,7895177
#2017-11-13#,16.04,16.12,15.99,16.09,5959440
#2017-11-14#,16.01,16.14,15.925,16.08,6728562
#2017-11-15#,16.19,16.21,16,16.03,6371336
#2017-11-16#,16.1,16.17,16.09,16.12,4404873
#2017-11-17#,16.14,16.41,16.1,16.31,9025155
#2017-11-20#,16.14,16.17,15.9,15.98,12877676
#2017-11-21#,16.04,16.105,15.99,16.01,5835837
#2017-11-22#,16.15,16.205,16.13,16.17,5600427
#2017-11-23#,16.15,16.205,16.13,16.17,5600427
#2017-11-24#,16.1,16.18,16.05,16.08,2423836
#2017-11-27#,16.2,16.21,16.06,16.1,4960258
#2017-11-28#,16.11,16.1199,15.82,15.91,13159703
#2017-11-29#,15.76,15.79,15.59,15.64,9101712
#2017-11-30#,15.47,15.555,15.4,15.51,11035928
#2017-12-01#,15.42,15.63,15.33,15.53,14631941
#2017-12-04#,15.45,15.45,15.34,15.44,6857304
#2017-12-05#,15.29,15.29,15.13,15.23,10123965
#2017-12-06#,15.11,15.18,15.02,15.1,8124656
#2017-12-07#,14.92,14.97,14.77,14.87,11106988
#2017-12-08#,14.93,15.005,14.8862,14.96,6584380
#2017-12-11#,14.88,14.935,14.81,14.85,6204356
#2017-12-12#,14.78,14.88,14.74,14.86,7052957
#2017-12-13#,14.86,15.25,14.799,15.15,15271645
#2017-12-14#,15.05,15.05,14.935,15.02,7594537
#2017-12-15#,15.14,15.17,15.08,15.15,7126994
#2017-12-18#,15.2,15.26,15.18,15.22,4684291
#2017-12-19#,15.2,15.24,15.14,15.22,5052990
#2017-12-20#,15.29,15.33,15.24,15.25,4520076
#2017-12-21#,15.22,15.32,15.2,15.22,3909980
#2017-12-22#,15.34,15.491,15.31,15.4,8326703
#2017-12-25#,15.34,15.491,15.31,15.4,8326703
#2017-12-26#,15.55,15.63,15.53,15.59,6380425
#2017-12-27#,15.67,15.78,15.65,15.73,6516574
#2017-12-28#,15.85,15.9201,15.82,15.88,10101830
#2017-12-29#,16.02,16.15,15.925,15.99,13888444
#2018-01-01#,16.02,16.15,15.925,15.99,13888444
