"Date","Open","High","Low","Close","Volume"
#2016-01-01#,172,173.22,171.34,171.43,165654
#2016-01-04#,168.79,169.5,166.5,168.53,414432
#2016-01-05#,168.94,169.95,167.1,168.34,349279
#2016-01-06#,166.29,168.61,166.035,167.79,463326
#2016-01-07#,165,166.238,163.82,164.24,400054
#2016-01-08#,165.11,166.14,162.02,162.52,468215
#2016-01-11#,163.13,163.91,160.65,163.05,430519
#2016-01-12#,164.25,165.55,162.53,164.83,383055
#2016-01-13#,165,165.59,161.38,161.51,478865
#2016-01-14#,161.9,164.04,159.51,163.08,418202
#2016-01-15#,159.03,161.12,155.09,157.3,714524
#2016-01-18#,159.03,161.12,155.09,157.3,714524
#2016-01-19#,158,158.12,155.74,155.92,840555
#2016-01-20#,153.81,154.77,147.51,152.81,935301
#2016-01-21#,152.52,153.91,149.535,150.51,846474
#2016-01-22#,152.14,154.25,150.59,153.1,630275
#2016-01-25#,153,154.6,152.562,153.43,829603
#2016-01-26#,154.63,159.18,154.281,159.06,472805
#2016-01-27#,158.45,161.94,157.32,158.1,408874
#2016-01-28#,158.73,159.57,155.53,157.23,537571
#2016-01-29#,158.18,161.56,157.545,161.56,583375
#2016-02-01#,158.45,162.03,156.97,161.1,504907
#2016-02-02#,160,160,153.42,154.55,951651
#2016-02-03#,155.84,155.98,149.89,153.14,893596
#2016-02-04#,154.61,154.61,143.49,145.15,2109512
#2016-02-05#,144.72,144.72,138.42,139.9,1256695
#2016-02-08#,138.13,138.87,133.09,135.41,1629089
#2016-02-09#,134.36,137.56,134.08,135.78,894966
#2016-02-10#,136.83,143.35,136.83,141.36,1216026
#2016-02-11#,138.54,140.65,135.91,138.03,651077
#2016-02-12#,139.62,140.98,138.68,140.01,719803
#2016-02-15#,139.62,140.98,138.68,140.01,719803
#2016-02-16#,142.48,143.75,140.91,141.88,510529
#2016-02-17#,143.18,144.02,141.7,143.45,545180
#2016-02-18#,143.65,145.1,143.01,144.9,624159
#2016-02-19#,144.15,145.93,143.97,145.22,494526
#2016-02-22#,146.73,147.67,146.3,147.39,512243
#2016-02-23#,146.12,147.82,144.32,144.54,343107
#2016-02-24#,143.47,145.99,142.55,145.75,491176
#2016-02-25#,145.75,146.22,143.31,144.54,530734
#2016-02-26#,145.31,147.87,144.715,147.23,399494
#2016-02-29#,146.67,147.84,144.61,144.67,408209
#2016-03-01#,146.14,151.05,144.92,150.55,728066
#2016-03-02#,149.74,151.61,149.315,150.81,578328
#2016-03-03#,150.81,154.52,149.86,154.07,658332
#2016-03-04#,153.9,156,152.89,154.04,671733
#2016-03-07#,153.48,155.44,152.91,153.87,439368
#2016-03-08#,152.03,153.1,150.22,151.96,476226
#2016-03-09#,152.37,152.8,150.5,151.37,403145
#2016-03-10#,152.16,152.25,148.45,150.36,535127
#2016-03-11#,151.53,153.41,151.53,152.8,293195
#2016-03-14#,152.26,154.45,152.25,154.1,370563
#2016-03-15#,152.67,155.25,152.34,154.97,328042
#2016-03-16#,154.29,156.52,153.85,155.91,304019
#2016-03-17#,155.81,156.33,155.23,156,665661
#2016-03-18#,156.34,157.04,155.33,155.33,730237
#2016-03-21#,155.64,158.57,154.9,158.02,376109
#2016-03-22#,157.9,158.21,156.22,156.87,467618
#2016-03-23#,156.72,157.089,155.265,155.81,283472
#2016-03-24#,155.02,158.1,154.28,157.84,433869
#2016-03-25#,155.02,158.1,154.28,157.84,433869
#2016-03-28#,157.78,158.54,156.84,158.1,258320
#2016-03-29#,156.94,158.94,156.06,158.78,338969
#2016-03-30#,159,160,158.35,158.54,202041
#2016-03-31#,158.91,158.91,156.49,156.99,671498
#2016-04-01#,156,159.36,155.5,159.24,516613
#2016-04-04#,158.9,158.9,154.4,154.9,500357
#2016-04-05#,153.55,154.3,152.51,153.66,498274
#2016-04-06#,153.15,156.99,152.72,156.72,599633
#2016-04-07#,155.27,157.36,153.95,155.29,805497
#2016-04-08#,157.06,158.8,156.21,157.8,487314
#2016-04-11#,158.25,158.63,155.78,156.17,348263
#2016-04-12#,156.18,157.15,155.38,156.21,406877
#2016-04-13#,157.34,159.585,157.065,159.51,346128
#2016-04-14#,159.73,161.17,158.74,160.71,540989
#2016-04-15#,161.1,161.2,159.9,160.84,289334
#2016-04-18#,160.04,161.62,159.95,161.14,444755
#2016-04-19#,161.92,162.3,160.26,161.6,643583
#2016-04-20#,161.11,161.92,160.1,161.33,767229
#2016-04-21#,162,162,158.61,160.2,823290
#2016-04-22#,160.44,162.35,159.76,160.65,900842
#2016-04-25#,160.8,161.73,159.49,161.67,633140
#2016-04-26#,162.36,163.49,161.145,161.78,385152
#2016-04-27#,161.78,162.976,160.67,162.68,432479
#2016-04-28#,161.87,164.32,160.64,161.11,411742
#2016-04-29#,160.09,160.99,159.04,159.28,415237
#2016-05-02#,159.68,160.1,158.59,159.44,390872
#2016-05-03#,158.15,158.62,155.43,156.5,600949
#2016-05-04#,155.81,157.9,155.445,157.71,494120
#2016-05-05#,157.75,159.19,157.36,158.45,416900
#2016-05-06#,158,160.3,157.87,160.05,385770
#2016-05-09#,159.79,160.37,158.75,159.44,380404
#2016-05-10#,160.24,162.65,159.67,162.64,335483
#2016-05-11#,162.39,163.79,161.7,162.86,518398
#2016-05-12#,162.95,163.79,161.22,163.29,453018
#2016-05-13#,162.9,163.42,161.005,161.61,408969
#2016-05-16#,161.79,164.24,161.15,163.8,416679
#2016-05-17#,163.68,165.33,163.08,164.04,643258
#2016-05-18#,163,164.25,162.29,163.3,462089
#2016-05-19#,162.29,162.32,160.3,161.72,409723
#2016-05-20#,162.47,162.72,161.23,162.2,1189948
#2016-05-23#,161.81,162.65,161.13,162.17,277489
#2016-05-24#,163,164.58,162.18,164.39,293903
#2016-05-25#,164.59,165,162.25,162.67,345390
#2016-05-26#,162.49,163.26,161.32,162.69,327425
#2016-05-27#,162.48,163.52,162.035,162.55,337430
#2016-05-30#,162.48,163.52,162.035,162.55,337430
#2016-05-31#,162.73,163,161.18,161.82,461347
#2016-06-01#,160.92,163.6,160.11,163.44,356432
#2016-06-02#,163.38,163.38,160.15,162.29,645575
#2016-06-03#,161.8,162.01,158.86,159.1,739299
#2016-06-06#,159.57,159.68,158.27,159,358273
#2016-06-07#,159.25,159.94,158.82,159.5,406418
#2016-06-08#,159.24,160.28,158.85,159.65,422589
#2016-06-09#,159.35,160.57,158.42,160.35,278681
#2016-06-10#,159,159,155.5,155.9,504746
#2016-06-13#,155.2,156.132,153.84,153.91,265952
#2016-06-14#,153.25,153.67,151.71,153.51,417586
#2016-06-15#,153.57,153.98,152.83,153.05,257556
#2016-06-16#,152,153.91,151.25,153.49,545302
#2016-06-17#,153.87,154.24,152.07,152.97,398757
#2016-06-20#,154.57,156.27,153.68,154.2,280605
#2016-06-21#,154.39,155.2,153.99,154.52,470825
#2016-06-22#,154.49,154.97,152.05,152.36,393414
#2016-06-23#,153.88,155.68,153.88,155.62,546805
#2016-06-24#,151.23,152.05,149.18,150.13,1045208
#2016-06-27#,148.73,149.899,147.5,148.03,633510
#2016-06-28#,149.81,151.33,149.268,151.26,621395
#2016-06-29#,152.68,154.47,151.54,154.21,474205
#2016-06-30#,154.83,157.84,153.84,157.82,854532
#2016-07-01#,158.03,159.16,157.53,158,658022
#2016-07-04#,158.03,159.16,157.53,158,658022
#2016-07-05#,156.97,156.97,153.85,155.04,558533
#2016-07-06#,154.59,156.57,154.465,156.34,549092
#2016-07-07#,156.06,157.57,156.06,157.25,375957
#2016-07-08#,158.69,160.32,158.32,160.16,485088
#2016-07-11#,160.75,161.945,160.28,161.4,325141
#2016-07-12#,162.1,162.72,161.03,162.7,390271
#2016-07-13#,163.48,163.48,162.04,162.4,264467
#2016-07-14#,163.85,163.98,162.12,162.7,372980
#2016-07-15#,163.03,163.67,162.22,162.41,293400
#2016-07-18#,161.74,161.74,160.791,161.31,484470
#2016-07-19#,160,160.65,159.14,160.07,440554
#2016-07-20#,160.56,161.72,160.2,161.62,553258
#2016-07-21#,155.31,159.89,155.31,156.04,1008822
#2016-07-22#,156.83,159.69,156.386,158.28,454413
#2016-07-25#,157.97,158.25,157.79,158.15,444080
#2016-07-26#,158.74,158.74,157.251,157.79,398601
