"Date","Open","High","Low","Close","Volume"
#2012-01-02#,46.65,46.68,46.28,46.29,2150313
#2012-01-03#,45.87,46.0604,44.81,45.03,7005968
#2012-01-04#,45.06,45.48,44.93,45,3702229
#2012-01-05#,44.97,45.1,44.5,44.94,4461071
#2012-01-06#,45,45,44.41,44.48,4722209
#2012-01-09#,44.71,45,44.62,44.95,3053991
#2012-01-10#,45.09,45.09,44.79,44.79,4818210
#2012-01-11#,44.78,45.1,44.78,45.06,3108344
#2012-01-12#,45.1,45.16,44.9,45.11,3332001
#2012-01-13#,44.8,45.31,44.79,45.27,3942947
#2012-01-16#,44.8,45.31,44.79,45.27,3942947
#2012-01-17#,45.37,45.64,45.03,45.19,4216570
#2012-01-18#,45.26,45.48,44.81,45.45,3607667
#2012-01-19#,45.43,45.45,44.845,44.98,4009331
#2012-01-20#,45.07,45.3,44.97,45.3,3378625
#2012-01-23#,45.29,45.41,45.2,45.37,4317862
#2012-01-24#,45.11,45.17,44.77,44.9,4889674
#2012-01-25#,44.95,45.25,44.33,45.12,8062747
#2012-01-26#,45.15,45.35,44.81,45.32,17165162
#2012-01-27#,45.27,45.31,44.92,45.02,16127815
#2012-01-30#,44.94,45.115,44.69,45.04,17102706
#2012-01-31#,45.16,45.56,45.05,45.56,5050292
#2012-02-01#,45.57,45.6806,45.34,45.375,4048552
#2012-02-02#,44.86,44.93,44.22,44.28,6605278
#2012-02-03#,44.37,44.56,44.0407,44.3,4643011
#2012-02-06#,44.26,44.489,44.16,44.2,4168689
#2012-02-07#,44.14,44.665,44.06,44.49,4510958
#2012-02-08#,44.59,44.7,44.45,44.61,3767767
#2012-02-09#,44.64,44.705,44.4,44.68,3276872
#2012-02-10#,44.52,44.77,44.36,44.61,3954824
#2012-02-13#,44.77,44.78,44.39,44.42,2405166
#2012-02-14#,44.31,44.59,44.175,44.54,2864904
#2012-02-15#,44.42,44.53,44.03,44.2,3179333
#2012-02-16#,44.17,44.47,44.1401,44.42,3413471
#2012-02-17#,44.57,44.62,44.34,44.38,4264063
#2012-02-20#,44.57,44.62,44.34,44.38,4264063
#2012-02-21#,44.37,44.4,43.91,44.06,3507303
#2012-02-22#,44.09,44.25,43.85,44.18,2877514
#2012-02-23#,44.17,44.3,43.88,44.24,2978089
#2012-02-24#,44.21,44.66,44.12,44.54,3487342
#2012-02-27#,44.37,44.66,44.28,44.43,2921790
#2012-02-28#,44.53,44.73,44.28,44.34,2810460
#2012-02-29#,44.34,44.48,44.1,44.19,4515802
#2012-03-01#,44.18,44.5344,44.08,44.37,2970092
#2012-03-02#,44.35,44.4885,44.12,44.27,2294720
#2012-03-05#,44.13,44.3,43.95,44.2,4262846
#2012-03-06#,44.13,44.76,44.02,44.65,6172280
#2012-03-07#,44.7,44.7,44.38,44.63,3253272
#2012-03-08#,44.76,44.9,44.65,44.77,3174683
#2012-03-09#,44.77,45.16,44.56,45.11,3761518
#2012-03-12#,45.06,45.5,45.06,45.39,3246740
#2012-03-13#,45.45,45.49,45.13,45.41,2688207
#2012-03-14#,45.47,45.47,44.66,44.85,3885578
#2012-03-15#,44.8,45.03,44.5,44.87,3556990
#2012-03-16#,44.83,44.86,44.13,44.34,7136185
#2012-03-19#,44.34,44.4199,44,44.03,4221013
#2012-03-20#,43.98,44.03,43.71,44.02,4518604
#2012-03-21#,44.04,44.19,43.89,43.96,2891035
#2012-03-22#,43.85,44.16,43.75,44.07,4685098
#2012-03-23#,44.08,44.27,44.01,44.12,2941057
#2012-03-26#,44.24,44.63,44.21,44.51,2934905
#2012-03-27#,44.53,45,44.53,44.76,3990519
#2012-03-28#,44.7,44.87,44.43,44.63,2920167
#2012-03-29#,44.43,44.9,44.31,44.84,3425851
#2012-03-30#,44.86,44.93,44.635,44.93,4257095
#2012-04-02#,44.92,45.14,44.733,45.06,3369993
#2012-04-03#,45,45.26,44.96,45.24,4455860
#2012-04-04#,45.02,45.25,44.98,45.16,3337889
#2012-04-05#,45.07,45.08,44.77,44.97,2570817
#2012-04-06#,45.07,45.08,44.77,44.97,2570817
#2012-04-09#,44.73,44.9,44.65,44.72,2990265
#2012-04-10#,44.61,44.63,44.22,44.36,3990310
#2012-04-11#,44.55,44.61,44.29,44.5,3279854
#2012-04-12#,44.66,44.76,44.42,44.76,3063765
#2012-04-13#,44.74,45.17,44.68,44.74,4083963
#2012-04-16#,44.79,45.25,44.75,45.18,3360528
#2012-04-17#,45.28,45.42,44.91,45.39,2501131
#2012-04-18#,45.31,45.72,45.21,45.55,2925240
#2012-04-19#,45.57,45.8,45.34,45.5,2939514
#2012-04-20#,45.56,45.9,45.4,45.83,4223799
#2012-04-23#,45.63,45.75,45.4715,45.58,2500050
#2012-04-24#,45.65,45.92,45.61,45.87,2944838
#2012-04-25#,45.65,45.86,45.4,45.48,5492220
#2012-04-26#,45.53,45.91,45.39,45.89,13071751
#2012-04-27#,45.93,45.99,45.755,45.99,13284380
#2012-04-30#,45.91,46,45.8,45.94,14827478
#2012-05-01#,46.02,46.25,45.82,46.14,3687752
#2012-05-02#,46.09,46.14,45.85,45.9,4283458
#2012-05-03#,45.27,45.52,45.12,45.19,4821400
#2012-05-04#,44.96,45.5849,44.95,45.36,6385903
#2012-05-07#,45.27,45.5,45.21,45.44,4083232
#2012-05-08#,45.34,45.76,45.27,45.7,5152323
#2012-05-09#,45.36,45.58,45.32,45.37,3756797
#2012-05-10#,45.46,45.77,45.41,45.65,3436548
#2012-05-11#,45.55,45.88,45.48,45.54,3658865
#2012-05-14#,45.44,45.64,45.29,45.45,3406717
#2012-05-15#,45.7,45.76,45.28,45.4,3501794
#2012-05-16#,45.57,45.57,45.2,45.38,3142385
#2012-05-17#,45.33,45.44,45.2,45.2,3649896
#2012-05-18#,45.42,45.7,45.29,45.48,6169895
#2012-05-21#,45.58,45.6,45.23,45.51,3559090
#2012-05-22#,45.5,45.71,45.41,45.55,3517978
#2012-05-23#,45.46,45.75,45.23,45.37,3131659
