"Date","Open","High","Low","Close","Volume"
#2012-01-02#,122.437,122.898,121.234,121.234,1018980
#2012-01-03#,121.234,124.384,120.077,121.648,2137480
#2012-01-04#,120.726,121.384,119.377,119.542,1573680
#2012-01-05#,119.278,121.403,118.968,120.171,2111158
#2012-01-06#,120.153,120.566,119.1,119.241,1686394
#2012-01-09#,118.865,119.918,118.725,119.147,1152676
#2012-01-10#,120.181,120.867,119.711,119.861,1371579
#2012-01-11#,119.203,120.613,119.053,120.388,1155683
#2012-01-12#,120.961,120.989,118.423,119.419,1375963
#2012-01-13#,118.272,119.344,118.028,119.335,1183677
#2012-01-16#,118.272,119.344,118.028,119.335,1183677
#2012-01-17#,119.41,121.29,119.41,120.538,1319920
#2012-01-18#,120.623,121.525,120.284,120.801,1335938
#2012-01-19#,121.074,123.669,120.642,123.378,2075319
#2012-01-20#,123.509,124.017,122.691,123.791,2271725
#2012-01-23#,123.773,124.693,123.011,123.763,1130467
#2012-01-24#,123.246,125.747,123.002,125.747,1565340
#2012-01-25#,125.333,127.74,124.929,127.684,1794453
#2012-01-26#,128.145,129.085,127.345,128.37,1513407
#2012-01-27#,128.088,128.826,127.27,128.521,1293667
#2012-01-30#,127.59,127.881,126.556,127.411,1199393
#2012-01-31#,127.816,128.098,126.659,127.74,2075053
#2012-02-01#,128.634,129.179,127.477,128.342,1328106
#2012-02-02#,128.38,129.489,127.543,129.235,1334002
#2012-02-03#,130.646,131.285,128.699,130.439,1731153
#2012-02-06#,130.176,130.241,128.436,129.301,1173822
#2012-02-07#,129.019,129.649,128.652,129.264,1329400
#2012-02-08#,129.104,129.884,128.035,129.414,1087249
#2012-02-09#,129.339,130.035,127.581,129.658,1262277
#2012-02-10#,128.257,129.245,127.609,128.587,1481153
#2012-02-13#,129.17,129.245,127.985,128.699,772870
#2012-02-14#,128.305,128.352,126.866,127.665,918387
#2012-02-15#,128.135,128.84,127.308,127.938,999937
#2012-02-16#,127.938,129.941,127.825,129.687,1538186
#2012-02-17#,129.931,130.204,128.671,129.527,1135384
#2012-02-20#,129.931,130.204,128.671,129.527,1135384
#2012-02-21#,129.846,130.035,126.744,127.693,1373000
#2012-02-22#,127.468,128.116,126.386,126.838,928644
#2012-02-23#,126.932,127.675,126.311,127.656,1130643
#2012-02-24#,128.06,129.132,126.96,128.493,805359
#2012-02-27#,127.327,129.057,126.668,128.643,873221
#2012-02-28#,128.859,129.376,127.684,128.154,1013335
#2012-02-29#,128.502,129.517,127.12,127.383,1276868
#2012-03-01#,127.665,128.389,127.12,128.248,914106
#2012-03-02#,128.436,129.311,128.229,129.047,971679
#2012-03-05#,129.066,130.182,128.352,130.138,1141861
#2012-03-06#,129.132,129.931,128.455,128.568,1333168
#2012-03-07#,129.489,130.063,127.957,129.959,1147108
#2012-03-08#,129.508,130.044,127.148,129.978,2208768
#2012-03-09#,128.859,129.038,128.239,128.295,4454703
#2012-03-12#,128.746,131.595,128.286,130.834,3257581
#2012-03-13#,132.037,133.175,130.994,132.526,2375519
#2012-03-14#,132.677,133.41,131.633,132.686,1413627
#2012-03-15#,133.072,133.41,132.206,132.761,1728422
#2012-03-16#,133.034,133.631,132.526,133.419,4874653
#2012-03-19#,133.184,135.394,132.883,134.999,1738744
#2012-03-20#,134.181,135.403,133.908,134.924,1435185
#2012-03-21#,135.046,136.231,134.576,135.601,1431355
#2012-03-22#,134.708,134.708,133.222,134.237,1791494
#2012-03-23#,134.632,135.742,133.795,135.037,1256060
#2012-03-26#,136.231,136.428,134.905,135.902,1501203
#2012-03-27#,136.165,137.293,135.413,135.977,1073119
#2012-03-28#,135.384,136.456,133.816,135.657,1550225
#2012-03-29#,135.112,136.249,134.284,136.08,1311956
#2012-03-30#,136.945,137.594,135.845,136.973,1747941
#2012-04-02#,137.124,138.29,136.663,138.158,1443662
#2012-04-03#,137.726,138.346,137.096,137.838,920030
#2012-04-04#,136.616,137.66,135.742,136.955,1495704
#2012-04-05#,136.71,137.66,136.071,137.077,1085693
#2012-04-06#,136.71,137.66,136.071,137.077,1085693
#2012-04-09#,135.375,136.87,134.492,136.005,1123550
#2012-04-10#,136.137,137.096,133.1,133.26,1324228
#2012-04-11#,134.491,135.093,133.673,134.792,1173477
#2012-04-12#,134.943,137.02,133.72,137.02,1127280
#2012-04-13#,136.569,137.152,135.864,136.09,1068172
