"Date","Open","High","Low","Close","Volume"
#2013-01-01#,139.66,142.56,139.54,142.41,243952162
#2013-01-02#,145.11,146.15,144.73,146.06,192058911
#2013-01-03#,145.99,146.37,145.34,145.7341,144761781
#2013-01-04#,145.97,146.61,145.67,146.37,116817675
#2013-01-07#,145.85,146.4442,145.43,145.9695,110002444
#2013-01-08#,145.71,145.91,144.98,145.5496,121265078
#2013-01-09#,145.87,146.32,145.64,145.92,90745581
#2013-01-10#,146.73,147.09,145.97,147.08,130735372
#2013-01-11#,147.04,147.15,146.61,147.07,113917286
#2013-01-14#,146.89,147.07,146.43,146.97,89567104
#2013-01-15#,146.29,147.21,146.2,147.07,93172559
#2013-01-16#,146.77,147.28,146.61,147.05,104849487
#2013-01-17#,147.7,148.42,147.1446,148,133833420
#2013-01-18#,147.97,148.49,147.43,148.33,169905915
#2013-01-21#,147.97,148.49,147.43,148.33,169905915
#2013-01-22#,148.33,149.13,147.98,149.13,111797291
#2013-01-23#,149.13,149.5,148.86,149.37,104596066
#2013-01-24#,149.15,150.14,149.01,149.41,146426315
#2013-01-25#,149.88,150.25,149.3726,150.25,147216088
#2013-01-28#,150.29,150.33,149.51,150.07,113357611
#2013-01-29#,149.77,150.85,149.67,150.66,105694364
#2013-01-30#,150.64,150.94,149.93,150.07,137447625
#2013-01-31#,149.89,150.38,149.6,149.7,108975801
#2013-02-01#,150.65,151.42,150.39,151.24,131172997
#2013-02-04#,150.32,151.2679,149.43,149.535,159073559
#2013-02-05#,150.35,151.48,150.29,151.05,113912334
#2013-02-06#,150.52,151.26,150.41,151.16,138762719
#2013-02-07#,151.205,151.35,149.86,150.96,162489974
#2013-02-08#,151.22,151.89,151.22,151.8,103133681
#2013-02-11#,151.74,151.9,151.3938,151.77,73774925
#2013-02-12#,151.78,152.3,151.61,152.02,65392613
#2013-02-13#,152.33,152.61,151.72,152.151,82322561
#2013-02-14#,151.69,152.47,151.52,152.29,80834206
#2013-02-15#,152.43,152.59,151.55,152.11,215226408
#2013-02-18#,152.43,152.59,151.55,152.11,215226408
#2013-02-19#,152.37,153.28,152.1629,153.25,95105396
#2013-02-20#,153.14,153.19,151.26,151.34,160574782
#2013-02-21#,150.96,151.4218,149.94,150.42,183256921
#2013-02-22#,151.15,151.89,150.4913,151.89,106356525
#2013-02-25#,152.63,152.86,149,149,245824757
