"Date","Open","High","Low","Close","Volume"
#2002-01-01#,15.125,15.34,14.875,15.22,678800
#2002-01-02#,15.2225,15.3625,14.19,14.925,3066400
#2002-01-03#,14.95,14.9525,14.525,14.73,1415600
#2002-01-04#,14.775,14.775,14.375,14.4875,811600
#2002-01-07#,14.5475,14.775,14.26,14.4875,791200
#2002-01-08#,14.4875,14.78,14.3025,14.7678,1366800
#2002-01-09#,14.75,15.0843,14.39,14.39,490800
#2002-01-10#,14.45,14.5125,14.3225,14.485,489600
#2002-01-11#,14.5125,14.9325,14.415,14.8125,719600
#2002-01-14#,14.7475,14.9225,14.4625,14.51,623200
#2002-01-15#,14.6,14.6,13.8625,14.01,2194800
#2002-01-16#,13.8513,14.6525,13.825,14.5,958400
#2002-01-17#,14.55,14.7975,14.3975,14.6525,556000
#2002-01-18#,14.5225,14.75,14.52,14.6325,372400
#2002-01-21#,14.5225,14.75,14.52,14.6325,372400
#2002-01-22#,14.645,14.8675,14.375,14.5375,1254000
#2002-01-23#,14.5288,14.5775,14.3125,14.46,776800
#2002-01-24#,14.405,14.7475,14.305,14.715,402800
#2002-01-25#,14.6038,14.7,14.145,14.215,830000
#2002-01-28#,14.125,14.1275,12.675,13.2475,7010000
#2002-01-29#,13.1575,14.1975,12.5,14.175,3664800
#2002-01-30#,14,14.3875,13.3925,14.325,2910400
#2002-01-31#,14.1475,14.31,13.735,14.25,1594800
#2002-02-01#,14.3425,14.345,13.5665,13.9175,912400
#2002-02-04#,13.7475,14.3325,13.515,14.075,1668000
#2002-02-05#,13.9525,14.085,13.4275,13.685,1732000
#2002-02-06#,13.685,13.7375,13.2825,13.4275,1559200
#2002-02-07#,13.6475,13.994,13.3625,13.92,1980400
#2002-02-08#,13.74,14.21,13.61,14.1825,769600
#2002-02-11#,14.1875,14.5075,14.0875,14.3325,1479200
#2002-02-12#,14.51,14.5525,14.2525,14.305,1049200
#2002-02-13#,14.35,14.5775,14.3175,14.5475,1286000
#2002-02-14#,14.59,14.66,14.3425,14.5,1659600
#2002-02-15#,14.4975,14.8525,14.4375,14.85,1576400
#2002-02-18#,14.4975,14.8525,14.4375,14.85,1576400
#2002-02-19#,14.7625,14.8725,14.6075,14.75,1528800
#2002-02-20#,14.855,15.625,14.8275,15.6025,3041600
#2002-02-21#,15.375,15.8,15.1,15.37,2670400
#2002-02-22#,15.37,16.2125,15.3125,16,1948800
#2002-02-25#,15.8825,16.42,15.793,16.05,1885200
#2002-02-26#,16.1625,16.3598,16,16.05,1588000
#2002-02-27#,16.06,16.3575,15.83,16.225,916800
#2002-02-28#,16.025,16.32,16.025,16.1275,975200
#2002-03-01#,16.2625,16.4125,16.1325,16.3925,1198400
#2002-03-04#,16.42,16.75,16.335,16.745,938800
#2002-03-05#,16.725,16.7275,16,16.29,1075600
#2002-03-06#,16.2175,16.56,16.075,16.5225,939200
#2002-03-07#,16.6525,16.715,16.255,16.3473,528000
#2002-03-08#,16.4225,16.5,16.2375,16.34,562800
#2002-03-11#,16.2525,16.61,16.13,16.525,618000
#2002-03-12#,16.4425,16.6375,16.4375,16.5375,256400
#2002-03-13#,16.4575,16.625,16.3875,16.525,438800
#2002-03-14#,16.55,16.9975,16.2225,16.3175,1636000
#2002-03-15#,16.2925,16.435,16.2225,16.435,548000
#2002-03-18#,16.335,16.365,15.88,15.95,1233600
#2002-03-19#,15.9975,16.525,15.8925,16.525,942400
#2002-03-20#,16.485,16.5475,16.2325,16.25,914000
#2002-03-21#,16.2775,16.4225,15.625,15.875,720400
#2002-03-22#,15.97,16.1725,15.8703,15.905,413200
#2002-03-25#,15.8725,15.99,15.7125,15.905,359200
#2002-03-26#,15.95,16.195,15.905,16.17,544000
#2002-03-27#,16.105,16.245,15.6225,15.6975,461600
#2002-03-28#,15.625,15.7625,15.3975,15.6403,429600
#2002-03-29#,15.625,15.7625,15.3975,15.6403,429600
#2002-04-01#,15.685,15.8375,15.1375,15.565,550400
#2002-04-02#,15.3,15.37,14.9625,15.0625,1476400
#2002-04-03#,15.0075,15.35,14.88,15,1393600
#2002-04-04#,14.925,14.935,14.445,14.625,1553600
#2002-04-05#,14.4975,14.795,14.495,14.7,740800
#2002-04-08#,14.6275,14.7875,14.3875,14.72,910400
#2002-04-09#,14.75,15.185,14.725,14.965,1337200
#2002-04-10#,14.925,16.0575,14.9025,15.8775,2415200
#2002-04-11#,15.83,16.25,15.625,15.895,1321600
#2002-04-12#,15.9973,16.25,15.6975,15.8775,988000
#2002-04-15#,15.7725,16.0325,15.625,15.71,776800
#2002-04-16#,15.71,16.2075,15.575,16.2075,767200
#2002-04-17#,16.2125,16.23,15.645,15.65,559200
#2002-04-18#,15.675,15.7775,15.6075,15.7,510400
#2002-04-19#,15.74,15.7423,15.575,15.625,582000
#2002-04-22#,15.7475,15.7875,15.535,15.715,861600
#2002-04-23#,15.6825,15.925,15.6425,15.7625,1026400
#2002-04-24#,15.76,16.3925,15.7375,16.3925,778400
#2002-04-25#,16.2475,16.61,16.1903,16.5748,1847200
#2002-04-26#,16.6,16.7325,16.255,16.55,779200
#2002-04-29#,16.6975,16.7,16.36,16.6375,1167600
#2002-04-30#,16.6875,17.125,16.4603,16.8825,764800
#2002-05-01#,16.9875,17.3375,16.4775,17.2475,1592000
#2002-05-02#,17.35,18.4625,17.35,17.875,1816400
#2002-05-03#,17.9123,18.0625,17.56,18.025,738800
#2002-05-06#,18.0825,18.5425,17.93,18.1875,937600
#2002-05-07#,18.1875,18.375,17.815,18.0825,785200
#2002-05-08#,18.0975,18.375,17.9475,18.3525,543200
#2002-05-09#,18.3725,18.3725,18.125,18.125,597200
#2002-05-10#,18.12,18.1525,17.5625,17.6275,579600
#2002-05-13#,17.775,18.105,17.44,18.105,644000
#2002-05-14#,18.1125,18.8875,18.0375,18.125,1391600
#2002-05-15#,18.2175,18.56,18.0225,18.24,596000
#2002-05-16#,18.1875,18.4175,17.4375,17.6375,1225200
#2002-05-17#,17.6875,18.2525,17.6853,18.175,886800
#2002-05-20#,18.1375,18.15,17.8875,17.9325,447600
#2002-05-21#,18.0248,18.2575,17.3075,17.5,1121200
#2002-05-22#,17.4775,17.64,17.2753,17.3475,1445200
#2002-05-23#,17.335,17.3375,16.875,17.0625,2617600
#2002-05-24#,16.9975,17.7025,16.9698,17.15,1358400
#2002-05-27#,16.9975,17.7025,16.9698,17.15,1358400
#2002-05-28#,17.29,17.2925,16.695,17.0025,1023200
#2002-05-29#,17.0075,17.6075,17.0075,17.5225,1226400
#2002-05-30#,17.4975,17.6275,17.18,17.2475,598400
#2002-05-31#,17.1825,17.3675,17,17.19,604800
#2002-06-03#,17.4995,17.5,16.8,17.145,656200
#2002-06-04#,17.135,17.195,16.01,16.895,844000
#2002-06-05#,16.88,17.57,16.675,17.48,835000
#2002-06-06#,17.48,17.65,17.225,17.5,969000
#2002-06-07#,17.545,17.635,17,17.5,928000
#2002-06-10#,17.495,18.125,17,17.965,935800
#2002-06-11#,17.965,18.225,17.69,17.775,729600
#2002-06-12#,17.745,18.35,17.74,18.3445,885600
#2002-06-13#,18.24,19.075,18.085,18.77,1462800
#2002-06-14#,18.765,18.9,18.145,18.245,1162000
#2002-06-17#,18.545,19.57,18.5095,19.39,1316800
#2002-06-18#,19.945,19.99,19.32,19.92,1061600
#2002-06-19#,19.845,20.27,19.375,20.075,1350600
#2002-06-20#,20.14,20.17,19.5,19.63,721200
#2002-06-21#,19.555,19.7,19.04,19.285,984400
#2002-06-24#,19.335,19.34,17.86,18.745,1601600
#2002-06-25#,18.8045,19.075,18.505,18.685,785400
#2002-06-26#,18.495,18.6,17.5,17.67,1969800
#2002-06-27#,17.7,18.425,17.353,17.88,1003600
#2002-06-28#,17.74,18.28,17.41,17.705,1659200
#2002-07-01#,17.675,18.135,16.75,17.745,1094200
#2002-07-02#,17.695,17.935,16,17.025,1601200
#2002-07-03#,16.945,17.1,15.075,16.125,3593400
#2002-07-04#,16.945,17.1,15.075,16.125,3593400
#2002-07-05#,16.2495,17.15,16.2245,16.785,420800
#2002-07-08#,16.775,17.1,16.35,16.555,646600
#2002-07-09#,16.525,16.55,15.85,16.16,550400
#2002-07-10#,16.17,16.17,15.5,15.665,781600
#2002-07-11#,15.415,16.37,14.345,16.15,1700000
#2002-07-12#,16.005,18.21,16,17.1905,2423600
#2002-07-15#,17.105,17.5245,16.15,16.635,1333800
#2002-07-16#,17.02,17.595,16.46,16.59,1279000
#2002-07-17#,16.955,17.44,16.305,16.875,1055800
#2002-07-18#,17.13,17.4,16.345,16.565,766600
#2002-07-19#,16.57,16.5795,15.925,15.995,933000
#2002-07-22#,16.05,16.225,14.87,15.41,1519192
#2002-07-23#,15.155,16.235,15,15.015,1466400
#2002-07-24#,14.945,16.25,14.75,16.1355,2047916
#2002-07-25#,16.735,18.445,16.3,16.895,2164468
#2002-07-26#,16.88,17.325,16.295,17,925640
#2002-07-29#,16.1,17.545,16.1,17.4,1446826
#2002-07-30#,17.375,17.595,16.75,17.06,1021030
#2002-07-31#,17,17.515,16.47,16.505,946668
#2002-08-01#,16.465,17.5,16.105,16.285,1593586
#2002-08-02#,16.17,16.3495,15.6855,15.845,1317592
#2002-08-05#,15.845,16.5,15.41,15.495,1202484
#2002-08-06#,15.575,16.125,15.525,15.965,1298642
#2002-08-07#,15.885,16.43,15.88,16.255,788188
#2002-08-08#,16.5,16.505,16.02,16.19,1183082
#2002-08-09#,16.255,16.845,16.075,16.5755,871548
#2002-08-12#,16.6885,17.175,16.5,16.875,1056570
#2002-08-13#,16.885,16.925,16.05,16.125,977220
#2002-08-14#,16.2395,16.2395,14.3,14.555,4090052
#2002-08-15#,15.07,15.17,13.49,14.21,5613998
#2002-08-16#,14.215,15.075,14.175,14.98,2058340
#2002-08-19#,15.05,15.23,14.75,14.75,1349626
#2002-08-20#,14.71,15.1,14.66,14.93,776122
#2002-08-21#,14.935,15.1695,14.8295,15.085,762816
#2002-08-22#,15.16,15.33,15.07,15.25,520980
#2002-08-23#,15.15,15.445,15,15.035,1405786
#2002-08-26#,15.225,15.46,15.054,15.45,456870
#2002-08-27#,15.6,15.605,15,15.405,663300
#2002-08-28#,15.255,15.5,15.06,15.27,772726
#2002-08-29#,15.2,15.5,15.105,15.495,662630
#2002-08-30#,15.5,15.8505,15.4567,15.52,810600
#2002-09-02#,15.5,15.8505,15.4567,15.52,810600
#2002-09-03#,15.545,15.72,15.1255,15.35,582602
#2002-09-04#,15.38,15.445,15,15.02,722800
#2002-09-05#,15.095,15.36,14.985,15,663926
#2002-09-06#,15.055,15.6,15.0505,15.55,485620
#2002-09-09#,15.4945,15.725,15.025,15.585,622200
#2002-09-10#,15.585,15.6,15.325,15.5055,316816
#2002-09-11#,15.615,15.625,15.25,15.2545,277600
#2002-09-12#,15.195,15.75,15.075,15.2,684486
#2002-09-13#,15.16,15.5,15.025,15.3495,553000
#2002-09-16#,15.175,15.46,15.17,15.24,438280
#2002-09-17#,15.21,15.5,15.155,15.25,902530
#2002-09-18#,15.3,15.525,15.26,15.465,812374
#2002-09-19#,15.495,15.5,15.135,15.445,453130
#2002-09-20#,15.76,16.235,15.45,16.12,1128130
#2002-09-23#,16,16.1,15.15,15.331,735176
#2002-09-24#,15.29,15.61,15.04,15.39,716388
#2002-09-25#,15.3805,15.71,15.38,15.575,775362
#2002-09-26#,15.64,15.7,15.305,15.61,925092
#2002-09-27#,15.5995,16.585,15.55,16.425,1202800
#2002-09-30#,16.44,17.435,16.075,16.96,1874186
#2002-10-01#,17.125,17.55,16.325,17.355,1217086
#2002-10-02#,17.325,17.575,17.025,17.055,798606
#2002-10-03#,17.055,17.575,16.93,16.97,666600
#2002-10-04#,16.925,17.25,16.33,16.476,1095236
#2002-10-07#,16.475,16.655,15.725,15.85,952504
#2002-10-08#,15.715,16.365,15.38,16.225,1061312
#2002-10-09#,16.17,16.65,15.49,15.505,815746
#2002-10-10#,15.55,16.24,15.515,16.08,867870
#2002-10-11#,16.25,17.32,16.25,17.036,738938
#2002-10-14#,17.34,17.345,16.275,16.465,531224
#2002-10-15#,16.7095,17.19,16.645,17.03,577318
#2002-10-16#,17.09,17.095,16.45,16.64,478448
#2002-10-17#,17.1,17.24,16.675,17.085,449392
#2002-10-18#,17.005,17.555,16.755,17.251,635806
#2002-10-21#,17.1,18.21,16.965,18.005,671592
#2002-10-22#,17.6,18.635,16.75,17.816,962466
#2002-10-23#,17.85,18.43,17.58,18.216,631570
#2002-10-24#,18.235,18.975,18.09,18.091,1165708
#2002-10-25#,18.075,18.17,17.1,17.445,681588
#2002-10-28#,17.685,18.14,17.625,17.725,874040
#2002-10-29#,17.765,18.49,17.565,18.175,586046
#2002-10-30#,18.38,18.5,17.6,17.71,1032386
#2002-10-31#,17.6,18.955,16.3,16.65,4658978
#2002-11-01#,16.3,18.4,16.175,18.265,2960772
#2002-11-04#,18.575,19.12,18.44,18.52,1073982
#2002-11-05#,18.49,18.525,18.025,18.235,879176
#2002-11-06#,18.25,18.25,17.585,17.625,1483516
#2002-11-07#,17.62,17.633,17.285,17.47,1348658
#2002-11-08#,17.415,18.19,17.33,18,870416
#2002-11-11#,18.02,18.37,17.93,18.295,837712
#2002-11-12#,18.27,18.625,18.065,18.3,925592
#2002-11-13#,18.295,18.385,17.825,18.295,798340
#2002-11-14#,18.105,18.475,17.455,17.525,1250048
#2002-11-15#,17.28,17.475,16.975,17.205,2942308
#2002-11-18#,17.205,17.275,16.42,16.555,1808278
#2002-11-19#,16.67,16.945,16.2,16.625,806654
#2002-11-20#,16.705,17.205,16.565,17.12,751260
#2002-11-21#,17.2,17.55,17.03,17.31,1079974
#2002-11-22#,17.25,17.45,16.75,17.055,853102
#2002-11-25#,17.055,17.39,17.05,17.19,1241652
#2002-11-26#,17.19,17.43,16.495,16.67,1420168
#2002-11-27#,16.715,16.995,16.505,16.965,639718
#2002-11-28#,16.715,16.995,16.505,16.965,639718
#2002-11-29#,16.8755,16.95,16.495,16.6595,315270
#2002-12-02#,16.71,16.715,15.88,16.295,1351716
#2002-12-03#,16.255,16.425,15.91,16.025,890898
#2002-12-04#,15.88,16.58,15.645,16.355,637226
#2002-12-05#,16.27,16.69,15.9,16,593992
#2002-12-06#,15.99,16.35,15.945,16.21,409732
#2002-12-09#,16.01,16.285,15.475,15.685,799616
#2002-12-10#,15.73,15.983,15.38,15.675,1194050
#2002-12-11#,15.725,15.775,15.4145,15.685,791798
#2002-12-12#,15.735,16,15.305,15.89,1318216
#2002-12-13#,15.38,16.1,15.275,15.995,2465710
#2002-12-16#,16,16.3801,16,16.205,1552242
#2002-12-17#,16.145,16.15,15.795,15.855,801476
#2002-12-18#,15.995,16.085,15.75,15.925,1017802
#2002-12-19#,15.965,16.025,15.76,15.905,612790
#2002-12-20#,16,16.15,15.78,16.02,901282
#2002-12-23#,15.905,16.04,15.88,16.005,656050
#2002-12-24#,16.0095,16.025,15.72,15.78,178526
#2002-12-25#,16.0095,16.025,15.72,15.78,178526
#2002-12-26#,15.85,16.04,15.715,15.865,455480
#2002-12-27#,15.78,15.985,15.62,15.74,332656
#2002-12-30#,15.9,16.04,15.55,15.925,583146
#2002-12-31#,16.01,16.225,15.92,16.1895,1240616
#2003-01-01#,16.01,16.225,15.92,16.1895,1240616
