"Date","Open","High","Low","Close","Volume"
#2018-01-01#,107.28,107.575,106.54,106.92,872699
#2018-01-02#,107.24,107.48,105.28,105.35,2285458
#2018-01-03#,102.99,108.5,102.99,108.14,3571388
#2018-01-04#,108.09,109.69,106.85,107.42,3502713
#2018-01-05#,108.84,109.74,107.6,108.45,12607574
#2018-01-08#,108.45,108.53,107.62,108.48,3887756
#2018-01-09#,108.56,108.7,107.52,107.62,4306959
#2018-01-10#,106.85,107.5,106.73,107.19,2579663
#2018-01-11#,107.27,107.55,106.39,106.7,1839131
#2018-01-12#,106.34,107.44,106.13,106.89,2561944
#2018-01-15#,106.34,107.44,106.13,106.89,2561944
#2018-01-16#,107.78,107.81,106.5,107.06,3808708
#2018-01-17#,106.96,107.09,106.03,106.59,2153496
#2018-01-18#,106.21,106.58,104.93,106.02,3442384
#2018-01-19#,106.13,106.53,105.68,105.99,2167815
#2018-01-22#,106.66,106.96,104.83,105.05,2748498
#2018-01-23#,105.14,107.1,105.08,106.22,2601524
#2018-01-24#,106.23,106.455,105.46,105.68,3445406
#2018-01-25#,105.95,106.47,105.57,106.4,1835129
#2018-01-26#,106.72,106.74,104.62,105.53,3059445
#2018-01-29#,105.1,105.42,103.66,104.45,2433145
#2018-01-30#,104.5,106.18,104.4,105.83,2633498
#2018-01-31#,106,107.17,105.55,107.02,2787205
#2018-02-01#,107.1,109.19,105.84,106.53,2977199
#2018-02-02#,105.9,106.72,105.18,105.58,2005608
#2018-02-05#,105.46,107.11,103.935,104.25,3137190
#2018-02-06#,103.36,103.78,100.63,103.4,3161372
#2018-02-07#,103.41,105.105,103.02,104.09,3910457
#2018-02-08#,103.79,104.97,102.93,103.36,3073989
#2018-02-09#,103.73,106.81,102.92,106.11,3397321
#2018-02-12#,106.17,107.21,105.34,106.62,1698124
#2018-02-13#,106.39,107.22,105.06,106.81,1471019
#2018-02-14#,106.05,106.3,105.155,105.47,1145954
#2018-02-15#,106.08,108,105.32,107.98,2222808
#2018-02-16#,107.73,109.305,107.54,109.01,1328453
#2018-02-19#,107.73,109.305,107.54,109.01,1328453
#2018-02-20#,108.61,109.205,106.71,107.54,2287528
#2018-02-21#,107.52,108.18,105.38,105.43,2563248
#2018-02-22#,105.96,107.49,105.06,106.64,1990627
#2018-02-23#,106.88,109.64,106.88,109.57,1514052
#2018-02-26#,109.46,110.01,108.8,109.51,4029309
#2018-02-27#,110.99,111.31,108.37,110.04,3101839
#2018-02-28#,110.33,110.6,108.71,108.98,1693259
#2018-03-01#,109.08,110.12,107.205,107.64,1903142
#2018-03-02#,107.57,108.71,105.84,107.09,1284431
