"Date","Open","High","Low","Close","Volume"
#2011-01-03#,67.4,68.23,67.09,68.07,1095665
#2011-01-04#,68.15,68.15,67.17,67.81,1140177
#2011-01-05#,67.16,68.29,66.78,67.26,1469960
#2011-01-06#,67.43,67.61,66.4,66.53,1156580
#2011-01-07#,66.37,67.23,65.37,65.5,1646692
#2011-01-10#,65.25,65.98,64.831,65.75,1134575
#2011-01-11#,66.13,68.13,66,67.77,1649786
#2011-01-12#,68.08,68.3,67.56,68.03,1281454
#2011-01-13#,68.05,68.46,67.57,67.93,869789
#2011-01-14#,67.69,68.49,67.28,68.15,979278
#2011-01-17#,67.69,68.49,67.28,68.15,979278
#2011-01-18#,68.12,68.27,67.68,68.1,896586
#2011-01-19#,67.98,68.16,65.75,65.96,1849720
#2011-01-20#,65.91,66.34,65.161,65.91,1586338
#2011-01-21#,66.56,67.72,66.37,66.46,1733931
#2011-01-24#,66.43,66.43,65.43,66.07,1652989
#2011-01-25#,65.97,66.99,65.58,66.38,1046406
#2011-01-26#,66.66,68.39,66.33,66.95,1835058
#2011-01-27#,69.33,73.49,68.59,72.62,6772520
#2011-01-28#,71.69,72.81,71.69,72.72,3074751
#2011-01-31#,71.97,73.11,71.64,72.68,2198085
#2011-02-01#,73.04,73.8,72.77,72.88,1336821
#2011-02-02#,72.81,73.47,72.34,72.84,1171204
#2011-02-03#,72.82,73.12,71.83,71.93,1669522
#2011-02-04#,72.15,72.59,71.66,72.52,981661
#2011-02-07#,72.8,73.21,72.45,72.91,2499977
#2011-02-08#,72.77,73.43,72.53,73.4,1337227
#2011-02-09#,72.98,73.37,72.5,72.84,989666
#2011-02-10#,72.54,73.49,72.51,73.32,906677
#2011-02-11#,73.11,74.15,72.49,74.09,931234
#2011-02-14#,73.31,74.05,73.2,73.48,876172
#2011-02-15#,73.09,73.37,72.77,73.25,1187316
#2011-02-16#,73.79,74.37,73.52,73.93,1032600
#2011-02-17#,74.08,75,73.89,74.95,1004123
#2011-02-18#,75.22,76.8,75.15,76.09,1820762
#2011-02-21#,75.22,76.8,75.15,76.09,1820762
#2011-02-22#,75.45,75.89,74,74.15,1457584
#2011-02-23#,73.72,74.25,71.515,72.55,1968275
#2011-02-24#,72.74,74.36,72.14,74.23,2400098
#2011-02-25#,74.66,75.64,74.31,75.11,1887427
#2011-02-28#,75.4,76.13,75.3,75.83,1420702
#2011-03-01#,76.01,76.45,74.13,74.36,1065625
#2011-03-02#,74.28,75.1,74.08,74.51,1355835
#2011-03-03#,75,75.95,74.99,75.69,1809284
#2011-03-04#,75.96,76.76,74.74,75.86,1567113
#2011-03-07#,76,76.85,74.62,74.94,2005758
#2011-03-08#,74.94,77.27,74.94,77.22,1670653
