"Date","Open","High","Low","Close","Volume"
#2015-01-01#,95.98,96.33,94.25,94.33,888059
#2015-01-02#,94.7,95.45,93.13,93.99,1524254
#2015-01-05#,90.82,93.71,90.82,92.54,1825503
#2015-01-06#,92.72,93.45,91.57,92.41,1854966
#2015-01-07#,93.07,94.48,92.95,94.16,1145421
#2015-01-08#,95.03,96,95.03,95.76,1368804
#2015-01-09#,95.45,95.79,94.44,94.6,760893
#2015-01-12#,94.9,94.9,93.855,94.02,772490
#2015-01-13#,94.66,95.49,93.33,94.22,1126163
#2015-01-14#,93.28,93.375,91.6775,93.25,1986337
#2015-01-15#,93.56,93.56,91.44,91.5,1491201
#2015-01-16#,91.08,92.55,90.79,92.45,1435498
#2015-01-19#,91.08,92.55,90.79,92.45,1435498
#2015-01-20#,93.05,93.22,90.7,91.67,1894362
#2015-01-21#,91.35,92.43,91.13,92.11,1156584
#2015-01-22#,92.45,93.37,91.7501,93.37,1277401
#2015-01-23#,93.24,93.71,92.6,92.7,961450
#2015-01-26#,92.42,92.68,91.78,92.55,1082771
#2015-01-27#,91.73,92.98,91.34,92.33,1510792
#2015-01-28#,93.12,95.05,92.5,92.75,1944134
#2015-01-29#,92.59,93.72,91.45,93.68,1300821
#2015-01-30#,92.61,93.15,90.94,91.05,1303037
#2015-02-02#,91.35,91.77,89.83,91.76,1248592
#2015-02-03#,92.15,92.79,91.4,92.74,1045803
#2015-02-04#,93.06,93.51,92.25,92.47,1557673
#2015-02-05#,93.09,93.925,92.9101,93.67,1259996
#2015-02-06#,93.6,93.99,92.42,92.71,1182323
#2015-02-09#,92.07,92.91,91.46,91.9,793946
#2015-02-10#,92.5,93.18,92.14,93.06,662551
#2015-02-11#,92.92,93.52,92.35,92.96,838762
#2015-02-12#,93.45,93.7,92.89,93.37,967084
#2015-02-13#,93.25,94.55,93.08,94.51,1175110
#2015-02-16#,93.25,94.55,93.08,94.51,1175110
#2015-02-17#,94.85,95.2,93.92,95.07,1340528
#2015-02-18#,95.11,95.31,94.45,95.25,1008244
#2015-02-19#,95.1,95.3899,94.31,94.56,839061
#2015-02-20#,93.96,95.33,93.75,95.25,1115702
#2015-02-23#,95.25,95.8,95.05,95.6,875880
#2015-02-24#,95.39,95.7,94.66,94.88,1093826
#2015-02-25#,94.68,94.91,94.28,94.57,990426
#2015-02-26#,94.61,94.86,94.02,94.4,998217
#2015-02-27#,94.45,95.25,94.35,94.75,1340035
#2015-03-02#,94.83,96.18,94.83,96.01,1081359
#2015-03-03#,95.71,95.83,92.235,92.44,2993627
#2015-03-04#,92.35,93.03,91.55,92.37,1587800
#2015-03-05#,92.35,93.13,92.34,92.99,1543540
#2015-03-06#,92.5,92.5,89.811,90.07,2129944
#2015-03-09#,90.37,91.15,90.36,91.02,1021798
#2015-03-10#,90.12,90.86,89.84,90.3,1538862
#2015-03-11#,90.36,90.96,90.115,90.46,1107286
#2015-03-12#,90.55,92.04,90.46,91.95,892088
#2015-03-13#,91.83,92.4,90.71,91.29,1254442
#2015-03-16#,91.84,93.04,91.84,92.78,1177059
#2015-03-17#,92.09,92.44,91.69,91.89,1036303
#2015-03-18#,91.57,93.83,91.3,93.11,1382206
