"Date","Open","High","Low","Close","Volume"
#2011-01-03#,16.88,17.31,16.84,17.16,8276877
#2011-01-04#,17.15,17.28,17.02,17.16,5603759
#2011-01-05#,17.15,17.65,17.11,17.62,8834112
#2011-01-06#,17.64,17.72,17.46,17.69,7948138
#2011-01-07#,17.75,17.77,17.38,17.55,6586494
#2011-01-10#,17.28,17.39,16.9204,17.05,14989121
#2011-01-11#,17.24,17.32,17.01,17.09,6780593
#2011-01-12#,17.72,17.98,17.52,17.63,20652264
#2011-01-13#,17.57,17.67,17.34,17.39,11092362
#2011-01-14#,17.33,17.52,17.32,17.52,8489514
#2011-01-17#,17.33,17.52,17.32,17.52,8489514
#2011-01-18#,17.84,18.26,17.65,18.22,15801344
#2011-01-19#,18.09,18.12,17.76,17.97,10668176
#2011-01-20#,18.06,18.12,17.58,17.81,8224422
#2011-01-21#,17.85,17.95,17.75,17.85,6423675
#2011-01-24#,17.82,17.95,17.71,17.91,7235764
#2011-01-25#,17.9,17.945,17.62,17.825,7397002
#2011-01-26#,17.89,17.9,17.61,17.7975,10913352
#2011-01-27#,18.25,18.79,17.81,17.9125,37873740
#2011-01-28#,17.97,18.04,17.21,17.46,18833891
#2011-01-31#,17.48,17.61,17.28,17.61,6712999
#2011-02-01#,17.64,18.02,17.63,17.99,10465219
#2011-02-02#,17.97,18.01,17.7475,17.91,7095743
#2011-02-03#,17.81,18.04,17.64,17.95,8999233
#2011-02-04#,17.95,18.19,17.87,18.16,8187789
#2011-02-07#,18.09,18.32,18.09,18.26,5126154
#2011-02-08#,18.21,18.49,18.21,18.49,6283046
#2011-02-09#,18.45,18.48,18.27,18.37,5741781
#2011-02-10#,18.37,18.51,18.19,18.5,9414727
#2011-02-11#,18.4,18.49,18.27,18.44,6782563
#2011-02-14#,18.4,18.68,18.34,18.42,5923219
#2011-02-15#,18.41,18.55,18.31,18.53,5779434
#2011-02-16#,18.41,18.51,18.27,18.33,6459736
#2011-02-17#,18.37,18.72,18.32,18.63,5568328
#2011-02-18#,18.56,18.8,18.44,18.58,6114155
#2011-02-21#,18.56,18.8,18.44,18.58,6114155
#2011-02-22#,18.38,18.54,17.91,17.93,7870623
#2011-02-23#,17.92,17.99,17.56,17.7,8946513
#2011-02-24#,17.69,17.94,17.62,17.82,7972197
#2011-02-25#,17.9,18.21,17.89,18.15,6576884
#2011-02-28#,18.11,18.17,17.85,18.03,6420611
#2011-03-01#,18.1,18.12,17.4,17.42,9692881
#2011-03-02#,17.39,17.6,17.27,17.46,6496519
#2011-03-03#,17.59,18,17.58,17.96,7430979
#2011-03-04#,17.96,17.99,17.59,17.72,13808394
#2011-03-07#,17.81,17.97,17.41,17.88,9251872
#2011-03-08#,17.87,18.37,17.81,18.03,8970985
#2011-03-09#,17.79,18.48,17.79,18.46,9538374
#2011-03-10#,18.25,18.35,17.99,18.02,13634143
#2011-03-11#,17.95,18.13,17.85,18.12,8309255
#2011-03-14#,17.95,18.2,17.9,18.06,8979386
#2011-03-15#,17.55,17.7,17.36,17.56,11936241
#2011-03-16#,17.41,17.52,16.99,17.06,13251914
#2011-03-17#,17.33,17.4,17.11,17.235,7665129
#2011-03-18#,17.47,17.5,17.14,17.27,11516597
#2011-03-21#,17.45,17.785,17.38,17.67,7232604
#2011-03-22#,17.65,17.79,17.4887,17.63,3747553
#2011-03-23#,17.59,17.76,17.33,17.71,4490343
#2011-03-24#,17.8,18.11,17.675,18.09,6104620
#2011-03-25#,18.18,18.27,18.06,18.11,5901314
#2011-03-28#,18.11,18.21,17.95,17.97,4332570
#2011-03-29#,17.9,18.23,17.8,18.21,4204324
#2011-03-30#,18.27,18.27,17.99,18.05,7948075
#2011-03-31#,18.05,18.55,18.05,18.54,9287680
#2011-04-01#,18.65,18.75,18.36,18.46,8024183
#2011-04-04#,18.46,18.49,18.18,18.36,5709412
#2011-04-05#,18.33,18.41,18.12,18.34,5557702
#2011-04-06#,18.38,18.5,18.17,18.38,14390215
#2011-04-07#,18.32,18.48,18.1475,18.26,7452443
#2011-04-08#,18.34,18.39,18.09,18.21,4773546
#2011-04-11#,18.66,18.69,18.39,18.42,13581474
#2011-04-12#,18.31,18.37,18.135,18.25,7974342
#2011-04-13#,18.3,18.435,18.16,18.33,6295265
#2011-04-14#,18.18,18.52,18.04,18.44,6782966
#2011-04-15#,18.44,18.56,18.2876,18.52,5628495
#2011-04-18#,18.25,18.305,17.97,18.2,6322064
#2011-04-19#,18.26,18.35,18.02,18.13,5221111
#2011-04-20#,18.46,18.97,18.37,18.94,8042416
#2011-04-21#,18.95,19.05,18.83,19.03,6739663
#2011-04-22#,18.95,19.05,18.83,19.03,6739663
#2011-04-25#,18.9,19.24,18.89,19.17,7395897
#2011-04-26#,19.22,19.5095,19.13,19.34,9333527
#2011-04-27#,19.33,19.76,19.32,19.73,7704444
#2011-04-28#,19.75,19.82,19.53,19.68,5663936
#2011-04-29#,19.71,19.79,19.59,19.65,9745323
#2011-05-02#,19.76,19.8,19.54,19.545,4166964
#2011-05-03#,19.47,19.67,19.4,19.6,6295781
#2011-05-04#,19.59,19.72,19.3,19.54,5449013
#2011-05-05#,19.5,19.73,19.21,19.25,7326809
#2011-05-06#,19.5,19.7,19.26,19.42,6940126
#2011-05-09#,19.44,19.56,19.25,19.4,7252781
#2011-05-10#,19.42,19.65,19.36,19.56,9807574
#2011-05-11#,19.5,19.57,19.17,19.41,9439215
#2011-05-12#,19.78,20.5,19.65,20.42,34970328
#2011-05-13#,20.29,20.3,19.99,20.06,10430703
#2011-05-16#,19.99,20.08,19.65,19.7,9238278
#2011-05-17#,19.65,19.74,19.47,19.67,7969989
#2011-05-18#,19.61,19.9,19.5,19.68,13097987
#2011-05-19#,19.78,19.8,19.47,19.57,9253983
#2011-05-20#,19.56,19.68,19.25,19.43,9626028
#2011-05-23#,19.18,19.24,18.95,19,7029135
#2011-05-24#,19,19.09,18.83,18.91,7952440
#2011-05-25#,18.89,19.19,18.89,18.93,9280609
#2011-05-26#,18.9,19.46,18.86,19.31,15142619
#2011-05-27#,19.31,19.435,19.18,19.22,8281765
#2011-05-30#,19.31,19.435,19.18,19.22,8281765
#2011-05-31#,19.35,19.62,19.34,19.55,12042203
#2011-06-01#,19.54,19.65,19,19.02,12505113
#2011-06-02#,19.01,19.16,18.74,18.8,9479061
#2011-06-03#,18.6,18.74,18.43,18.51,7483605
#2011-06-06#,18.46,18.62,18.4,18.44,9643595
#2011-06-07#,18.74,18.82,18.44,18.73,14494398
#2011-06-08#,18.63,18.94,18.63,18.86,12285287
#2011-06-09#,18.88,18.99,18.71,18.85,11591174
#2011-06-10#,18.76,18.8,18.465,18.5,10033397
#2011-06-13#,18.48,18.61,18.37,18.45,7098390
#2011-06-14#,18.59,18.73,18.53,18.66,7518439
#2011-06-15#,18.47,18.67,18.47,18.53,10622131
#2011-06-16#,18.61,18.73,18.43,18.62,8996538
#2011-06-17#,18.82,18.91,18.5,18.55,9028743
#2011-06-20#,18.55,18.82,18.43,18.8,6523233
#2011-06-21#,18.83,19.135,18.68,19.09,9871570
#2011-06-22#,18.95,19.05,18.85,18.86,8052589
#2011-06-23#,18.67,18.97,18.54,18.93,7230405
#2011-06-24#,18.96,19.04,18.64,18.75,19734722
#2011-06-27#,18.68,19.18,18.64,19.04,7399950
#2011-06-28#,19.08,19.62,19.02,19.5,10232174
#2011-06-29#,19.62,19.63,19.39,19.53,6651923
#2011-06-30#,19.57,19.77,19.55,19.72,7574797
#2011-07-01#,19.82,19.885,19.71,19.83,6839632
#2011-07-04#,19.82,19.885,19.71,19.83,6839632
#2011-07-05#,19.8,19.84,19.66,19.76,5670556
#2011-07-06#,19.74,19.82,19.61,19.79,9005274
#2011-07-07#,19.9,20,19.73,19.86,9144567
#2011-07-08#,19.67,19.8,19.44,19.73,9130330
#2011-07-11#,19.52,19.63,19.24,19.36,6307713
#2011-07-12#,19.4,19.5,19.19,19.23,7132882
#2011-07-13#,19.33,19.59,19.23,19.27,7395099
#2011-07-14#,19.28,19.42,18.87,18.97,7735920
#2011-07-15#,19.03,19.11,18.87,18.97,8141676
#2011-07-18#,18.87,18.94,18.6,18.865,8475787
#2011-07-19#,19.1071,19.55,18.99,19.46,7431739
#2011-07-20#,19.41,19.41,18.86,18.89,8374388
#2011-07-21#,19.01,19.18,18.76,19.025,8001279
#2011-07-22#,19.08,19.12,18.85,19.06,6805506
#2011-07-25#,19.04,19.25,18.84,19.09,8749652
#2011-07-26#,19.16,19.2,18.92,19.07,5516473
#2011-07-27#,18.98,19.02,18.37,18.415,10824503
#2011-07-28#,19.33,19.81,19.01,19.49,22712929
#2011-07-29#,19.28,19.54,19.05,19.06,10414400
#2011-08-01#,19.26,19.3,18.75,19.035,10422747
#2011-08-02#,18.84,19.11,18.5,18.51,8794269
#2011-08-03#,18.54,18.66,18.16,18.27,15028140
#2011-08-04#,17.92,18.01,17.11,17.12,21484918
#2011-08-05#,17.61,17.74,16.6,17.1,22731535
#2011-08-08#,16.67,16.94,15.58,16,19829286
#2011-08-09#,16.12,16.94,15.78,16.91,21582017
#2011-08-10#,16.56,16.7,15.93,15.99,17764940
#2011-08-11#,16.11,16.89,15.96,16.69,16068992
#2011-08-12#,16.8,17.06,16.59,16.79,11730070
#2011-08-15#,16.86,17.01,16.69,17,7149309
#2011-08-16#,16.62,17.02,16.605,16.94,10925447
#2011-08-17#,16.95,17.085,16.59,16.78,9095431
#2011-08-18#,16.38,16.47,15.57,15.81,14677315
#2011-08-19#,15.63,16.12,15.39,15.42,12079486
#2011-08-22#,15.75,15.82,15.495,15.65,8269989
#2011-08-23#,15.68,16.21,15.51,16.2,9845620
#2011-08-24#,16.15,16.4,16.04,16.38,7275894
#2011-08-25#,16.42,16.52,15.89,15.95,7349151
#2011-08-26#,15.93,16.48,15.71,16.38,7405685
#2011-08-29#,16.6,16.85,16.58,16.84,4781546
#2011-08-30#,16.76,17.06,16.62,16.97,8452363
#2011-08-31#,16.96,17.32,16.84,17.15,7714041
#2011-09-01#,17.23,17.35,16.9,16.94,7740382
#2011-09-02#,16.6,16.71,16.23,16.36,8010403
#2011-09-05#,16.6,16.71,16.23,16.36,8010403
#2011-09-06#,15.87,16.135,15.685,16.08,7325937
#2011-09-07#,16.25,16.72,16.22,16.71,9832041
#2011-09-08#,16.55,16.68,16.375,16.48,6634024
#2011-09-09#,16.34,16.44,15.93,16.05,7224249
#2011-09-12#,15.81,16.265,15.81,16.25,7426432
#2011-09-13#,16.31,16.385,16.09,16.33,7973998
#2011-09-14#,16.39,17.06,16.26,16.84,8512241
#2011-09-15#,17.04,17.37,16.93,17.36,7387896
#2011-09-16#,17.42,17.66,17.3795,17.54,9386536
#2011-09-19#,17.3,17.48,17.02,17.4,7092159
#2011-09-20#,17.48,17.66,17.235,17.35,7126981
#2011-09-21#,17.5,17.6,17.02,17.03,8649212
#2011-09-22#,16.39,16.56,15.82,16.05,12057297
#2011-09-23#,15.89,16.49,15.8,16.37,7670952
#2011-09-26#,16.44,16.88,16.04,16.85,10561457
#2011-09-27#,17.08,17.42,17.04,17.15,8248353
#2011-09-28#,17.25,17.5262,16.83,16.86,7758170
#2011-09-29#,17.2,17.37,16.54,16.89,8299365
#2011-09-30#,16.66,16.85,16.3,16.3,8349182
#2011-10-03#,16.11,16.53,15.73,15.74,11288725
#2011-10-04#,15.51,16.1625,15.36,16.16,15474198
#2011-10-05#,16.14,16.61,15.89,16.57,10270020
#2011-10-06#,16.59,17.14,16.39,17.12,8121928
#2011-10-07#,17.14,17.38,17.01,17.1,8649504
#2011-10-10#,17.3,17.62,17.3,17.62,5334374
#2011-10-11#,17.55,17.83,17.49,17.79,7353804
#2011-10-12#,17.96,17.965,17.57,17.6,8945189
#2011-10-13#,17.58,17.88,17.485,17.78,7882615
#2011-10-14#,17.93,18,17.75,17.99,6398000
#2011-10-17#,17.86,17.92,17.465,17.62,6448268
#2011-10-18#,17.63,18.24,17.34,18.14,10035294
#2011-10-19#,18.07,18.24,17.91,17.99,7780736
#2011-10-20#,18.11,18.17,17.645,17.94,7810413
#2011-10-21#,18.17,18.48,18,18.42,7400102
#2011-10-24#,18.5,18.82,18.44,18.63,7638670
#2011-10-25#,18.62,18.8,18.42,18.55,7976550
#2011-10-26#,18.88,18.88,18.02,18.49,11041591
#2011-10-27#,18.27,18.81,16.91,17.74,20938452
#2011-10-28#,17.73,18.005,17.6,17.99,7865486
#2011-10-31#,17.82,17.82,16.99,17.01,14126530
#2011-11-01#,16.66,16.88,16.39,16.43,12311983
#2011-11-02#,16.57,16.75,16.41,16.5,9718269
#2011-11-03#,16.7,17.09,16.61,17.03,8935022
#2011-11-04#,16.91,17.045,16.685,16.98,6904482
#2011-11-07#,16.97,17.13,16.69,17.12,6529856
#2011-11-08#,17.24,17.55,17.12,17.52,8394265
#2011-11-09#,17.07,17.14,16.52,16.57,9307765
