"Date","Open","High","Low","Close","Volume"
#2001-01-01#,47.625,48.1875,46.875,47.75,4713700
#2001-01-02#,47.5625,50.4375,47.5,50.375,8130400
#2001-01-03#,50.375,53.0625,50.1875,51,11303200
#2001-01-04#,51.125,52.75,50.9375,51.75,9831400
#2001-01-05#,51.75,52.0625,49.4375,50,7291400
#2001-01-08#,49.9375,50.6875,48.8125,50.125,6300700
#2001-01-09#,50,52.25,49.75,51.9375,5476400
#2001-01-10#,51,52.5,50.625,52.375,4565200
#2001-01-11#,52.4375,52.4375,51.3125,52.375,3775100
#2001-01-12#,52.3125,52.4375,49.875,50.9375,5679700
#2001-01-15#,52.3125,52.4375,49.875,50.9375,5679700
#2001-01-16#,50.5,50.875,48.375,50.0625,6019400
#2001-01-17#,49.9375,51,49.6875,50.3125,4738700
#2001-01-18#,50.4375,51.1875,49.9375,50.5625,4843700
#2001-01-19#,50,50.3125,49.3125,49.6875,5267900
#2001-01-22#,49.5625,49.75,47.6875,48.875,6288100
#2001-01-23#,48.9375,49.6875,48.8125,49.3125,5500800
#2001-01-24#,48.5,48.5,46.6875,47.375,9420200
#2001-01-25#,47.9375,48.1875,46.25,47.375,7287300
#2001-01-26#,47.0625,47.4375,45.25,46.6875,5372800
#2001-01-29#,46.75,48.35,46.68,47.9,5653200
#2001-01-30#,47.02,48.15,46.95,47.92,4124100
#2001-01-31#,48,48.4,47.22,48.35,5460300
#2001-02-01#,48.8,50.75,48.65,50.55,7119500
#2001-02-02#,50.99,51.24,49.27,49.8,8428600
#2001-02-05#,49.1,49.7,48,49.7,6654800
#2001-02-06#,49.6,49.8,48.7,49.75,4423900
#2001-02-07#,49.95,49.95,48.1,48.65,4579500
#2001-02-08#,48.45,48.68,47.8,48.22,4579900
#2001-02-09#,48.05,48.12,46,46.57,6965300
#2001-02-12#,46.62,48.32,46.6,47.77,5605800
#2001-02-13#,47.77,48.52,47.25,48.46,4858500
#2001-02-14#,48.45,48.5,46.8,47,3868100
#2001-02-15#,47.4,48.3,46.85,47,3702100
#2001-02-16#,47,48.25,46.38,47.72,5310000
#2001-02-19#,47,48.25,46.38,47.72,5310000
#2001-02-20#,47.97,49.02,47.4,48.77,4855600
#2001-02-21#,48.25,48.57,47.2,47.5,4842800
#2001-02-22#,47.5,48.93,46.75,48.93,5717600
#2001-02-23#,48.25,50,47.5,49.72,6412800
#2001-02-26#,49.72,50.3,49.2,50.3,5063500
#2001-02-27#,50.3,50.79,49.97,50.58,6312900
#2001-02-28#,50.59,50.85,47.7,47.7,8131900
#2001-03-01#,48.25,48.25,45.5,45.5,8706100
#2001-03-02#,42.6,46.58,42.6,46.57,20610400
#2001-03-05#,46.1,46.1,44.9,45.41,6130800
#2001-03-06#,45.9,46.8,45.65,46.01,6270100
#2001-03-07#,45.25,45.69,43.6,43.97,7686600
#2001-03-08#,44.4,45.71,44.25,45.46,4639400
#2001-03-09#,45.21,46.19,44.55,45,6029300
#2001-03-12#,44.5,46.7,44.44,44.89,6473300
#2001-03-13#,44.64,45.1,43.95,44.93,5739000
#2001-03-14#,42.5,43.95,41,42.11,10311500
#2001-03-15#,43,43.05,41.85,42.82,8619000
#2001-03-16#,42.1,42.61,41.7,42.14,10892700
#2001-03-19#,41.95,43.8,41.73,43.06,5436700
#2001-03-20#,42.96,43.13,40.88,40.9,5541100
#2001-03-21#,40.2,40.84,39.5,40.12,7133100
#2001-03-22#,40.12,40.8,39.72,40.51,9854000
#2001-03-23#,40.1,41.86,39.78,41.86,7723700
#2001-03-26#,42.05,42.2,40.5,41.25,8647000
#2001-03-27#,41.45,44.3,41.24,43.9,7986700
#2001-03-28#,43.25,43.5,41.78,42.19,6902900
#2001-03-29#,41.5,44.19,41.34,43.48,6250300
#2001-03-30#,43.63,44.63,43.03,44.63,5861200
#2001-04-02#,44.63,45.05,43.13,43.76,5819600
#2001-04-03#,44.36,44.36,42.65,43.12,6639300
#2001-04-04#,43,44.02,42.8,43.98,5991900
#2001-04-05#,44.3,44.74,43.3,44.44,8446500
#2001-04-06#,44.4,44.4,41.91,43.3,7133700
#2001-04-09#,42.85,43.68,42.41,43.35,5761600
#2001-04-10#,43.5,43.87,42.59,42.99,6794400
#2001-04-11#,42.2,42.4,40.9,41.2,9051800
#2001-04-12#,41.05,41.48,40.15,41.18,7688600
#2001-04-13#,41.05,41.48,40.15,41.18,7688600
#2001-04-16#,41.8,42.19,41.31,41.99,5305300
#2001-04-17#,41.8,43.35,41.75,43.17,5640900
#2001-04-18#,42.5,43.59,41.29,41.74,10162100
#2001-04-19#,41.6,41.85,40.94,41.35,7353900
#2001-04-20#,41.35,41.54,39.85,40,9464800
#2001-04-23#,39.5,40.05,38.38,39.25,11380800
#2001-04-24#,39.2,40.17,39.2,39.7,5774200
