"Date","Open","High","Low","Close","Volume"
#2012-01-02#,43.67,43.88,43.5,43.54,464914
#2012-01-03#,44.09,44.17,43.61,43.64,808451
#2012-01-04#,43.56,43.62,43.08,43.25,732354
#2012-01-05#,43.09,43.43,42.38,43.4,1118513
#2012-01-06#,43.34,43.7,43.21,43.57,965583
#2012-01-09#,43.66,43.88,43.45,43.77,686597
#2012-01-10#,44.08,44.84,44.08,44.66,1041661
#2012-01-11#,44.5,44.885,44.4,44.85,923669
#2012-01-12#,44.95,45.055,44.69,44.7,1065246
#2012-01-13#,44.36,44.61,43.9,43.94,967036
#2012-01-16#,44.36,44.61,43.9,43.94,967036
#2012-01-17#,44.32,44.45,43.6,43.62,1295356
#2012-01-18#,43.61,43.83,43.34,43.82,1082478
#2012-01-19#,43.77,43.8,43.5,43.54,1354400
#2012-01-20#,43.62,44.1,43.59,44,1083338
#2012-01-23#,43.88,44.17,43.725,44,984808
#2012-01-24#,43.06,43.69,42.73,42.84,1570428
#2012-01-25#,42.74,43.11,42.64,42.99,1155027
#2012-01-26#,43.15,43.44,42.87,43.17,881197
#2012-01-27#,43.12,43.12,42.57,42.88,815124
#2012-01-30#,42.71,42.83,42.38,42.54,633050
#2012-01-31#,42.66,42.94,42.38,42.89,915839
#2012-02-01#,43.24,44.03,43.22,43.76,896986
#2012-02-02#,43.87,43.99,43.22,43.42,818014
#2012-02-03#,43.79,44.17,43.73,43.93,888972
#2012-02-06#,43.81,43.913,43.46,43.61,593324
#2012-02-07#,43.46,44.09,43.46,43.96,795640
#2012-02-08#,43.92,44.04,43.6,43.7,600405
#2012-02-09#,43.72,43.94,43.56,43.9,797396
#2012-02-10#,43.6,43.69,43.17,43.17,994233
#2012-02-13#,43.43,43.8,43.41,43.77,1081733
#2012-02-14#,43.75,44.02,43.581,44.02,865348
#2012-02-15#,44.1,44.54,43.86,43.86,1008439
#2012-02-16#,45.25,45.99,44.76,45.1,3114077
#2012-02-17#,45.09,45.6,44.75,45.43,1648305
#2012-02-20#,45.09,45.6,44.75,45.43,1648305
#2012-02-21#,45.57,45.57,44.725,44.85,1017947
#2012-02-22#,44.76,44.94,44.34,44.41,1341606
#2012-02-23#,44.21,44.52,44.08,44.4,719859
#2012-02-24#,44.48,44.54,43.88,43.92,851854
#2012-02-27#,43.94,44.078,43.76,43.84,824348
#2012-02-28#,43.91,44.199,43.79,44,913326
#2012-02-29#,43.97,44.18,43.85,43.94,1461004
#2012-03-01#,43.58,43.9,43.4,43.72,1231934
#2012-03-02#,43.71,43.86,43.55,43.6,806752
#2012-03-05#,43.5,43.815,43.171,43.33,1288858
#2012-03-06#,43.12,43.25,42.04,42.04,1740911
#2012-03-07#,42.23,42.32,41.96,42.11,1451804
#2012-03-08#,42.44,42.73,42.29,42.66,1320319
#2012-03-09#,42.81,42.86,42.55,42.76,918769
#2012-03-12#,42.8,42.85,42.48,42.78,846909
#2012-03-13#,42.9,43.01,42.73,42.88,1081448
#2012-03-14#,42.87,43.19,42.81,42.95,947358
#2012-03-15#,42.97,43.01,42.805,42.87,783999
#2012-03-16#,42.88,43.19,42.87,43.11,1232556
#2012-03-19#,42.98,43.36,42.88,43.31,882396
#2012-03-20#,43.06,43.29,42.9,42.92,970234
#2012-03-21#,43.03,43.23,42.9,43.1,642165
#2012-03-22#,42.9,43.51,42.87,43.49,939071
#2012-03-23#,43.46,43.99,43.31,43.96,1159832
