"Date","Open","High","Low","Close","Volume"
#2000-01-03#,2.5469,2.5625,2.4766,2.5391,14484000
#2000-01-04#,2.5078,2.5313,2.3281,2.4063,18216800
#2000-01-05#,2.4063,2.4297,2.3359,2.3359,24022400
#2000-01-06#,2.5,2.5938,2.4609,2.4766,26992000
#2000-01-07#,2.4844,2.6016,2.4375,2.5391,17420000
#2000-01-10#,2.5234,2.5391,2.4922,2.5,15232800
#2000-01-11#,2.5,2.5234,2.4531,2.4609,19578400
#2000-01-12#,2.4609,2.4688,2.4375,2.4375,16377600
#2000-01-13#,2.4375,2.4609,2.3828,2.4375,18737600
#2000-01-14#,2.4297,2.4922,2.4219,2.4609,9264800
#2000-01-17#,2.4297,2.4922,2.4219,2.4609,9264800
#2000-01-18#,2.4297,2.4453,2.3672,2.3828,7888000
#2000-01-19#,2.4141,2.4219,2.2969,2.3047,14485600
#2000-01-20#,2.3594,2.375,2.2734,2.3125,9240800
#2000-01-21#,2.2813,2.2891,2.1094,2.1563,43389600
#2000-01-24#,2.0938,2.1484,2.0625,2.0781,28382400
#2000-01-25#,2.0781,2.1484,2.0703,2.125,13167200
#2000-01-26#,2.1016,2.1875,2.1016,2.1719,16465600
#2000-01-27#,2.1641,2.2266,2.1094,2.1406,12228800
#2000-01-28#,2.1094,2.1172,2.0313,2.0391,13932000
#2000-01-31#,2.0469,2.0625,2.0078,2.0391,11296800
#2000-02-01#,2.0078,2.0859,2.0078,2.0781,10495200
#2000-02-02#,2.0859,2.2188,2.0078,2.1875,11921600
#2000-02-03#,2.1563,2.3203,2.125,2.2734,22321600
#2000-02-04#,2.2734,2.3281,2.1563,2.2891,21488800
#2000-02-07#,2.2344,2.2422,2.1172,2.1484,17973600
#2000-02-08#,2.1719,2.2188,2.1719,2.1953,13179200
#2000-02-09#,2.1875,2.1875,2.125,2.1328,9064800
#2000-02-10#,2.125,2.1875,2.0469,2.1563,9249600
#2000-02-11#,2.1719,2.1719,2.0469,2.0938,9435200
#2000-02-14#,2.1016,2.1094,2.0391,2.0859,6545600
#2000-02-15#,2.0859,2.0859,2.0156,2.0391,9323200
#2000-02-16#,2.0469,2.0469,1.9375,1.9531,13372000
#2000-02-17#,1.9453,2.0234,1.875,1.8984,15456000
#2000-02-18#,1.9219,1.9531,1.875,1.8906,13061600
#2000-02-21#,1.9219,1.9531,1.875,1.8906,13061600
#2000-02-22#,1.9219,1.9219,1.8438,1.8594,8357600
#2000-02-23#,1.875,1.8984,1.8359,1.8359,6146400
#2000-02-24#,1.8125,1.8281,1.7422,1.7813,10845600
#2000-02-25#,1.7813,1.8438,1.7422,1.7656,13180800
#2000-02-28#,1.7656,1.875,1.7656,1.875,24096000
#2000-02-29#,1.8906,2.0313,1.8906,1.9922,26546400
#2000-03-01#,2.0234,2.0781,1.9531,2.0625,27174400
#2000-03-02#,2.0703,2.1641,2.0625,2.0938,15819200
