"Date","Open","High","Low","Close","Volume"
#2003-01-01#,19.9,20.4,19.79,20.12,424900
#2003-01-02#,20.35,20.38,20.09,20.38,981400
#2003-01-03#,20.3,20.32,19.94,19.95,1013200
#2003-01-06#,20.2,20.24,19.96,19.98,1032300
#2003-01-07#,20.02,20.02,19.76,19.87,715600
#2003-01-08#,19.87,19.88,19.45,19.52,484300
#2003-01-09#,19.52,20,19.52,19.74,534200
#2003-01-10#,19.74,19.95,19.6,19.83,354100
#2003-01-13#,19.88,19.98,19.75,19.92,568000
#2003-01-14#,19.85,19.88,19.48,19.65,539500
#2003-01-15#,19.7,19.7,19.1,19.34,415400
#2003-01-16#,19.3,19.72,19.06,19.21,414200
#2003-01-17#,19.1,19.13,18.86,18.99,381900
#2003-01-20#,19.1,19.13,18.86,18.99,381900
#2003-01-21#,18.79,18.9,18.3,18.42,936500
#2003-01-22#,18.4,18.58,18.2,18.33,437500
#2003-01-23#,18.5,18.72,18.5,18.64,450600
#2003-01-24#,18.72,18.8,18.15,18.31,452600
#2003-01-27#,18.31,18.47,18.16,18.29,529300
#2003-01-28#,18.29,18.68,18.16,18.67,559400
#2003-01-29#,18.47,18.6,18.3,18.52,663400
#2003-01-30#,18.47,18.47,17.63,17.79,492900
#2003-01-31#,17.79,18.27,17.79,18.17,557200
#2003-02-03#,18.23,18.43,18.05,18.2,381200
#2003-02-04#,18.05,18.08,17.56,17.63,567700
#2003-02-05#,17.73,18.08,17.55,17.79,929300
#2003-02-06#,17.79,18.41,17.69,17.75,1063600
#2003-02-07#,17.78,17.83,17.56,17.6,341200
#2003-02-10#,17.6,17.98,17.6,17.94,519100
#2003-02-11#,17.95,18.24,17.77,17.88,692700
#2003-02-12#,17.9,17.9,17.51,17.51,505400
#2003-02-13#,17.51,17.6,17.21,17.5,284200
#2003-02-14#,17.6,17.64,17.27,17.5,809100
#2003-02-17#,17.6,17.64,17.27,17.5,809100
#2003-02-18#,17.4,17.99,17.4,17.99,372800
#2003-02-19#,17.99,18,17.68,17.75,436100
#2003-02-20#,17.77,17.85,17.6,17.75,347800
#2003-02-21#,17.76,18.12,17.62,17.88,642600
#2003-02-24#,17.88,17.88,17.37,17.42,299700
#2003-02-25#,17.32,17.46,17.06,17.46,400000
#2003-02-26#,17.48,17.5,17.07,17.24,792100
#2003-02-27#,17.25,17.7,17.24,17.39,484300
#2003-02-28#,17.48,17.67,17.43,17.6,390600
#2003-03-03#,17.85,17.87,17.57,17.65,519000
#2003-03-04#,17.69,17.78,17.62,17.69,540800
#2003-03-05#,17.7,17.93,17.66,17.93,533900
#2003-03-06#,17.8,17.9,17.68,17.8,422300
#2003-03-07#,17.7,18.15,17.64,18.15,437500
#2003-03-10#,17.95,18.03,17.69,17.76,632900
#2003-03-11#,17.76,17.88,17.27,17.31,298300
#2003-03-12#,17.31,17.31,16.89,17.02,600700
#2003-03-13#,17.25,17.66,17,17.62,517400
#2003-03-14#,17.72,18.01,17.65,18,491900
#2003-03-17#,18,18.85,17.83,18.82,581600
#2003-03-18#,18.82,19,18.62,18.92,430500
#2003-03-19#,18.8,18.83,18.25,18.6,757000
#2003-03-20#,18.3,18.65,18.04,18.6,477000
#2003-03-21#,18.9,18.92,18.6,18.89,526800
#2003-03-24#,18.4,18.49,18.09,18.17,691700
#2003-03-25#,18.18,18.41,18.11,18.34,630400
#2003-03-26#,18.34,18.34,18,18.17,592100
#2003-03-27#,18.17,18.33,18,18.16,384500
#2003-03-28#,18.1,18.18,18,18.1,506000
#2003-03-31#,17.95,18.34,17.8,18.1,541200
#2003-04-01#,18.05,18.25,17.85,18.21,526700
#2003-04-02#,18.35,18.59,18.3,18.45,458100
#2003-04-03#,18.45,18.52,18.19,18.2,391400
#2003-04-04#,18.26,18.38,18.01,18.13,563500
#2003-04-07#,18.62,18.72,18.25,18.32,386600
#2003-04-08#,18.32,18.39,18.17,18.17,272700
#2003-04-09#,18.27,18.55,18.1,18.11,245400
#2003-04-10#,18.15,18.38,18.12,18.37,286200
#2003-04-11#,18.6,18.65,18.29,18.32,295600
#2003-04-14#,18.42,20,18.35,18.77,356400
#2003-04-15#,18.9,19.25,18.74,19.17,557700
#2003-04-16#,19.21,19.43,19,19.14,811600
#2003-04-17#,19.14,19.44,19.065,19.33,311700
#2003-04-18#,19.14,19.44,19.065,19.33,311700
#2003-04-21#,19.24,19.48,19.18,19.32,273400
#2003-04-22#,19.2,19.84,19.08,19.84,442300
#2003-04-23#,19.84,19.99,19.69,19.97,623200
#2003-04-24#,19.05,19.1,17.87,18,1534800
#2003-04-25#,18,18.13,17.52,17.57,794900
#2003-04-28#,17.65,18.13,17.65,17.86,710600
#2003-04-29#,17.87,18.2,17.72,18.2,725600
#2003-04-30#,18.13,18.45,17.85,18.17,911100
#2003-05-01#,17.97,18.39,17.8,18.3,630200
#2003-05-02#,18.2,18.79,18.09,18.75,421700
#2003-05-05#,18.7,18.99,18.6,18.66,574800
#2003-05-06#,18.62,18.96,18.43,18.58,613900
#2003-05-07#,18.45,18.74,18.28,18.49,413800
#2003-05-08#,18.4,18.6,18.29,18.41,484700
#2003-05-09#,18.5,18.95,18.45,18.8,424500
#2003-05-12#,18.7,18.94,18.48,18.92,546400
#2003-05-13#,18.92,18.95,18.65,18.87,330900
#2003-05-14#,18.9,18.94,18.55,18.6,532900
#2003-05-15#,18.6,19.1,18.5,19.05,774000
#2003-05-16#,19.11,19.29,18.96,19.29,1074700
#2003-05-19#,19.29,19.29,18.81,18.83,592200
#2003-05-20#,19.2,19.41,18.98,19.15,796400
#2003-05-21#,19,19.3,19,19.23,347900
#2003-05-22#,19.2,19.73,19.01,19.64,533300
#2003-05-23#,19.64,20.1,19.54,20.08,911100
#2003-05-26#,19.64,20.1,19.54,20.08,911100
#2003-05-27#,20,20.51,19.85,20.49,631100
#2003-05-28#,20.74,20.75,20.54,20.63,871700
#2003-05-29#,20.55,20.8,20.37,20.55,946500
#2003-05-30#,20.6,21.1,20.6,21.1,818800
#2003-06-02#,21.2,21.49,21.09,21.2,590200
#2003-06-03#,21.2,21.6,21.01,21.6,549700
#2003-06-04#,21.48,21.99,21.35,21.98,615400
#2003-06-05#,21.78,21.85,21.4,21.54,798200
#2003-06-06#,21.55,21.88,21.4,21.47,1442600
#2003-06-09#,21.4,21.49,21.18,21.41,1027000
#2003-06-10#,21.4,21.78,21.4,21.76,678300
#2003-06-11#,21.76,22.36,21.68,22.36,1373700
#2003-06-12#,22.36,22.36,21.95,22.2,501800
#2003-06-13#,22.2,22.28,21.96,22.28,345800
#2003-06-16#,22.18,22.4,22.12,22.31,608000
#2003-06-17#,22.31,22.42,22.07,22.35,368200
#2003-06-18#,22.35,22.63,22.13,22.3,318000
#2003-06-19#,22.3,22.3,21.77,21.77,528400
#2003-06-20#,21.97,22.15,21.9,21.99,666400
#2003-06-23#,21.85,21.93,21.24,21.24,601200
#2003-06-24#,21.25,21.4,20.82,21.08,623200
#2003-06-25#,21.2,21.4,21,21.06,380400
#2003-06-26#,21,21.62,20.87,21.54,432100
#2003-06-27#,21.44,21.72,21.41,21.42,393500
#2003-06-30#,21.41,21.62,20.9,21.02,1110500
#2003-07-01#,21.09,21.48,20.8,21.44,504700
#2003-07-02#,21.35,21.76,21.25,21.73,507600
#2003-07-03#,21.73,21.75,21.3,21.41,419700
#2003-07-04#,21.73,21.75,21.3,21.41,419700
#2003-07-07#,21.74,21.9,21.71,21.89,541800
#2003-07-08#,21.88,21.88,21.58,21.84,537300
#2003-07-09#,21.72,21.89,21.62,21.78,703100
#2003-07-10#,21.79,21.83,21.45,21.45,712100
#2003-07-11#,21.55,21.76,21.38,21.5,479400
#2003-07-14#,21.65,21.879,21.45,21.46,474000
#2003-07-15#,21.6,21.72,21.25,21.3,556800
#2003-07-16#,21.4,21.55,21.13,21.26,586800
#2003-07-17#,21.26,21.29,20.99,21,363300
#2003-07-18#,21.15,21.26,20.92,21.25,421500
#2003-07-21#,21,21.26,20.91,21.12,499500
