"Date","Open","High","Low","Close","Volume"
#2007-01-01#,43.75,43.93,43.55,43.77,718836
#2007-01-02#,43.75,43.93,43.55,43.77,718836
#2007-01-03#,45.35,46.25,45.03,45.75,2605194
#2007-01-04#,45.73,46.32,45.57,46.15,1575631
#2007-01-05#,46.01,46.38,45.89,46.06,1718419
#2007-01-08#,45.9,47.01,45.64,46.9,1275148
#2007-01-09#,47.28,47.54,46.85,47.09,1410212
#2007-01-10#,46.87,47.44,46.52,47.36,1048077
#2007-01-11#,47.37,48.37,47.37,48.29,1060339
#2007-01-12#,48.32,48.608,48.05,48.56,756547
#2007-01-15#,48.32,48.608,48.05,48.56,756547
#2007-01-16#,48.8,48.82,47.88,48.06,1077489
#2007-01-17#,48.13,48.56,48.06,48.25,1305884
#2007-01-18#,48.51,48.54,47.57,47.68,1123496
#2007-01-19#,47.52,47.83,47.08,47.65,736152
#2007-01-22#,47.81,47.81,47.17,47.41,685545
#2007-01-23#,47.41,47.7,46.95,47.34,755718
#2007-01-24#,47.41,48.62,47.41,48.61,1001463
#2007-01-25#,48.78,48.79,47.1,47.31,948773
#2007-01-26#,47.33,48.94,47.04,47.78,1767412
#2007-01-29#,47.8,47.83,47.04,47.31,888509
#2007-01-30#,47.37,47.92,47.27,47.88,1050803
#2007-01-31#,47.79,48.25,47.18,47.98,914423
#2007-02-01#,48.19,48.46,48.03,48.26,695712
#2007-02-02#,47.81,48.23,47.43,47.78,834399
#2007-02-05#,47.63,48.2,47.58,48.11,606116
#2007-02-06#,48.92,49.2,48.22,49.07,1314716
#2007-02-07#,49.44,49.48,48.79,49.31,1537068
#2007-02-08#,49.44,50.3,49.2,50.04,1885027
#2007-02-09#,49.96,50.23,48.72,49.24,1188563
#2007-02-12#,48.98,49,48.27,48.57,1001904
#2007-02-13#,49.04,49.04,48.52,48.97,1037443
#2007-02-14#,48.97,49.78,48.87,49.6,699814
#2007-02-15#,49.53,49.81,49.1823,49.73,804608
#2007-02-16#,49.53,49.88,49.2,49.6,867531
#2007-02-19#,49.53,49.88,49.2,49.6,867531
#2007-02-20#,49.59,49.88,48.9,49.75,898155
#2007-02-21#,49.76,50.04,49.37,49.65,548532
#2007-02-22#,49.9,49.9,49.2,49.45,563991
#2007-02-23#,49.2,49.31,48.3,48.44,1156044
#2007-02-26#,48.65,48.72,47.56,47.99,940990
#2007-02-27#,47.85,47.85,45.75,45.75,1899350
#2007-02-28#,45.76,46.67,45.57,46.56,2265989
#2007-03-01#,45.97,46.71,45.42,46.33,1569529
#2007-03-02#,46.31,46.54,45.8,45.85,1391254
#2007-03-05#,45.296,45.71,44.59,44.596,1483728
#2007-03-06#,44.85,46.14,44.72,46.02,1806108
#2007-03-07#,45.78,46.18,45.54,45.59,2069235
#2007-03-08#,46.13,46.6,45.89,46.31,1442736
#2007-03-09#,46.73,46.87,45.99,46.28,1093479
#2007-03-12#,46.2,46.8,46.08,46.72,1251306
#2007-03-13#,46.61,46.69,45.73,45.96,3404394
#2007-03-14#,45.99,46.48,45.34,46.38,1950786
#2007-03-15#,46.42,47.09,46.21,46.58,1197837
#2007-03-16#,46.57,46.77,45.99,46.19,2127875
#2007-03-19#,46.37,46.81,46.25,46.52,1363746
#2007-03-20#,46.52,47.11,46.44,47.02,1460432
#2007-03-21#,47.9,49.21,47.34,49.02,1733356
#2007-03-22#,48.96,49.33,48.46,48.6,1613815
#2007-03-23#,48.8,49.3,48.68,48.73,1043502
#2007-03-26#,48.66,48.8,47.96,48.42,987713
#2007-03-27#,48,48.51,47.92,48.11,997667
#2007-03-28#,48.02,48.15,47.25,47.39,966506
#2007-03-29#,47.49,48.07,46.85,47.3,1138836
#2007-03-30#,47.2,47.71,46.85,47.19,1167267
#2007-04-02#,47.03,47.25,46.81,47.24,749463
#2007-04-03#,47.82,48.39,47.6,48.27,1100218
#2007-04-04#,48.42,48.61,48.05,48.53,827529
#2007-04-05#,48.26,48.48,48.14,48.46,754202
#2007-04-06#,48.26,48.48,48.14,48.46,754202
#2007-04-09#,48.52,48.93,48.38,48.7,575088
#2007-04-10#,48.7,48.79,48.44,48.58,781853
#2007-04-11#,48.58,48.75,47.88,48.26,876462
#2007-04-12#,48.13,48.64,47.925,48.6,574022
#2007-04-13#,48.61,49.02,48.29,48.95,625894
#2007-04-16#,49,50.16,48.89,50.16,1033110
#2007-04-17#,50.3,50.83,50.13,50.34,991305
#2007-04-18#,50.26,51.17,50.24,50.96,1026598
#2007-04-19#,50.88,50.96,50.16,50.27,1330566
#2007-04-20#,50.96,51.09,49.38,50.98,1528593
#2007-04-23#,51.075,51.42,50.94,51.02,1020021
#2007-04-24#,51.36,51.45,50.73,51.25,1424757
#2007-04-25#,50.05,50.7,49.73,50.55,2702508
#2007-04-26#,50.51,50.51,49.59,50.02,1543154
#2007-04-27#,49.99,50.09,49.72,49.85,1918398
#2007-04-30#,50,50.21,49.6156,49.68,1295610
#2007-05-01#,49.84,49.94,48.0001,49.51,1230769
#2007-05-02#,49.44,50.04,49.24,49.47,1682389
#2007-05-03#,49.51,49.89,48.95,49.38,1358844
#2007-05-04#,49.48,50.34,49.2901,50.18,1215849
#2007-05-07#,50.39,50.69,49.83,49.99,946022
#2007-05-08#,49.74,50,49.53,49.74,702638
#2007-05-09#,49.74,50.64,49.55,50.51,1026054
#2007-05-10#,50.34,50.73,49.63,49.68,1881782
#2007-05-11#,50.3,50.36,49.44,50.36,1116783
#2007-05-14#,50.26,50.7,49.27,49.4,1125081
#2007-05-15#,49.67,50.09,48.92,48.98,802430
#2007-05-16#,48.99,49.5499,48.99,49.49,707798
#2007-05-17#,49.46,49.46,48.62,48.88,949687
#2007-05-18#,49.01,49.65,48.99,49.64,989148
#2007-05-21#,49.45,49.84,49.36,49.51,981206
#2007-05-22#,49.45,49.56,48.99,49.25,1132526
#2007-05-23#,49.25,50.32,49.25,50.15,1484560
#2007-05-24#,50.15,50.29,48.96,49.08,978810
#2007-05-25#,49.18,49.5,48.74,48.99,734078
#2007-05-28#,49.18,49.5,48.74,48.99,734078
#2007-05-29#,48.93,49.468,48.93,49.16,1017206
#2007-05-30#,49.14,50.57,49.09,50.55,1518140
#2007-05-31#,50.79,51.52,50.77,51.35,1505484
#2007-06-01#,51.4,52.25,51.4,51.97,1887025
#2007-06-04#,51.7,52.11,51.49,51.83,1680941
#2007-06-05#,51.83,51.99,51.57,51.67,1307544
#2007-06-06#,51.61,51.85,51.29,51.33,1207326
#2007-06-07#,51.07,51.35,49.94,49.94,1674901
#2007-06-08#,49.79,50.37,49.33,50.23,1423523
#2007-06-11#,50.27,51.07,50,50.9,746183
#2007-06-12#,50.7,50.98,49.92,49.93,1347807
#2007-06-13#,50.48,51.42,49.9499,51.42,1123318
#2007-06-14#,51.34,52.15,51.34,52.14,1081183
#2007-06-15#,52.55,53.47,52.55,53.43,2243604
#2007-06-18#,53.5,53.5,52.72,53.39,1202060
#2007-06-19#,52.99,53.5,52.96,53.37,1262036
#2007-06-20#,54.245,55.21,52.66,52.67,2490478
#2007-06-21#,52.57,53,51.77,52.96,1358330
#2007-06-22#,52.26,52.78,51.55,51.88,1754695
#2007-06-25#,51.65,52.57,50.86,51.03,1747303
#2007-06-26#,51.55,51.96,51.25,51.68,1689529
#2007-06-27#,51.14,52.06,50.37,52.01,1581254
#2007-06-28#,52.01,52.98,51.62,52.65,1288303
#2007-06-29#,52.72,53.26,51.43,51.89,1485420
#2007-07-02#,52.35,53.24,52.29,53.24,1300735
#2007-07-03#,53.4,54.09,53.4,53.54,1034196
#2007-07-04#,53.4,54.09,53.4,53.54,1034196
#2007-07-05#,53.08,53.62,52.88,53.045,1087366
#2007-07-06#,53.12,53.77,52.77,53.64,650136
#2007-07-09#,53.8,54.02,53.14,53.55,1139635
#2007-07-10#,53.03,53.24,51.03,51.04,1939293
#2007-07-11#,50.4,51.53,50.37,51.01,2011076
#2007-07-12#,51.44,52.82,51.01,52.82,1537973
#2007-07-13#,52.9,53.55,52.67,53.31,1392594
#2007-07-16#,53.47,53.98,53.13,53.94,1034256
#2007-07-17#,54.2,55.29,54,55.21,2125417
#2007-07-18#,55,55,53.35,53.91,1719700
#2007-07-19#,54.26,54.74,53.56,54.37,1001375
#2007-07-20#,54.36,54.37,52.31,53.08,1648211
#2007-07-23#,53.74,54.11,53.12,53.34,833626
#2007-07-24#,52.83,52.94,51.26,51.42,1478104
#2007-07-25#,51.31,52.36,50.53,51.74,1854882
#2007-07-26#,51.03,51.52,49.11,50.67,2465726
#2007-07-27#,50.86,50.95,49.05,49.08,2000693
#2007-07-30#,48.91,50.28,48.75,50.03,1899914
#2007-07-31#,50.83,52.62,50.72,52.13,3916844
#2007-08-01#,51.85,52.25,49.34,50.6,4582959
#2007-08-02#,50.52,51.67,49.44,49.88,2447500
#2007-08-03#,49.91,50.21,48.36,48.39,3010050
#2007-08-06#,48.78,52.48,48.33,52.48,3789507
#2007-08-07#,52.07,55,51.9,54.45,3343851
#2007-08-08#,54.55,57.45,54.55,56.86,3465271
#2007-08-09#,54.85,55.56,52.77,52.92,3758123
#2007-08-10#,52.3,52.37,49.23,50.51,3761635
#2007-08-13#,50.97,52.95,50.05,50.21,2441318
#2007-08-14#,50.5,50.59,48.65,49.02,1554436
#2007-08-15#,48.84,50.19,48.15,48.35,1612044
#2007-08-16#,47.81,49.99,45.27,49.75,4289820
#2007-08-17#,51.82,53.6,49.91,51.95,2579765
#2007-08-20#,52,53.96,50.7,51.89,1666687
#2007-08-21#,51.8,53.27,51.59,52.53,1508699
#2007-08-22#,53.1,54.1,51.64,52.92,1233094
#2007-08-23#,53.69,53.69,51.14,51.46,1239328
#2007-08-24#,52.45,52.81,51.03,52.57,1730909
#2007-08-27#,53.78,53.95,51.64,51.65,1108856
#2007-08-28#,51.3,51.5,48.69,48.88,2140595
#2007-08-29#,49.46,50.67,48.57,50.67,1740695
#2007-08-30#,50.69,50.7,49.41,50.02,1371500
#2007-08-31#,50.5,51.97,50.46,51.32,1398352
#2007-09-03#,50.5,51.97,50.46,51.32,1398352
#2007-09-04#,51.22,52.68,51.02,52.14,1196285
#2007-09-05#,51.95,51.97,50.08,50.17,1844943
#2007-09-06#,50.5,50.61,49.31,50.02,1392258
#2007-09-07#,49.21,49.72,48.76,49.31,2370287
#2007-09-10#,49.64,50.87,49.13,50.22,2066574
#2007-09-11#,50.6,51.52,50.5,51.35,1565148
#2007-09-12#,51.25,51.56,50.95,51.15,1179461
#2007-09-13#,51.6,53.55,51.5,53.14,1530854
#2007-09-14#,52.69,53.01,52.13,52.97,950878
#2007-09-17#,52.79,52.79,51.37,51.96,1022869
#2007-09-18#,52.01,55.28,51.27,55.28,2785575
#2007-09-19#,55.36,56.45,54.97,55.33,1759767
#2007-09-20#,54.82,55.21,53.7,53.9,1511539
#2007-09-21#,54.54,54.67,53.66,53.87,1832405
#2007-09-24#,53.8,54.86,53.62,53.82,830441
#2007-09-25#,53.67,54.47,53.38,54.22,1448773
#2007-09-26#,54.46,55.18,54,54.61,955917
#2007-09-27#,54.95,55.57,54.12,55.5,911396
#2007-09-28#,55.68,56.07,55.21,55.69,1192912
#2007-10-01#,56,57.9,55.75,57.78,1959649
#2007-10-02#,57.9,59.41,57.6,58.1,1698876
#2007-10-03#,57.65,58.05,56.72,56.94,913866
#2007-10-04#,57.39,57.99,56.3,56.64,957568
#2007-10-05#,56.36,57.79,56.05,57.71,1453822
#2007-10-08#,57.46,57.86,57.32,57.41,938196
#2007-10-09#,57.47,58.53,57.17,58.5299,1525102
#2007-10-10#,58.47,58.6,57.73,58.2,1141930
#2007-10-11#,58.61,59.6,57.62,58.05,1284212
#2007-10-12#,58.25,58.75,57.96,58.57,874445
#2007-10-15#,58.63,58.88,56.27,56.81,1383650
#2007-10-16#,56.83,57.15,55.76,56.2,1295769
#2007-10-17#,57.01,57.01,54.89,55.95,1322597
#2007-10-18#,55.93,56.64,55.25,56.18,1096700
#2007-10-19#,55.9,56.62,54,54.02,1455094
#2007-10-22#,53.64,55.3,53.45,54.69,1110048
#2007-10-23#,55.45,58.96,55.07,58.73,2103795
#2007-10-24#,58.37,59.57,56.81,59.44,2008549
#2007-10-25#,59.43,60.58,58.92,60.11,1630301
#2007-10-26#,61.2,63.2,60.41,61.71,1955353
#2007-10-29#,62.17,62.95,61.57,62.75,1363259
#2007-10-30#,62.63,63.13,61.73,62.84,1255031
#2007-10-31#,63.15,64.69,62.41,64.24,2046176
#2007-11-01#,63.38,63.99,61.93,62.45,2476119
#2007-11-02#,62.89,62.97,60.27,62.72,2104169
#2007-11-05#,62.2,63.04,60.99,62.47,2076635
#2007-11-06#,62.59,63.9,61.3,63.9,1380266
#2007-11-07#,63.04,63.3,59.84,59.84,1986940
#2007-11-08#,59.89,60.97,57.53,60.62,2972003
#2007-11-09#,59.3,60.22,58.5,58.6,2831721
#2007-11-12#,58.38,61.22,58.38,59.59,2299300
#2007-11-13#,59.99,63.57,59.88,63.57,1833857
#2007-11-14#,63.75,65.28,63.34,64.37,2575408
#2007-11-15#,64.37,64.97,62.8,63.47,3093751
#2007-11-16#,63.75,65.16,63.07,64.7,2658574
#2007-11-19#,64.39,64.96,61.58,61.79,2812232
#2007-11-20#,62.28,62.66,59.5,60.82,3199902
