"Date","Open","High","Low","Close","Volume"
#2016-01-01#,114.12,114.32,112.83,112.86,956059
#2016-01-04#,110.71,110.96,108.73,109.97,2845969
#2016-01-05#,109.92,110.73,109.54,110.47,1870428
#2016-01-06#,109.34,109.79,108.57,109.04,1730884
#2016-01-07#,107.5,108.44,106.03,106.44,2284352
#2016-01-08#,107.01,107.44,105.83,105.99,1984471
#2016-01-11#,106.47,107.28,105.62,106.79,1549828
#2016-01-12#,107.69,108.2,106.59,107.98,2116010
#2016-01-13#,108.27,108.83,105.83,106.06,2881368
#2016-01-14#,105.94,108.01,105.83,106.98,1919027
#2016-01-15#,103.28,105.73,103.28,105.1,2532432
#2016-01-18#,103.28,105.73,103.28,105.1,2532432
#2016-01-19#,106.61,106.67,105.28,105.76,2459588
#2016-01-20#,104.89,104.95,102.68,103.65,3320414
#2016-01-21#,103.86,105.1,101.23,102.7,3183963
#2016-01-22#,103.63,103.9,102.08,103.14,2483713
#2016-01-25#,102.53,103.4,101.55,102.08,2930028
#2016-01-26#,102.26,104,102.18,103.25,2018855
#2016-01-27#,103.07,104.75,102.73,103.31,1694543
#2016-01-28#,103.79,104.817,103.04,104.47,1391489
#2016-01-29#,105.28,107.07,104.97,107.04,2195908
#2016-02-01#,106.79,107.35,106.17,107.01,1843781
#2016-02-02#,105.5,106.44,105.5,106.03,1730188
#2016-02-03#,106.35,107.51,104.74,106.89,2084988
#2016-02-04#,106.76,107.57,106.59,107.49,1606996
#2016-02-05#,107.49,108,106.01,106.29,2756581
#2016-02-08#,105.18,106,103.93,105.6,3409343
#2016-02-09#,103.95,106.14,103.77,105.92,1983590
#2016-02-10#,106.35,107.647,105.6,105.72,1584543
#2016-02-11#,103.73,104.56,103.07,103.77,2544641
#2016-02-12#,104.82,107.58,104.18,107.49,2095910
#2016-02-15#,104.82,107.58,104.18,107.49,2095910
#2016-02-16#,108.27,108.5,106.61,107.37,2322251
#2016-02-17#,108,109.26,107.63,109.18,1913799
#2016-02-18#,109.01,109.25,108.577,108.85,1678136
#2016-02-19#,108.56,108.72,107.83,108.09,1682452
#2016-02-22#,109.42,109.53,108.49,109.35,2281108
#2016-02-23#,108.64,108.81,107.63,107.91,1523080
#2016-02-24#,107.3,108.8,106.67,108.48,1521880
#2016-02-25#,108.79,109.27,108.22,109.27,1392937
#2016-02-26#,109.6,109.798,108.25,108.46,1807767
#2016-02-29#,108.46,108.72,107.39,107.52,2922986
#2016-03-01#,108.13,110.13,108.04,110.13,1651874
#2016-03-02#,110.06,110.44,109.68,110.2,1521015
#2016-03-03#,109.92,110.28,108.63,109.8,1819393
#2016-03-04#,110.38,110.59,109.06,110.4,1372878
#2016-03-07#,110.02,110.49,109.56,110.41,1226982
#2016-03-08#,109.46,111.58,109.46,110.85,1891927
#2016-03-09#,111.5,111.7,110.83,111.33,1452077
#2016-03-10#,111.26,112.36,110.58,111.53,1682975
#2016-03-11#,112.19,113.67,112.13,113.64,1978852
#2016-03-14#,113.65,113.8,112.28,112.82,1732098
#2016-03-15#,112.23,114.38,112.077,113.92,1529131
#2016-03-16#,113.5,115.01,113.5,114.68,1409018
#2016-03-17#,114.73,116.167,114.44,115.83,1518600
#2016-03-18#,115.99,116,114.81,115.76,5239587
#2016-03-21#,115.32,116.32,115.32,116.03,1200619
#2016-03-22#,115.95,116.78,115.54,116.06,1528403
#2016-03-23#,116.16,116.46,115.05,115.89,1458602
#2016-03-24#,115.64,115.92,114.67,115.39,1477414
#2016-03-25#,115.64,115.92,114.67,115.39,1477414
#2016-03-28#,116.11,116.41,115.57,116.25,885183
#2016-03-29#,116.21,116.87,115.77,116.41,1234127
#2016-03-30#,116.95,117.7,116.72,117.43,1147755
#2016-03-31#,117.39,117.61,116.49,116.71,1111390
#2016-04-01#,116.42,117.55,115.91,117.4,1478969
#2016-04-04#,117.65,118.28,117.17,117.56,1096107
#2016-04-05#,117.07,117.84,116.02,116.13,1215102
#2016-04-06#,116.05,116.384,114.96,115.93,1644716
#2016-04-07#,115.58,115.58,114.36,114.5,1293968
#2016-04-08#,114.79,116.01,114.79,115.23,907049
#2016-04-11#,115.35,116.28,114.73,114.78,1176600
#2016-04-12#,114.81,115.29,114.13,115.19,1749446
#2016-04-13#,115.87,116.18,114.86,115.96,1483917
#2016-04-14#,115.87,115.99,115.1,115.36,1588270
#2016-04-15#,115.74,116.62,115.35,116.23,1550592
#2016-04-18#,116,116.33,115.43,116.01,2350519
#2016-04-19#,116.81,117.24,116.09,116.27,1216952
#2016-04-20#,116.63,116.68,115.14,115.8,1962604
#2016-04-21#,111.53,112.37,108.25,108.79,5073676
#2016-04-22#,109.16,111.17,109.1,110.84,2023539
#2016-04-25#,110.55,110.645,109.51,110.34,1482319
#2016-04-26#,110.63,110.93,109.56,109.97,1614963
#2016-04-27#,110.13,110.13,108.88,109.53,2341989
#2016-04-28#,108.72,109.87,108.37,109.13,1448345
#2016-04-29#,108.96,110.12,108.5,109.9,1697574
#2016-05-02#,110.01,111.27,110.01,110.91,1413919
#2016-05-03#,109.68,110.69,109.62,110.33,1256524
#2016-05-04#,109.52,110.19,108.68,109.73,1348396
#2016-05-05#,110.39,111.16,110.27,110.75,1590145
#2016-05-06#,110.5,110.59,109.73,110.45,1273076
#2016-05-09#,110.11,111.05,110.01,110.81,942259
#2016-05-10#,111,112.28,110.74,112.27,1267056
#2016-05-11#,112.31,113.12,111.9,111.97,1519541
#2016-05-12#,112.19,113.04,111.63,112.64,1274823
#2016-05-13#,112.83,113.01,111.93,112.67,1608246
#2016-05-16#,112.26,112.86,111.94,112.24,1154992
#2016-05-17#,112.08,112.26,110.1,110.42,1490486
#2016-05-18#,110.27,111.89,109.98,111.3,1346945
#2016-05-19#,110.53,110.97,109.86,110.1,1638255
#2016-05-20#,110.75,112.46,110.48,111.89,1806616
#2016-05-23#,111.7,112.19,111.21,111.39,1110678
#2016-05-24#,111.61,113.5,111.5,113.44,1386364
#2016-05-25#,113.76,114.38,113.33,113.54,1180237
#2016-05-26#,113.48,113.76,113.01,113.6,1205230
#2016-05-27#,113.61,114.34,113.55,114.18,1031261
#2016-05-30#,113.61,114.34,113.55,114.18,1031261
#2016-05-31#,114.23,115,113.49,114.14,2135655
#2016-06-01#,113.75,114.87,113.37,114.84,1398833
#2016-06-02#,114.76,114.885,114.21,114.87,1130876
#2016-06-03#,114.12,114.96,113.28,114.62,1087384
#2016-06-06#,115,115.33,114.12,114.33,1339185
#2016-06-07#,114.61,115.01,114.23,114.58,1889295
#2016-06-08#,113.55,114.5,113.55,114.22,1280955
#2016-06-09#,113.83,114.39,113.53,114.22,918802
#2016-06-10#,114.13,114.41,113.27,113.81,1203642
#2016-06-13#,113.61,114.56,112.89,113,1363406
#2016-06-14#,113.12,113.25,112.25,112.55,1530768
#2016-06-15#,112.88,113.07,111.69,111.81,1174642
#2016-06-16#,111.24,112.785,111,112.75,1143088
#2016-06-17#,113.07,113.1,111.33,111.86,2102220
#2016-06-20#,112.63,113.59,112.51,112.61,1171220
#2016-06-21#,112.91,113.15,112.46,112.72,1056147
#2016-06-22#,112.91,113.07,111.715,111.83,1565765
#2016-06-23#,113.22,113.9,112.53,113.85,1132534
#2016-06-24#,109.31,112.42,109.19,111.02,2423979
#2016-06-27#,110.47,110.83,109.33,110.35,1878828
#2016-06-28#,111.87,114.15,111.08,114.13,2062602
#2016-06-29#,114.88,116.85,114.724,116.81,2190850
#2016-06-30#,116.91,119.05,116.83,119.04,2584307
#2016-07-01#,118.96,119.3,118.228,118.85,1353356
#2016-07-04#,118.96,119.3,118.228,118.85,1353356
#2016-07-05#,118.25,119.04,118.02,118.68,1406124
#2016-07-06#,118.38,118.97,118.045,118.76,1360410
#2016-07-07#,118.7,118.79,117.05,117.51,1237142
#2016-07-08#,118.4,118.425,117.55,118.08,1197332
#2016-07-11#,118.32,118.47,117.91,118.12,1019528
#2016-07-12#,118.4,118.9,117.67,118.09,1208493
#2016-07-13#,118.34,118.52,117.96,118,1231822
#2016-07-14#,119,119.08,118.38,118.74,1090269
#2016-07-15#,119.14,119.19,118.38,118.64,1546811
#2016-07-18#,118.49,118.86,117.36,117.38,2037175
#2016-07-19#,116.93,117.32,116.56,117.05,1384422
#2016-07-20#,117.45,117.65,116.94,117.01,1662531
