"Date","Open","High","Low","Close","Volume"
#2008-01-01#,27.78,29.5,27.78,28,8679453
#2008-01-02#,28,28.19,26.63,26.96,4517239
#2008-01-03#,27.03,27.28,25.75,26.2,3608408
#2008-01-04#,26,26.19,25.18,25.19,1822792
#2008-01-07#,25.14,25.39,24.81,25.06,1546211
#2008-01-08#,25.14,25.14,22.97,22.97,2889382
#2008-01-09#,22.82,23.49,22.47,23.16,2144579
#2008-01-10#,22.95,24.1,22.95,24.02,1065959
#2008-01-11#,23.98,23.98,22.48,22.58,1655780
#2008-01-14#,22.72,22.99,22.45,22.8,778100
#2008-01-15#,22.48,22.82,21.51,21.76,1733838
#2008-01-16#,21.62,22.41,21.61,21.7,2041255
#2008-01-17#,21.72,22,20.61,20.61,1579502
#2008-01-18#,20.77,21.07,19.99,20.23,2232052
#2008-01-21#,20.77,21.07,19.99,20.23,2232052
#2008-01-22#,20.35,20.71,19.2,20.36,2541711
#2008-01-23#,19.5,21.26,18.76,21.06,3414910
#2008-01-24#,21.37,23.5,20.52,22.41,2683587
#2008-01-25#,22.44,22.51,21.64,22.24,2400606
#2008-01-28#,22.32,22.36,21.61,22.36,1130190
#2008-01-29#,22.46,22.81,22.17,22.78,1296728
#2008-01-30#,22.73,23.08,22.42,22.68,1435800
#2008-01-31#,22.24,23.26,21.94,23.1,1543223
#2008-02-01#,23.06,23.55,21.77,23.45,1603824
#2008-02-04#,23.36,23.72,22.8,22.94,891771
#2008-02-05#,22.48,22.84,22.22,22.22,1120885
#2008-02-06#,22.12,22.69,21.8,21.88,857018
#2008-02-07#,21.8,22.23,21.71,22.07,1016239
#2008-02-08#,21.83,22.44,21.64,21.85,759524
#2008-02-11#,21.73,22.01,21.32,21.79,670091
#2008-02-12#,22.03,22.62,21.83,22.23,781552
#2008-02-13#,22.36,22.87,22.36,22.73,824170
#2008-02-14#,22.7,22.92,22.2,22.26,798071
#2008-02-15#,22.19,22.19,21.86,22.11,600200
#2008-02-18#,22.19,22.19,21.86,22.11,600200
#2008-02-19#,22.13,22.37,21.69,21.83,1035256
#2008-02-20#,21.68,22.35,21.51,22.35,960140
#2008-02-21#,22.38,22.5,21.91,22.01,1106600
#2008-02-22#,22.54,22.9,22.25,22.85,1669026
#2008-02-25#,22.82,23.1,22.49,22.96,982800
