"Date","Open","High","Low","Close","Volume"
#2000-01-03#,8.9167,10,8.6667,9.125,1176750
#2000-01-04#,9.0833,9.3333,8.6667,8.875,345300
#2000-01-05#,8.75,8.875,8.3333,8.8333,628800
#2000-01-06#,8.7917,9,8.5,8.75,374100
#2000-01-07#,8.6667,9.0417,8.375,9,482850
#2000-01-10#,9.2083,9.4167,9,9.1667,315000
#2000-01-11#,9.25,9.4167,8.9167,8.9583,393300
#2000-01-12#,9.0833,9.2917,8.5833,8.6667,260700
#2000-01-13#,8.8333,9.6667,8.8333,9.2917,942300
#2000-01-14#,9.75,9.8333,9.3333,9.5417,526950
#2000-01-17#,9.75,9.8333,9.3333,9.5417,526950
#2000-01-18#,9.5625,9.6667,9.3333,9.3333,385200
#2000-01-19#,9.4583,9.5833,8.8333,8.875,409350
#2000-01-20#,8.875,9.2917,8.8333,8.875,441300
#2000-01-21#,8.9792,9.1667,7.9167,7.9167,1096350
#2000-01-24#,8.3333,8.5,7.25,7.5,1423500
#2000-01-25#,7.7083,7.875,7.25,7.5833,901800
#2000-01-26#,7.7083,8.3646,7.5833,8,969600
#2000-01-27#,8.3333,8.7083,7.875,8.0104,1024950
#2000-01-28#,8.6667,8.8333,7.75,7.875,798600
#2000-01-31#,8.0625,8.3333,7.5,8.2917,585750
#2000-02-01#,8.1667,8.625,7.6667,8,466950
#2000-02-02#,8.25,8.3333,7.8333,8,388200
#2000-02-03#,8.1667,8.1667,7.6458,7.875,550050
#2000-02-04#,8,8.1667,7.75,8.0833,652650
#2000-02-07#,8.2083,8.3333,8,8,322650
#2000-02-08#,8.0417,8.8333,8.0417,8.75,1106850
#2000-02-09#,8.8333,9.3333,8.7917,9.2917,1259250
#2000-02-10#,9.5417,9.8333,9.3333,9.4167,1100700
#2000-02-11#,9.5833,9.5833,9.0833,9.1667,382050
#2000-02-14#,9.2708,9.3333,8.6667,8.9583,238050
#2000-02-15#,8.875,8.875,8.5,8.7917,248250
#2000-02-16#,8.7917,9.25,8.5833,9.25,291900
#2000-02-17#,9.1667,9.3333,8.4583,8.7083,555150
#2000-02-18#,8.9167,9.2083,8.5833,8.75,327750
#2000-02-21#,8.9167,9.2083,8.5833,8.75,327750
#2000-02-22#,8.6667,8.9167,8.4167,8.875,357450
#2000-02-23#,9,9.5417,8.75,9.4167,802500
#2000-02-24#,9.5,9.5833,8.5,8.6667,683550
#2000-02-25#,9,9,8.5,8.5833,427350
#2000-02-28#,8.625,8.7083,7.8333,8.25,565500
#2000-02-29#,8.1667,8.4792,7.9167,8.2917,491850
#2000-03-01#,8.4167,9.5417,8.25,9.3333,1511250
#2000-03-02#,9.4583,10.2083,9.4583,9.9167,2132550
#2000-03-03#,10.0833,10.6667,10.0833,10.5,2141700
#2000-03-06#,10.7083,11,10.4167,10.4583,1209300
#2000-03-07#,10.6667,11,10.4167,10.9375,1604250
#2000-03-08#,11.25,12,11.25,11.9583,3354450
#2000-03-09#,12.25,12.5417,10.6667,12.4167,4187850
#2000-03-10#,12.5,12.625,10.6667,10.75,4932150
#2000-03-13#,10.5833,11.3333,10.125,11.0833,1130550
#2000-03-14#,11,11.3333,9.375,10.0417,875100
#2000-03-15#,10.1667,10.5417,9.6667,9.9583,621000
#2000-03-16#,10.0417,10.1667,9.3333,9.9167,941700
#2000-03-17#,10.4583,10.5,9.7917,10,678150
#2000-03-20#,10.1875,10.25,9.75,9.7917,456900
#2000-03-21#,9.9583,10.5,9.4167,10.3333,682200
#2000-03-22#,10.5,10.5833,9.7917,10.3333,473100
#2000-03-23#,10.3333,10.375,9.6667,9.75,921300
#2000-03-24#,9.75,9.75,8.8333,8.9167,1123650
#2000-03-27#,8.9167,9.5,8.8333,9.1667,416550
#2000-03-28#,9.3333,9.375,8.8333,9,699900
#2000-03-29#,8.9583,9.1667,8.7917,8.9583,533850
#2000-03-30#,8.75,9.0833,8.1667,8.2917,689100
#2000-03-31#,8.375,9.0417,8.3333,8.8333,825150
#2000-04-03#,8.75,8.9583,8.3333,8.625,361800
#2000-04-04#,8.6667,8.6667,5.8333,8,1374900
#2000-04-05#,7.75,8.6667,7.5,8.4167,593100
#2000-04-06#,8.5833,8.6667,8.375,8.625,562800
#2000-04-07#,8.625,8.8333,8.0417,8.0833,570450
#2000-04-10#,8.25,8.25,6.875,7.0833,653850
#2000-04-11#,7.2083,7.3333,6.4583,6.8333,964050
#2000-04-12#,7.3333,7.3333,6.3333,6.3333,829650
#2000-04-13#,6.7917,7.0417,6.25,6.4167,1062900
#2000-04-14#,6.4167,6.5,5.3333,5.5,1498200
#2000-04-17#,5.4792,6.2083,5.4167,5.8333,1057200
#2000-04-18#,6.1667,6.5833,6,6.5833,852300
#2000-04-19#,6.625,7.1667,6.4167,6.6667,787650
#2000-04-20#,6.7083,7,6.5,6.6667,303900
#2000-04-21#,6.7083,7,6.5,6.6667,303900
#2000-04-24#,6.6667,6.8333,6.1667,6.4167,209100
#2000-04-25#,6.3958,6.5,5.875,6,313800
#2000-04-26#,6.0417,6.3333,5.9167,6,335700
#2000-04-27#,5.9583,6.125,5.7917,6.0417,232200
#2000-04-28#,6.1667,6.4583,6.125,6.4167,225600
#2000-05-01#,6.4167,7.0417,6.375,6.9583,491250
#2000-05-02#,6.7917,7.4167,6.7917,7.2917,673200
#2000-05-03#,6.9583,7.0417,6.75,7.0417,408300
#2000-05-04#,7.1458,7.1667,6.7917,7.0833,378300
#2000-05-05#,6.9583,7.5,6.9167,7.375,493950
#2000-05-08#,7.4167,7.4583,7.3333,7.3333,190500
#2000-05-09#,7.4167,7.4167,7.125,7.4167,212850
#2000-05-10#,7.3333,7.4583,6.875,7.125,356400
#2000-05-11#,7.1667,7.6667,7.0417,7.5833,277500
#2000-05-12#,7.625,7.6667,7.3333,7.5417,229350
#2000-05-15#,7.5417,7.9167,7.4167,7.8333,189150
#2000-05-16#,7.7917,8.2917,7.7917,8,656100
#2000-05-17#,7.9583,8.5833,7.7083,8.5833,580200
#2000-05-18#,8.4375,8.8333,8.2917,8.4167,488700
#2000-05-19#,7.9167,8.4063,7.5833,8.3333,426150
#2000-05-22#,8.25,8.3333,7.6667,8.2083,367500
#2000-05-23#,8.25,8.3333,7.75,7.8333,282300
#2000-05-24#,7.6667,7.6875,7.2917,7.5833,446850
#2000-05-25#,7.625,7.6667,6.8333,6.875,303750
#2000-05-26#,6.5417,6.8333,6.2083,6.5833,546150
#2000-05-29#,6.5417,6.8333,6.2083,6.5833,546150
#2000-05-30#,6.875,7,6.4167,6.6667,417750
#2000-05-31#,6.5417,6.5417,5.9167,6.0417,552150
#2000-06-01#,6.6458,7,6.3333,6.8333,700500
#2000-06-02#,7.3333,8.1667,7.2917,7.7917,1161300
#2000-06-05#,7.8333,8.3333,7.6667,7.75,512400
#2000-06-06#,7.5833,7.7083,7.4167,7.4583,452400
#2000-06-07#,7.5,7.5833,7.1667,7.25,412200
#2000-06-08#,7.4583,7.7083,7.2083,7.3333,366150
#2000-06-09#,7.6875,7.9167,7.4583,7.5417,302100
#2000-06-12#,7.75,8.3333,7.7292,8.2083,713400
#2000-06-13#,8.25,8.3333,7.9167,8.25,435600
#2000-06-14#,8.2917,8.625,8.1667,8.5,757950
#2000-06-15#,8.375,8.75,8.1667,8.4583,570000
#2000-06-16#,8.5208,8.7083,8.3333,8.4167,623400
#2000-06-19#,8.875,9,7.7083,7.875,2471250
#2000-06-20#,8.0417,8.0833,7.1667,7.2917,1165950
#2000-06-21#,7.5417,7.8333,7.4583,7.5833,789900
#2000-06-22#,7.625,7.7083,7.4583,7.5417,502050
#2000-06-23#,7.5625,7.6667,7.4583,7.625,350700
#2000-06-26#,7.5833,7.7917,7.5,7.7083,415650
#2000-06-27#,7.7917,7.875,7.4167,7.4167,329250
#2000-06-28#,7.5417,7.7917,7.5,7.75,429900
#2000-06-29#,7.7083,8,7.6667,7.75,347250
#2000-06-30#,7.7292,8.2917,7.7292,8.0833,1197150
#2000-07-03#,8.125,8.1667,7.7917,8.0833,327750
