"Date","Open","High","Low","Close","Volume"
#2016-01-01#,41.7858,42.212,41.5688,41.6412,2354487
#2016-01-04#,41.1556,41.388,40.5254,41.1504,4620290
#2016-01-05#,41.9614,42.1009,41.0936,41.4035,2605077
#2016-01-06#,40.6803,41.7724,40.6183,41.2589,3125217
#2016-01-07#,40.608,41.6515,40.0501,40.2929,3661998
#2016-01-08#,40.4737,40.5409,38.6295,38.7432,4804116
#2016-01-11#,36.6097,37.4052,34.8327,36.1396,14518209
#2016-01-12#,36.7027,37.2916,35.8083,37.2709,5829005
#2016-01-13#,37.1263,38.1749,37.0333,37.1263,5171483
#2016-01-14#,37.0643,37.116,35.0497,36.0931,5612755
#2016-01-15#,35.0032,35.8555,34.7397,35.4526,3891705
#2016-01-18#,35.0032,35.8555,34.7397,35.4526,3891705
#2016-01-19#,35.6695,35.933,34.3161,34.6674,4016082
#2016-01-20#,33.9907,35.2821,32.6631,34.7862,6756997
#2016-01-21#,34.9205,36.3384,34.6106,35.6747,5029762
#2016-01-22#,36.0776,36.5787,35.7083,36.5684,3317771
#2016-01-25#,36.5477,36.5736,35.0187,35.2098,3562658
#2016-01-26#,34.6674,35.3338,34.1405,34.7965,4732203
#2016-01-27#,34.6106,36.2946,34.5744,35.4268,5791814
#2016-01-28#,41.0626,43.7953,40.3497,43.4285,18580919
#2016-01-29#,43.3304,44.5753,42.3644,44.1311,8252709
#2016-02-01#,43.8056,44.2085,43.0359,43.9761,4934032
#2016-02-02#,43.8676,44.3997,41.8013,42.3592,4101918
#2016-02-03#,42.447,42.7673,40.4634,41.791,4285114
#2016-02-04#,41.3725,41.6773,40.6183,41.605,3019137
#2016-02-05#,41.574,41.7858,38.4565,39.9468,7025567
#2016-02-08#,39.4457,39.4457,36.3308,37.4827,8425251
#2016-02-09#,36.9093,38.8981,36.5927,37.3742,5621962
#2016-02-10#,37.7152,39.2856,37.0901,38.4746,4767942
#2016-02-11#,37.7462,38.2163,36.7775,37.4931,3911174
#2016-02-12#,38.1543,39.4457,37.6274,39.4096,3766902
#2016-02-15#,38.1543,39.4457,37.6274,39.4096,3766902
#2016-02-16#,40.2877,41.9563,40.1276,41.2951,6104775
#2016-02-17#,41.8168,43.2012,41.448,42.8603,4226788
#2016-02-18#,42.9584,43.1082,41.698,41.8581,2895649
#2016-02-19#,41.5843,42.292,40.8301,41.6567,3011586
#2016-02-22#,41.9149,42.4625,41.6618,41.8891,1932804
#2016-02-23#,41.8788,42.3489,41.2382,41.5843,2344449
#2016-02-24#,41.2486,42.6691,40.9076,42.4367,2416342
#2016-02-25#,42.571,43.2374,42.292,42.9068,2251154
#2016-02-26#,42.9791,43.8728,42.6175,43.2942,2804338
#2016-02-29#,43.4957,43.6196,42.9481,43.2322,2748550
#2016-03-01#,43.4647,44.317,43.3149,43.8728,2468253
#2016-03-02#,43.8211,43.8934,42.9119,43.3562,1895402
#2016-03-03#,42.5658,43.1186,41.6205,42.9223,3229381
#2016-03-04#,43.0566,43.723,42.4883,43.3924,2877692
#2016-03-07#,43.1651,43.6455,42.5555,42.9791,2642459
#2016-03-08#,42.5865,42.8344,41.9408,41.9976,2338462
#2016-03-09#,42.1474,42.1942,40.7578,41.481,3297341
#2016-03-10#,41.9201,42.4573,41.348,41.8581,1895007
#2016-03-11#,42.1319,42.7621,41.5172,42.5917,1727673
#2016-03-14#,42.5607,42.5658,42.0493,42.261,2274158
#2016-03-15#,42.1991,42.2559,41.5172,41.853,1880611
#2016-03-16#,41.7806,41.9356,41.2537,41.8426,1798209
#2016-03-17#,41.9149,43.3872,41.8271,42.9481,3496417
#2016-03-18#,43.1547,44.0639,43.0927,43.537,3603286
#2016-03-21#,43.6868,44.7045,43.5628,44.1724,3134552
#2016-03-22#,44.0949,44.0949,43.1573,43.6248,2267194
#2016-03-23#,42.9894,43.3717,42.7208,42.8138,2006321
#2016-03-24#,42.6898,42.8086,41.9769,42.4419,1673410
#2016-03-25#,42.6898,42.8086,41.9769,42.4419,1673410
#2016-03-28#,42.8086,43.1444,42.4419,42.8448,1542969
#2016-03-29#,42.8758,43.2012,42.7466,43.1392,1652226
#2016-03-30#,43.5318,44.5288,43.3149,44.2395,2685781
#2016-03-31#,44.2292,44.8543,43.7746,43.8211,2533010
#2016-04-01#,43.4182,43.9193,42.9429,43.754,1976113
#2016-04-04#,43.9916,44.0071,42.8241,43.0721,1979349
#2016-04-05#,42.9171,43.4853,42.447,43.1547,1829012
#2016-04-06#,43.3097,44.534,42.9998,44.3428,2446894
#2016-04-07#,44.3325,44.658,43.7953,44.41,2448398
#2016-04-08#,45.27,45.43,42.49,43.54,11951520
