"Date","Open","High","Low","Close","Volume"
#2016-01-01#,37.82,37.99,36.92,37.57,1635580
#2016-01-04#,37.52,37.57,36.66,36.97,1655720
#2016-01-05#,36.97,37.63,36.95,37.44,1052266
#2016-01-06#,37.09,37.47,36.92,37.17,1234500
#2016-01-07#,36.25,36.75,36.25,36.47,1973936
#2016-01-08#,36.67,36.75,35.91,35.99,2275089
#2016-01-11#,36.1,36.75,36.06,36.4,1608378
#2016-01-12#,36.44,36.53,35.75,36.02,1936550
#2016-01-13#,36.09,36.55,35.84,35.99,2057540
#2016-01-14#,36.06,36.29,35.44,35.44,1734837
#2016-01-15#,34.63,35.86,34.63,35.78,1814044
#2016-01-18#,34.63,35.86,34.63,35.78,1814044
#2016-01-19#,35.84,36.25,35.55,35.85,1975987
#2016-01-20#,35.59,36.31,34.19,34.86,2513470
#2016-01-21#,34.98,35.27,34.5,34.77,1540730
#2016-01-22#,35.22,35.845,34.96,35.71,1327984
#2016-01-25#,35.74,36.08,35.27,35.41,1756427
#2016-01-26#,35.47,36.55,35.435,36.55,1681134
#2016-01-27#,36.51,36.51,35.25,35.56,1893236
#2016-01-28#,35.68,35.91,34.91,35.04,1879127
#2016-01-29#,35.36,35.68,34.75,35.59,3071807
#2016-02-01#,35.34,36.61,35.21,36.15,2510928
#2016-02-02#,36.28,36.45,35.34,35.48,2842398
#2016-02-03#,35.86,36.82,35.6,36.36,2651506
#2016-02-04#,36.16,37.186,35.82,36.77,2820939
#2016-02-05#,36.77,36.82,34.96,35.02,2092759
#2016-02-08#,34.93,35.81,33.56,33.9,2186880
#2016-02-09#,33.59,34.19,33.35,33.42,2115923
#2016-02-10#,33.54,34.3,33.54,33.92,1520916
#2016-02-11#,33.32,33.52,32.9,33.15,1387922
#2016-02-12#,33.41,33.51,32.91,33.39,2008594
#2016-02-15#,33.41,33.51,32.91,33.39,2008594
#2016-02-16#,33.82,33.9,33.32,33.86,2149172
#2016-02-17#,34.03,34.34,33.63,33.65,2026112
#2016-02-18#,33.73,34.14,33.56,33.9,1453335
#2016-02-19#,33.68,34.4,33.5,34.16,2051790
#2016-02-22#,34.4,34.825,34.24,34.4,927088
#2016-02-23#,34.21,34.82,33.82,34.24,752133
#2016-02-24#,34.04,34.14,33.35,33.69,1592493
#2016-02-25#,33.95,34.54,33.85,34.53,1668725
#2016-02-26#,34.51,34.62,34.11,34.37,1202692
#2016-02-29#,34.42,35.09,34.33,34.33,1744214
#2016-03-01#,34.48,35.65,34.3301,35.64,1386429
#2016-03-02#,35.51,36.315,34.62,36.17,1677894
#2016-03-03#,36.26,36.545,35.7,36.53,1429582
#2016-03-04#,36.41,36.41,34.76,34.76,53725917
#2016-03-07#,35.18,36.12,34.98,35.84,4356572
#2016-03-08#,35.92,35.9995,35.25,35.38,3223333
#2016-03-09#,35.44,36.02,35.125,35.77,2387776
#2016-03-10#,36.06,36.2,35.235,35.69,1878010
#2016-03-11#,36.15,36.43,35.99,36.42,2252312
#2016-03-14#,36.41,37.1,36.22,36.44,1815392
#2016-03-15#,36.39,37.14,36.39,37.06,2033053
#2016-03-16#,36.89,37.47,36.81,37.38,1415913
#2016-03-17#,37.29,38.21,37.25,38.1,1965419
#2016-03-18#,38.13,38.34,37.735,37.8,5982494
#2016-03-21#,37.6,37.91,37.29,37.41,1994241
#2016-03-22#,37.26,37.67,37.18,37.47,1299851
