"Date","Open","High","Low","Close","Volume"
#2000-01-03#,9.0313,9.4688,9.0313,9.3125,535200
#2000-01-04#,9.2656,9.2656,9.0469,9.125,290800
#2000-01-05#,9.1563,9.5,9.1563,9.5,532000
#2000-01-06#,9.4688,10.2344,9.4531,10.2031,1078400
#2000-01-07#,10.25,11.25,10.25,11.0469,1452400
#2000-01-10#,11.1563,11.75,11.1563,11.5781,1233600
#2000-01-11#,11.5469,11.5469,11.125,11.125,1100400
#2000-01-12#,11.1406,11.1719,11,11.0781,360400
#2000-01-13#,11.0625,11.5,11.0625,11.5,556800
#2000-01-14#,11.5,11.6719,11.3438,11.4531,858800
#2000-01-17#,11.5,11.6719,11.3438,11.4531,858800
#2000-01-18#,11.5156,11.625,11.4063,11.4375,230400
#2000-01-19#,11.4063,11.4219,10.875,11.1406,782800
#2000-01-20#,12,12.1406,11.875,12,1218000
#2000-01-21#,12.0156,12.2813,11.9688,12,1683600
#2000-01-24#,11.9688,12.0469,11.9375,12,1110400
#2000-01-25#,12.0156,12.25,11.8438,11.8594,998400
#2000-01-26#,11.8594,11.9844,11.6406,11.6406,775200
#2000-01-27#,11.6406,11.875,11.5,11.5,813200
#2000-01-28#,11.5,11.6406,11.1875,11.25,526800
#2000-01-31#,11.2813,11.3906,11.0625,11.1719,377600
#2000-02-01#,11.2031,11.2969,10.9375,11.2656,574800
#2000-02-02#,11.2656,11.5938,11.2188,11.5,538000
#2000-02-03#,11.5,12.0938,11.5,12.0156,812000
#2000-02-04#,11.9844,12.3594,11.9844,12.125,808800
#2000-02-07#,12.125,12.125,11.875,11.9375,238000
#2000-02-08#,11.9375,12.2344,11.7656,11.7813,426400
#2000-02-09#,11.8125,11.9844,11.4688,11.5,371600
#2000-02-10#,11.4375,11.4375,10.8281,11.3906,766800
#2000-02-11#,11.3594,11.5156,11.25,11.3125,342400
#2000-02-14#,11.2188,11.25,11.0156,11.0469,300800
#2000-02-15#,11,11.75,10.9063,11.5625,1029200
#2000-02-16#,11.5469,11.5469,10.7813,10.7813,565600
#2000-02-17#,10.8438,10.8438,10.5469,10.625,774000
#2000-02-18#,10.625,10.625,10.1406,10.2188,958400
#2000-02-21#,10.625,10.625,10.1406,10.2188,958400
#2000-02-22#,10.2188,10.2188,9.8125,10.0781,1105600
#2000-02-23#,10.0781,10.0781,9.8125,9.9688,770000
#2000-02-24#,10,10,9.5469,9.7188,694400
#2000-02-25#,9.75,9.875,9.625,9.875,568400
#2000-02-28#,9.8438,9.8594,9.5781,9.5781,874400
#2000-02-29#,9.5781,9.9219,9.5625,9.7188,568400
#2000-03-01#,9.7344,10.0625,9.7344,10.0156,452800
#2000-03-02#,10.0781,10.4844,10.0781,10.4375,520800
#2000-03-03#,10.4688,10.4688,10.2969,10.3438,584800
#2000-03-06#,10.3125,10.3438,10.0469,10.0781,392000
#2000-03-07#,10.1094,10.1094,9.7813,9.7813,443200
#2000-03-08#,9.8125,9.8125,9.5938,9.7813,510800
#2000-03-09#,9.8438,10.0625,9.7344,10.0313,545200
#2000-03-10#,10,10,9.8438,9.875,250800
