"Date","Open","High","Low","Close","Volume"
#2016-01-01#,14.8333,14.8333,14.4117,14.4367,789786
#2016-01-04#,14.0283,14.0283,13.5641,13.75,37026
#2016-01-05#,13.955,14,13.7417,13.7417,15666
#2016-01-06#,13.4167,13.4167,12.8715,12.9116,60372
#2016-01-07#,12.7717,12.7717,12.185,12.2983,38748
#2016-01-08#,12.3333,12.3333,11.7933,11.7933,49284
#2016-01-11#,11.9517,12.1205,11.7631,11.9667,27744
#2016-01-12#,12.1,12.15,12.0536,12.15,8802
#2016-01-13#,12.405,12.405,11.4317,11.4317,62304
#2016-01-14#,11.3483,11.82,11.3067,11.82,16314
#2016-01-15#,10.7842,10.9155,10.4382,10.5083,33906
#2016-01-18#,10.7842,10.9155,10.4382,10.5083,33906
#2016-01-19#,11.1183,11.1183,10.4352,10.6133,43206
#2016-01-20#,10.335,10.7473,10.1379,10.7473,25182
#2016-01-21#,10.7767,11.2483,10.7767,10.9633,21312
#2016-01-22#,11.3083,11.585,11.1333,11.1506,55818
#2016-01-25#,11.15,11.2934,10.965,10.965,17748
#2016-01-26#,11.1092,11.3333,11.1092,11.3333,12840
#2016-01-27#,11.2317,11.4417,10.9217,10.9217,43662
#2016-01-28#,11.2617,11.3908,11.0734,11.1194,15126
#2016-01-29#,11.1667,11.9667,11.1667,11.9667,18552
#2016-02-01#,11.94,12.11,11.85,11.9528,29502
#2016-02-02#,11.65,11.65,11.1333,11.1333,21234
#2016-02-03#,10.9684,11.1617,10.6,11.11,32538
#2016-02-04#,11.3066,11.4075,11.2867,11.3575,7620
#2016-02-05#,10.8,10.8263,10.7283,10.73,20502
#2016-02-08#,10.3517,10.3917,10.0433,10.2267,60018
#2016-02-09#,10.1217,10.4553,10.0483,10.4167,55344
#2016-02-10#,10.1217,10.4553,10.0483,10.4167,534
#2016-02-11#,9.8167,10.003,9.355,9.8733,60360
#2016-02-12#,10.0647,10.3333,9.91,10.2233,8868
#2016-02-15#,10.0647,10.3333,9.91,10.2233,8868
#2016-02-16#,10.495,10.8567,10.495,10.8567,8814
#2016-02-17#,10.97,11.3417,10.97,11.2911,53076
#2016-02-18#,11.2617,11.34,11.2617,11.34,4908
#2016-02-19#,11.2667,11.2933,11.2667,11.2933,3120
#2016-02-22#,11.7318,11.7318,11.4758,11.4758,6186
#2016-02-23#,11.3767,11.3767,11.1387,11.2,30132
#2016-02-24#,11.0833,11.1867,10.9983,11.1867,2778
#2016-02-25#,11.6133,11.6833,11.6133,11.6833,4596
#2016-02-26#,11.8481,11.9632,11.8158,11.92,106920
#2016-02-29#,12.125,12.1667,11.9,11.9,7440
#2016-03-01#,12.2215,12.3833,12.22,12.3833,26520
#2016-03-02#,12.534,12.5733,12.5333,12.535,6750
#2016-03-03#,12.705,12.7217,12.6183,12.6183,7470
#2016-03-04#,12.8333,12.9645,12.8333,12.9645,5310
#2016-03-07#,12.763,13.0733,12.6925,12.9417,43008
#2016-03-08#,12.705,13.0017,12.4167,12.5933,30972
#2016-03-09#,12.5842,12.5842,12.4183,12.5367,14850
#2016-03-10#,12.8867,12.8883,12.355,12.6983,22002
#2016-03-11#,13.0833,13.2716,13.0833,13.2545,9696
#2016-03-14#,13.3367,13.3367,13.1383,13.2,10320
#2016-03-15#,12.9615,12.9615,12.9093,12.9093,6438
#2016-03-16#,12.9615,12.9615,12.9093,12.9093,1428
#2016-03-17#,12.9167,13.4,12.9167,13.4,39168
#2016-03-18#,13.45,13.7833,13.45,13.7833,9126
#2016-03-21#,13.6467,13.75,13.5133,13.75,13272
#2016-03-22#,13.7667,13.8383,13.7667,13.8383,5280
#2016-03-23#,13.6433,13.6433,13.4085,13.4085,10944
#2016-03-24#,13.1934,13.2864,13.1934,13.2864,3012
#2016-03-25#,13.1934,13.2864,13.1934,13.2864,3012
#2016-03-28#,13.2717,13.3783,13.2717,13.3783,3666
#2016-03-29#,13.3867,13.3867,13.1667,13.269,3156
#2016-03-30#,13.5617,14.1183,13.5617,13.9766,39612
#2016-03-31#,13.85,13.8517,13.8127,13.8127,9414
#2016-04-01#,13.85,13.8517,13.8127,13.8127,1320
#2016-04-04#,13.7183,13.7617,13.6667,13.6667,7014
#2016-04-05#,13.578,13.578,13.4883,13.4883,6954
#2016-04-06#,13.451,13.6667,13.451,13.6667,6162
#2016-04-07#,13.2864,13.2864,13.2864,13.2864,1134
#2016-04-08#,13.6,13.7167,13.3967,13.5,190650
#2016-04-11#,13.7167,13.895,13.5167,13.5167,98202
#2016-04-12#,13.79,13.79,13.1525,13.49,137610
#2016-04-13#,13.58,14.0867,13.58,14.0133,74184
#2016-04-14#,14.0167,14.0167,13.6867,13.9433,56526
#2016-04-15#,14.035,14.035,13.7119,13.7119,29784
#2016-04-18#,13.735,13.7683,13.549,13.6966,93966
#2016-04-19#,13.66,13.815,13.3182,13.53,39096
#2016-04-20#,13.4833,13.87,13.395,13.82,50718
#2016-04-21#,13.595,13.7,13.4617,13.6483,36774
#2016-04-22#,13.685,13.8433,13.4433,13.68,55800
#2016-04-25#,13.6767,13.6767,13.3883,13.3917,22374
#2016-04-26#,13.4683,13.9083,13.4683,13.601,224094
#2016-04-27#,13.705,13.9188,13.3333,13.9185,19302
#2016-04-28#,14.1167,14.1167,13.215,13.325,31956
#2016-04-29#,13.3333,13.3333,12.36,12.4985,72384
#2016-05-02#,12.465,12.7783,12.465,12.7783,37296
#2016-05-03#,12.5642,12.5919,12.4117,12.5366,28542
#2016-05-04#,12.3233,12.5317,12.185,12.315,108120
#2016-05-05#,12.3067,12.4517,12.2883,12.3317,27756
#2016-05-06#,12.11,12.3408,12,12.3367,316818
#2016-05-09#,12.31,12.4758,12.2533,12.2533,74862
#2016-05-10#,12.2433,12.665,12.2433,12.6617,75390
#2016-05-11#,12.4683,12.7067,12.4683,12.559,15282
#2016-05-12#,12.49,12.49,12.0534,12.1833,17646
#2016-05-13#,12.3258,12.5,12.2333,12.3033,26310
#2016-05-16#,12.3083,12.8067,12.3083,12.7214,21456
#2016-05-17#,12.6567,12.6567,12.4083,12.4333,9096
#2016-05-18#,12.6667,12.95,12.6242,12.7133,26688
#2016-05-19#,12.5,12.5584,12.4583,12.5584,10488
#2016-05-20#,12.7417,13.385,12.7417,13.34,144360
#2016-05-23#,13.35,13.635,13.35,13.5417,14178
#2016-05-24#,13.5667,14.1431,13.5667,14.1431,18720
#2016-05-25#,14.2916,14.3533,14.1817,14.2592,22128
#2016-05-26#,14.3902,14.515,14.335,14.335,56832
#2016-05-27#,14.6017,14.605,14.445,14.45,46884
#2016-05-30#,14.6017,14.605,14.445,14.45,46884
#2016-05-31#,14.82,14.82,14.485,14.6667,11754
#2016-06-01#,14.5467,14.8102,14.5467,14.8102,20472
#2016-06-02#,14.6742,14.7207,14.565,14.685,126642
#2016-06-03#,14.8317,14.985,14.641,14.8483,27576
#2016-06-06#,14.8133,14.9385,14.73,14.9385,8478
#2016-06-07#,14.9367,15.1083,14.8792,15.0395,26232
#2016-06-08#,15.175,15.175,14.8717,14.9558,15012
#2016-06-09#,14.6967,14.8855,14.6817,14.795,8808
#2016-06-10#,14.63,14.7529,14.62,14.7529,7428
#2016-06-13#,14.505,14.9137,14.505,14.5833,9906
#2016-06-14#,14.5,14.64,14.3584,14.64,22050
#2016-06-15#,14.5083,14.5833,14.5083,14.5833,3750
#2016-06-16#,14.0817,14.5,14.07,14.5,16704
