"Date","Open","High","Low","Close","Volume"
#2004-01-01#,1.2968,1.2978,1.2908,1.2966,"#N/A N/A"
#2004-01-02#,1.2966,1.2986,1.2865,1.288,"#N/A N/A"
#2004-01-05#,1.2882,1.2891,1.2775,1.2819,"#N/A N/A"
#2004-01-06#,1.2819,1.2868,1.2769,1.2859,"#N/A N/A"
#2004-01-07#,1.2859,1.2928,1.284,1.2884,"#N/A N/A"
#2004-01-08#,1.2886,1.2956,1.2756,1.2784,"#N/A N/A"
#2004-01-09#,1.2786,1.2833,1.2683,1.2718,"#N/A N/A"
#2004-01-12#,1.271,1.2771,1.2688,1.2753,"#N/A N/A"
#2004-01-13#,1.276,1.2786,1.2692,1.2716,"#N/A N/A"
#2004-01-14#,1.2717,1.2918,1.2708,1.2903,"#N/A N/A"
#2004-01-15#,1.2906,1.2994,1.2871,1.2942,"#N/A N/A"
#2004-01-16#,1.2943,1.3026,1.2926,1.2988,"#N/A N/A"
#2004-01-19#,1.2994,1.3047,1.2988,1.302,"#N/A N/A"
#2004-01-20#,1.302,1.3036,1.2855,1.2915,"#N/A N/A"
#2004-01-21#,1.2916,1.3048,1.2868,1.3011,"#N/A N/A"
#2004-01-22#,1.3011,1.3058,1.2931,1.2964,"#N/A N/A"
#2004-01-23#,1.2967,1.3196,1.2944,1.3132,"#N/A N/A"
#2004-01-26#,1.3149,1.3163,1.3083,1.3153,"#N/A N/A"
#2004-01-27#,1.3154,1.3166,1.304,1.3052,"#N/A N/A"
#2004-01-28#,1.307,1.3272,1.305,1.3272,"#N/A N/A"
#2004-01-29#,1.3271,1.3361,1.3247,1.3311,"#N/A N/A"
#2004-01-30#,1.3309,1.3357,1.3231,1.3252,"#N/A N/A"
#2004-02-02#,1.3248,1.3434,1.3245,1.3392,"#N/A N/A"
#2004-02-03#,1.3393,1.3393,1.3278,1.337,"#N/A N/A"
#2004-02-04#,1.3373,1.3439,1.3316,1.3337,"#N/A N/A"
#2004-02-05#,1.3339,1.3399,1.3288,1.3374,"#N/A N/A"
#2004-02-06#,1.3379,1.3411,1.3237,1.3239,"#N/A N/A"
#2004-02-09#,1.3282,1.3311,1.3219,1.3287,"#N/A N/A"
#2004-02-10#,1.3286,1.3331,1.322,1.3315,"#N/A N/A"
#2004-02-11#,1.3316,1.3344,1.3123,1.3133,"#N/A N/A"
#2004-02-12#,1.3133,1.322,1.3129,1.3189,"#N/A N/A"
#2004-02-13#,1.3189,1.3235,1.3069,1.3171,"#N/A N/A"
#2004-02-16#,1.3159,1.3197,1.3143,1.3153,"#N/A N/A"
#2004-02-17#,1.3158,1.3175,1.3079,1.3102,"#N/A N/A"
#2004-02-18#,1.3104,1.3274,1.3088,1.323,"#N/A N/A"
#2004-02-19#,1.3231,1.335,1.3227,1.3316,"#N/A N/A"
#2004-02-20#,1.332,1.3512,1.3279,1.3348,"#N/A N/A"
#2004-02-23#,1.3373,1.3436,1.3344,1.3372,"#N/A N/A"
#2004-02-24#,1.3373,1.3401,1.3263,1.3294,"#N/A N/A"
#2004-02-25#,1.3296,1.3407,1.326,1.3334,"#N/A N/A"
#2004-02-26#,1.3338,1.3485,1.3334,1.3409,"#N/A N/A"
#2004-02-27#,1.3409,1.3503,1.3338,1.3343,"#N/A N/A"
#2004-03-01#,1.3358,1.3407,1.3333,1.3377,"#N/A N/A"
#2004-03-02#,1.3377,1.3453,1.3369,1.3427,"#N/A N/A"
#2004-03-03#,1.3428,1.3574,1.3371,1.3398,"#N/A N/A"
#2004-03-04#,1.3397,1.3431,1.3314,1.3327,"#N/A N/A"
#2004-03-05#,1.3329,1.3365,1.3159,1.3221,"#N/A N/A"
#2004-03-08#,1.3209,1.3273,1.3183,1.3204,"#N/A N/A"
#2004-03-09#,1.3204,1.3268,1.3177,1.3234,"#N/A N/A"
#2004-03-10#,1.3233,1.3306,1.3197,1.3251,"#N/A N/A"
#2004-03-11#,1.3252,1.3299,1.3183,1.3191,"#N/A N/A"
#2004-03-12#,1.319,1.3388,1.3168,1.3339,"#N/A N/A"
#2004-03-15#,1.3351,1.3357,1.3275,1.3342,"#N/A N/A"
#2004-03-16#,1.3342,1.3353,1.3248,1.3331,"#N/A N/A"
#2004-03-17#,1.3329,1.3441,1.3307,1.3385,"#N/A N/A"
#2004-03-18#,1.3385,1.3418,1.3243,1.3274,"#N/A N/A"
#2004-03-19#,1.3274,1.3346,1.3259,1.3343,"#N/A N/A"
#2004-03-22#,1.3341,1.3355,1.3242,1.334,"#N/A N/A"
#2004-03-23#,1.3339,1.3353,1.3293,1.3322,"#N/A N/A"
#2004-03-24#,1.3324,1.3433,1.3305,1.342,"#N/A N/A"
#2004-03-25#,1.3417,1.3432,1.3264,1.3309,"#N/A N/A"
#2004-03-26#,1.3308,1.3317,1.3168,1.3187,"#N/A N/A"
#2004-03-29#,1.3188,1.3216,1.3057,1.3093,"#N/A N/A"
#2004-03-30#,1.3095,1.3101,1.3055,1.3059,"#N/A N/A"
#2004-03-31#,1.3062,1.3158,1.3012,1.3093,"#N/A N/A"
