"Date","Open","High","Low","Close","Volume"
#2016-01-01#,.9205,.9212,.9203,.9211,"#N/A N/A"
#2016-01-04#,.9209,.9275,.9137,.9232,"#N/A N/A"
#2016-01-05#,.9233,.9336,.9226,.9304,"#N/A N/A"
#2016-01-06#,.9304,.9328,.9262,.9276,"#N/A N/A"
#2016-01-07#,.9275,.9282,.9141,.9148,"#N/A N/A"
#2016-01-08#,.9148,.9255,.9146,.9153,"#N/A N/A"
#2016-01-11#,.916,.9217,.9117,.9209,"#N/A N/A"
#2016-01-12#,.9209,.9242,.9174,.921,"#N/A N/A"
#2016-01-13#,.921,.9255,.9185,.9194,"#N/A N/A"
#2016-01-14#,.9194,.9229,.9139,.9203,"#N/A N/A"
#2016-01-15#,.9204,.9212,.9105,.9163,"#N/A N/A"
#2016-01-18#,.9158,.9199,.9139,.9181,"#N/A N/A"
#2016-01-19#,.9181,.9208,.9142,.9168,"#N/A N/A"
#2016-01-20#,.9168,.9192,.9111,.9182,"#N/A N/A"
#2016-01-21#,.9183,.9276,.9157,.9196,"#N/A N/A"
#2016-01-22#,.9196,.9268,.9194,.9261,"#N/A N/A"
#2016-01-25#,.926,.9268,.9211,.9217,"#N/A N/A"
#2016-01-26#,.9217,.9242,.9196,.92,"#N/A N/A"
#2016-01-27#,.9199,.9216,.9162,.918,"#N/A N/A"
#2016-01-28#,.918,.92,.9119,.9141,"#N/A N/A"
#2016-01-29#,.9141,.925,.9135,.9233,"#N/A N/A"
#2016-02-01#,.9231,.9247,.9164,.9184,"#N/A N/A"
#2016-02-02#,.9184,.9186,.9142,.9158,"#N/A N/A"
#2016-02-03#,.9159,.9171,.8975,.9006,"#N/A N/A"
#2016-02-04#,.9005,.9033,.8898,.8922,"#N/A N/A"
#2016-02-05#,.8922,.9001,.8908,.8962,"#N/A N/A"
#2016-02-08#,.8961,.902,.8918,.8934,"#N/A N/A"
#2016-02-09#,.8934,.8957,.8821,.8854,"#N/A N/A"
#2016-02-10#,.8855,.8958,.8842,.8855,"#N/A N/A"
#2016-02-11#,.8856,.8869,.8792,.8832,"#N/A N/A"
#2016-02-12#,.8831,.8915,.8825,.8884,"#N/A N/A"
#2016-02-15#,.889,.8986,.8884,.8964,"#N/A N/A"
#2016-02-16#,.8964,.8989,.8936,.8973,"#N/A N/A"
#2016-02-17#,.8973,.9003,.8946,.8987,"#N/A N/A"
#2016-02-18#,.8987,.9032,.8969,.9003,"#N/A N/A"
#2016-02-19#,.9004,.9035,.8978,.8985,"#N/A N/A"
#2016-02-22#,.899,.9087,.8981,.9067,"#N/A N/A"
#2016-02-23#,.9066,.9099,.9049,.9075,"#N/A N/A"
#2016-02-24#,.9075,.9125,.9053,.908,"#N/A N/A"
#2016-02-25#,.908,.91,.905,.9076,"#N/A N/A"
#2016-02-26#,.9076,.9162,.9035,.9148,"#N/A N/A"
#2016-02-29#,.9148,.9208,.9122,.9197,"#N/A N/A"
#2016-03-01#,.9197,.9229,.918,.9201,"#N/A N/A"
#2016-03-02#,.9202,.9237,.9191,.9201,"#N/A N/A"
#2016-03-03#,.9201,.9213,.9116,.9127,"#N/A N/A"
#2016-03-04#,.9127,.9169,.9057,.9086,"#N/A N/A"
#2016-03-07#,.9083,.914,.907,.908,"#N/A N/A"
#2016-03-08#,.9079,.9096,.9044,.9082,"#N/A N/A"
#2016-03-09#,.9082,.9135,.9062,.9091,"#N/A N/A"
#2016-03-10#,.9091,.9239,.8917,.8945,"#N/A N/A"
#2016-03-11#,.8946,.9025,.8921,.897,"#N/A N/A"
#2016-03-14#,.8967,.9027,.895,.9007,"#N/A N/A"
#2016-03-15#,.9007,.903,.8991,.9002,"#N/A N/A"
#2016-03-16#,.9002,.9043,.8898,.8909,"#N/A N/A"
#2016-03-17#,.8909,.8923,.8817,.8835,"#N/A N/A"
#2016-03-18#,.8835,.8883,.8821,.8873,"#N/A N/A"
