"Date","Open","High","Low","Close","Volume"
#2013-01-01#,.6154,.6168,.6127,.6155,"#N/A N/A"
#2013-01-02#,.6155,.6163,.6106,.6152,"#N/A N/A"
#2013-01-03#,.6152,.6214,.6151,.6208,"#N/A N/A"
#2013-01-04#,.6208,.6246,.6208,.6223,"#N/A N/A"
#2013-01-07#,.6221,.6242,.6204,.6205,"#N/A N/A"
#2013-01-08#,.6205,.6238,.62,.6228,"#N/A N/A"
#2013-01-09#,.6228,.6252,.6221,.6241,"#N/A N/A"
#2013-01-10#,.6241,.6248,.6185,.6185,"#N/A N/A"
#2013-01-11#,.6185,.6215,.6181,.6198,"#N/A N/A"
#2013-01-14#,.62,.6237,.619,.622,"#N/A N/A"
#2013-01-15#,.622,.6237,.6211,.6225,"#N/A N/A"
#2013-01-16#,.6225,.6259,.6219,.6247,"#N/A N/A"
#2013-01-17#,.6247,.6267,.6235,.6253,"#N/A N/A"
#2013-01-18#,.6253,.6307,.6247,.6302,"#N/A N/A"
#2013-01-21#,.6303,.6326,.6292,.6317,"#N/A N/A"
#2013-01-22#,.6317,.6324,.6296,.6313,"#N/A N/A"
#2013-01-23#,.6313,.6328,.6293,.6311,"#N/A N/A"
#2013-01-24#,.6311,.6347,.6309,.6333,"#N/A N/A"
#2013-01-25#,.6333,.6349,.6319,.6329,"#N/A N/A"
#2013-01-28#,.6328,.6379,.6328,.6372,"#N/A N/A"
#2013-01-29#,.6371,.6375,.634,.6344,"#N/A N/A"
#2013-01-30#,.6344,.6358,.6324,.6329,"#N/A N/A"
#2013-01-31#,.6329,.6339,.6299,.6306,"#N/A N/A"
#2013-02-01#,.6306,.6373,.6298,.6372,"#N/A N/A"
#2013-02-04#,.6372,.6377,.634,.6345,"#N/A N/A"
#2013-02-05#,.6345,.6398,.6328,.6386,"#N/A N/A"
#2013-02-06#,.6386,.6397,.6378,.6385,"#N/A N/A"
#2013-02-07#,.6385,.6392,.6343,.6364,"#N/A N/A"
#2013-02-08#,.6364,.6367,.6312,.6328,"#N/A N/A"
#2013-02-11#,.6332,.6388,.6325,.6386,"#N/A N/A"
