"Date","Open","High","Low","Close","Volume"
#2018-01-01#,69.8876,70.3865,69.6429,69.6523,1440609
#2018-01-02#,70.0476,70.1888,69.3699,70.0476,1713491
#2018-01-03#,70.17,70.217,69.3746,69.4452,1672943
#2018-01-04#,69.7558,71.0548,69.5487,71.0265,2507598
#2018-01-05#,71.1583,71.6854,70.9042,71.2524,2091662
#2018-01-08#,71.4124,74.0762,71.4124,72.8149,3025060
#2018-01-09#,72.5419,72.7396,71.4877,71.6571,2970654
#2018-01-10#,71.5442,71.8925,71.1959,71.6477,2560396
#2018-01-11#,71.723,72.7113,71.6383,72.6549,2332471
#2018-01-12#,72.8149,73.4643,72.7113,73.229,2016672
#2018-01-15#,72.8149,73.4643,72.7113,73.229,2016672
#2018-01-16#,73.4079,73.4173,72.1278,72.1748,2285889
#2018-01-17#,72.6737,73.6714,72.4854,73.5491,1547788
#2018-01-18#,73.7467,74.6974,73.6338,73.822,2188672
#2018-01-19#,74.255,75.1586,74.0103,75.1021,2524946
#2018-01-22#,75.0645,75.9681,74.735,75.6951,2146020
#2018-01-23#,75.5257,76.241,75.1304,76.1187,2591459
#2018-01-24#,76.401,77.2764,76.0157,76.2128,2193204
#2018-01-25#,76.5046,76.6458,75.7986,76.1845,2158365
#2018-01-26#,76.6081,76.7869,76.0716,76.7775,1925592
#2018-01-29#,76.6081,77.8223,76.6081,77.7,2616037
#2018-01-30#,77.4552,78.0765,76.8622,77.154,2126388
#2018-01-31#,77.2952,77.7941,75.9916,76.3728,3698519
#2018-02-01#,75.648,76.5046,74.0291,75.8833,3054517
#2018-02-02#,75.8363,76.5799,75.0645,75.1962,3193930
#2018-02-05#,75.5069,76.9281,74.0103,74.0103,4641052
#2018-02-06#,72.636,75.2057,71.9301,74.6974,4054669
#2018-02-07#,74.7915,76.6928,74.4009,75.7422,3589223
#2018-02-08#,75.6104,76.3916,74.1044,74.1232,3297650
#2018-02-09#,74.8762,75.6292,72.5164,74.6597,3609774
#2018-02-12#,75.7045,76.947,75.4033,75.9586,4039383
#2018-02-13#,75.9681,77.3517,75.648,77.2858,2255210
#2018-02-14#,76.8528,78.82,76.5046,78.773,2905066
#2018-02-15#,79.0459,79.4177,78.4153,79.0083,3390113
#2018-02-16#,68.2498,74.1138,68.2498,70.2547,10016641
#2018-02-19#,68.2498,74.1138,68.2498,70.2547,10016641
#2018-02-20#,70.2829,70.3771,68.4663,69.2476,4304220
#2018-02-21#,69.5205,71.4124,69.4076,70.1229,3443967
#2018-02-22#,70.2641,71.083,70.0288,70.7912,3364936
#2018-02-23#,71.0924,71.3371,69.8029,71.2995,2420558
#2018-02-26#,71.2242,71.8398,70.6218,71.5818,2033524
#2018-02-27#,71.9019,72.2878,70.4994,70.4994,2284678
#2018-02-28#,70.7065,70.9512,70.1794,70.1888,2622220
#2018-03-01#,70.1135,70.4994,68.7581,69.3699,2287636
#2018-03-02#,68.7487,69.3699,68.3251,69.2005,3086052
#2018-03-05#,68.984,69.9441,68.1745,69.2476,4394577
#2018-03-06#,69.6711,69.7464,68.6499,69.1158,3009423
#2018-03-07#,68.391,69.4264,67.8498,69.1817,2968099
#2018-03-08#,68.8428,69.417,68.1745,68.5228,2541216
#2018-03-09#,69.0122,69.8688,68.5887,69.2664,2308557
#2018-03-12#,69.3511,69.577,68.7205,68.9087,2441465
#2018-03-13#,69.3323,70.0288,69.0217,69.1534,1948231
#2018-03-14#,69.6711,70.7159,69.6711,70.3582,2381657
#2018-03-15#,70.5841,70.8947,70.1512,70.33,2571572
#2018-03-16#,70.3206,72.0525,70.3206,71.0265,6409554
#2018-03-19#,70.6406,70.81,69.2381,69.7747,1953968
#2018-03-20#,69.9723,70.7065,69.7276,70.5559,1718534
#2018-03-21#,70.5653,70.8947,70.0194,70.2359,1913438
#2018-03-22#,69.9723,69.9723,68.071,68.1369,2518052
#2018-03-23#,68.551,69.6429,68.1275,68.1557,3128029
#2018-03-26#,69.097,70.3394,68.8616,70.2453,2148336
#2018-03-27#,70.5277,70.7724,69.1252,69.3982,2045524
#2018-03-28#,69.6429,70.2735,69.0405,69.3417,2118305
#2018-03-29#,69.9441,70.7065,69.657,69.7652,3073440
#2018-03-30#,69.9441,70.7065,69.657,69.7652,3073440
#2018-04-02#,69.5111,69.9441,68.0145,68.824,1634285
#2018-04-03#,69.0875,69.9441,68.7205,69.9064,1818237
#2018-04-04#,69.3323,71.836,69.257,71.7136,1845973
#2018-04-05#,71.8454,73.0502,71.6571,72.9372,4190147
#2018-04-06#,72.4854,73.3326,71.1112,71.8266,2344010
#2018-04-09#,72.2125,72.589,71.6101,71.6477,2209285
#2018-04-10#,72.2972,73.5062,72.0619,73.342,2020999
#2018-04-11#,72.7678,73.6432,72.7019,72.9843,1945208
#2018-04-12#,73.2102,73.7655,72.9843,73.1443,1535857
#2018-04-13#,73.4832,74.1515,72.3254,72.6831,1584831
#2018-04-16#,72.9937,73.5867,72.5193,73.342,2185686
#2018-04-17#,73.7938,74.3115,73.6149,74.0197,1217839
#2018-04-18#,74.1138,74.415,73.3608,73.4549,1135068
#2018-04-19#,73.5114,73.6338,72.5513,73.2102,1286437
#2018-04-20#,73.2384,73.4267,72.4196,72.9467,1489416
#2018-04-23#,73.2479,73.7373,73.0408,73.5114,1463701
#2018-04-24#,73.8408,74.2832,73.0973,73.4361,2500690
#2018-04-25#,73.5208,74.3397,73.1067,74.0197,1820320
#2018-04-26#,74.0009,75.4221,73.2479,75.1398,1552575
#2018-04-27#,75.2998,76.9187,75.2527,76.0528,2017100
#2018-04-30#,76.3822,77.1164,75.921,76.1187,3705801
#2018-05-01#,75.648,76.1469,74.6221,75.7233,1938191
#2018-05-02#,75.3374,75.7986,74.575,74.9892,2270485
#2018-05-03#,74.848,74.848,73.5679,73.8503,3732468
#2018-05-04#,73.4267,73.7844,69.5582,71.7889,4676612
