"Date","Open","High","Low","Close","Volume"
#2014-01-01#,65.693,65.7881,64.8146,64.9903,1038745
#2014-01-02#,65.2611,65.3563,64.2803,64.8805,783944
#2014-01-03#,64.8805,65.8906,64.617,65.5612,643215
#2014-01-06#,65.6856,65.7881,65.0269,65.3197,708041
#2014-01-07#,65.3197,66.3664,65.2538,66.2419,738147
#2014-01-08#,65.9565,66.2785,65.3416,65.7954,629353
#2014-01-09#,65.854,66.2419,64.8732,66.2053,680349
#2014-01-10#,66.4615,67.3252,66.3517,67.1203,963598
#2014-01-13#,66.7689,67.435,66.3224,66.564,700630
#2014-01-14#,66.6372,67.1935,66.4981,66.9885,614637
#2014-01-15#,66.9226,67.6326,66.9226,67.3472,632207
#2014-01-16#,67.3325,67.8815,67.2447,67.7571,485833
#2014-01-17#,67.984,67.9986,66.9446,67.1788,791882
#2014-01-20#,67.984,67.9986,66.9446,67.1788,791882
#2014-01-21#,67.4789,67.8522,67.1056,67.5448,976499
#2014-01-22#,67.8376,68.694,67.7571,68.2914,625502
#2014-01-23#,67.2008,67.4716,66.8934,67.1422,633437
#2014-01-24#,66.6811,66.9592,65.7076,66.0516,922448
#2014-01-27#,65.671,66.6591,65.3929,66.0882,1156365
#2014-01-28#,66.1614,67.0983,66.1614,66.8641,696829
#2014-01-29#,66.1541,67.0324,65.8027,66.3444,1216502
#2014-01-30#,66.9226,67.4387,66.7616,66.886,1611054
#2014-01-31#,66.4981,67.6326,66.1834,67.2154,1168328
#2014-02-03#,67.2813,67.457,65.7661,66.0223,1085760
#2014-02-04#,66.2346,67.3984,66.015,67.1569,905842
#2014-02-05#,66.9885,67.2183,66.3151,66.7177,918492
#2014-02-06#,66.7689,68.0645,66.6353,67.9986,1078959
#2014-02-07#,68.2255,68.6501,67.0544,67.618,967014
#2014-02-10#,67.6546,68.9868,67.435,68.7964,780953
#2014-02-11#,68.6501,69.8065,68.4488,69.4552,700682
#2014-02-12#,69.5284,69.8944,69.1112,69.7114,652185
#2014-02-13#,69.3234,70.4067,69.188,69.8505,837139
#2014-02-14#,69.7773,70.4726,69.6967,70.0481,601240
#2014-02-17#,69.7773,70.4726,69.6967,70.0481,601240
#2014-02-18#,70.1798,70.3116,69.543,70.3043,617552
#2014-02-19#,69.9529,70.7654,69.8724,70.0188,615803
#2014-02-20#,70.07,70.253,69.2722,69.5577,667451
#2014-02-21#,69.3454,69.8285,68.8628,69.3747,1264319
#2014-02-24#,69.5138,70.1506,69.2429,69.2722,1223592
#2014-02-25#,70.9264,70.985,68.5695,69.2942,1419779
#2014-02-26#,68.8404,69.5504,68.6501,69.2649,1050057
#2014-02-27#,69.3454,69.8358,68.9282,69.382,892042
#2014-02-28#,69.404,70.5897,69.2576,70.4799,1512030
#2014-03-03#,70.07,71.5998,69.9163,70.619,856336
#2014-03-04#,71.2851,71.9731,71.0875,71.8999,1111391
#2014-03-05#,72.2732,72.7197,71.9219,72.6099,1504136
#2014-03-06#,72.8661,73.0271,72.2659,72.6319,1127825
#2014-03-07#,72.5587,72.727,72.0902,72.5733,1375377
#2014-03-10#,72.6172,72.7344,72.0536,72.4196,939343
#2014-03-11#,72.5001,73.2101,72.3537,72.6758,1374324
#2014-03-12#,72.4416,72.6685,71.7316,72.0097,1323408
#2014-03-13#,72.3684,72.3684,71.5413,71.5632,860807
#2014-03-14#,71.5559,72.1561,71.3656,71.4022,646092
#2014-03-17#,71.6364,72.0097,71.2192,71.4022,887019
#2014-03-18#,71.4388,72.2293,71.2631,72.222,1112222
#2014-03-19#,72.2732,72.749,70.4067,70.7068,1374865
#2014-03-20#,70.6922,71.8853,70.1872,71.878,1163011
#2014-03-21#,72.4269,72.5426,71.7828,71.9951,1284323
#2014-03-24#,72.2,72.2439,70.9264,71.4754,995359
#2014-03-25#,71.7828,71.9219,71.3217,71.6877,798353
#2014-03-26#,71.7975,71.9219,70.7727,70.7727,886655
#2014-03-27#,70.7142,71.3728,70.5239,70.9045,964489
#2014-03-28#,71.2339,71.9658,71.0655,71.8048,1075717
#2014-03-31#,72.1195,72.3098,71.329,72.1415,889098
#2014-04-01#,72.1854,72.8442,71.8048,72.7856,779770
#2014-04-02#,72.6246,72.8881,72.3757,72.6319,895601
#2014-04-03#,72.8222,72.8808,72.1927,72.6026,620791
#2014-04-04#,73.0418,73.1882,72.2805,72.5806,826798
#2014-04-07#,72.6465,73.1882,72.5733,72.7051,793043
#2014-04-08#,72.727,73.4224,72.1195,73.3858,985826
#2014-04-09#,73.3785,73.5102,72.2805,72.6758,978869
#2014-04-10#,72.8368,73.3053,71.5559,71.9512,1188605
#2014-04-11#,71.7243,72.2879,71.5266,71.8414,776291
#2014-04-14#,72.4416,72.4416,70.9484,71.5266,1193957
#2014-04-15#,71.7975,72.6246,71.5852,72.6026,835853
