"Date","Open","High","Low","Close","Volume"
#2014-01-01#,74.07,74.7,73.71,74.3,782391
#2014-01-02#,74.07,74.15,72.88,73.83,966843
#2014-01-03#,74.01,74.63,73.17,73.45,799560
#2014-01-06#,74.92,75.9381,74.11,75.5,1701749
#2014-01-07#,75.75,75.825,73.972,74.49,1025019
#2014-01-08#,74.55,75.38,74.1,75.23,882596
#2014-01-09#,75.44,77,74.96,76.32,1660257
#2014-01-10#,76.07,78.22,75.71,78.21,1204282
#2014-01-13#,77.84,78.72,76.16,77.04,2867367
#2014-01-14#,77.36,79.47,77.36,79.38,1841023
#2014-01-15#,79.1,79.22,78.1955,78.77,1221610
#2014-01-16#,79.17,81.03,78.7701,81,1503203
#2014-01-17#,80.98,82.81,80.64,82.09,1978362
#2014-01-20#,80.98,82.81,80.64,82.09,1978362
#2014-01-21#,82.86,85.845,81.75,85.48,2638049
#2014-01-22#,85.68,87.77,83.45,84.12,2397862
#2014-01-23#,83.35,84.1997,82.485,83.83,1251187
#2014-01-24#,83.12,83.12,79.75,79.77,1868018
#2014-01-27#,79.75,80.97,77.01,79.37,2657122
#2014-01-28#,79.69,81.23,78.99,79.3,1340726
#2014-01-29#,78.56,81.75,77.8504,78.82,1973687
#2014-01-30#,80.82,84.38,80.05,82.15,2458832
#2014-01-31#,80.7,80.995,78.96,79.04,1572652
#2014-02-03#,78.5,79.84,77.16,77.63,2404491
#2014-02-04#,76.95,79.7,76.78,79.15,2141151
#2014-02-05#,78.12,78.73,75.89,77.41,1843576
#2014-02-06#,76.45,79.24,76.24,78.17,1685274
#2014-02-07#,78.69,81.46,78.23,81.41,1466920
#2014-02-10#,81.1,82.3,80.95,82.17,1590434
#2014-02-11#,82.28,85,81.56,84.98,1439008
#2014-02-12#,84.54,85.89,83.49,83.9,1265750
#2014-02-13#,83.39,85.65,82.03,85,1492749
#2014-02-14#,84.38,84.98,81.05,81.61,1774106
#2014-02-17#,84.38,84.98,81.05,81.61,1774106
#2014-02-18#,82.03,83.3,81.92,82,2043449
#2014-02-19#,81.96,84.41,81.61,82.6,1242590
#2014-02-20#,83.07,84.46,81.86,84.01,1234439
#2014-02-21#,84.44,86.12,83.48,84.81,1911497
#2014-02-24#,85.29,85.29,83.76,83.95,1287642
#2014-02-25#,84.21,85.98,83.57,84.62,1296021
#2014-02-26#,84.63,85.2197,83.45,83.95,1129374
#2014-02-27#,84.24,84.57,82.39,83.16,1374793
#2014-02-28#,83.48,84.249,79.33,80.86,1790443
#2014-03-03#,80.25,83.25,79.57,81.56,1134660
#2014-03-04#,82.54,83.82,81.65,83.12,1205952
#2014-03-05#,83.27,83.42,82.08,82.96,914210
#2014-03-06#,83.51,83.59,79.33,79.94,1522554
#2014-03-07#,80.51,81.6,76.31,79.94,1706703
#2014-03-10#,79.6,79.92,77.92,79.65,1316306
#2014-03-11#,79.99,80.56,78.48,79.19,1200974
#2014-03-12#,78.64,80.15,78.0501,79.87,946268
#2014-03-13#,79.92,80,77.11,77.86,1130437
#2014-03-14#,77.57,79.76,76.901,78.32,1179284
#2014-03-17#,77.5,79.51,77.02,77.7,1302145
#2014-03-18#,78,79.95,77.69,79,959585
#2014-03-19#,78.73,79.2,77.16,77.8,1361777
#2014-03-20#,77.72,78.57,76.6,77.77,957287
#2014-03-21#,77.5,77.75,72.82,73.83,3526016
#2014-03-24#,74.3,74.6,70.58,72.44,1990000
#2014-03-25#,72.75,73.92,70.31,71.9,1409754
#2014-03-26#,72.56,72.77,69.86,70.44,1659180
#2014-03-27#,70.3,71.65,68.24,70.78,1786222
#2014-03-28#,71.07,72.67,67.49,67.8,1425572
#2014-03-31#,68.17,71.35,68.01,70.72,1860645
#2014-04-01#,71.32,73.12,70.76,71.87,2319515
#2014-04-02#,72,73.1,71.65,72.3,1316698
#2014-04-03#,71.96,72.74,67.93,69.12,1730196
#2014-04-04#,70.06,70.15,65.44,65.84,2207131
#2014-04-07#,66,67.24,64.05,66.4,1646356
#2014-04-08#,65.84,67,64.6,65.35,1677401
#2014-04-09#,65.59,70.06,65.32,69.95,2107145
#2014-04-10#,69.32,69.81,65.31,65.69,2545734
#2014-04-11#,64.97,67.64,63,63.06,2140072
#2014-04-14#,64.05,65.14,61.19,62.44,1695751
#2014-04-15#,62.83,63.97,59.79,63.25,1886008
#2014-04-16#,63.81,64.82,62.83,64.39,1459473
#2014-04-17#,64.18,65.68,63.42,64.17,1387435
#2014-04-18#,64.18,65.68,63.42,64.17,1387435
#2014-04-21#,64.52,65.56,63.04,65.47,1103834
#2014-04-22#,65.69,69.05,65.67,68.3,1862312
#2014-04-23#,69.49,69.49,66.17,66.92,1451854
#2014-04-24#,66.96,67.49,64.05,66.18,1204660
#2014-04-25#,65.55,66.32,64.02,64.19,1120434
#2014-04-28#,64.64,66.1,62.42,64.51,1333472
#2014-04-29#,64.97,67.68,64.195,67.57,1282201
#2014-04-30#,67.27,67.99,65.9404,67.7,1466185
#2014-05-01#,67.54,69.71,66.53,68.95,1837050
#2014-05-02#,69.37,71.68,66.295,66.37,2812998
#2014-05-05#,65.41,68.5,64.81,68.41,1467929
#2014-05-06#,68.4,68.75,66.47,66.56,1373586
#2014-05-07#,66.49,67.07,64.23,65.17,1380855
#2014-05-08#,65.13,66.14,63.46,63.8,1309632
#2014-05-09#,63.9,65.1,62.405,65.05,1245924
#2014-05-12#,65.81,67.76,65.13,67.74,1462857
#2014-05-13#,67.62,67.93,66.32,66.71,827209
#2014-05-14#,66.85,68.28,65.32,67.69,1036551
#2014-05-15#,66.69,67.48,65.02,65.46,1538525
#2014-05-16#,65.59,66.11,63.6,65.03,2018828
#2014-05-19#,65,67.48,64.28,67.22,1317208
#2014-05-20#,67.28,67.43,65.06,65.49,1071378
#2014-05-21#,65.51,67.19,65.47,67.15,1076080
#2014-05-22#,68.24,71.48,67.5001,71.18,2010722
#2014-05-23#,71.51,71.85,70.0101,71.04,1118826
#2014-05-26#,71.51,71.85,70.0101,71.04,1118826
#2014-05-27#,72.07,73.38,71.328,73.36,1593620
#2014-05-28#,73.43,73.48,71.65,71.72,1460400
#2014-05-29#,72.31,72.96,71.42,72.81,1320969
#2014-05-30#,72.96,72.96,71.33,72.26,1173480
#2014-06-02#,72.16,72.98,71.54,72.63,1172964
#2014-06-03#,71.7,72.98,71,72.96,975462
#2014-06-04#,72.6,73.6,72.24,72.64,1581854
#2014-06-05#,72.63,73.45,71.605,73.06,1405473
#2014-06-06#,73.65,73.65,72.47,73.49,1185247
#2014-06-09#,73.64,75.43,73.3,74.61,1114369
#2014-06-10#,74.3,75.23,72.79,74.04,1307512
#2014-06-11#,73.38,74.7,73.22,74.08,1033069
#2014-06-12#,73.78,74.93,73.03,73.5,1028955
#2014-06-13#,73.88,73.91,72.55,73.49,810456
#2014-06-16#,69.16,71.02,67.02,67.12,3436204
#2014-06-17#,66.97,67.745,65.66,65.89,1576603
#2014-06-18#,66.23,66.3,64.19,65.08,2213216
#2014-06-19#,65.4,65.49,63.68,64.63,2181922
#2014-06-20#,64.96,65.05,63.97,64.96,2686292
#2014-06-23#,65.06,67.6,64.72,66.61,2166127
#2014-06-24#,98.02,98.8,89.93,93.53,25236837
