"Date","Open","High","Low","Close","Volume"
#2016-01-01#,134.98,135.87,134.58,134.58,319224
#2016-01-04#,132.56,133.02,129.13,130.35,497246
#2016-01-05#,130.47,132.41,129.54,129.81,417758
#2016-01-06#,128.46,130.97,128.46,129.71,450150
#2016-01-07#,127.87,129.77,127.2,128.82,763581
#2016-01-08#,129.59,130.42,126.45,126.72,369759
#2016-01-11#,127.78,127.93,125.28,126.08,713025
#2016-01-12#,127.26,128.36,124.962,126.82,743032
#2016-01-13#,127.44,128.05,123.59,123.92,328511
#2016-01-14#,124.14,127.77,123.77,127.03,454186
#2016-01-15#,124.83,126.61,124,126.24,515857
#2016-01-18#,124.83,126.61,124,126.24,515857
#2016-01-19#,127.47,127.73,124.27,125.85,618202
#2016-01-20#,124.33,126.37,121.915,125.02,691130
#2016-01-21#,125.4,125.85,123.13,124.56,741170
#2016-01-22#,125.66,127.24,124.7,127.21,496131
#2016-01-25#,127.03,129.98,126.75,127.62,996221
#2016-01-26#,124.63,125.3,121.08,122.55,2041580
#2016-01-27#,121.7,123.82,120.66,121.25,1021838
#2016-01-28#,120.83,121,115.71,117.45,928975
#2016-01-29#,117.89,121.33,117.89,121.21,599453
#2016-02-01#,121.68,121.99,118.95,120.36,826952
#2016-02-02#,119.13,120.19,117.16,118,538982
#2016-02-03#,118.45,118.97,115.63,118.84,722446
#2016-02-04#,118.39,119.54,117.25,117.92,485499
#2016-02-05#,117.33,117.33,115,115.47,487890
#2016-02-08#,114.34,115.17,112.505,113.62,499802
#2016-02-09#,112.53,117.09,112,115.83,596264
#2016-02-10#,116.73,120.18,116.01,117.68,516112
#2016-02-11#,115.19,117.8,115.19,116.46,543978
#2016-02-12#,117.85,119.11,116.585,118.41,430810
#2016-02-15#,117.85,119.11,116.585,118.41,430810
#2016-02-16#,119.47,120.13,118.745,120.02,456094
#2016-02-17#,120.42,122.26,119.53,122.13,380067
#2016-02-18#,121.89,122.691,120.94,121.2,328933
#2016-02-19#,121.16,121.85,119.96,121.37,319666
#2016-02-22#,122.59,123.27,121.45,122.69,278315
#2016-02-23#,121.92,122.95,120.48,121.07,352590
#2016-02-24#,120.25,120.91,118.93,120.76,444324
#2016-02-25#,121.09,121.93,120.1,121.81,393742
#2016-02-26#,122.1,122.82,120.49,121.84,300113
#2016-02-29#,121.84,123,120.28,120.31,451289
#2016-03-01#,121.09,123.69,120.52,123.55,516854
#2016-03-02#,123.11,126.49,122.99,126.03,679604
#2016-03-03#,125.61,126.66,125.005,126.35,428810
#2016-03-04#,126.45,127.98,125.965,127.1,477200
#2016-03-07#,126.2,128.79,125.18,128.01,430351
#2016-03-08#,127.03,128.14,126.28,127.75,635527
#2016-03-09#,128.38,128.63,127.21,127.92,655426
#2016-03-10#,128.14,128.93,126.61,127.49,537015
#2016-03-11#,128.34,129.5,127.85,129.15,493681
#2016-03-14#,128.52,129.64,127.58,128.96,478877
#2016-03-15#,128.05,129.4,127.65,129.16,517959
#2016-03-16#,128.55,130.37,128.48,129.95,469535
#2016-03-17#,130.05,130.52,127.73,127.76,706590
#2016-03-18#,128.18,130.73,127.12,129.95,1028905
#2016-03-21#,130,130.45,129.05,130.15,322922
#2016-03-22#,129.42,130.59,129.42,129.98,344206
#2016-03-23#,130.08,131.55,129.3,130.65,406204
#2016-03-24#,130.01,130.86,129.31,129.83,313010
#2016-03-25#,130.01,130.86,129.31,129.83,313010
#2016-03-28#,130.02,130.52,128.75,129.94,224291
#2016-03-29#,130.1,131.94,129.63,131.68,326822
#2016-03-30#,132.52,132.66,130.92,132.16,407133
#2016-03-31#,132.16,132.87,131.3,131.92,603453
#2016-04-01#,130.91,133.6,130.91,133.41,929795
#2016-04-04#,133.36,134.26,132.56,132.89,551304
#2016-04-05#,131.47,131.89,130.56,131.01,860766
#2016-04-06#,130.94,134.32,130.85,134.19,1378187
#2016-04-07#,133.47,133.91,129.6,130.15,834750
#2016-04-08#,131.24,131.79,130.59,131.33,282060
#2016-04-11#,131.48,132.35,130.12,130.66,408681
#2016-04-12#,130.99,132.51,130.685,132.19,458347
#2016-04-13#,132.77,134.9,132.45,134.74,339039
#2016-04-14#,134.86,135.25,134.16,134.89,408685
#2016-04-15#,135,135.92,133.96,135.81,413633
#2016-04-18#,135.65,138.35,135.1,138.31,722101
#2016-04-19#,137.45,138.915,136,136.62,490539
#2016-04-20#,136.93,137.67,135.23,136.41,419248
#2016-04-21#,136.41,138.08,136.31,137.68,349038
#2016-04-22#,137.92,138.52,137.03,138.14,487911
#2016-04-25#,137.46,137.86,136.05,137.57,1154071
#2016-04-26#,138.45,138.45,132.12,133.34,1230610
#2016-04-27#,133.68,133.84,132.28,133.24,736517
#2016-04-28#,132.73,133.3,131.15,131.65,513587
#2016-04-29#,130.94,131.01,128.9,130.16,548648
#2016-05-02#,130.88,132.99,130.74,132.88,513743
#2016-05-03#,131.96,132.53,130.42,131.27,478561
#2016-05-04#,130.41,131.27,129.69,130.73,421859
#2016-05-05#,130.66,131.7,130.18,131.1,399234
#2016-05-06#,130.89,133.07,130.82,132.81,485018
#2016-05-09#,132.79,135,132.79,133.71,494606
#2016-05-10#,134.17,135.94,132.91,135.7,521723
#2016-05-11#,135.15,136.76,134.37,134.55,433438
#2016-05-12#,134.97,135.2,133.78,134.96,452240
#2016-05-13#,134.67,136.25,134.4,134.76,406184
#2016-05-16#,135.02,137.03,134.125,136.01,377532
#2016-05-17#,136.18,136.33,133.82,134.49,426173
#2016-05-18#,134.47,136.08,134.02,135.05,418961
#2016-05-19#,134.4,135.06,133.43,134.92,418520
#2016-05-20#,135.73,136.02,134.66,135.44,1327553
#2016-05-23#,135.26,135.882,134.17,135.11,359896
#2016-05-24#,135.61,138.05,134.255,137.56,545555
#2016-05-25#,137.68,138.318,137.11,137.61,280663
#2016-05-26#,137.31,137.52,136.47,136.71,187146
#2016-05-27#,136.71,137.6,136.59,137.45,192880
#2016-05-30#,136.71,137.6,136.59,137.45,192880
#2016-05-31#,137.72,138.27,136.65,137.55,707957
#2016-06-01#,137.08,138.84,136.56,138.46,316000
#2016-06-02#,138.13,140.11,138.13,139.76,623770
#2016-06-03#,139.15,139.15,137.4,138.38,322957
#2016-06-06#,138.26,139.37,137.44,138.78,279928
#2016-06-07#,138.49,138.94,137.74,138.21,203471
#2016-06-08#,138.03,139.84,137.55,139.68,294091
#2016-06-09#,139.45,140.7,139.35,140.05,342091
#2016-06-10#,138.74,139.11,137.53,138.04,283819
#2016-06-13#,137.69,137.98,135.56,135.63,383942
#2016-06-14#,135,136.24,133.6,135.91,520935
#2016-06-15#,136.24,136.6,134.89,134.99,386219
#2016-06-16#,134.48,135.61,133.58,135.37,267408
#2016-06-17#,135.56,136,132.95,134.02,667260
#2016-06-20#,136.07,137.59,135.52,136.46,379853
#2016-06-21#,136.68,137.26,135.75,136.1,269277
#2016-06-22#,136.19,138.003,136.19,137.23,341381
#2016-06-23#,138.57,139.12,137.55,138.4,345155
#2016-06-24#,135,137.145,134.71,135.53,968883
#2016-06-27#,134.16,134.78,131.35,132.5,458561
#2016-06-28#,133.21,134.35,132.34,133.99,355732
#2016-06-29#,134.79,135.29,134.17,134.65,481551
#2016-06-30#,134.41,140.75,134.385,140.65,814084
#2016-07-01#,140.58,143.726,140.5,142.07,756720
#2016-07-04#,140.58,143.726,140.5,142.07,756720
#2016-07-05#,141.33,142.15,140.76,141.52,427149
#2016-07-06#,141.11,142.84,141.11,142.65,403132
#2016-07-07#,142.74,143.3,141.89,142.47,300962
#2016-07-08#,143.67,146.96,143.61,146.53,485493
#2016-07-11#,147.13,147.2,145.2,145.78,229164
#2016-07-12#,146.49,147.68,146.12,147.61,416856
#2016-07-13#,151.44,151.44,147.22,147.92,271934
#2016-07-14#,149.16,149.6,148.065,149.27,252104
#2016-07-15#,149.82,149.82,148.37,148.83,413367
#2016-07-18#,149,149.22,148.13,148.93,134932
#2016-07-19#,148.47,148.95,147.65,148.79,241006
#2016-07-20#,149.01,150.9,148.14,150.58,296242
#2016-07-21#,150.3,150.93,148.67,149.46,321489
#2016-07-22#,149.46,150.195,149.15,149.4,324504
#2016-07-25#,149,149.18,147.19,148.44,586169
#2016-07-26#,151.65,159.46,151.36,155.09,1474555
#2016-07-27#,155.09,158,154.58,157.4,773423
#2016-07-28#,157.31,157.59,155.89,157.06,507208
#2016-07-29#,157.22,159.46,156.93,158.93,496754
#2016-08-01#,158.9,161.22,158.88,159.58,610916
#2016-08-02#,159.53,159.54,156.45,157.21,707705
#2016-08-03#,157.45,157.915,156.34,157.2,646728
#2016-08-04#,157.49,158.79,156.38,157.45,760701
#2016-08-05#,158.47,158.54,156.7,157.25,382779
#2016-08-08#,156.86,157.6,156.25,157.39,404991
#2016-08-09#,157.38,158.65,157.15,158.27,291881
#2016-08-10#,158.26,158.66,157.01,158.51,368407
#2016-08-11#,158.68,159.43,157.87,159.3,289609
#2016-08-12#,158.85,158.85,157.67,158.25,268860
#2016-08-15#,158.55,159.91,158.28,159.14,356023
#2016-08-16#,158.46,158.9,158.08,158.23,227991
#2016-08-17#,158.78,158.78,157.8,158.49,407950
#2016-08-18#,158,159.59,157.31,159.1,364519
#2016-08-19#,158.59,160.46,158.23,160.26,575872
#2016-08-22#,160.04,160.83,159.47,160.78,343345
#2016-08-23#,161,162.53,160.79,161.82,432690
#2016-08-24#,161.66,162.32,157.716,157.99,736676
#2016-08-25#,158.15,159.23,157.035,158.11,362622
#2016-08-26#,158.56,159.48,157.37,158.21,400998
#2016-08-29#,158.25,159.6,158.12,158.9,277861
#2016-08-30#,158.89,159.22,157.43,157.52,350745
#2016-08-31#,157.22,157.607,155.95,157.31,458393
#2016-09-01#,157.42,158.25,155.77,156.1,490529
#2016-09-02#,156.93,157.6,155.24,156.19,574220
#2016-09-05#,156.93,157.6,155.24,156.19,574220
#2016-09-06#,156.8,157.1,155.925,156.69,412114
#2016-09-07#,156.82,159.37,156.22,159.23,832048
#2016-09-08#,158.86,160.26,158.62,159.49,372190
#2016-09-09#,157.99,157.99,151.11,151.13,845422
#2016-09-12#,150.71,153.64,150.08,153.44,544653
#2016-09-13#,152.27,153.67,150.65,153.07,668823
#2016-09-14#,153.38,154.23,151.88,152.89,493224
#2016-09-15#,153.08,155.63,152.69,155.16,337446
#2016-09-16#,155.25,155.79,153.73,153.89,494958
#2016-09-19#,154.39,155.24,153.745,154.68,375404
#2016-09-20#,156.04,156.64,155,155.09,261763
#2016-09-21#,155.54,156.97,154.45,156.72,316644
#2016-09-22#,157.73,158.24,157,157.82,332843
#2016-09-23#,157.91,158.295,156.91,157.67,355276
#2016-09-26#,156.67,157.73,156.2,156.78,326417
#2016-09-27#,156.51,159.48,156.51,159.48,705665
#2016-09-28#,159.37,159.5,156.79,158.24,560450
#2016-09-29#,158.24,158.24,155.05,156.34,337954
#2016-09-30#,156.98,159.1,156.44,158.49,433164
#2016-10-03#,157.35,159.57,157.2,159.05,443877
#2016-10-04#,159,159.715,157.71,158.2,431225
#2016-10-05#,158.89,159.19,157.91,158.27,512725
#2016-10-06#,157.99,158.82,157.12,157.76,408164
#2016-10-07#,158.16,159.07,157.23,159,816731
#2016-10-10#,160,160,158.75,158.89,344199
#2016-10-11#,158.21,158.21,155.92,156.83,680377
#2016-10-12#,157.17,157.36,155.7,155.75,394749
#2016-10-13#,154.98,155.38,153.97,154.82,404883
#2016-10-14#,155.56,156.535,154.43,154.9,352461
#2016-10-17#,155.36,155.83,154.27,155.17,361861
#2016-10-18#,156.41,157.47,155.595,156.74,410444
#2016-10-19#,156.75,157.41,156.24,157.29,389580
#2016-10-20#,156.77,157.86,156.43,157.19,464117
#2016-10-21#,156.5,156.5,154.76,156.18,439910
#2016-10-24#,157.07,158.66,156.74,157.75,649659
#2016-10-25#,147.32,147.32,138.41,138.6,3184613
#2016-10-26#,137.8,139.62,136.61,137.42,1428380
#2016-10-27#,138.39,142,138.39,140.8,987828
#2016-10-28#,140.5,141.38,138.705,139.81,706651
#2016-10-31#,139.03,140.36,138.73,139.14,599045
#2016-11-01#,139.15,139.51,136.39,137.43,781796
#2016-11-02#,137.56,137.92,136.38,136.42,462576
#2016-11-03#,136.79,137.46,136.01,136.79,631701
#2016-11-04#,137.16,139.86,137.16,138.04,603112
#2016-11-07#,139.81,140.94,139.62,140.29,581997
#2016-11-08#,139.97,141.76,139.11,141.15,447405
#2016-11-09#,143.5,144.63,140.565,142.38,742856
#2016-11-10#,144.9,145.27,141.97,143.32,574232
#2016-11-11#,142.39,143.35,141.225,142.09,376078
#2016-11-14#,142.74,143.75,139.66,140.18,812623
#2016-11-15#,139.82,142.08,139.03,141.47,588133
#2016-11-16#,141.64,143.58,140.32,140.7,445961
#2016-11-17#,140.25,141.51,137.22,138.85,1004524
#2016-11-18#,139.02,139.02,135.1,135.18,1048431
#2016-11-21#,135.98,137.69,135.29,137.65,782122
#2016-11-22#,136.96,137.87,134.82,135.3,824136
#2016-11-23#,134.86,138.51,133.9,138.35,607153
#2016-11-24#,134.86,138.51,133.9,138.35,607153
#2016-11-25#,138.37,139.04,138,138.72,144346
#2016-11-28#,138.62,138.71,136.12,136.56,506046
#2016-11-29#,136.81,139.28,136.59,137.63,577103
#2016-11-30#,137.8,138.06,134.55,134.57,758388
#2016-12-01#,134.44,135.1,133.59,133.71,553493
#2016-12-02#,133.64,135.43,133.35,134.73,445768
#2016-12-05#,135.89,136.72,134.77,134.83,510177
#2016-12-06#,135.38,139.59,134.56,138.88,790560
#2016-12-07#,137.85,138.11,134.08,136.67,954743
#2016-12-08#,136.24,138.13,135.01,138.07,462222
#2016-12-09#,138.34,140.28,137.915,139.51,362144
#2016-12-12#,138.61,141.93,138.61,139.44,710227
#2016-12-13#,139.87,140.699,138.6,139.59,583149
#2016-12-14#,139.25,140.39,138.12,138.4,411813
#2016-12-15#,138.26,138.87,137.32,137.5,787671
#2016-12-16#,138.18,139.904,136.7,137.08,1057325
#2016-12-19#,136.7,138.308,135.61,136.13,495916
#2016-12-20#,135.98,137.65,135.94,136.33,403425
#2016-12-21#,136.78,136.78,135.11,135.64,402059
#2016-12-22#,135.37,136.48,134.695,135.72,313812
#2016-12-23#,136.22,136.582,135.08,136.21,287608
#2016-12-26#,136.22,136.582,135.08,136.21,287608
#2016-12-27#,136.61,137.64,136,136.51,237970
#2016-12-28#,136.75,136.81,134.37,134.66,310265
#2016-12-29#,134.36,134.98,133.86,134.5,350358
#2016-12-30#,135.24,135.3,133.71,134.39,464274
