"Date","Open","High","Low","Close","Volume"
#2005-01-03#,39.75,40.46,39.66,40.38,9758700
#2005-01-04#,40.35,40.35,39.9,40.09,6618200
#2005-01-05#,40.09,41.4,40.03,41.12,6850200
#2005-01-06#,41.05,41.32,40.83,41.14,4816400
#2005-01-07#,41.19,41.8,41.02,41.5,2946400
#2005-01-10#,41.73,41.96,41.52,41.64,3163100
#2005-01-11#,41.64,41.81,41.52,41.67,2491200
#2005-01-12#,41.76,41.98,41.55,41.92,2560500
#2005-01-13#,41.92,41.92,41.25,41.28,2968200
#2005-01-14#,41.39,41.66,41.35,41.63,3061900
#2005-01-17#,41.39,41.66,41.35,41.63,3061900
#2005-01-18#,41.38,43.24,41.28,43.16,6129200
#2005-01-19#,43.08,43.1,42.67,43.03,5319800
#2005-01-20#,42.8,43.27,42.79,43.07,4122200
#2005-01-21#,43.15,43.15,42.15,42.22,4559800
#2005-01-24#,42.22,42.43,41.68,41.7,4162500
#2005-01-25#,41.82,42.15,41.6,41.97,3081800
#2005-01-26#,41.98,42.34,41.89,42.06,1984200
#2005-01-27#,41.86,42.3,41.85,42.14,1930100
#2005-01-28#,42,43,41.86,42.87,3566600
#2005-01-31#,42.98,43.19,42.42,42.61,2358800
#2005-02-01#,42.61,43.33,42.35,42.95,3637000
#2005-02-02#,43.48,44.08,43.33,43.65,3233100
#2005-02-03#,43.42,43.9,43.42,43.78,2805100
#2005-02-04#,43.97,44.19,43.86,44.17,2167900
#2005-02-07#,44.02,44.08,43.32,43.63,2361800
#2005-02-08#,43.33,43.9,43.3,43.66,2458400
#2005-02-09#,43.67,43.82,43.24,43.32,1810700
#2005-02-10#,43.34,43.58,42.84,43.49,1772400
#2005-02-11#,43.41,43.42,42.4116,42.81,4612400
#2005-02-14#,42.59,42.7416,42.25,42.25,4010200
#2005-02-15#,42.3,42.5,42.1,42.37,3138700
#2005-02-16#,42.05,43.62,41.95,43.58,4640400
#2005-02-17#,43.27,43.43,42.775,42.94,3212000
#2005-02-18#,42.99,42.99,42.53,42.88,2231500
#2005-02-21#,42.99,42.99,42.53,42.88,2231500
#2005-02-22#,42.64,42.64,42,42,2847300
#2005-02-23#,41.31,42.2,41.31,42.07,3057100
#2005-02-24#,42.07,42.42,41.68,42.34,2658500
#2005-02-25#,42.25,42.82,42.06,42.66,1938300
#2005-02-28#,42.62,43.11,42.39,42.83,2565000
#2005-03-01#,43.01,43.6,42.84,43.54,2462500
#2005-03-02#,43.57,44.16,42.11,43.77,3646600
#2005-03-03#,44.19,44.85,44.08,44.65,4089700
#2005-03-04#,44.83,45.07,44.25,45.04,4113400
#2005-03-07#,44.85,45,44.47,44.63,3019600
#2005-03-08#,44.59,44.87,44.38,44.5,3035500
#2005-03-09#,44.21,44.33,43.7,43.96,2936700
#2005-03-10#,43.88,44.41,43.85,44.18,2310900
#2005-03-11#,44.08,44.34,43.75,44.11,1766000
#2005-03-14#,44.12,44.5,43.79,44.34,1808700
#2005-03-15#,44.5,44.65,43.7,43.91,2578300
#2005-03-16#,43.8,43.8,43.12,43.44,2551300
#2005-03-17#,43.57,44.22,43.33,44.18,3364900
#2005-03-18#,44.47,45.21,44.353,45.2,7420300
#2005-03-21#,45.2,45.48,45,45.27,4375700
#2005-03-22#,45.3,45.9,45.24,45.75,4072300
#2005-03-23#,45.35,46.75,45.16,46.47,5934300
#2005-03-24#,46.4,46.6,45.55,46.23,4085000
#2005-03-25#,46.4,46.6,45.55,46.23,4085000
#2005-03-28#,45.51,45.92,44.67,45.11,5431300
#2005-03-29#,44.85,45.09,44.13,44.6,4362800
#2005-03-30#,44.6,45.5,44.45,45,4347600
#2005-03-31#,44.93,45,44.28,44.42,3328900
#2005-04-01#,44.51,44.6,43.4,43.71,3989500
#2005-04-04#,43.74,44.33,43.4,44.31,2928500
#2005-04-05#,44.17,44.83,44.17,44.62,2429500
#2005-04-06#,44.45,44.85,44.23,44.41,2186400
#2005-04-07#,44.28,44.65,43.91,44.55,2544900
#2005-04-08#,44.31,44.5,44.13,44.17,2177700
#2005-04-11#,44.19,44.5,44.06,44.18,1761600
#2005-04-12#,43.93,44.01,43.34,43.75,4276000
#2005-04-13#,43.65,44.01,43.6,43.82,2896300
#2005-04-14#,43.82,43.9,43.38,43.53,3165000
#2005-04-15#,43.25,43.79,43.03,43.07,3500800
#2005-04-18#,42.8,43.35,42.79,42.88,2810900
#2005-04-19#,42.85,43.17,42.6,43.02,4067300
#2005-04-20#,42.86,43.09,42.07,42.09,3155100
#2005-04-21#,42.14,42.55,41.74,42.52,3207900
#2005-04-22#,42.4,42.47,41.51,41.87,3242400
#2005-04-25#,42.25,42.75,42,42.61,2492800
#2005-04-26#,42.59,43.44,42.58,42.62,3025400
#2005-04-27#,42.64,43.31,42.4,43.3,2302500
#2005-04-28#,43,43.45,42.63,42.76,3027000
#2005-04-29#,42.91,43.13,42.33,43.06,3034800
#2005-05-02#,43.3,43.99,43.3,43.72,2643600
#2005-05-03#,43.72,43.99,43.5,43.77,2674100
#2005-05-04#,43.52,44.18,43.51,44.05,2901200
#2005-05-05#,43.86,44.64,43.85,44.18,2031100
#2005-05-06#,44.3,44.69,43.95,44.09,2086700
#2005-05-09#,43.96,44.5,43.86,44.43,1622300
#2005-05-10#,44.07,44.27,43.64,43.78,2401300
#2005-05-11#,43.78,44.14,43.04,43.99,2561600
#2005-05-12#,44.03,44.45,43.87,44.05,2102400
#2005-05-13#,43.96,44.43,43.85,44.05,2056600
#2005-05-16#,44.18,44.92,44.05,44.86,2262500
#2005-05-17#,44.46,45.58,44.46,45.51,2630600
#2005-05-18#,45.54,46.2,45.51,45.9,2925000
#2005-05-19#,45.77,46.54,45.75,46.43,2901500
#2005-05-20#,46.38,46.38,45.73,45.97,2762700
#2005-05-23#,46.6,46.74,46,46.31,2428500
#2005-05-24#,45.93,46,45.5,45.7,2507500
#2005-05-25#,45.7,45.9,45.35,45.76,1634900
#2005-05-26#,45.95,46.21,45.86,45.96,1850600
#2005-05-27#,45.8,46.15,45.47,45.52,1898700
#2005-05-30#,45.8,46.15,45.47,45.52,1898700
#2005-05-31#,45.5,45.74,45,45.34,2566700
#2005-06-01#,45.34,46.09,45.29,45.82,2859500
#2005-06-02#,45.75,46.26,45.72,46.2,2797000
#2005-06-03#,46.2,46.5,45.85,45.87,2117600
#2005-06-06#,45.88,46.25,45.71,45.81,2355700
#2005-06-07#,45.98,46.2,45.77,45.77,2895200
#2005-06-08#,45.95,46,45.45,45.55,1893100
#2005-06-09#,45.55,46.18,45.52,46,2403600
#2005-06-10#,46.1,46.34,45.83,46.1,2787700
#2005-06-13#,46.05,46.43,45.93,46.07,2325000
#2005-06-14#,46.02,46.39,46.02,46.24,2193300
#2005-06-15#,46.43,46.5,45.53,46.11,2574400
#2005-06-16#,46.04,46.44,45.78,45.98,2098400
#2005-06-17#,46.5,46.68,45.75,45.89,3445600
#2005-06-20#,45.62,45.87,45.41,45.59,1853100
#2005-06-21#,45.45,45.69,45.16,45.22,2046600
#2005-06-22#,45.27,45.7,45.16,45.4,1761500
#2005-06-23#,44.45,45.5,44.45,44.82,2453100
#2005-06-24#,44.86,45.2,44,44.38,3354800
#2005-06-27#,44.86,46.25,44.86,45.85,5374500
#2005-06-28#,46.1,47.291,46.02,47.29,5229300
#2005-06-29#,47.26,47.39,46.43,46.62,3101900
#2005-06-30#,46.22,46.69,45.81,45.99,3381800
#2005-07-01#,46.24,46.35,45.95,46.08,2165900
#2005-07-04#,46.24,46.35,45.95,46.08,2165900
#2005-07-05#,46.2,46.83,46.17,46.7,2385700
#2005-07-06#,46.46,46.56,46,46.54,2859100
#2005-07-07#,46.17,46.6,45.81,46.48,2786700
#2005-07-08#,46.4,47,46.2,46.89,2106400
#2005-07-11#,47.14,47.38,46.9,47.28,1707500
#2005-07-12#,47.14,47.67,47.031,47.56,2353200
#2005-07-13#,47.45,47.6,46.86,47,2522300
#2005-07-14#,47.25,47.67,46.8,46.84,3060400
#2005-07-15#,46.85,47.25,46.83,47.1,2330200
#2005-07-18#,47.1,47.24,46.8,46.9,2412500
#2005-07-19#,46.97,47.14,46.65,46.8,2381000
#2005-07-20#,46.56,47.3,46.49,47.21,2185500
#2005-07-21#,47.18,47.18,46.3,46.51,1858100
#2005-07-22#,46.35,46.77,46.17,46.68,1903400
#2005-07-25#,46.73,46.83,46.2,46.37,1889900
#2005-07-26#,46.7,46.93,46.37,46.57,2335100
#2005-07-27#,46.57,46.88,46.5,46.8,1949300
#2005-07-28#,46.93,48.09,46.93,48,3709200
#2005-07-29#,47.98,48.18,47.75,47.86,2582100
#2005-08-01#,48.32,48.57,47.82,47.95,2472200
#2005-08-02#,47.95,48.07,47.68,47.97,2765100
#2005-08-03#,47.8,48.16,47.48,48.16,2513400
#2005-08-04#,48,48.06,47.25,47.73,3062100
#2005-08-05#,47.73,47.85,47.25,47.29,1944300
#2005-08-08#,47.37,47.55,47.14,47.28,2311200
#2005-08-09#,47.64,48.25,47.29,48.23,2603900
#2005-08-10#,48.23,49.01,48.03,48.2,2931800
#2005-08-11#,48.2,48.61,47.9,48.34,2398700
#2005-08-12#,48.34,48.45,47.8,47.94,2164600
#2005-08-15#,47.96,48.44,47.65,48.3,1613000
#2005-08-16#,48.3,48.31,47.3,47.39,2589400
#2005-08-17#,47.18,47.9,47.05,47.58,1848400
#2005-08-18#,47.45,47.8,47.3,47.39,1979500
#2005-08-19#,47.62,47.73,46.9,46.91,2386900
#2005-08-22#,47.05,47.46,46.3,46.79,2873500
#2005-08-23#,46.79,47.3,46.55,47.08,1839700
#2005-08-24#,47.08,47.21,46.26,46.29,2944800
#2005-08-25#,46.31,46.78,46.21,46.5,1978600
#2005-08-26#,46.35,46.65,46.03,46.14,2159800
#2005-08-29#,46.1,46.45,45.75,46.34,2102800
#2005-08-30#,46.2,46.27,45.37,45.65,3139000
#2005-08-31#,45.67,46.35,45.15,46.33,3712600
#2005-09-01#,46.22,46.75,45.49,45.75,3735700
#2005-09-02#,45.75,46.3,45.05,45.13,3960900
#2005-09-05#,45.75,46.3,45.05,45.13,3960900
#2005-09-06#,44.77,45.88,44.25,45.78,4209800
#2005-09-07#,45.67,46.08,45.32,46.05,2688400
#2005-09-08#,44.5,45.62,44.44,44.89,3379100
#2005-09-09#,44.89,45.26,44.8,44.91,2666000
#2005-09-12#,44.91,45.4,44.8,45.28,2670300
#2005-09-13#,45.5,45.6,44.8,44.92,3025100
#2005-09-14#,45.09,45.2,44.37,44.71,2957500
#2005-09-15#,44.71,44.9318,44.24,44.45,2207200
#2005-09-16#,44.71,45.17,44.44,45.17,4823200
#2005-09-19#,45.21,45.22,44.38,44.54,2515600
#2005-09-20#,44.49,44.71,43.2,43.35,4103400
#2005-09-21#,42.9,43.69,42.03,42.81,4939200
#2005-09-22#,42.54,43.12,42.18,42.84,6407200
#2005-09-23#,42.84,42.95,42.5,42.51,5010700
#2005-09-26#,42,42.3,40.98,41.5,10872100
#2005-09-27#,42.25,43.35,41.93,43.17,7661900
#2005-09-28#,43.31,43.47,42.53,42.6,5120000
#2005-09-29#,42.59,43.31,42.05,43.25,4283000
#2005-09-30#,43.25,43.48,42.8,43.45,3021000
#2005-10-03#,43.45,43.89,43.1,43.19,2919500
#2005-10-04#,43.74,44.78,43.68,44.14,5658100
#2005-10-05#,44.18,44.35,43.67,43.87,3506600
#2005-10-06#,43.87,44.49,43.5,43.98,6745500
#2005-10-07#,44,44.23,43.59,44,4200400
#2005-10-10#,43.83,44.34,43.73,44.04,3710200
#2005-10-11#,43.86,44.42,43.86,44.12,4264100
#2005-10-12#,44,44.01,42.8,43.37,4429100
#2005-10-13#,43.14,43.6,42.62,43.39,3416000
#2005-10-14#,43.21,44.08,42.8,44,2971300
#2005-10-17#,43.9,44.45,43.63,44.41,3403500
#2005-10-18#,44.25,44.32,43.61,43.72,3328000
#2005-10-19#,43.54,45.7,43.36,45.65,5389700
#2005-10-20#,45.9,46.3,44.93,45.08,4666200
#2005-10-21#,45.26,45.35,44.63,45.02,3299900
#2005-10-24#,45.15,45.5,44.95,45.44,3099100
#2005-10-25#,45.45,45.45,44.91,45.14,3612100
#2005-10-26#,44.95,45.46,44.58,44.58,2739200
#2005-10-27#,44.58,44.66,43.83,43.94,2494700
#2005-10-28#,44.36,44.7,43.94,44.7,4467100
#2005-10-31#,45.25,45.68,44.99,45.43,4645000
#2005-11-01#,45.43,45.43,44.88,45.16,4708100
#2005-11-02#,45.16,45.16,44.53,44.63,5793200
