"Date","Open","High","Low","Close","Volume"
#2019-01-01#,38.04,38.09,35.82,36.97,6960629
#2019-01-02#,36.15,38.87,36.02,38.26,6385218
#2019-01-03#,37,37.16,35.53,35.65,7735425
#2019-01-04#,36.6,37.42,36.265,37.16,6332926
#2019-01-07#,37.32,38.72,37.16,38.48,5967630
#2019-01-08#,39.26,39.43,37.15,38.11,7701116
#2019-01-09#,38.36,41.585,38.35,39.79,9461883
#2019-01-10#,39.52,40.25,38.88,39.81,4844275
#2019-01-11#,39.56,40.5258,38.83,40.03,5036435
#2019-01-14#,37.89,38.175,36.16,38.06,13446647
#2019-01-15#,38.06,38.24,36.96,37.68,6287552
#2019-01-16#,37.82,38.74,37.66,37.83,4907782
#2019-01-17#,37.25,37.39,35.02,36.47,9881561
#2019-01-18#,36.55,39.22,36.26,39.2,9351613
#2019-01-21#,36.55,39.22,36.26,39.2,9351613
#2019-01-22#,38.97,38.97,37.43,37.56,6548998
#2019-01-23#,37.93,38.35,37.19,37.62,4706592
#2019-01-24#,38.67,41.34,38.55,40.14,15720717
#2019-01-25#,45.5,47.95,41.5285,43.16,37683499
#2019-01-28#,42.03,44.15,41.6,44,11885360
#2019-01-29#,44,44.5296,42.46,42.55,6621570
#2019-01-30#,43.17,43.99,42.48,43.83,6729279
#2019-01-31#,43.81,45.07,43.5,44.99,7428475
#2019-02-01#,44.73,47.28,44.73,47,9180108
#2019-02-04#,47.06,47.89,46.1,47.85,6075261
#2019-02-05#,47.44,48.25,47.135,47.41,5950140
#2019-02-06#,47.42,48.68,47.41,48,5251644
#2019-02-07#,47.29,47.5,45.45,45.86,7045582
#2019-02-08#,44.45,46.73,44.05,46.71,7119738
#2019-02-11#,46.78,46.88,45.61,45.93,4173749
#2019-02-12#,46.46,47.825,46.3457,47.26,4633950
#2019-02-13#,48.68,48.75,47.54,47.69,6110623
#2019-02-14#,47.56,48.41,47.465,47.98,5293996
#2019-02-15#,48.46,48.46,47.375,47.65,4439259
#2019-02-18#,48.46,48.46,47.375,47.65,4439259
#2019-02-19#,48.42,48.99,47.66,48,4801175
#2019-02-20#,47.95,49.19,47.91,48.46,4728219
#2019-02-21#,48.38,48.5,47.05,47.19,3785052
#2019-02-22#,48.06,49.5516,47.44,49.49,4822698
#2019-02-25#,50.9,52.24,50.76,51.36,7755208
#2019-02-26#,51.19,51.6,50.5,50.97,4017471
#2019-02-27#,50.83,51.37,48.5,48.54,6893878
#2019-02-28#,48.15,50.52,46.66,50.3,11059319
#2019-03-01#,51.02,51.945,50.59,51.66,7738075
#2019-03-04#,52.27,53.4,51.58,52.61,8319056
#2019-03-05#,52,52.24,50.48,50.74,6344568
#2019-03-06#,50.36,50.36,48.1,48.12,7915810
#2019-03-07#,47.86,47.86,45.41,46.99,8877721
#2019-03-08#,46.04,47.56,45.73,47.48,5320860
#2019-03-11#,47.75,50,47.66,49.66,6309866
#2019-03-12#,49.69,50.56,48.75,49.15,4828356
#2019-03-13#,49.14,49.47,48.07,48.99,6010223
#2019-03-14#,48.6,48.72,47.15,47.58,7826561
#2019-03-15#,47.65,49.13,47.64,48.1,12028051
#2019-03-18#,48.19,48.6699,47.8281,48.29,4903123
#2019-03-19#,48.72,48.835,47.72,47.88,4750112
#2019-03-20#,47.84,48.1711,46.56,47.17,5415520
#2019-03-21#,47.87,52.27,47.87,51.78,14606196
#2019-03-22#,51.25,51.45,48.37,48.39,8670773
#2019-03-25#,48.25,48.85,47.09,47.89,4426861
#2019-03-26#,48.19,48.93,46.865,47.08,6381873
#2019-03-27#,47.23,47.45,44.94,45.38,8924392
#2019-03-28#,44.92,46.28,44.76,45.75,5710595
#2019-03-29#,46.28,48.6,46.28,48.06,8326535
#2019-04-01#,48.93,49.58,48.35,49.31,6579482
#2019-04-02#,49.23,50.835,48.84,50.38,6508982
#2019-04-03#,51.5,53.43,51.402,52.01,8240173
#2019-04-04#,51.41,51.87,50.75,51.4,4269229
#2019-04-05#,51.77,52.35,51.29,52.04,4217809
#2019-04-08#,51.42,51.76,50.3616,51.59,4377906
#2019-04-09#,51.88,51.88,49.995,50.11,4733324
#2019-04-10#,50.08,50.91,49.6,50.69,4376945
#2019-04-11#,50.89,51.6,50.43,50.83,3372202
#2019-04-12#,51.63,52.2799,51.27,51.83,4117359
#2019-04-15#,52.5,52.74,51.475,51.86,4652864
#2019-04-16#,53.16,54.67,52.87,54.29,8407145
#2019-04-17#,55,55.54,53.34,54.45,6656772
#2019-04-18#,54.47,55.44,53.9,55.39,5652321
#2019-04-19#,54.47,55.44,53.9,55.39,5652321
#2019-04-22#,54.96,55.22,53.52,54.21,4569406
