"Date","Open","High","Low","Close","Volume"
#2015-01-01#,55.5,55.67,54.82,54.82,10090813
#2015-01-02#,55.11,55.19,54.1935,54.7,11700856
#2015-01-05#,54.14,54.36,53.1,53.2,15000528
#2015-01-06#,53.35,53.47,51.85,52.09,20211187
#2015-01-07#,52.63,52.64,52.11,52.4,15714655
#2015-01-08#,53,53.585,52.96,53.56,16721579
#2015-01-09#,53.54,53.59,52.665,52.68,14550804
#2015-01-12#,52.58,52.69,51.71,52.05,16967480
#2015-01-13#,52.3,52.53,51.25,51.85,25080888
#2015-01-14#,51,51.73,50.42,51.25,37590058
#2015-01-15#,51.21,51.5354,50.46,50.72,32144687
#2015-01-16#,50.53,51.7,50.51,51.64,23174862
#2015-01-19#,50.53,51.7,50.51,51.64,23174862
#2015-01-20#,51.98,52.3,51.7,52,17691020
#2015-01-21#,51.99,52.7,51.71,52.1,17928251
#2015-01-22#,52.49,53.82,52.48,53.77,21488730
#2015-01-23#,53.73,53.98,53.24,53.26,17779652
#2015-01-26#,52.91,53.6,52.89,53.58,13429409
#2015-01-27#,52.93,53.34,52.57,52.97,14351619
#2015-01-28#,53.31,53.355,52.15,52.16,18775067
#2015-01-29#,52.24,52.9,51.895,52.76,16700038
#2015-01-30#,52.2,52.77,51.9,51.92,21754793
#2015-02-02#,52.19,52.91,51.985,52.81,17714512
#2015-02-03#,53.01,53.525,52.97,53.45,20258946
#2015-02-04#,53.03,53.5,52.9,53.03,14435564
#2015-02-05#,53.24,53.84,53.22,53.67,13281854
#2015-02-06#,54.12,55.08,53.83,54.45,19316994
#2015-02-09#,54.27,54.45,54.075,54.21,9739238
#2015-02-10#,54.62,54.71,54.22,54.57,12342504
#2015-02-11#,54.06,54.26,53.66,53.9,18296843
#2015-02-12#,54.19,54.9,53.97,54.86,20159495
#2015-02-13#,54.98,55.56,54.81,55.33,18809017
#2015-02-16#,54.98,55.56,54.81,55.33,18809017
#2015-02-17#,55.31,55.46,54.95,55.37,11908612
#2015-02-18#,55.09,55.2,54.4,54.52,13231551
#2015-02-19#,54.41,54.82,54.13,54.56,10784561
#2015-02-20#,54.41,54.94,54.03,54.83,15049087
#2015-02-23#,54.68,55.11,54.27,55.1,13715013
#2015-02-24#,55.19,55.54,55.02,55.37,11957816
#2015-02-25#,55.39,55.58,55.24,55.33,10516855
#2015-02-26#,55.22,55.35,54.96,55.15,13579108
#2015-02-27#,54.82,55.28,54.79,54.79,12936955
#2015-03-02#,54.79,55.56,54.72,55.55,12988462
#2015-03-03#,55.45,55.5801,55.14,55.45,11759571
#2015-03-04#,55.17,55.2,54.67,54.82,16653259
#2015-03-05#,54.94,55.01,54.65,54.84,9576125
#2015-03-06#,54.98,55.49,54.51,54.59,17298431
#2015-03-09#,54.78,55.01,54.63,54.67,11937920
#2015-03-10#,54.16,54.17,53.29,53.29,18723168
#2015-03-11#,53.87,53.99,53.6,53.7,16612918
