"Date","Open","High","Low","Close","Volume"
#2011-01-03#,37.08,37.08,36.6897,36.82,2032648
#2011-01-04#,36.91,36.9125,36.39,36.6,1967650
#2011-01-05#,36.48,36.75,36.4,36.58,2126527
#2011-01-06#,36.56,36.6,36.25,36.41,2021903
#2011-01-07#,36.48,36.48,36,36.21,1764252
#2011-01-10#,35.98,36.32,35.95,36.15,2019096
#2011-01-11#,36.2,36.41,35.93,36.04,2071260
#2011-01-12#,36.23,36.42,36.05,36.36,1473922
#2011-01-13#,36.48,36.75,36.25,36.68,2893710
#2011-01-14#,36.55,37.03,36.55,37.03,2276295
#2011-01-17#,36.55,37.03,36.55,37.03,2276295
#2011-01-18#,36.97,37.24,36.81,37.21,2159617
#2011-01-19#,37.06,37.3,37.01,37.19,3258164
#2011-01-20#,37.18,37.37,37,37.18,2068917
#2011-01-21#,37.36,37.47,37.11,37.43,2233317
#2011-01-24#,37.5,37.92,37.33,37.7,5226613
#2011-01-25#,37.58,37.9,37.51,37.87,1847572
#2011-01-26#,37.94,38.4,37.89,38.23,2693742
#2011-01-27#,38.17,38.39,38.0685,38.34,1745110
#2011-01-28#,38.37,38.58,37.78,37.87,2757930
#2011-01-31#,37.95,38.16,37.76,37.87,2592855
#2011-02-01#,38,38.22,37.91,38.1,2280497
#2011-02-02#,37.96,38.24,37.7,37.84,2320420
#2011-02-03#,37.77,37.84,37.49,37.7,1922508
#2011-02-04#,37.79,38.06,37.57,37.72,2039863
#2011-02-07#,37.76,38.08,37.75,38.04,1856463
#2011-02-08#,38.09,38.14,37.92,38.07,1737005
#2011-02-09#,38,38.27,37.99,38.18,1925526
#2011-02-10#,38.12,38.26,37.99,38.14,2283924
#2011-02-11#,38.01,38.33,37.78,38.04,2065163
#2011-02-14#,38.09,38.22,37.92,38.18,2917633
#2011-02-15#,37.98,38.12,37.77,37.98,2793881
#2011-02-16#,38.07,38.2,37.94,37.99,2260819
#2011-02-17#,38.18,38.32,37.68,37.98,3522635
#2011-02-18#,38.05,38.17,37.89,38.04,2369752
#2011-02-21#,38.05,38.17,37.89,38.04,2369752
#2011-02-22#,37.76,37.95,37.53,37.7,2781775
#2011-02-23#,37.69,37.72,37.24,37.26,3663809
#2011-02-24#,37.17,37.3,36.57,36.79,4128616
#2011-02-25#,36.97,37.04,36.66,36.88,2468522
#2011-02-28#,37.02,37.13,36.89,37.06,3221518
#2011-03-01#,37.15,37.27,36.7,36.77,3634945
#2011-03-02#,36.77,37,36.61,36.84,2408687
#2011-03-03#,37.12,37.32,36.95,37.26,2817688
#2011-03-04#,37.32,38,36.96,37.21,2744169
#2011-03-07#,37.33,37.62,37.14,37.24,2856687
